symbol,grp,peak
A,current,250959087.231
AAPL,current,13351009213.0195
ABBV,current,1233026691.522
ABNB,current,1107231216.0
ABT,current,885198372.1115
ACGL,current,191773446.5
ACN,current,1032349504.8119999
ADBE,current,1447154898.0
ADI,current,1095053132.9585
ADM,current,222384043.62800002
ADP,current,575243003.3699999
ADSK,current,445576095.79
AEE,current,167394956.9525
AEP,current,413164010.40549994
AES,current,143066714.4385
AFL,current,236597148.2758
AIG,current,757433608.2277501
AIZ,current,78797011.8515
AJG,current,429540951.133
AKAM,current,324166543.5
ALB,current,357894825.1529
ALGN,current,337559098.55700004
ALL,current,299172432.65
ALLE,current,136918078.10729998
AMAT,current,2181017105.018
AMCR,current,203797325.50019997
AMD,current,9875865882.0995
AME,current,253121030.782
AMGN,current,810057539.0580001
AMP,current,262596670.8365
AMT,current,531442892.12240005
AMZN,current,12715542811.0
ANET,current,1091513786.0
AON,current,420304471.60800004
AOS,current,86527344.96700001
APA,current,377856691.95000005
APD,current,350231778.04499996
APH,current,1114723729.8137999
APO,current,461567382.48934996
APP,current,2497383727.0
APTV,current,215257250.5
ARE,current,122704565.75850001
ARES,current,298023182.714
ATO,current,164062825.2805
AVB,current,166284441.24199998
AVGO,current,7926588250.872
AVY,current,110962739.35700001
AWK,current,220015777.116
AXON,current,425047436.54550004
AXP,current,931421652.1919999
AZO,current,532905530.7175
BA,current,4106855331.0
BAC,current,2619490542.103
BALL,current,145539572.127
BAX,current,216460484.236
BBY,current,259484645.1835
BDX,current,418056501.262717
BEN,current,112751017.40900001
BF.B,current,108980444.192
BG,current,164471505.0405
BIIB,current,630337358.0805
BKNG,current,1167739787.598
BKR,current,419698279.96799994
BLDR,current,234232105.591
BLK,current,688430265.2314999
BMY,current,710318187.1515
BNY,current,399094102.06999993
BR,current,174578881.31599998
BRK.B,current,2230268249.8725
BRO,current,226326088.31599998
BSX,current,894724905.0
BX,current,622045220.596
BXP,current,106468357.7855
C,current,1601930107.829
CAH,current,382466731.7975
CARR,current,369888767.97
CASY,current,223235505.615
CAT,current,1753396592.025
CB,current,509571018.946
CBOE,current,226719487.0855
CBRE,current,237995375.0
