ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,class,timeframe,rule,op,leg_a,leg_b,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
-0.237537897424576,0.3384615384615385,-0.23753789742457604,,-0.38270732754995107,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or TEMA_9,or,MAXINDEX,TEMA_9,gross,0.060627450739152725,820101.3225766396,0.09091115008738263,0.5131991400575635,-0.4445310393319374,0.9927061386687639,50.2946663700797,10640,False,False,True
-0.24255230956271925,0.26153846153846155,-0.24255230956271925,,-0.390786258488675,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or MINUS_DM,or,MAXINDEX,MINUS_DM,gross,0.0838156929889543,1036182.6615075859,0.09508103712553274,0.5110469526314085,-0.4501042790907063,0.9960491584455805,31.65138301706029,6708,False,False,True
-0.25143341342897246,0.3384615384615385,-0.2514334134289725,,-0.40509497959464724,,EWZ,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or TSF_9,or,MAXINDEX,TSF_9,gross,0.018488946823750164,789102.2747232143,0.08830614396134122,0.49979149906143894,-0.44967513285260563,0.997568712889588,47.919212412840956,10139,False,False,True
-0.25184625429199037,0.23076923076923078,-0.25184625429199037,,-0.40576012492556934,,WEAT,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or MA_50,or,MAXINDEX,MA_50,gross,-0.014259708244339246,693944.5331639377,0.07814567257474103,0.47009530312712805,-0.44863741898784815,0.9911536507788545,29.0767892071189,6172,False,False,True
-0.25184625429199037,0.23076923076923078,-0.25184625429199037,,-0.40576012492556934,,WEAT,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or SMA_50,or,MAXINDEX,SMA_50,gross,-0.014259708244339246,693944.5331639377,0.07814567257474103,0.47009530312712805,-0.44863741898784815,0.9911536507788545,29.0767892071189,6172,False,False,True
-0.2561294909068183,0.2923076923076923,-0.2561294909068183,,-0.4126610281325845,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or KAMA_9,or,MAXINDEX,KAMA_9,gross,0.1325180781365039,923604.5248968374,0.09576157772314728,0.5358608180691921,-0.4486155476449484,0.9972600972254394,35.03676051300531,7422,False,False,True
-0.2785026450521754,0.26153846153846155,-0.27850264505217537,,-0.44870736063222905,,WEAT,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or TRIMA_50,or,MAXINDEX,TRIMA_50,gross,0.005045129092652624,763668.1395273735,0.0802514626069387,0.46840310505543775,-0.4493179672348248,0.9911536507788545,29.42765466188071,6246,False,False,True
-0.3050082221074049,0.24615384615384617,-0.30500822210740497,,-0.49141161401645844,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or APO,or,MAXINDEX,APO,gross,0.01604072013698578,1022227.1683862077,0.08346180732584131,0.4619920175736825,-0.4551494138782686,0.9924022277799625,29.565155988746824,6268,False,False,True
-0.3050082221074049,0.24615384615384617,-0.30500822210740497,,-0.49141161401645844,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or PPO,or,MAXINDEX,PPO,gross,0.01604072013698578,1022227.1683862077,0.08346180732584131,0.4619920175736825,-0.4551494138782686,0.9924022277799625,29.565155988746824,6268,False,False,True
-0.3060789101425675,0.23076923076923078,-0.30607891014256755,,-0.49313664467901575,,WEAT,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or KAMA_21,or,MAXINDEX,KAMA_21,gross,0.12149887388877419,980955.6315496194,0.09262316697729088,0.5147611067029837,-0.4456257697515667,0.9935849350099452,32.34363107645521,6854,False,False,True
-0.306404315693623,0.2923076923076923,-0.306404315693623,,-0.4936609192902024,,ITB,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or TRIMA_9,or,MAXINDEX,TRIMA_9,gross,0.137298791053976,990017.7079869538,0.09379046143265773,0.5286922900437665,-0.45165781090190743,0.997568712889588,37.706182824233686,7985,False,False,True
-0.3142219673515695,0.2923076923076923,-0.3142219673515695,,-0.5062562676795226,,ITB,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or MA_9,or,MAXINDEX,MA_9,gross,0.13242649219312203,957657.833969548,0.09322261122133509,0.5234800412249966,-0.4521634648947507,0.997568712889588,37.46911157101625,7935,False,False,True
-0.3142219673515695,0.2923076923076923,-0.3142219673515695,,-0.5062562676795226,,ITB,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or SMA_9,or,MAXINDEX,SMA_9,gross,0.13242649219312203,957657.833969548,0.09322261122133509,0.5234800412249966,-0.4521634648947507,0.997568712889588,37.46911157101625,7935,False,False,True
-0.31790893175307305,0.2923076923076923,-0.31790893175307305,,-0.5121964915687203,,ITB,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or MIDPOINT_9,or,MAXINDEX,MIDPOINT_9,gross,0.11043295600553624,883671.9097932957,0.08996504134086447,0.5161199425739654,-0.4484274341227356,0.9974607513130885,36.388066656344726,7729,False,False,True
-0.3288284842557091,0.23076923076923078,-0.3288284842557091,,-0.5297894432687837,,ITB,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or WILLR,or,MAXINDEX,WILLR,gross,0.14102916071029678,1045723.8544715486,0.09355157644383334,0.5227883835514829,-0.4458452510681344,0.9959926809748693,33.41045171593369,7090,False,False,True
-0.33032134128743074,0.24615384615384617,-0.3303213412874307,,-0.5321946482117371,,ITB,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or EMA_9,or,MAXINDEX,EMA_9,gross,0.12910548061523347,1103609.4577004197,0.09513618730221066,0.519413098874492,-0.45396865435839473,0.997568712889588,39.759219877096704,8418,False,False,True
-0.3304185878915562,0.23076923076923078,-0.3304185878915562,,-0.5323513263181854,,ITB,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or MIDPRICE_9,or,MAXINDEX,MIDPRICE_9,gross,0.10229875805164423,978340.0271526282,0.08925688750357491,0.5105652210335938,-0.45207511995577443,0.9974466310674364,36.66306931007695,7791,False,False,True
-0.33055306012169694,0.3076923076923077,-0.330553060121697,,-0.5325679802011439,,SQQQ,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or CDLLONGLEGGEDDOJI,or,MAXINDEX,CDLLONGLEGGEDDOJI,gross,0.02648755045804201,773635.9412095548,0.09085915458800228,0.5293026684581985,-0.4468836157572304,0.9442272039751792,12.825554799063454,5410,False,False,True
-0.33055306012169694,0.3076923076923077,-0.330553060121697,,-0.5325679802011439,,SQQQ,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX vote CDLLONGLEGGEDDOJI,vote,MAXINDEX,CDLLONGLEGGEDDOJI,gross,0.02648755045804201,773635.9412095548,0.09085915458800228,0.5293026684581985,-0.4468836157572304,0.9442272039751792,12.825554799063454,5410,False,False,True
-0.3443677301324457,0.2153846153846154,-0.34436773013244565,,-0.554825377854825,,ITB,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or CCI,or,MAXINDEX,CCI,gross,0.12292757938665429,996093.0639414623,0.09183147450053221,0.5117294806090751,-0.44789299800877963,0.9960491584455805,33.40096886580499,7077,False,False,True
-0.3499954847151994,0.2923076923076923,-0.3499954847151994,,-0.5638924906811333,,SQQQ,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or CDLDOJI,or,MAXINDEX,CDLDOJI,gross,0.03357041686932758,771427.5540418755,0.09074506038923381,0.5290774345256148,-0.44714311085702846,0.9449239438511062,12.78762339854866,5394,False,False,True
-0.3499954847151994,0.2923076923076923,-0.3499954847151994,,-0.5638924906811333,,SQQQ,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX vote CDLDOJI,vote,MAXINDEX,CDLDOJI,gross,0.03357041686932758,771427.5540418755,0.09074506038923381,0.5290774345256148,-0.44714311085702846,0.9449239438511062,12.78762339854866,5394,False,False,True
-0.37781227320813443,0.2153846153846154,-0.3778122732081344,,-0.6087092921287156,,ITB,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or WMA_21,or,MAXINDEX,WMA_21,gross,0.06216075217008974,816613.3232894702,0.08140741055628606,0.4842674441900507,-0.45203450624384445,0.99392178222397,35.5109030194402,7522,False,False,True
-0.37993954944652036,0.2,-0.37993954944652036,,-0.6121366366197634,,WEAT,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX or MIDPRICE_21,or,MAXINDEX,MIDPRICE_21,gross,0.07259976587774428,812364.4167055851,0.08272292550433757,0.48198849297669555,-0.4505064648418778,0.9938652727881985,32.86992925859792,6977,False,False,True
-0.4056829898001782,0.24615384615384617,-0.4056829898001782,,-0.6536129794118363,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate MIDPRICE_21,gate,MAXINDEX,MIDPRICE_21,gross,0.023817752302082523,872728.8531601147,0.09218514926886084,0.5189177048125853,-0.43305898240676005,0.8570544002030269,15.649073424883152,6601,False,False,True
-0.4083104315402997,0.26153846153846155,-0.40831043154029967,,-0.6578461616432079,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate MIDPRICE_9,gate,MAXINDEX,MIDPRICE_9,gross,0.023736290223988623,872737.4954460859,0.09204204758552992,0.5186600731678985,-0.4334598085748598,0.8569243312115379,15.784204039217089,6658,False,False,True
-0.4086071967506651,0.24615384615384617,-0.40860719675066504,,-0.6583242925932589,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate WILLR,gate,MAXINDEX,WILLR,gross,0.026658273044002007,874775.2195666428,0.09227643067261568,0.5190441566971317,-0.4331398822820255,0.8571150281919943,15.601659174239664,6581,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate APO,gate,MAXINDEX,APO,gross,0.02422390372628318,872795.7930228637,0.09216745187340578,0.5182211115403168,-0.43314053607450886,0.8573163600218698,15.407260746601366,6499,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate CCI,gate,MAXINDEX,CCI,gross,0.02422390372628318,872795.7930228637,0.09216745187340578,0.5182211115403168,-0.43314053607450886,0.8573163600218698,15.407260746601366,6499,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate EMA_9,gate,MAXINDEX,EMA_9,gross,0.02422390372628318,872795.7930228637,0.09216745187340578,0.5182211115403168,-0.43314053607450886,0.8573163600218698,15.407260746601366,6499,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate KAMA_21,gate,MAXINDEX,KAMA_21,gross,0.02422390372628318,872795.7930228637,0.09216745187340578,0.5182211115403168,-0.43314053607450886,0.8573163600218698,15.407260746601366,6499,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate KAMA_9,gate,MAXINDEX,KAMA_9,gross,0.02422390372628318,872795.7930228637,0.09216745187340578,0.5182211115403168,-0.43314053607450886,0.8573163600218698,15.407260746601366,6499,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate MA_50,gate,MAXINDEX,MA_50,gross,0.08106992387142092,981423.0343590177,0.0998071774985907,0.5402517739161038,-0.41776169470091373,0.8512710756917418,15.374070771150922,6485,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate MA_9,gate,MAXINDEX,MA_9,gross,0.02422390372628318,872795.7930228637,0.09216745187340578,0.5182211115403168,-0.43314053607450886,0.8573163600218698,15.407260746601366,6499,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate MINUS_DM,gate,MAXINDEX,MINUS_DM,gross,0.02422390372628318,872795.7930228637,0.09216745187340578,0.5182211115403168,-0.43314053607450886,0.8573163600218698,15.407260746601366,6499,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate PPO,gate,MAXINDEX,PPO,gross,0.02422390372628318,872795.7930228637,0.09216745187340578,0.5182211115403168,-0.43314053607450886,0.8573163600218698,15.407260746601366,6499,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate SMA_50,gate,MAXINDEX,SMA_50,gross,0.08106992387142092,981423.0343590177,0.0998071774985907,0.5402517739161038,-0.41776169470091373,0.8512710756917418,15.374070771150922,6485,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate SMA_9,gate,MAXINDEX,SMA_9,gross,0.02422390372628318,872795.7930228637,0.09216745187340578,0.5182211115403168,-0.43314053607450886,0.8573163600218698,15.407260746601366,6499,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate TEMA_9,gate,MAXINDEX,TEMA_9,gross,0.02422390372628318,872795.7930228637,0.09216745187340578,0.5182211115403168,-0.43314053607450886,0.8573163600218698,15.407260746601366,6499,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate TRIMA_50,gate,MAXINDEX,TRIMA_50,gross,0.08106992387142092,981423.0343590177,0.0998071774985907,0.5402517739161038,-0.41776169470091373,0.8512710756917418,15.374070771150922,6485,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate TRIMA_9,gate,MAXINDEX,TRIMA_9,gross,0.02422390372628318,872795.7930228637,0.09216745187340578,0.5182211115403168,-0.43314053607450886,0.8573163600218698,15.407260746601366,6499,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate TSF_9,gate,MAXINDEX,TSF_9,gross,0.024316714441659604,872921.9611664632,0.09217690082260864,0.5182400990975081,-0.43314053607450886,0.8573116523672234,15.412002171665716,6501,False,False,True
-0.4098547310253344,0.24615384615384617,-0.4098547310253343,,-0.6603342476928962,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate WMA_21,gate,MAXINDEX,WMA_21,gross,0.02422390372628318,872795.7930228637,0.09216745187340578,0.5182211115403168,-0.43314053607450886,0.8573163600218698,15.407260746601366,6499,False,False,True
-0.41130669289292093,0.24615384615384617,-0.4113066928929209,,-0.6626735647116676,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX gate MIDPOINT_9,gate,MAXINDEX,MIDPOINT_9,gross,0.018472888137547848,870469.4202607027,0.09180013815075899,0.5168346482941322,-0.4332032717737685,0.8569263275695354,15.781833326684916,6657,False,False,True
-0.4137129569334053,0.26153846153846155,-0.4137129569334054,,-0.6665503982203321,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,HT_TRENDMODE or MAXINDEX,or,HT_TRENDMODE,MAXINDEX,gross,0.3501727939508741,1037902.6987161489,0.10778083303966417,0.5606755873724838,-0.4339954513766634,0.936398059767276,13.690864873307106,5775,False,False,True
-0.4137129569334053,0.26153846153846155,-0.4137129569334054,,-0.6665503982203321,,CORN,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,HT_TRENDMODE vote MAXINDEX,vote,HT_TRENDMODE,MAXINDEX,gross,0.3501727939508741,1037902.6987161489,0.10778083303966417,0.5606755873724838,-0.4339954513766634,0.936398059767276,13.690864873307106,5775,False,False,True
-0.49652987424460565,0.24615384615384617,-0.49652987424460576,,-0.7999802274969787,,SVXY,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,HT_TRENDMODE or MINUS_DM,or,HT_TRENDMODE,MINUS_DM,gross,0.4839578412885089,3286919.182164608,0.17928900770792983,0.7154184930631218,-0.4052683932484267,0.9960491584455805,96.94080615314299,20478,False,False,True
-0.4993423817568064,0.16923076923076924,-0.4993423817568064,,-0.8045115770011154,,SQQQ,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,MAXINDEX vote TSF_9,vote,MAXINDEX,TSF_9,gross,-0.0014963609715698946,535277.9788882646,0.07114097440937757,0.5002836172928579,-0.3683346649727424,0.5426094963225473,154.32864441948848,57097,False,False,True
-0.5020787376544654,0.2,-0.5020787376544654,,-0.8089202354264563,,SVXY,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,HT_TRENDMODE or CCI,or,HT_TRENDMODE,CCI,gross,0.4004270537569083,2267401.217902065,0.1573814699411292,0.6550126607732877,-0.4120366092156587,0.9960491584455805,99.60548703930701,21040,False,False,True
-0.5131840863202519,0.2,-0.5131840863202519,,-0.8268125311631527,,TLT,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,TSF_9 gate MIDPRICE_9,gate,TSF_9,MIDPRICE_9,gross,-0.007910804604199557,191036.26901727953,0.015272398781732744,0.2742452181920473,-0.461520984177788,0.9970498946024577,260.96329411669257,55181,False,False,True
-0.5133773915737114,0.2,-0.5133773915737114,,-0.8271239734119684,,TLT,65,65,2.5957791467031712,False,False,False,False,0,False,us_etfs,4h,TSF_9 gate WILLR,gate,TSF_9,WILLR,gross,-0.011305815592664784,188269.86177151444,0.014769576462191403,0.27098813438927605,-0.461614660272406,0.9957866414903472,260.6147993744629,55052,False,False,True
