ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,class,timeframe,rule,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
-0.3448465172210153,0.25,-0.3448465172210152,0.0,-0.5588378183800282,,PG,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,STDDEV,gross,-0.7126692818291721,-20499.25455332676,-0.03402732994163986,-0.07547407305479038,-0.6036180569954545,0.9869450526542544,7366.988527562027,516646,False,True,True
-0.3589260614746117,0.2,-0.3589260614746116,0.0,-0.5816542929608693,,HD,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,AVGDEV,gross,-0.4492608678715556,63165.32721499796,0.030922653445542254,0.23618469297266148,-0.5283320142260363,0.9868747808084939,3415.9622268196676,257246,False,True,True
-0.4012925052388293,0.25,-0.40129250523882937,0.0,-0.6503108396370864,,HD,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,NATR,gross,-0.4624897928294455,49518.185326962,0.01739473296827409,0.20502431313893768,-0.5501562862028883,0.9868669728256314,2133.965382850077,173078,False,True,True
-0.405589856570996,0.2,-0.405589856570996,0.0,-0.6572748723976126,,HD,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,ATR,gross,-0.49785043948468755,34117.60378515897,0.009186194255200014,0.1685123427934995,-0.550498589974024,0.9868669728256314,2130.553542007259,172854,False,True,True
-0.41502988636505805,0.2,-0.41502988636505805,0.0,-0.6725728249420341,,PG,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,VAR,gross,-0.6825851039678379,-35257.79397557397,-0.045771507825744004,-0.12769261462013543,-0.607907581867662,0.9869450526542544,6752.325154434533,476291,False,True,True
-0.4341772527547665,0.2,-0.4341772527547665,0.0,-0.7036019115837584,,UNH,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,HT_SINE,gross,-0.29946714885962256,578770.7599326777,0.07856824773686562,0.295319421251374,-0.45470660612778496,0.9866327333397626,2837.168918784976,219246,False,False,True
-0.4499160822651495,0.25,-0.44991608226514945,0.0,-0.7291073254656116,,MA,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,HT_DCPHASE,gross,-0.48939231392323423,77177.32276161487,0.012289080939705942,0.12487136360320734,-0.52299259740806,0.9864921896482416,3645.347224560958,272286,False,False,True
-0.48170905337142,0.2,-0.48170905337141984,0.0,-0.7806291292988816,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,SUB,gross,-0.6527140711180336,14328.944145747239,-0.030372155561711293,-0.06803601007940922,-0.5905811670994111,0.9869758941345763,14077.092178580442,957191,False,True,True
-0.48483371512246237,0.2,-0.48483371512246237,0.0,-0.7856927708580304,,PG,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CORREL,gross,-0.3794695703468574,43959.60579667232,0.018429652561516886,0.20727046986675618,-0.4874592942588998,0.9741282482208122,2661.0482043737584,207263,False,True,True
-0.4860240626506126,0.35,-0.4860240626506126,0.0,-0.7876217774813427,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,MAXINDEX,gross,-0.6109596746128949,121683.69998894422,0.06105205819697708,0.37629159152473185,-0.3468104795837305,0.8389025573236928,1064.8731717645521,139826,False,True,True
