ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,class,timeframe,rule,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
-0.15177880423269421,0.30293159609120524,-0.15177880423269424,,-0.49501995312536096,,TEL,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,MAXINDEX,gross,-0.1799876913491135,156850420.00054306,0.0943046029164223,0.4488500403171087,-0.6918612091499017,0.8525485298083736,7.958689522269266,107886,False,True,True
-0.18812517126729053,0.2719869706840391,-0.1881251712672905,,-0.6135620446690456,,HSP,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,HT_TRENDMODE,gross,-0.2519775917481495,100341615.6798771,0.08473001069932223,0.42239821562892876,-0.6995550713482764,0.7913860677389486,25.97862980285352,355598,False,False,True
-0.2102364587101602,0.23127035830618892,-0.21023645871016025,,-0.6856770447103556,,OGN,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,HT_PHASOR,gross,-0.2665564877394685,7704353.8621152975,-0.02196762569960003,0.14161633502128296,-0.813516907636289,0.9924573699625914,107.67680853941692,731341,False,False,True
-0.21702087391386235,0.247557003257329,-0.21702087391386232,,-0.7078041191269573,,BC,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,MININDEX,gross,-0.2290213448577642,121733378.26438138,0.08647511792741293,0.4273702114681569,-0.7086048388262168,0.8478808937188518,8.125668314791756,110066,False,True,True
-0.25805751027749885,0.20358306188925082,-0.2580575102774988,,-0.8416433196124625,,OGN,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,HT_DCPHASE,gross,-0.2953220930910988,6557707.347044317,-0.030506672142839968,0.11569775913791114,-0.8203707638158235,0.9811244565531159,41.30750868162456,281697,False,False,True
-0.27197201996967274,0.19381107491856678,-0.27197201996967274,,-0.8870248863628651,,OGN,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,CDLLONGLEGGEDDOJI,gross,-0.310594990581526,57410101.81256905,0.06577354486983793,0.38091218124554876,-0.6323969541147892,0.5882874374835365,28.312620565216783,384316,False,False,True
-0.2724456519436587,0.19218241042345277,-0.2724456519436587,,-0.8885696163977768,,OGN,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,CDLDOJI,gross,-0.3072836901755302,57607659.5598163,0.06577559084785448,0.3824150443661617,-0.6335172437931997,0.5931830022193445,28.28129007338431,383932,False,False,True
-0.29375999519102,0.21335504885993486,-0.29375999519102,,-0.958085417688652,,SOLV,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,TSF_9,gross,-0.3288635092217047,10440356.761334449,-0.048204362798603566,0.0402586185707044,-0.877238073356067,0.9975816806527521,134.76863167926334,915645,False,False,True
-0.29527468697866055,0.16938110749185667,-0.29527468697866055,,-0.9630255189202289,,OGN,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,CDLRICKSHAWMAN,gross,-0.3653662911380107,30585435.27360487,0.05347215905018354,0.345427039169685,-0.5915675951816516,0.4698887878924225,26.723044359763893,362598,False,False,True
-0.3076844435036908,0.14169381107491857,-0.3076844435036908,,-1.0034993988165257,,OGN,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,MACDEXT,gross,-0.3805874042871025,-2763563.788175908,-0.08158246207579291,-0.030910251383098785,-0.881951471100033,0.9921142146719578,35.097653091500256,238750,False,False,True
-0.31583210738271894,0.1498371335504886,-0.3158321073827189,,-1.0300726493561352,,OGN,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,MINMAXINDEX,gross,-0.3660504360573831,-1053795.3478066246,-0.07316126137436296,-0.013836708232807611,-0.8793044255613935,0.986655763193328,34.43075095506982,244216,False,True,True
-0.31944951207447714,0.1791530944625407,-0.31944951207447714,,-1.0418706570555782,,TEL,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,TAN,gross,-0.3599361810522112,2815742.205474008,-0.06900759490744986,0.00334039701095675,-0.8793098927156864,0.9951203553165229,127.4024160197445,851138,False,True,True
-0.32787653145339957,0.16612377850162866,-0.32787653145339957,,-1.0693550133794378,,OGN,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,SIN,gross,-0.3379524624375463,-922376.4070191964,-0.06893032857579352,0.013409222582385083,-0.8747551147092099,0.9951203553165229,123.33117653131475,818804,False,True,True
-0.33107850498707736,0.1563517915309446,-0.3310785049870774,,-1.0797981104677492,,MRNA,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,COS,gross,-0.3562045882994412,210677.5180184698,-0.07313693392364297,-0.0007836954109738904,-0.8754510712540851,0.9951203553165229,123.51477149128127,819561,False,True,True
-0.3320843454653586,0.17100977198697068,-0.3320843454653586,,-1.0830786153375003,,OGN,614,614,10.63709787816564,False,False,False,False,0,False,us_stocks,1d,STOCHF,gross,-0.4072450478388058,20773379.410198003,-0.07584348041169722,-0.05126493559109286,-0.9047032584360936,0.997617772990875,213.3504410966612,1448682,False,False,True
