ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,class,timeframe,rule,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
-0.14184035403828743,0.41251778093883357,-0.14184035403828746,,-0.23953792836525434,,SNDK,703,703,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MININDEX,gross,-0.43206027303560623,9786790.55776423,0.07766095487285254,0.38301266514868676,-0.5687729441236414,0.8468417770160498,16.61793428108717,79329,False,True,True
-0.2757459936877683,0.3285917496443812,-0.2757459936877683,,-0.4656758263953359,,PSKY,703,703,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX,gross,-0.21394800482881812,10668177.449883036,0.09693796099548571,0.4141009322801794,-0.5570836127937556,0.8478062267158494,16.531637056573448,78855,False,True,True
-0.33881104887011537,0.2773826458036984,-0.33881104887011537,,-0.5721791749878113,,EP,703,703,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,HT_TRENDMODE,gross,-0.24230026553294887,10476272.203467205,0.08907262625305745,0.3849245193318568,-0.5539349236667648,0.7247116521206372,55.059674202249596,263168,False,False,True
-0.34596725177773263,0.25889046941678523,-0.34596725177773263,,-0.5842644664485852,,HAR,703,703,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,COS,gross,-0.2850109170585688,1521864426132.937,0.02321668071154795,0.04601345854484512,-0.7143463133772042,0.993703993940597,277.4130015283271,665499,False,True,True
-0.3672521636970492,0.25146198830409355,-0.3672521636970492,,-0.6202101163389805,,BIG,703,684,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLDOJI,gross,-0.18586622415440454,9903519.833134862,0.08321214617719536,0.4073893861954785,-0.5041358164488415,0.6531250272185981,54.93931203616437,263674,False,False,True
-0.3849705451204742,0.2375533428165007,-0.3849705451204742,,-0.6501326613645447,,STZ,703,703,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLLONGLEGGEDDOJI,gross,-0.2087319647646504,9476564.034030234,0.07998356923257773,0.3840829769105514,-0.48902954830516643,0.6029300208364351,55.712567796507116,266945,False,False,True
-0.3924512747364115,0.2503556187766714,-0.3924512747364115,,-0.6627660088135967,,ZTS,703,703,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLHARAMI,gross,-0.33495342387754207,754330.2356394558,-0.015184685717580618,0.08834802339199886,-0.499813569552981,0.40342224380853575,65.23968048302787,273883,False,False,True
-0.39274692076835105,0.24182076813655762,-0.39274692076835105,,-0.6632652915353607,,EL,703,703,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLRICKSHAWMAN,gross,-0.286892187925548,6795956.7790569905,0.06518750980514941,0.35171966163796564,-0.4437490180810356,0.4592314063664113,52.42244256212245,252069,False,False,True
-0.4015431978286881,0.22759601706970128,-0.4015431978286881,,-0.6781203163880989,,RHT,703,703,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MINMAX,gross,-0.31230879801815076,107445.86503113358,-0.0756017759576937,0.01540872718730262,-0.6889900012331416,0.9784363207426787,60.48627143910117,149145,False,True,True
-0.4067017192028474,0.2375533428165007,-0.4067017192028474,,-0.6868319523098513,,SLE,703,703,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,ADXR,gross,-0.3221229611269624,-991878.8717814785,-0.08871208887713043,-0.01702563002103678,-0.7042794380794383,0.9815523747969594,53.53685353754717,128273,False,True,True
-0.4108321779710638,0.24039829302987198,-0.4108321779710638,,-0.693807411044744,,TE,703,703,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,HT_DCPHASE,gross,-0.262225001503022,1004826.9622798322,-0.05500918147622345,0.06604769723554044,-0.6808015242150698,0.9744108356467155,84.15827516137226,201118,False,False,True
-0.41251791924451847,0.2375533428165007,-0.41251791924451847,,-0.6966542664064709,,LEG,703,703,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLSPINNINGTOP,gross,-0.33754755893320776,371774.407839643,-0.044662587443170726,0.015987699935619337,-0.6233757715370147,0.7081878458574291,126.98715117841755,426304,False,False,True
