class,timeframe,shortlist_n,shortlist,n_candidates,operators,selection,seconds
us_stocks,1d,24,"['HT_TRENDMODE', 'MAXINDEX', 'MININDEX', 'CDLDOJI', 'CDLLONGLEGGEDDOJI', 'HT_DCPHASE', 'LINEARREG_INTERCEPT_200', 'TRIX', 'ADXR', 'NATR', 'ADX', 'MA_200', 'SMA_200', 'TRIMA_200', 'ACCBANDS', 'WMA_1000', 'HT_PHASOR', 'EMA_200', 'CORREL', 'CDLRICKSHAWMAN', 'HT_DCPERIOD', 'DX', 'MAX', 'MINUS_DI']",1104,"['vote', 'and', 'or', 'gate']",train-period IR only,35.05543041229248
us_stocks,4h,24,"['MAXINDEX', 'CDLDOJI', 'CDLLONGLEGGEDDOJI', 'LINEARREG_100', 'TSF_100', 'HT_DCPHASE', 'ADX', 'MIN', 'ADXR', 'MININDEX', 'SUM', 'APO', 'PPO', 'HT_PHASOR', 'T3_50', 'HT_SINE', 'LINEARREG_INTERCEPT_50', 'MAX', 'TEMA_100', 'TRIMA_100', 'TRIMA_50', 'CORREL', 'MA_50', 'SMA_50']",1104,"['vote', 'and', 'or', 'gate']",train-period IR only,29.363342761993408
us_stocks,2h,20,"['MININDEX', 'MAXINDEX', 'HT_DCPHASE', 'HT_DCPERIOD', 'HT_TRENDMODE', 'ADXR', 'TSF_200', 'SUM', 'LINEARREG_200', 'MIN', 'HT_PHASOR', 'TRIX', 'T3_50', 'CDLSPINNINGTOP', 'TEMA_200', 'STOCH', 'CDLHIKKAKE', 'T3_100', 'TSF_9', 'MAX']",760,"['vote', 'and', 'or', 'gate']",train-period IR only,26.088422536849976
us_stocks,1h,20,"['CDLDOJI', 'CDLLONGLEGGEDDOJI', 'MACDEXT', 'TRIMA_200', 'LINEARREG_INTERCEPT_100', 'MININDEX', 'TRIX', 'LINEARREG_INTERCEPT_200', 'T3_200', 'DEMA_200', 'MA_100', 'SMA_100', 'LINEARREG_INTERCEPT_1000', 'TRIMA_100', 'KAMA_200', 'WMA_200', 'T3_100', 'MA_200', 'SMA_200', 'EMA_100']",760,"['vote', 'and', 'or', 'gate']",train-period IR only,36.489201068878174
us_stocks,15m,16,"['MAXINDEX', 'HT_DCPHASE', 'MA_1000', 'SMA_1000', 'TRIMA_1000', 'LINEARREG_1000', 'TSF_1000', 'KAMA_1000', 'TEMA_1000', 'DEMA_1000', 'LINEARREG_INTERCEPT_1000', 'WMA_1000', 'LINEARREG_INTERCEPT_200', 'EMA_1000', 'MIDPOINT_1000', 'TRIMA_200']",480,"['vote', 'and', 'or', 'gate']",train-period IR only,62.92007398605347
us_stocks,5m,12,"['BBANDS', 'TANH', 'CDLCOUNTERATTACK', 'CDLABANDONEDBABY', 'CDLSTICKSANDWICH', 'CDLMATHOLD', 'ACOS', 'ASIN', 'CDL3STARSINSOUTH', 'CDLTRISTAR', 'CDLCONCEALBABYSWALL', 'CDLKICKING']",264,"['vote', 'and', 'or', 'gate']",train-period IR only,129.9215133190155
us_stocks,1m,10,"['BBANDS', 'ACOS', 'ASIN', 'CDL3STARSINSOUTH', 'CDLCONCEALBABYSWALL', 'CDLMATHOLD', 'CDLUPSIDEGAP2CROWS', 'CDLKICKINGBYLENGTH', 'CDLBREAKAWAY', 'CDLRISEFALL3METHODS']",180,"['vote', 'and', 'or', 'gate']",train-period IR only,1087.1849710941315
crypto,1d,24,"['ADD', 'MULT', 'LINEARREG_ANGLE', 'LINEARREG_SLOPE', 'ATAN', 'CCI', 'MAVP', 'SQRT', 'LN', 'LOG10', 'TRIMA_21', 'MOM', 'ROC', 'ROCP', 'ROCR', 'ROCR100', 'MA_21', 'SMA_21', 'TRIMA_50', 'MAMA', 'LINEARREG_INTERCEPT_21', 'MAXINDEX', 'MA_50', 'SMA_50']",1104,"['vote', 'and', 'or', 'gate']",train-period IR only,23.790799856185913
crypto,4h,24,"['LINEARREG_INTERCEPT_200', 'LINEARREG_INTERCEPT_100', 'MAXINDEX', 'ACCBANDS', 'T3_21', 'T3_200', 'MA_100', 'SMA_100', 'TRIX', 'MA_200', 'SMA_200', 'LINEARREG_100', 'MIDPOINT_200', 'WMA_200', 'MAMA', 'TRIMA_100', 'EMA_200', 'LINEARREG_INTERCEPT_21', 'TSF_1000', 'LINEARREG_1000', 'MIDPRICE_200', 'LINEARREG_INTERCEPT_50', 'HT_TRENDLINE', 'MININDEX']",1104,"['vote', 'and', 'or', 'gate']",train-period IR only,42.06800818443298
crypto,2h,20,"['LINEARREG_INTERCEPT_200', 'TRIX', 'MA_200', 'SMA_200', 'ACCBANDS', 'SUM', 'TSF_1000', 'LINEARREG_1000', 'LINEARREG_INTERCEPT_50', 'MAX', 'T3_200', 'TRIMA_200', 'T3_50', 'LINEARREG_INTERCEPT_100', 'KAMA_1000', 'WMA_1000', 'TSF_200', 'LINEARREG_200', 'EMA_1000', 'EMA_200']",760,"['vote', 'and', 'or', 'gate']",train-period IR only,42.658177614212036
