ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,class,timeframe,rule,op,leg_a,leg_b,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
-0.08521529478341848,0.4016393442622951,-0.08521529478341847,0.0,-0.14391035129498175,,MDLZ,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX or MINMAX,or,MAXINDEX,MINMAX,gross,-0.11860963376021728,2777002.5223514196,0.11330191128760565,0.46793548469688906,-0.5146809916112144,0.9820835873542879,19.462093664468885,7566,False,False,True
-0.15654740234803155,0.38524590163934425,-0.15654740234803155,0.0,-0.2643749777957209,,BIIB,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX or HT_TRENDMODE,or,MAXINDEX,HT_TRENDMODE,gross,-0.14622512971877596,2754258.7220713436,0.12841456954614897,0.4984526528744185,-0.5080510084214297,0.9388904416352215,13.666794413740014,9891,False,False,True
-0.15654740234803155,0.38524590163934425,-0.15654740234803155,0.0,-0.2643749777957209,,BIIB,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX vote HT_TRENDMODE,vote,MAXINDEX,HT_TRENDMODE,gross,-0.14622512971877596,2754258.7220713436,0.12841456954614897,0.4984526528744185,-0.5080510084214297,0.9388904416352215,13.666794413740014,9891,False,False,True
-0.1570797767670531,0.39344262295081966,-0.1570797767670531,0.0,-0.2652740439769337,,UBER,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX or CDLLONGLEGGEDDOJI,or,MAXINDEX,CDLLONGLEGGEDDOJI,gross,-0.0894408927283332,2738822.131756829,0.13330623976854594,0.5046131164481543,-0.503561605291922,0.9416795283941178,13.876453405556557,9797,False,False,True
-0.1570797767670531,0.39344262295081966,-0.1570797767670531,0.0,-0.2652740439769337,,UBER,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX vote CDLLONGLEGGEDDOJI,vote,MAXINDEX,CDLLONGLEGGEDDOJI,gross,-0.0894408927283332,2738822.131756829,0.13330623976854594,0.5046131164481543,-0.503561605291922,0.9416795283941178,13.876453405556557,9797,False,False,True
-0.17402717367322482,0.36885245901639346,-0.17402717367322482,0.0,-0.29389456155539584,,RCL,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLLONGLEGGEDDOJI or MINMAXINDEX,or,CDLLONGLEGGEDDOJI,MINMAXINDEX,gross,-0.1451543392751527,1662309.0624902435,0.11005353468682827,0.3760582684580215,-0.5382000045983764,0.990484088436729,79.65336906752862,29067,False,False,True
-0.17492859085687845,0.38524590163934425,-0.17492859085687848,0.0,-0.2954168617937818,,UBER,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX or CDLDOJI,or,MAXINDEX,CDLDOJI,gross,-0.08878979039358509,2755293.3450886873,0.13287403687713306,0.5033796704494823,-0.5039966072581009,0.9420586435615399,13.796590977195951,9741,False,False,True
-0.17492859085687845,0.38524590163934425,-0.17492859085687848,0.0,-0.2954168617937818,,UBER,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX vote CDLDOJI,vote,MAXINDEX,CDLDOJI,gross,-0.08878979039358509,2755293.3450886873,0.13287403687713306,0.5033796704494823,-0.5039966072581009,0.9420586435615399,13.796590977195951,9741,False,False,True
-0.18021549214793695,0.36885245901639346,-0.18021549214793695,0.0,-0.30434530385329533,,RCL,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLDOJI or MINMAXINDEX,or,CDLDOJI,MINMAXINDEX,gross,-0.1459072949737776,1724910.2311385064,0.11108460521609939,0.3747572752089434,-0.5389056522833363,0.9905146350469429,79.30874457596468,28947,False,False,True
-0.1849463015056452,0.39344262295081966,-0.1849463015056452,0.0,-0.3123346259381126,,FIS,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLLONGLEGGEDDOJI or MINMAX,or,CDLLONGLEGGEDDOJI,MINMAX,gross,-0.1971195306320552,1745461.958733062,0.07265259702757457,0.35570619052909425,-0.5447960205502942,0.9885064049987885,76.36221312801261,27921,False,False,True
-0.19439037905857068,0.38524590163934425,-0.19439037905857068,0.0,-0.32828364684747896,,FIS,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLDOJI or MINMAX,or,CDLDOJI,MINMAX,gross,-0.19591229386027081,1815776.964008057,0.07199119305610835,0.35407758035170245,-0.5445946100606037,0.9886640398541552,76.1344136199307,27831,False,False,True
-0.20465455187883486,0.4016393442622951,-0.20465455187883486,0.0,-0.34561763272490675,,NCLH,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLLONGLEGGEDDOJI or MACD,or,CDLLONGLEGGEDDOJI,MACD,gross,-0.10694777460588085,1911094.7312706113,0.10642859606476357,0.39507209212030475,-0.5304109158538504,0.9926379667474038,83.00167851277666,29857,False,False,True
-0.20857001988825052,0.4016393442622951,-0.20857001988825052,0.0,-0.3522300181910533,,NCLH,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLLONGLEGGEDDOJI or MACDFIX,or,CDLLONGLEGGEDDOJI,MACDFIX,gross,-0.10725632147720593,1933043.7704585171,0.1054049669771319,0.3927301871542751,-0.5316164581408714,0.9926379667474038,82.77962712675044,29777,False,False,True
-0.2132007369125134,0.3524590163934426,-0.21320073691251337,0.0,-0.36005030579790903,,FIS,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX or SIN,or,MAXINDEX,SIN,gross,-0.09834142977371312,2121449.3230886622,0.1051589851446674,0.43633550046430786,-0.526178763030605,0.9917681355349758,59.00554801332443,20961,False,False,True
-0.21401963004965832,0.4016393442622951,-0.21401963004965835,0.0,-0.3614332406259712,,BIIB,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLDOJI or MACD,or,CDLDOJI,MACD,gross,-0.10834286019259469,1942922.4641743186,0.1065894185776178,0.3923788973601232,-0.5300863946449589,0.992644569910162,82.70264708035694,29748,False,False,True
-0.21519436757808819,0.3524590163934426,-0.21519436757808816,0.0,-0.3634171202901255,,BIIB,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX or MOM,or,MAXINDEX,MOM,gross,-0.14473648143247114,1731386.418419985,0.09844437315487392,0.4224725758958328,-0.5242022737975162,0.9954933713496209,39.31796088543099,13953,False,False,True
-0.21519436757808819,0.3524590163934426,-0.21519436757808816,0.0,-0.3634171202901255,,BIIB,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX or ROC,or,MAXINDEX,ROC,gross,-0.14473648143247114,1731386.418419985,0.09844437315487392,0.4224725758958328,-0.5242022737975162,0.9954933713496209,39.31796088543099,13953,False,False,True
-0.21519436757808819,0.3524590163934426,-0.21519436757808816,0.0,-0.3634171202901255,,BIIB,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX or ROCP,or,MAXINDEX,ROCP,gross,-0.14473648143247114,1731386.418419985,0.09844437315487392,0.4224725758958328,-0.5242022737975162,0.9954933713496209,39.31796088543099,13953,False,False,True
-0.21519436757808819,0.3524590163934426,-0.21519436757808816,0.0,-0.3634171202901255,,BIIB,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX or ROCR,or,MAXINDEX,ROCR,gross,-0.14473648143247114,1731386.418419985,0.09844437315487392,0.4224725758958328,-0.5242022737975162,0.9954933713496209,39.31796088543099,13953,False,False,True
-0.21519436757808819,0.3524590163934426,-0.21519436757808816,0.0,-0.3634171202901255,,BIIB,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX or ROCR100,or,MAXINDEX,ROCR100,gross,-0.14473648143247114,1731386.418419985,0.09844437315487392,0.4224725758958328,-0.5242022737975162,0.9954933713496209,39.31796088543099,13953,False,False,True
-0.21778660319256837,0.4016393442622951,-0.21778660319256832,0.0,-0.36779485011981566,,BIIB,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLDOJI or MACDFIX,or,CDLDOJI,MACDFIX,gross,-0.10856743227232664,1970773.4028151631,0.1055870010742207,0.39015597404363467,-0.5311911235020479,0.992644569910162,82.52342396778235,29672,False,False,True
-0.2217723857264767,0.32786885245901637,-0.22177238572647673,0.0,-0.37452598173296076,,MRNA,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX or MACD,or,MAXINDEX,MACD,gross,-0.14122222861363426,1655191.1790354622,0.09235908708642039,0.41529471923950334,-0.5242191694459795,0.9874089628176351,31.806893498361184,11388,False,False,True
-0.22184385675869497,0.3524590163934426,-0.22184385675869497,0.0,-0.3746466809733975,,GEV,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLLONGLEGGEDDOJI or HT_TRENDMODE,or,CDLLONGLEGGEDDOJI,HT_TRENDMODE,gross,-0.17833174350987424,2372857.2363243992,0.12407617389152066,0.4826274721368999,-0.5038880345859034,0.8973814047503609,33.25642373842572,24089,False,False,True
-0.22184385675869497,0.3524590163934426,-0.22184385675869497,0.0,-0.3746466809733975,,GEV,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLLONGLEGGEDDOJI vote HT_TRENDMODE,vote,CDLLONGLEGGEDDOJI,HT_TRENDMODE,gross,-0.17833174350987424,2372857.2363243992,0.12407617389152066,0.4826274721368999,-0.5038880345859034,0.8973814047503609,33.25642373842572,24089,False,False,True
-0.22190196195696063,0.319672131147541,-0.22190196195696066,0.0,-0.37474480818771655,,MDLZ,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,MAXINDEX or MACDFIX,or,MAXINDEX,MACDFIX,gross,-0.14048390134301714,1662107.9446426146,0.09175956169856421,0.41446831938060746,-0.5237066284743488,0.9874089628176351,31.775966022998162,11388,False,False,True
-0.2271202553015301,0.3360655737704918,-0.2271202553015301,0.0,-0.38355738614436036,,GEV,122,122,2.8519963495322838,False,False,False,False,0,False,us_stocks,4h,CDLDOJI or HT_TRENDMODE,or,CDLDOJI,HT_TRENDMODE,gross,-0.1701368317533265,2402315.9162622527,0.12444838357174771,0.483503005577758,-0.5032798830587798,0.898302728645093,33.06850293990166,23945,False,False,True
