class,timeframe,symbol,rule,engine_pair,scenario,n_bars,windowed,vector,other,rel_diff,ok,n_fills,abs_diff,tolerance,seconds
us_stocks,1d,PYPL,RSI,vector-reference,gross,2664,False,8036.381588107614,8036.381588107567,5.8849525714630915e-15,True,,,,
us_stocks,1d,PYPL,RSI,vector-reference,retail,2664,False,7657.489053829016,7657.489053828859,2.0428770789652617e-14,True,,,,
us_stocks,1d,PYPL,RSI,vector-reference,wide,2664,False,7171.002376434098,7171.002376434253,2.1687845832301077e-14,True,,,,
us_stocks,1d,PYPL,RSI,vector-reference,pessimistic,2664,False,6085.41898958995,6085.418989590003,8.668374814136479e-15,True,,,,
us_stocks,1d,PYPL,RSI,vector-nautilus,gross,2664,False,8036.381588107614,8036.35,3.9306380947259915e-06,True,1297.0,0.03158810761397035,0.5402082931610732,15.532886100001633
us_stocks,1d,KMB,EMA_1000,vector-reference,gross,1508,False,8095.12639537445,8095.1263953744265,2.9211232896385662e-15,True,,,,
us_stocks,1d,KMB,EMA_1000,vector-reference,retail,1508,False,8072.148401721615,8072.148401721595,2.4787556475964947e-15,True,,,,
us_stocks,1d,KMB,EMA_1000,vector-reference,wide,1508,False,8038.861376711998,8038.861376711974,2.9415686050513896e-15,True,,,,
us_stocks,1d,KMB,EMA_1000,vector-reference,pessimistic,1508,False,7956.215744276051,7956.215744276029,2.743499365040973e-15,True,,,,
us_stocks,1d,KMB,EMA_1000,vector-nautilus,gross,1508,False,8095.12639537445,8095.14,1.6805945807083144e-06,True,57.0,0.013604625550215133,0.11324751652906125,0.23611869988963008
us_stocks,1d,ADP,MACD,vector-reference,gross,1256,False,2570.081903395153,2570.0819033951434,3.715715968429005e-15,True,,,,
us_stocks,1d,ADP,MACD,vector-reference,retail,1256,False,2521.010406027104,2521.010406027116,4.6899572864836855e-15,True,,,,
us_stocks,1d,ADP,MACD,vector-reference,wide,1256,False,2459.5297349446805,2459.5297349447046,9.799275550341925e-15,True,,,,
us_stocks,1d,ADP,MACD,vector-reference,pessimistic,1256,False,2312.264642169768,2312.2646421697777,4.1300179029916426e-15,True,,,,
us_stocks,1d,ADP,MACD,vector-nautilus,gross,1256,False,2570.081903395153,2570.04,1.630430341446701e-05,True,640.0,0.04190339515298547,0.37947331922020555,0.8193428004160523
us_stocks,4h,GE,BETA,vector-reference,gross,3714,False,922.6623154183784,922.6623154183716,7.392965063501001e-15,True,,,,
us_stocks,4h,GE,BETA,vector-reference,retail,3714,False,894.4668942356318,894.4668942356036,3.152082646843535e-14,True,,,,
us_stocks,4h,GE,BETA,vector-reference,wide,3714,False,865.3592069749553,865.3592069749257,3.4288957009041864e-14,True,,,,
us_stocks,4h,GE,BETA,vector-reference,pessimistic,3714,False,796.6519424187217,796.6519424187403,2.3403748103265074e-14,True,,,,
us_stocks,4h,GE,BETA,vector-nautilus,gross,3714,False,922.6623154183784,922.7900000000001,0.00013838712114711327,True,3279.0,0.12768458162167917,0.8589382981332245,2.5792690003290772
us_stocks,4h,MMM,EMA_21,vector-reference,gross,2424,False,8563.934603774464,8563.934603774414,5.7348305618882814e-15,True,,,,
us_stocks,4h,MMM,EMA_21,vector-reference,retail,2424,False,8207.193578580991,8207.193578581237,2.9920528512883054e-14,True,,,,
us_stocks,4h,MMM,EMA_21,vector-reference,wide,2424,False,7703.3193858423765,7703.3193858424565,1.0389746257063022e-14,True,,,,
us_stocks,4h,MMM,EMA_21,vector-reference,pessimistic,2424,False,6574.500963127584,6574.500963127596,1.7983769702610964e-15,True,,,,
us_stocks,4h,MMM,EMA_21,vector-nautilus,gross,2424,False,8563.934603774464,8563.97,4.1331732636310715e-06,True,1354.0,0.03539622553580557,0.551951084789223,1.9463623999617994
