class,timeframe,symbol,rule,scenario,ir_test,ir_train,years_test,total_return,pnl_dollars,cagr,sharpe,max_drawdown,exposure,n_trades,turnover_per_year,n_bars,years,bars_per_year
crypto,1h,BTC/USD,ACCBANDS,gross,-0.2664555250849524,-0.11443429175055388,2.629112480036505,2.079268395915099,20792.68395915099,0.186625502636792,0.5851626459677463,-0.5712224973620847,0.9996696628822783,705,214.36891889546487,57517,6.572781200091262,8750.785740319698
crypto,1h,BTC/USD,ACCBANDS,binance,-0.5858557275699998,-0.34315785454286124,2.629112480036505,-0.36141025138155314,-3614.1025138155314,-0.06595895613537472,0.19561835940140557,-0.7516499625872602,0.9996696628822783,705,214.36891889546487,57517,6.572781200091262,8750.785740319698
crypto,1h,BTC/USD,ACCBANDS,kraken,-1.056936188880926,-0.6826313762248641,2.629112480036505,-0.9400878507410396,-9400.878507410396,-0.3483596890227201,-0.37452635904294457,-0.9707538290991621,0.9996696628822783,705,214.36891889546487,57517,6.572781200091262,8750.785740319698
crypto,1h,BTC/USD,ACCBANDS,coinbase,-2.000968681162941,-1.3747112299435849,2.629112480036505,-0.9995855663413107,-9995.855663413107,-0.6942469324397231,-1.4975720582667198,-0.9997710760188084,0.9996696628822783,705,214.36891889546487,57517,6.572781200091262,8750.785740319698
crypto,1h,ETH/USD,ACCBANDS,gross,0.16417101708711193,-0.27326779010329527,2.6291124800365053,4.172862160860654,41728.62160860654,0.28407051414943885,0.7094783381900319,-0.7906763585875786,0.9995823035956699,734,223.1931895100404,57458,6.572781200091263,8741.809327108318
crypto,1h,ETH/USD,ACCBANDS,binance,-0.049811832762961625,-0.48024827631292244,2.6291124800365053,-0.0007743060009436364,-7.743060009436364,-0.00011784361368694096,0.3910482435440986,-0.9244585864408894,0.9995823035956699,734,223.1931895100404,57458,6.572781200091263,8741.809327108318
crypto,1h,ETH/USD,ACCBANDS,kraken,-0.36750048125730106,-0.7879167288016269,2.6291124800365053,-0.9157533154631796,-9157.533154631796,-0.31367342450449864,-0.0777604552668201,-0.9839179787183614,0.9995823035956699,734,223.1931895100404,57458,6.572781200091263,8741.809327108318
crypto,1h,ETH/USD,ACCBANDS,coinbase,-1.0156811606648812,-1.4178254221717452,2.6291124800365053,-0.9995345055198767,-9995.345055198766,-0.688794069415702,-1.015861766543935,-0.9998260787314658,0.9995823035956699,734,223.1931895100404,57458,6.572781200091263,8741.809327108318
crypto,1h,XRP/USD,ACCBANDS,gross,-0.3898578940452648,-0.6501472423879816,2.629112480036505,-0.9699564770593855,-9699.564770593855,-0.4133202983747809,-0.028006863972809243,-0.9944260861533976,0.9992520698531969,704,214.0646337018588,57492,6.572781200091262,8746.982175399622
crypto,1h,XRP/USD,ACCBANDS,binance,-0.5805283543022941,-0.8081654085004404,2.629112480036505,-0.9938254392662038,-9938.254392662038,-0.5388342243745186,-0.2611648224905523,-0.9976366662072679,0.9992520698531969,704,214.0646337018588,57492,6.572781200091262,8746.982175399622
crypto,1h,XRP/USD,ACCBANDS,kraken,-0.864141858569422,-1.0432744948726185,2.629112480036505,-0.9994285453542125,-9994.285453542125,-0.6789306974259133,-0.6060878503247126,-0.9996982251691782,0.9992520698531969,704,214.0646337018588,57492,6.572781200091262,8746.982175399622
crypto,1h,XRP/USD,ACCBANDS,coinbase,-1.445459123084,-1.5261962564205427,2.629112480036505,-0.9999961594076723,-9999.961594076723,-0.8500120807070832,-1.3050370857932314,-0.9999975907099571,0.9992520698531969,704,214.0646337018588,57492,6.572781200091262,8746.982175399622
crypto,1h,BNB/USD,ACCBANDS,gross,-1.0757087123542264,-0.8779675246285101,2.629112480036505,-0.9649110405807192,-9649.110405807192,-0.39929885422603784,-0.23817876154835824,-0.9938913802910974,0.9995826159545051,735,223.4974747036465,57501,6.572781200091262,8748.351458770849
crypto,1h,BNB/USD,ACCBANDS,binance,-1.360084525182702,-1.059593393820603,2.629112480036505,-0.9932190003399644,-9932.190003399644,-0.5322138112406665,-0.5420510664366922,-0.9982729678975987,0.9995826159545051,735,223.4974747036465,57501,6.572781200091262,8748.351458770849
crypto,1h,BNB/USD,ACCBANDS,kraken,-1.7799153982000808,-1.3296027954877119,2.629112480036505,-0.9994278968697999,-9994.278968698,-0.6788752912021434,-0.9892695293948707,-0.9997498919220545,0.9995826159545051,735,223.4974747036465,57501,6.572781200091262,8748.351458770849
crypto,1h,BNB/USD,ACCBANDS,coinbase,-2.6245388325478674,-1.8829239122131058,2.629112480036505,-0.99999683431893,-9999.9683431893,-0.8543579469343445,-1.883839675945383,-0.9999982541366315,0.9995826159545051,735,223.4974747036465,57501,6.572781200091262,8748.351458770849
crypto,1h,SOL/USD,ACCBANDS,gross,0.11283854820093943,0.05191896809870677,1.955190508783938,-0.21679165065099393,-2167.916506509939,-0.048762346290253555,0.43975074637818434,-0.7378048717041331,0.9991821092234712,520,212.5624066467513,42793,4.887976271959845,8754.747899551905
crypto,1h,SOL/USD,ACCBANDS,binance,-0.08807321542001524,-0.09081594689337501,1.955190508783938,-0.7560799226020287,-7560.799226020287,-0.2507256416703133,0.2004659875824111,-0.8575288866044176,0.9991821092234712,520,212.5624066467513,42793,4.887976271959845,8754.747899551905
crypto,1h,SOL/USD,ACCBANDS,kraken,-0.387004539455644,-0.30381633466210484,1.955190508783938,-0.9578144335029701,-9578.144335029701,-0.4767237581022026,-0.15400242964820157,-0.9651304472582498,0.9991821092234712,520,212.5624066467513,42793,4.887976271959845,8754.747899551905
crypto,1h,SOL/USD,ACCBANDS,coinbase,-0.9999541282217921,-0.7439024934117563,1.955190508783938,-0.9989447603125664,-9989.447603125664,-0.7539483266085453,-0.8738770406805179,-0.9990366463815213,0.9991821092234712,520,212.5624066467513,42793,4.887976271959845,8754.747899551905
crypto,1h,DOGE/USD,ACCBANDS,gross,-0.3134038588089762,-0.7227131656339134,2.499566506958704,-0.9149550252341251,-9149.55025234125,-0.3259158980653375,0.32430702046676,-0.9961936801522844,0.9984987733880122,638,204.03537916681879,54622,6.24891626739676,8741.035671254884
crypto,1h,DOGE/USD,ACCBANDS,binance,-0.4861744477533514,-0.8466190278541316,2.499566506958704,-0.9798415944593946,-9798.415944593946,-0.46461531977345627,0.14781267706887558,-0.9988622138271046,0.9984987733880122,638,204.03537916681879,54622,6.24891626739676,8741.035671254884
crypto,1h,DOGE/USD,ACCBANDS,kraken,-0.743429399138819,-1.0311213847067202,2.499566506958704,-0.9976878942759714,-9976.878942759713,-0.6214109176499918,-0.1146569077424568,-0.9998199253696528,0.9984987733880122,638,204.03537916681879,54622,6.24891626739676,8741.035671254884
crypto,1h,DOGE/USD,ACCBANDS,coinbase,-1.272240601120844,-1.4109808858561306,2.499566506958704,-0.9999756099426608,-9999.756099426608,-0.8172631837506928,-0.6528651109425244,-0.9999966361651575,0.9984987733880122,638,204.03537916681879,54622,6.24891626739676,8741.035671254884
crypto,1h,ADA/USD,ACCBANDS,gross,0.19930273480569874,-0.7044543175090061,2.629112480036505,-0.8450435092377745,-8450.435092377746,-0.24699751066710163,0.22277853859981916,-0.9800120282219833,0.9991646653440535,712,216.49891525070726,57462,6.572781200091262,8742.41789749553
crypto,1h,ADA/USD,ACCBANDS,binance,0.035381665800696877,-0.8697819683748013,2.629112480036505,-0.9686992195915113,-9686.992195915112,-0.4096496077036377,-0.012525490367120638,-0.9942550271359032,0.9991646653440535,712,216.49891525070726,57462,6.572781200091262,8742.41789749553
crypto,1h,ADA/USD,ACCBANDS,kraken,-0.20893102091648577,-1.1158362610706818,2.629112480036505,-0.997177483204148,-9971.77483204148,-0.5906137780439159,-0.3608908815175658,-0.9991656573757494,0.9991646653440535,712,216.49891525070726,57462,6.572781200091262,8742.41789749553
crypto,1h,ADA/USD,ACCBANDS,coinbase,-0.7120722351601082,-1.621424214381394,2.629112480036505,-0.9999820393572122,-9999.820393572121,-0.8103380521336411,-1.0678101789635057,-0.999993457099899,0.9991646653440535,712,216.49891525070726,57462,6.572781200091262,8742.41789749553
crypto,1h,TRX/USD,ACCBANDS,gross,0.0356973299187034,-0.5343839623041751,2.629112480036505,0.4958391849534225,4958.391849534225,0.06318158004163377,0.46214801490782376,-0.8910188376646335,0.9992513536570503,826,251.18742732179737,57437,6.572781200091262,8738.614332575455
crypto,1h,TRX/USD,ACCBANDS,binance,-0.47828952796311647,-0.7367340155326007,2.629112480036505,-0.7627049665889838,-7627.049665889838,-0.19655751536976374,0.10400953043303603,-0.9334922490736404,0.9992513536570503,826,251.18742732179737,57437,6.572781200091262,8738.614332575455
crypto,1h,TRX/USD,ACCBANDS,kraken,-1.2344465195422272,-1.0378233332497309,2.629112480036505,-0.9851221319333561,-9851.221319333561,-0.472811901842071,-0.4242760426919318,-0.9881445243791981,0.9992513536570503,826,251.18742732179737,57437,6.572781200091262,8738.614332575455
crypto,1h,TRX/USD,ACCBANDS,coinbase,-2.724483830465593,-1.6555132282088205,2.629112480036505,-0.9999558846189182,-9999.558846189182,-0.7825513990415776,-1.48317365067678,-0.999963791615267,0.9992513536570503,826,251.18742732179737,57437,6.572781200091262,8738.614332575455
crypto,1h,AVAX/USD,ACCBANDS,gross,0.32757083453696095,-0.34590265637921636,2.2015058179329228,-0.8561817773672672,-8561.817773672672,-0.29696006648805373,0.27800946845977803,-0.9569704416737509,0.9986085728526334,610,221.48476557642084,48152,5.503764544832307,8748.920780997389
crypto,1h,AVAX/USD,ACCBANDS,binance,0.14285984985421663,-0.4720479136653465,2.2015058179329228,-0.9635507495463067,-9635.507495463067,-0.4521423769735865,0.06861696148257988,-0.9846172814479748,0.9986085728526334,610,221.48476557642084,48152,5.503764544832307,8748.920780997389
crypto,1h,AVAX/USD,ACCBANDS,kraken,-0.13224153381076523,-0.6603246015089537,2.2015058179329228,-0.9953764468782635,-9953.764468782636,-0.6235211834541754,-0.2421341448974664,-0.9980432785640401,0.9986085728526334,610,221.48476557642084,48152,5.503764544832307,8748.920780997389
crypto,1h,AVAX/USD,ACCBANDS,coinbase,-0.6978441690258812,-1.0496812541105922,2.2015058179329228,-0.999939722246117,-9999.39722246117,-0.828887939873048,-0.8763046149491559,-0.9999744014559785,0.9986085728526334,610,221.48476557642084,48152,5.503764544832307,8748.920780997389
crypto,1h,LINK/USD,ACCBANDS,gross,-0.17585711932442025,-0.33960653839466554,2.629112480036505,-0.7592788974561331,-7592.788974561331,-0.19480335100593715,0.32719328986261165,-0.9512958412888733,0.9996517135692393,709,215.5860596698891,57424,6.572781200091262,8736.636478817016
crypto,1h,LINK/USD,ACCBANDS,binance,-0.3468346851129115,-0.4836810341369913,2.629112480036505,-0.9510650823849,-9510.650823848999,-0.3681191251177429,0.10380898468632252,-0.9876570062986092,0.9996517135692393,709,215.5860596698891,57424,6.572781200091262,8736.636478817016
crypto,1h,LINK/USD,ACCBANDS,kraken,-0.6012727243217966,-0.6985685163458637,2.629112480036505,-0.9955449764929326,-9955.449764929326,-0.5611764428781345,-0.2273893691804511,-0.9985660890507156,0.9996517135692393,709,215.5860596698891,57424,6.572781200091262,8736.636478817016
crypto,1h,LINK/USD,ACCBANDS,coinbase,-1.123647271484469,-1.1421765913058455,2.629112480036505,-0.9999710762644298,-9999.710762644298,-0.7960782941180243,-0.9016070163259796,-0.999989309596689,0.9996517135692393,709,215.5860596698891,57424,6.572781200091262,8736.636478817016
crypto,1h,BTC/USD,ACOS,gross,-0.5527457554448469,-0.9730382366745662,2.629112480036505,0.0,0.0,0.0,,0.0,0.0,0,0.0,57517,6.572781200091262,8750.785740319698
crypto,1h,BTC/USD,ACOS,binance,-0.5527457554448469,-0.9730382366745662,2.629112480036505,0.0,0.0,0.0,,0.0,0.0,0,0.0,57517,6.572781200091262,8750.785740319698
crypto,1h,BTC/USD,ACOS,kraken,-0.5527457554448469,-0.9730382366745662,2.629112480036505,0.0,0.0,0.0,,0.0,0.0,0,0.0,57517,6.572781200091262,8750.785740319698
crypto,1h,BTC/USD,ACOS,coinbase,-0.5527457554448469,-0.9730382366745662,2.629112480036505,0.0,0.0,0.0,,0.0,0.0,0,0.0,57517,6.572781200091262,8750.785740319698
crypto,1h,ETH/USD,ACOS,gross,-0.2436369074242895,-1.2390559056087942,2.6291124800365053,0.0,0.0,0.0,,0.0,0.0,0,0.0,57458,6.572781200091263,8741.809327108318
