ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,class,timeframe,rule,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
0.15475702181726542,0.65,0.44291015878227336,1.5370651988982458,0.2511903621743334,0.43670635993535944,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,MINMAX,binance,-0.5570506718809985,1035372.9303379611,-0.15225325634127268,0.1455117271375282,-0.9349669375248604,0.9907210381422326,249.9833851278799,15214,False,True,True
0.07632017018443113,0.6,0.39290979830107264,1.241069711090827,0.12387735926109184,-0.247668764348212,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,MININDEX,binance,-0.25250138732600325,968821.0909999724,0.13408458206115,0.5425157526852291,-0.8627390251243874,0.8437111648803362,74.59263977759339,8782,False,True,True
0.02011637158320541,0.6,0.07392647840865472,1.3738400231848538,0.032651433868928936,-0.9891046128179843,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,TRIMA_1000,binance,-0.40835087309849116,178491.74981753813,-0.07730724690902314,0.30089964916956097,-0.9140735682081909,0.918915692659424,46.45929477856525,2806,False,False,True
-0.02359245420919186,0.55,0.02926644919002433,0.5536711378401069,-0.03829355881754973,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,MA_1000,binance,-0.43088223349763266,168421.979797349,-0.11919829922943423,0.2422041139196276,-0.9310482706778546,0.918915692659424,50.13481552970136,3022,False,False,True
-0.02359245420919186,0.55,0.02926644919002433,0.5536711378401069,-0.03829355881754973,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,SMA_1000,binance,-0.43088223349763266,168421.979797349,-0.11919829922943423,0.2422041139196276,-0.9310482706778546,0.918915692659424,50.13481552970136,3022,False,False,True
-0.026034876114870507,0.45,0.08936458297588915,0.7743934302638757,-0.04225792073060315,,ATOM/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,T3_200,binance,-0.23491944744580504,828804.2355639363,0.02486300427697371,0.3777089778754424,-0.8853328037567346,0.903088425460813,97.2675754806276,5773,False,False,True
-0.0321482997231191,0.5,0.19220583111568434,0.8567073420804656,-0.05218078608591048,,VET/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,ADXR,binance,-0.747919515799112,113556.2824321748,-0.362838611274993,-0.11071037472492473,-0.9699117798455739,0.9952112371040099,204.73936849904558,12094,False,True,True
-0.03994210426417822,0.55,0.07137915664780467,0.641199677968445,-0.06483112377266345,,AVAX/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,TEMA_1000,binance,-0.6118045889302225,-70879.5243057839,-0.16475278278956748,0.05521056859309972,-0.8562955164397199,0.7567470779782723,76.9088754441002,4681,False,False,True
-0.052257115578698755,0.5,0.024766060058861058,0.3215403656608527,-0.08481995604631677,,XTZ/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,WMA_1000,binance,-0.35543087481644636,209316.06413838212,-0.08387800722472233,0.29211605977592464,-0.9111128002405477,0.918915692659424,65.84565322332952,3942,False,False,True
-0.059649907074177944,0.45,0.27135112985492016,0.8197893649289225,-0.0968193984717562,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,LINEARREG_ANGLE,binance,-0.5364587122446239,-140149.63719916268,-0.29396964488065597,0.03272717989797421,-0.951846199976868,0.9989273230355031,330.0537184552975,19566,False,False,True
-0.059649907074177944,0.45,0.27135112985492016,0.8197893649289225,-0.0968193984717562,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,LINEARREG_SLOPE,binance,-0.5364587122446239,-140149.63719916268,-0.29396964488065597,0.03272717989797421,-0.951846199976868,0.9989273230355031,330.0537184552975,19566,False,False,True
-0.06421900247366649,0.5,0.005119858271462198,0.0738382231326448,-0.104235622399623,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,EMA_1000,binance,-0.40488711318417103,84447.42699643812,-0.1317214793509911,0.24120734879679812,-0.9335236366954447,0.918915692659424,57.44613426232426,3428,False,False,True
-0.09768424434733687,0.5,-0.0038900589128079257,0.0,-0.15855397337192828,,XTZ/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,LINEARREG_INTERCEPT_200,binance,-0.10446336307332478,803969.4468918082,0.04843872772198694,0.4278702607828483,-0.8816537277615326,0.9838480709101354,78.4295398400143,4675,False,False,True
-0.10453560835591531,0.45,0.18754752958393237,0.6421032412441294,-0.16967461000924441,,XLM/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,MAXINDEX,binance,-0.11991195263157979,1326598.9596691595,0.14909338668058017,0.5484931346447751,-0.8469412726639796,0.8470046821229857,72.48136125110732,8558,False,True,True
-0.11584724099603298,0.5,0.07122810820642811,0.38074555792672576,-0.18803483086571202,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,LINEARREG_INTERCEPT_50,binance,-0.3042846586814327,55558.36258255288,-0.13080732847368126,0.2273122147606285,-0.8983459168450529,0.9960228918321438,181.54523686916795,10768,False,False,True
-0.11907014383520664,0.5,0.0235517318269822,0.1651340772068258,-0.19326601276568833,,DOGE/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,MIDPOINT_200,binance,-0.220884329595818,339102.1420915029,-0.08548057837569464,0.2994427018989374,-0.8973074033245932,0.9836441383700094,126.46062614119337,7567,False,False,True
-0.12251366822115388,0.45,0.13822554531025372,0.5301294862331999,-0.19885529154286452,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,ADX,binance,-0.797838927317773,-12097.305423541959,-0.4112200238098662,-0.20729965165653302,-0.9823644476166032,0.996266388250584,238.17672468057617,14083,False,True,True
-0.12258465428613614,0.4,0.19434102230976436,0.6132069335535757,-0.19897051096982715,,AVAX/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,MACDEXT,binance,-0.794398019504986,-169808.29242570186,-0.43757918221344366,-0.22561521385600375,-0.9620307605693649,0.9973215393971582,306.5648724273452,18129,False,False,True
-0.13564472749966375,0.55,-0.02763802782097492,0.0,-0.22016867362510845,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,SUM,binance,-0.32825495608768696,84454.47089602864,-0.16282688391578898,0.19081132392134728,-0.9275464863243741,0.9961040573049573,105.36580923598952,6224,False,True,True
-0.1402237000800478,0.3,-0.044794593030773905,0.0,-0.22760092947590366,,XTZ/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,TSF_1000,binance,-0.24549500618668288,423792.9793205,-0.045170636112207695,0.3012274791870245,-0.8958955796974628,0.918915692659424,79.15849252704608,4723,False,False,True
-0.14553491068623983,0.35,-0.049804850065372906,0.0,-0.23622170092838643,,XTZ/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,LINEARREG_1000,binance,-0.24421659481969948,433380.5524869931,-0.04577442880533163,0.2993972423451804,-0.8976723027228394,0.918915692659424,79.01069203089301,4709,False,False,True
-0.1492987507931141,0.45,0.2208568116326497,0.5966594428172167,-0.2423308929282712,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,SAREXT,binance,-0.8042987361392921,-175770.66220868705,-0.4627946885198762,-0.2717409468779734,-0.9694713047450227,0.9999188345271864,356.04213655379147,20986,False,False,True
-0.14977861563196831,0.45,0.2203341276199343,0.5953162425157907,-0.24310977469564485,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,SAR,binance,-0.8039496322267585,-175713.15645248364,-0.46264012914447916,-0.27165352551492794,-0.9694729936081028,0.999904957439902,355.98140494786105,20986,False,False,True
-0.15103996358114083,0.35,-0.1504576332981716,0.0,-0.24515710311060115,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,CDLONNECK,binance,-0.7776577716739648,-16532.061878887558,-0.015461664087548588,-0.2038572926099583,-0.1547332442873389,0.0018167290682635268,1.3252995429184566,164,False,False,True
-0.15174302544757076,0.45,-0.051094342021794234,0.0,-0.24629826208862818,,XTZ/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,DEMA_1000,binance,-0.5337239546513842,-53891.58288193433,-0.21746117857874184,0.061808245271520276,-0.9280368283516811,0.8378313853188482,79.57872644656547,4779,False,False,True
-0.15307925562912428,0.4,0.042375011663466286,0.2168026937986054,-0.2484671339065999,,XTZ/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,APO,binance,-0.3586657816626248,-107859.57819110368,-0.22112529494245264,0.15175101697646726,-0.9284751193149262,0.9979708631796653,186.73073456344866,11038,False,False,True
-0.15307925562912428,0.4,0.042375011663466286,0.2168026937986054,-0.2484671339065999,,XTZ/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,PPO,binance,-0.3586657816626248,-107859.57819110368,-0.22112529494245264,0.15175101697646726,-0.9284751193149262,0.9979708631796653,186.73073456344866,11038,False,False,True
-0.1557571948553784,0.35,-0.15544163521059645,0.0,-0.25281377043542835,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,CDL3BLACKCROWS,binance,-0.7611104706352183,813.7469163102917,0.000980356099918156,0.019686274774175977,-0.012068891197830944,0.00023826195402114198,0.1737530541722913,20,False,False,True
-0.15583981280026807,0.35,-0.15560601225776916,0.0,-0.25294786988536117,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,CDLINNECK,binance,-0.761387340528173,-5341.09839947538,-0.006349956332940021,-0.04215333937835098,-0.10323835082868307,0.0011929400771043424,0.8701826202874591,106,False,False,True
-0.15652023140198362,0.35,-0.12825176079382822,0.0,-0.25405227596004576,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,CDLXSIDEGAP3METHODS,binance,-0.7913514088994844,-41746.61839856992,-0.05063209162324624,-0.1918025710870642,-0.5054703244006045,0.04039440435881932,29.437498213271333,3448,False,False,True
-0.15787995295858231,0.35,-0.15721672145348947,0.0,-0.25625927727247455,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,BBANDS,binance,-0.760641179168969,478.1180287087294,0.0003558110985086516,0.1466721739964906,-0.005221935871397232,0.0008706208810267083,0.18978626853263128,13,False,False,True
-0.15832487408385637,0.35,-0.10151203796923544,0.0,-0.25698144094094166,,DOT/USD,20,20,2.6345425507643165,False,False,False,False,0,False,crypto,4h,MIDPOINT_1000,binance,-0.5248928154639685,-122870.78941723284,-0.2852522202185668,0.0263145470867723,-0.9637138978496699,0.9188970434053971,54.26724514237154,3247,False,False,True
