ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,class,timeframe,rule,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
-0.18022086898985612,0.3,-0.18022086898985615,0.0,-0.5448527572333229,,XLV,10,10,9.140041067761807,False,False,False,False,0,False,us_etfs,1d,HT_TRENDMODE,gross,-0.24381799225359133,409770.05093114666,0.06659490052381857,0.4252066213956501,-0.5445793390820876,0.7130557502725766,27.42173329477847,6458,False,False,True
-0.21624163792444434,0.1,-0.21624163792444434,0.0,-0.6537525499248091,,XLV,10,10,9.140041067761807,False,False,False,False,0,False,us_etfs,1d,MAXINDEX,gross,-0.11950089205795011,480192.571328507,0.07355286664682241,0.4637246389926414,-0.5477436218525318,0.8633781274880793,7.369994824315884,1735,False,True,True
-0.24335188424378545,0.2,-0.24335188424378545,0.0,-0.7357136043751622,,EFA,10,10,9.140041067761807,False,False,False,False,0,False,us_etfs,1d,MININDEX,gross,-0.09260496080442567,479827.08885702223,0.07278826237682767,0.46418692816305807,-0.5551810118930335,0.8503252823351175,8.085999533222672,1905,False,True,True
-0.24937860026455377,0.0,-0.2493786002645538,0.0,-0.7539338740885587,,XLE,10,10,9.140041067761807,False,False,False,False,0,False,us_etfs,1d,HT_DCPHASE,gross,-0.16160791620463197,172243.20042537953,0.02280039704439347,0.2190855974382883,-0.6229971566132706,0.986078439184611,41.606385867236085,4917,False,False,True
-0.25209248223508945,0.1,-0.25209248223508945,0.0,-0.76213861798276,,TLT,10,10,9.140041067761807,False,False,False,False,0,False,us_etfs,1d,TAN,gross,-0.0810063478202892,287673.2757779781,0.04036201279458258,0.28049086293820924,-0.6149224630879351,0.9967742724939953,132.58763780472816,15837,False,True,True
-0.27153510925389057,0.1,-0.2715351092538906,0.0,-0.8209185417420286,,TLT,10,10,9.140041067761807,False,False,False,False,0,False,us_etfs,1d,TSF_9,gross,-0.3041729882281708,-4933.056435109167,-0.007169238832292835,0.08412809863409451,-0.6548825853275879,0.99864179894484,134.77910868099622,15907,False,False,True
-0.27332759818192703,0.1,-0.273327598181927,0.0,-0.8263376840435,,XLE,10,10,9.140041067761807,False,False,False,False,0,False,us_etfs,1d,DEMA_21,gross,-0.4942955004520404,-59028.06784566952,-0.05091797882738587,-0.1308852001972754,-0.8112789586364549,0.9932089947242003,95.44649496598417,11292,False,False,True
-0.2844720173044052,0.0,-0.2844720173044052,0.0,-0.8600300500867898,,IWM,10,10,9.140041067761807,False,False,False,False,0,False,us_etfs,1d,MIDPOINT_200,gross,-0.1799365157167669,95898.4002745026,0.019056662474698026,0.18442485056113575,-0.5927406154154856,0.9662147487528976,13.719439115406535,1616,False,False,True
-0.285323116388024,0.0,-0.285323116388024,0.0,-0.8626031354624605,,IWM,10,10,9.140041067761807,False,False,False,False,0,False,us_etfs,1d,MIDPRICE_200,gross,-0.1695609256523199,112153.14424956214,0.02200371914221406,0.19819706454400302,-0.5753569619349107,0.9662147487528976,13.63118465479335,1606,False,False,True
-0.3140530940349543,0.1,-0.3140530940349543,0.0,-0.9494610427842967,,TLT,10,10,9.140041067761807,False,False,False,False,0,False,us_etfs,1d,MIDPOINT_21,gross,-0.36085448952673976,-40523.717830133115,-0.029744006394116118,-0.030437157066390275,-0.6668296956001967,0.9963322663303631,54.3959852920281,6439,False,False,True
-0.31790378648834816,0.1,-0.31790378648834816,0.0,-0.9611026490657939,,TLT,10,10,9.140041067761807,False,False,False,False,0,False,us_etfs,1d,LINEARREG_INTERCEPT_21,gross,-0.3022598775710697,-23476.997613592208,-0.022780544577183336,0.017547188324935466,-0.6428565913271009,0.9966044973621004,36.764208237296245,4338,False,False,True
