symbol,first_bar,last_bar,n_bars,span_years,entry,tradable_years,dv_rank_window,dv_med_held,dv_min_year,dv_p10_year,dv_last5y,spread_cs_bps,spread_roll_bps,tick_bps,stale_pct,zerovol_pct,vol_ann_pct,maxdd_pct,reject,passes,z_history,z_spread,z_grid,score,rank,selected
BNB/USD,2017-11-08,2026-08-08,3196,8.75,,0.0,,,,,,73.2,130.4,0.1,0.22,,80.2,-80.0,,True,1.3933231157447672,1.311164757338236,2.228513712976532,4.933,1,True
BTC/USD,2017-08-29,2026-08-08,3267,8.94,,0.0,,,,,,56.1,157.1,0.28,0.0,,55.7,-83.2,,True,1.500384245339974,2.140509914435214,1.1448870570834548,4.786,2,True
ETH/USD,2018-01-17,2026-08-08,3121,8.56,,0.0,,,,,,75.5,258.5,0.19,0.03,,70.4,-93.3,,True,1.2839115261758078,1.199615408722853,1.5529922837583887,4.037,3,True
TRX/USD,2018-06-12,2026-08-08,2980,8.16,,0.0,,,,,,49.4,295.0,1.44,0.5,,73.0,-83.1,,True,1.0454073737188958,2.465458016923504,-0.5786201986147632,2.932,4,True
XMR/USD,2017-08-29,2026-08-08,3266,8.94,,0.0,,,,,,98.0,368.5,0.31,0.03,,74.7,-92.5,,True,1.500384245339974,0.108371780963671,1.0377654946668982,2.647,5,True
ADA/USD,2018-04-25,2026-08-08,3028,8.29,,0.0,,,,,,100.5,254.0,0.28,0.33,,83.5,-95.2,,True,1.1241800940781514,-0.012877511009571437,1.1448870570834548,2.256,6,True
XRP/USD,2018-05-07,2026-08-08,3016,8.25,,0.0,,,,,,85.3,214.0,0.58,0.2,,83.9,-83.6,,True,1.1000746750518082,0.7243181841877427,0.3784498301998408,2.203,7,True
BCH/USD,2018-11-18,2026-08-08,2816,7.72,,0.0,,,,,,98.5,263.9,0.32,0.36,,84.0,-94.2,,True,0.7691571063003962,0.08412192256902251,1.004351463026182,1.858,8,True
DOGE/USD,2020-03-03,2026-08-08,2350,6.43,,0.0,,,,,,88.2,49.2,0.22,0.21,,162.8,-92.3,,True,-0.14207739693730492,0.5836690054987812,1.3986989304766708,1.84,9,True
XLM/USD,2018-06-12,2026-08-08,2980,8.16,,0.0,,,,,,86.5,199.0,0.79,0.84,,84.9,-90.4,,True,1.0454073737188958,0.6661185240405862,0.05323657380854611,1.765,10,True
VET/USD,2018-08-05,2026-08-08,2926,8.01,,0.0,,,,,,112.1,329.7,0.48,0.27,,90.5,-98.3,,True,0.9529411653615936,-0.5754742257654161,0.5776182528236504,0.955,11,True
LINK/USD,2019-06-16,2026-08-08,2611,7.15,,0.0,,,,,,107.7,282.9,0.85,0.54,,86.6,-90.2,,True,0.3868907414836304,-0.36207547189250977,-0.023806611836617295,0.001,12,True
DOT/USD,2020-08-20,2026-08-08,2180,5.97,,0.0,,,,,,100.1,195.3,0.52,0.14,,84.6,-98.6,,True,-0.5120119000122467,0.006522375706147629,0.49337701747247154,-0.012,13,True
ATOM/USD,2019-05-14,2026-08-08,2644,7.24,,0.0,,,,,,99.5,292.4,1.53,0.26,,87.8,-97.2,,True,0.4492321672962334,0.03562220577972554,-0.6424247997202677,-0.158,14,True
HBAR/USD,2019-10-10,2026-08-08,2495,6.83,,0.0,,,,,,102.7,320.2,1.25,0.92,,103.7,-92.8,,True,0.15869474257822538,-0.11957688794602492,-0.4296984757739391,-0.391,15,True
UNI/USD,2020-09-18,2026-08-08,2151,5.89,,0.0,,,,,,112.3,257.0,0.42,0.05,,94.1,-94.4,,True,-0.5792478022990916,-0.5851741691232756,0.7181538468809231,-0.446,16,True
XTZ/USD,2020-03-05,2026-08-08,2348,6.43,,0.0,,,,,,109.3,336.2,0.91,1.06,,84.5,-97.7,,True,-0.14207739693730492,-0.4396750187553847,-0.09559262970613748,-0.677,17,True
LTC/USD,2021-02-17,2026-08-08,1999,5.47,,0.0,,,,,,90.2,194.8,1.18,0.25,,68.2,-89.5,,True,-0.9479352146031166,0.4866695719201873,-0.369046508859584,-0.83,18,True
AVAX/USD,2020-12-24,2026-08-08,2054,5.62,,0.0,,,,,,83.1,,1.98,0.39,,95.8,-95.6,,True,-0.8131086243467549,0.8310175611241962,-0.9137779724001562,-0.896,19,True
SOL/USD,2020-08-11,2026-08-08,2189,5.99,,0.0,,,,,,107.5,254.5,1.19,0.37,,95.8,-96.3,,True,-0.4953437049847713,-0.35237552853465026,-0.3779280264938132,-1.226,20,True
GRT/USD,2020-12-24,2026-08-08,2054,5.62,,0.0,,,,,,115.5,253.9,0.72,0.93,,98.4,-99.4,,True,-0.8131086243467549,-0.740373262849026,0.15088504262111868,-1.403,21,False
ALGO/USD,2019-07-24,2026-08-08,2573,7.04,,0.0,,,,,,113.9,243.0,4.2,0.78,,91.1,-96.8,,True,0.30962119883677125,-0.6627737159861512,-1.7052101093481355,-2.058,22,False
AAVE/USD,2021-07-01,2026-08-08,1865,5.1,,0.0,,,,,,119.1,105.9,0.9,0.64,,81.8,-88.4,,True,-1.2969899774698883,-0.9149722432904949,-0.0839631899002945,-2.296,23,False
FIL/USD,2021-04-22,2026-08-08,1935,5.3,,0.0,,,,,,113.9,154.5,2.16,0.72,,89.9,-99.6,,True,-1.1052822783916672,-0.6627737159861512,-1.0053534088172948,-2.773,24,False
SAND/USD,2021-10-23,2026-08-08,1751,4.79,,0.0,,,,,,104.1,,2.36,0.23,,92.4,-99.5,,True,-1.6095238161464696,-0.18747649145104026,-1.0985517500954658,-2.896,25,False
ETC/USD,2021-05-10,2026-08-08,1917,5.25,,0.0,,,,,,100.0,212.3,4.87,0.78,,76.0,-94.2,,True,-1.1525223066598556,0.01137234738507705,-1.8609831467236773,-3.002,26,False
NEAR/USD,2020-10-14,2026-08-08,2125,5.82,,0.0,,,,,,123.0,142.9,3.53,0.28,,101.2,-95.2,,True,-0.6388326276244018,-1.1041211387687533,-1.5223077204233666,-3.265,27,False
ICP/USD,2021-05-12,2026-08-08,1915,5.24,,0.0,,,,,,130.2,,1.65,0.47,,91.1,-99.3,,True,-1.1620242841190753,-1.453319099651691,-0.7218929947190376,-3.337,28,False
INJ/USD,2021-10-23,2026-08-08,1751,4.79,,0.0,,,,,,151.4,138.8,1.28,0.46,,94.5,-94.7,,True,-1.6095238161464696,-2.4815130955847877,-0.45465901944558157,-4.546,29,False
APT/USD,2022-10-19,2026-08-08,1390,3.8,,0.0,,,,,,124.0,,0.94,0.29,,83.5,-97.0,only 3.8y of history,False,0.0,0.0,0.0,,0,False
ARB/USD,2023-03-23,2026-08-08,1235,3.38,,0.0,,,,,,105.0,,1.77,0.4,,77.2,-96.8,only 3.4y of history,False,0.0,0.0,0.0,,0,False
IMX/USD,2025-02-10,2026-08-08,545,1.49,,0.0,,,,,,157.3,,2.57,0.73,,83.6,-87.5,only 1.5y of history,False,0.0,0.0,0.0,,0,False
OP/USD,2022-07-31,2026-08-08,1470,4.02,,0.0,,,,,,133.8,,7.81,2.24,,90.2,-98.2,7.8bps price grid; 2.2% flat closes,False,0.0,0.0,0.0,,0,False
SHIB/USD,2021-05-11,2026-08-08,1916,5.24,,0.0,,,,,,114.2,259.5,8.91,1.88,,95.9,-94.8,8.9bps price grid,False,0.0,0.0,0.0,,0,False
