ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,base_rule,variant
-0.2197494024785888,0.15,-0.21974940247858873,0.0,-1.4072258111449014,,TSLA,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,MAXINDEX|base,gross,fixed_transform,54.0,0.0,False,False,True,MAXINDEX,base
-0.2197494024785888,0.15,-0.21974940247858873,0.0,-1.4072258111449014,,TSLA,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,MAXINDEX|long_only,gross,fixed_transform,54.0,0.0,False,False,True,MAXINDEX,long_only
-0.2434820264293896,0.05,-0.2434820264293896,0.0,-1.5592042038643839,,TSLA,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,MAXINDEX|hold10,gross,fixed_transform,54.0,0.0,False,False,True,MAXINDEX,hold10
-0.25211749653311594,0.1,-0.25211749653311594,0.0,-1.6145038146222237,,XOM,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,BEST[BOP],gross,wf_transform,41.0,18.0,False,False,True,BOP,
-0.25232500768663285,0.05,-0.2523250076866328,0.0,-1.615832669436097,,ABBV,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,HT_TRENDMODE|base,gross,fixed_transform,54.0,0.0,False,False,True,HT_TRENDMODE,base
-0.25232500768663285,0.05,-0.2523250076866328,0.0,-1.615832669436097,,ABBV,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,HT_TRENDMODE|long_only,gross,fixed_transform,54.0,0.0,False,False,True,HT_TRENDMODE,long_only
-0.25349882081151837,0.05,-0.25349882081151837,0.0,-1.6233495050141162,,XOM,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,MININDEX|confirm2,gross,fixed_transform,54.0,0.0,False,False,True,MININDEX,confirm2
-0.26127748831374387,0.15,-0.26127748831374387,0.0,-1.6731623443755899,,TSLA,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,MAXINDEX|confirm2,gross,fixed_transform,54.0,0.0,False,False,True,MAXINDEX,confirm2
-0.27833652656727814,0.0,-0.2783365265672782,0.0,-1.7824045933779311,,AMZN,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,MININDEX|base,gross,fixed_transform,54.0,0.0,False,False,True,MININDEX,base
-0.27833652656727814,0.0,-0.2783365265672782,0.0,-1.7824045933779311,,AMZN,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,MININDEX|long_only,gross,fixed_transform,54.0,0.0,False,False,True,MININDEX,long_only
-0.2860731737092934,0.1,-0.28607317370929347,0.0,-1.8319483437916557,,ABBV,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,HT_TRENDMODE|confirm2,gross,fixed_transform,54.0,0.0,False,False,True,HT_TRENDMODE,confirm2
-0.29774602388798377,0.05,-0.29774602388798377,0.0,-1.9066986542626065,,ABBV,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,HT_TRENDMODE|hold10,gross,fixed_transform,54.0,0.0,False,False,True,HT_TRENDMODE,hold10
-0.2993378128601804,0.05,-0.29933781286018046,0.0,-1.9168921132768542,,JPM,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,MININDEX|hold10,gross,fixed_transform,54.0,0.0,False,False,True,MININDEX,hold10
-0.3262255079010195,0.15,-0.32622550790101945,0.0,-2.08907487253304,,JPM,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,BEST[STOCHRSI],gross,wf_transform,41.0,17.0,False,False,True,STOCHRSI,
-0.3289422457968284,0.0,-0.3289422457968284,0.0,-2.106472251756723,,UNH,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,TSF_9|base,gross,fixed_transform,54.0,0.0,False,False,True,TSF_9,base
-0.32907122554784896,0.0,-0.32907122554784896,0.0,-2.107298209109526,,UNH,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,TSF_9|long_only,gross,fixed_transform,54.0,0.0,False,False,True,TSF_9,long_only
-0.33827011663624845,0.1,-0.3382701166362485,0.0,-2.166205841291906,,XOM,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,BEST[DEMA_9],gross,wf_transform,41.0,14.5,False,False,True,DEMA_9,
-0.35115701718228653,0.0,-0.35115701718228653,0.0,-2.248730657603109,,JPM,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,BEST[STOCHF],gross,wf_transform,41.0,18.0,False,False,True,STOCHF,
-0.3515364829286856,0.05,-0.35153648292868556,0.0,-2.251160671003624,,ABBV,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,BEST[HT_TRENDMODE],gross,wf_transform,41.0,19.5,False,False,True,HT_TRENDMODE,
-0.35559192733107625,0.0,-0.35559192733107625,0.0,-2.277130825981694,,JPM,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,STOCHRSI|base,gross,fixed_transform,54.0,0.0,False,False,True,STOCHRSI,base
-0.36118416268997716,0.0,-0.3611841626899771,0.0,-2.3129422450357655,,JPM,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,STOCHRSI|long_only,gross,fixed_transform,54.0,0.0,False,False,True,STOCHRSI,long_only
-0.374798174505976,0.0,-0.37479817450597597,0.0,-2.400123318588727,,TSLA,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,BEST[MAXINDEX],gross,wf_transform,41.0,18.5,False,False,True,MAXINDEX,
-0.37545323668371067,0.05,-0.37545323668371067,0.0,-2.404318189628264,,PEP,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,CDLDOJI|base,gross,fixed_transform,54.0,0.0,False,False,True,CDLDOJI,base
-0.37545323668371067,0.05,-0.37545323668371067,0.0,-2.404318189628264,,PEP,20,20,41.008338988270324,False,False,False,False,0,False,us_stocks,1d,CDLDOJI|long_only,gross,fixed_transform,54.0,0.0,False,False,True,CDLDOJI,long_only
