ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,base_rule,variant
-0.2951223436897707,0.35,-0.2951223436897708,0.0,-0.5855589609295705,,TSLA,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,MAXINDEX|hold10,gross,fixed_transform,5.0,0.0,False,False,True,MAXINDEX,hold10
-0.34025534004288627,0.25,-0.3402553400428862,0.0,-0.6751083665006692,,TSLA,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,MAXINDEX|base,gross,fixed_transform,5.0,0.0,False,False,True,MAXINDEX,base
-0.34025534004288627,0.25,-0.3402553400428862,0.0,-0.6751083665006692,,TSLA,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,MAXINDEX|long_only,gross,fixed_transform,5.0,0.0,False,False,True,MAXINDEX,long_only
-0.347497021294936,0.2,-0.34749702129493604,0.0,-0.6894767511384344,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,CDLLONGLEGGEDDOJI|confirm2,gross,fixed_transform,5.0,0.0,False,False,True,CDLLONGLEGGEDDOJI,confirm2
-0.3547701220012379,0.15,-0.3547701220012379,0.0,-0.7039074758306831,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,CDLDOJI|confirm2,gross,fixed_transform,5.0,0.0,False,False,True,CDLDOJI,confirm2
-0.3675068217734808,0.15,-0.3675068217734808,0.0,-0.7291786518150617,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,ADXR|hold10,gross,fixed_transform,5.0,0.0,False,False,True,ADXR,hold10
-0.38362927289074283,0.25,-0.3836292728907428,0.0,-0.7611675741237895,,TSLA,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,MAXINDEX|confirm2,gross,fixed_transform,5.0,0.0,False,False,True,MAXINDEX,confirm2
-0.38542347208434546,0.2,-0.3854234720843455,0.0,-0.7647274855909166,,JNJ,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,MINMAX|hold10,gross,fixed_transform,5.0,0.0,False,False,True,MINMAX,hold10
-0.3866898446286763,0.2,-0.3866898446286763,0.0,-0.7672401241866157,,PEP,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,BEST[ADXR],gross,wf_transform,5.0,2.0,False,False,True,ADXR,
-0.40738037160360224,0.15,-0.40738037160360224,0.0,-0.8082926698022692,,TSLA,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,BEST[MAXINDEX],gross,wf_transform,5.0,2.0,False,False,True,MAXINDEX,
-0.412205795120263,0.1,-0.412205795120263,0.0,-0.8178669024582392,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,ADXR|base,gross,fixed_transform,5.0,0.0,False,False,True,ADXR,base
-0.412205795120263,0.1,-0.412205795120263,0.0,-0.8178669024582392,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,ADXR|long_only,gross,fixed_transform,5.0,0.0,False,False,True,ADXR,long_only
-0.41793567963613426,0.15,-0.41793567963613426,0.0,-0.8292356967738839,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,BEST[CDLDOJI],gross,wf_transform,5.0,2.0,False,False,True,CDLDOJI,
-0.41884783952192217,0.05,-0.41884783952192206,0.0,-0.8310455339696913,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,MINMAX|confirm2,gross,fixed_transform,5.0,0.0,False,False,True,MINMAX,confirm2
-0.42480479112916597,0.15,-0.424804791129166,0.0,-0.8428648572707834,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,BEST[CDLLONGLEGGEDDOJI],gross,wf_transform,5.0,2.0,False,False,True,CDLLONGLEGGEDDOJI,
-0.4262035945180644,0.25,-0.42620359451806433,0.0,-0.8456402549201363,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,CDLLONGLEGGEDDOJI|hold10,gross,fixed_transform,5.0,0.0,False,False,True,CDLLONGLEGGEDDOJI,hold10
-0.4315852898024051,0.25,-0.431585289802405,0.0,-0.8563181990545552,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,CDLDOJI|hold10,gross,fixed_transform,5.0,0.0,False,False,True,CDLDOJI,hold10
-0.44162999034017003,0.05,-0.44162999034017003,0.0,-0.8762481180712094,,XOM,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,ADXR|confirm2,gross,fixed_transform,5.0,0.0,False,False,True,ADXR,confirm2
-0.4416599636029253,0.2,-0.4416599636029253,0.0,-0.8763075887042194,,TSLA,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,LINEARREG_100|confirm2,gross,fixed_transform,5.0,0.0,False,False,True,LINEARREG_100,confirm2
