ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable
-0.3564879399973101,0.3,-0.10681084501294302,0.0,-0.6744580827156075,,ETH/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,MIDPOINT_1000,binance,fixed,4.0,0.0,False,False,True
-0.38032311124932,0.2,-0.16421337353788493,0.0,-0.7195530834159118,,AVAX/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,T3_1000,binance,fixed,4.0,0.0,False,False,True
-0.4062087329492015,0.2,-0.16034377234657587,0.0,-0.7685274380090443,,AVAX/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,MIDPRICE_1000,binance,fixed,4.0,0.0,False,False,True
-0.4081091826861007,0.2,-0.23498423892656595,0.0,-0.7721229977518398,,ETH/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,LINEARREG_INTERCEPT_1000,binance,fixed,4.0,0.0,False,False,True
-0.4786789079507092,0.3,-0.1752742254784959,0.0,-0.9056375329142191,,DOGE/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,MA_1000,binance,fixed,4.0,0.0,False,False,True
-0.4786789079507092,0.3,-0.1752742254784959,0.0,-0.9056375329142191,,DOGE/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,SMA_1000,binance,fixed,4.0,0.0,False,False,True
-0.4808148342049994,0.2,-0.1849204024459038,0.0,-0.9096786029327486,,DOGE/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,TRIMA_1000,binance,fixed,4.0,0.0,False,False,True
-0.5281892276420639,0.1,-0.27818479544473196,0.0,-0.9993086828945518,,AVAX/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,TRIX,binance,fixed,4.0,0.0,False,False,True
-0.5358678656884983,0.2,-0.16605395764964906,0.0,-1.0138362977549713,,AVAX/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,WMA_1000,binance,fixed,4.0,0.0,False,False,True
-0.5586441844990739,0.2,-0.13363883624549852,0.0,-1.0569280004263608,,ETH/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,T3[WF],binance,family_reopt,4.0,1.0,False,False,True
-0.5875472825474185,0.0,-0.24370489928572212,0.0,-1.1116112755306318,,ADA/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,EMA_1000,binance,fixed,4.0,0.0,False,False,True
-0.5881905892498728,0.1,-0.5875152543498804,0.0,-1.112828380953998,,BNB/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,BBANDS,binance,fixed,4.0,0.0,False,False,True
-0.5940781086943294,0.0,-0.12550339438355912,0.0,-1.1239672853345755,,AVAX/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,LINEARREG_INTERCEPT[WF],binance,family_reopt,4.0,2.0,False,False,True
-0.6071239741120715,0.1,-0.1581758038225578,0.0,-1.1486494369301739,,AVAX/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,MIDPRICE[WF],binance,family_reopt,4.0,0.5,False,False,True
-0.6192105004550675,0.0,-0.2287747775428833,0.0,-1.1715165650132453,,AVAX/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,LINEARREG_INTERCEPT_200,binance,fixed,4.0,0.0,False,False,True
-0.6408970642416525,0.0,-0.3951937906131701,0.0,-1.2125465034518366,,AVAX/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,ACCBANDS,binance,fixed,4.0,0.0,False,False,True
-0.6459337133555983,0.1,-0.08602112942670095,0.0,-1.2220756019810288,,ADA/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,MIDPOINT[WF],binance,family_reopt,4.0,1.0,False,False,True
-0.6558629303453005,0.2,-0.2045467628333093,0.0,-1.240861204247945,,ETH/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,DEMA_1000,binance,fixed,4.0,0.0,False,False,True
-0.6645556739739967,0.2,-0.12045007906650736,0.0,-1.2573074582261106,,DOGE/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,MA[WF],binance,family_reopt,4.0,1.0,False,False,True
-0.6645556739739967,0.2,-0.12045007906650736,0.0,-1.2573074582261106,,DOGE/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,SMA[WF],binance,family_reopt,4.0,1.0,False,False,True
-0.6779746301433625,0.0,-0.6751303088400965,0.0,-1.2826954796276298,,AVAX/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,CDL3BLACKCROWS,binance,fixed,4.0,0.0,False,False,True
-0.6895964246391013,0.0,-0.6886381360800815,0.0,-1.3046833573476164,,AVAX/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,CDLLADDERBOTTOM,binance,fixed,4.0,0.0,False,False,True
-0.6902727799360522,0.1,-0.10203440612468413,0.0,-1.3059629891265188,,DOGE/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,WMA[WF],binance,family_reopt,4.0,0.0,False,False,True
-0.6914020535024881,0.0,-0.6911417570667309,0.0,-1.3080995205460264,,AVAX/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,CDLUPSIDEGAP2CROWS,binance,fixed,4.0,0.0,False,False,True
-0.6922091350284475,0.0,-0.6921383770886792,0.0,-1.3096264800796305,,AVAX/USD,10,10,3.5794824940871357,False,False,False,False,0,False,crypto,1h,CDLCONCEALBABYSWALL,binance,fixed,4.0,0.0,False,False,True
