symbol,bars,left_index,last_bar,yrs_after,bars_after,px_at_exit,px_now,med_vol_after
AA,14270,2016-11-01,2026-08-07,9.8,2453,21.818,50.17,5012400.0
AAL,5248,2024-09-23,2026-08-07,1.9,469,10.98,15.94,56698500.0
AAP,6211,2023-08-25,2026-08-07,3.0,739,60.416,57.8,1769600.0
ABK,2028,2008-06-10,2026-08-07,18.2,1544,290.567,160.0,1.0
ACE,4869,2016-01-19,2026-08-07,10.5,2580,36.652,1095.25,34802.5
ADCT,1564,2007-07-02,2026-08-07,19.1,1564,,1.13,353800.0
ADS,7157,2020-06-22,2026-08-07,6.1,1562,221.382,164.05,501886.0
ADT,2149,2016-05-03,2026-08-07,10.3,2149,,7.64,2823700.0
AET,7395,2018-12-03,2026-08-07,7.7,1938,10.3,60.6,270062.0
AGN,7996,2020-05-12,2026-08-07,6.2,1600,1.664,8.286,6931241.5
AIV,8065,2020-12-21,2026-08-07,5.6,1412,2.164,2.66,1197750.0
ALK,10986,2023-12-18,2026-08-07,2.6,660,39.27,49.96,2641700.0
ALTR,6841,2015-12-29,2026-08-07,10.6,2715,1.264,4.755,554649.0
AMG,7220,2019-12-23,2026-08-07,6.6,1663,85.251,369.7,255300.0
AMTM,469,2024-12-23,2026-08-07,1.6,405,19.97,24.77,1846900.0
AN,8747,2017-08-08,2026-08-07,9.0,2261,40.0,209.23,628000.0
ANF,7513,2013-12-23,2026-08-07,12.6,3173,25.91,112.62,1917400.0
APC,1946,2019-08-09,2026-08-07,7.0,124,71.776,19.44,120800.0
ARG,6131,2016-05-23,2026-08-07,10.2,2562,0.093,8.36,168700.0
ATI,6713,2015-07-02,2026-08-07,11.1,2790,28.603,227.84,1558850.0
AV,65,2007-10-26,2026-08-07,18.8,65,,29.42,300.0
AYE,118,2011-02-25,2026-08-07,15.4,118,,170.35,102507.5
AYI,6209,2018-06-18,2026-08-07,8.1,2045,119.828,359.58,310600.0
BBBY,8067,2017-07-26,2026-08-07,9.0,1734,25.62,4.64,5073200.0
BBWI,11177,2024-10-01,2026-08-07,1.8,463,29.327,20.36,5061200.0
BC,11240,2008-06-23,2026-08-07,18.1,4559,8.99,81.55,850200.0
BEAM,1634,2014-05-01,2026-08-07,12.3,1634,,27.48,997550.0
BHF,2278,2019-04-02,2026-08-07,7.3,1847,37.07,60.8,593400.0
BHI,1293,2017-07-07,2026-08-07,9.1,1293,,64.7,0.0
BIG,6823,2013-02-15,2026-08-07,13.5,3445,7.137,0.18,27205.0
BIO,11706,2024-09-23,2026-08-07,1.9,469,326.6,352.47,241600.0
BMS,7299,2019-06-11,2026-08-07,7.2,1806,154.189,225.0,34456.0
BTU,2350,2014-09-20,2026-08-07,11.9,2350,,23.81,2536500.0
BWA,8302,2025-03-24,2026-08-07,1.4,345,28.967,68.42,2378100.0
CA,6824,2018-11-06,2026-08-07,7.8,1983,12.454,15.77,2225303.0
CAG,11694,2026-06-30,2026-08-07,0.1,27,13.31,15.11,15346900.0
CAM,211,2016-04-04,2026-08-07,10.3,211,,24.9,77700.0
CBE,3474,2012-12-03,2026-08-07,13.7,2903,92.792,670.0,0.0
CCE,4721,2016-05-31,2026-08-07,10.2,2588,35.377,46.625,865.0
CCK,10489,2000-12-05,2026-08-07,25.7,6454,3.706,120.69,1042150.0
CDAY,268,2024-02-01,2026-08-07,2.5,268,,27.67,38973.0
CE,5420,2025-03-24,2026-08-07,1.4,345,59.226,43.89,1912000.0
CFC,4799,2008-07-01,2026-08-07,18.1,4410,7.94,0.54,2044.0
CHK,6549,2018-03-19,2026-08-07,8.4,2123,2.974,2.398,0.0
CLF,9793,2014-04-02,2026-08-07,12.3,3105,18.874,12.26,11204200.0
CMA,1101,2024-06-24,2026-08-07,2.1,538,3.722,8.75,0.0
CNX,6860,2016-03-04,2026-08-07,10.4,2621,8.817,35.14,3016700.0
