rule,symbol,scenario,ir_wf,ret_pct,bench_pct,years_oos,n_folds,n_switches,long_frac,exposure,turnover_yr
tsmom12,AAPL,gross,-0.2568233763992735,88737.83114958295,390712.73254496604,44.58319006747153,54,0,0.6877614597240765,0.6877614597240765,5.046745189374928
tsmom12,AAPL,retail,-0.2580251325316393,87430.42028655496,390712.73254496604,44.58319006747153,54,0,0.6877614597240765,0.6877614597240765,5.046745189374928
tsmom12,AAPL,wide,-0.25988521373029155,85447.25554902066,390712.73254496604,44.58319006747153,54,0,0.6877614597240765,0.6877614597240765,5.046745189374928
tsmom12,AAPL,pessimistic,-0.26453335038659914,80682.87220693527,390712.73254496604,44.58319006747153,54,0,0.6877614597240765,0.6877614597240765,5.046745189374928
tsmom12,MSFT,gross,-0.3805590303155761,40507.4976517846,358183.70456761884,39.58049055312335,54,0,0.7395446795707552,0.7395446795707552,5.608823864930136
tsmom12,MSFT,retail,-0.382404850994237,39923.75010368739,358183.70456761884,39.58049055312335,54,0,0.7395446795707552,0.7395446795707552,5.608823864930136
tsmom12,MSFT,wide,-0.38525428711033466,39036.974503448866,358183.70456761884,39.58049055312335,54,0,0.7395446795707552,0.7395446795707552,5.608823864930136
tsmom12,MSFT,pessimistic,-0.392372182817859,36904.67785234201,358183.70456761884,39.58049055312335,54,0,0.7395446795707552,0.7395446795707552,5.608823864930136
tsmom12,AMZN,gross,-0.2337104887092095,62181.66957346922,113036.43839929435,28.581000619275773,54,0,0.7521212964250938,0.7521212964250938,5.633112785121225
tsmom12,AMZN,retail,-0.23471557399202644,61531.67145192755,113036.43839929435,28.581000619275773,54,0,0.7521212964250938,0.7521212964250938,5.633112785121225
tsmom12,AMZN,wide,-0.23627183611197566,60537.95118177127,113036.43839929435,28.581000619275773,54,0,0.7521212964250938,0.7521212964250938,5.633112785121225
tsmom12,AMZN,pessimistic,-0.2401610385834263,58122.76566481289,113036.43839929435,28.581000619275773,54,0,0.7521212964250938,0.7521212964250938,5.633112785121225
tsmom12,NVDA,gross,-0.3015534742184575,71175.41388883135,226573.95407779372,26.57765587587751,54,0,0.7442034405385191,0.7442034405385191,4.47744528545902
tsmom12,NVDA,retail,-0.30238952508262446,70622.87771904278,226573.95407779372,26.57765587587751,54,0,0.7442034405385191,0.7442034405385191,4.47744528545902
tsmom12,NVDA,wide,-0.303684351711744,69775.45633616872,226573.95407779372,26.57765587587751,54,0,0.7442034405385191,0.7442034405385191,4.47744528545902
tsmom12,NVDA,pessimistic,-0.3069203189988694,67700.69852030122,226573.95407779372,26.57765587587751,54,0,0.7442034405385191,0.7442034405385191,4.47744528545902
tsmom12,GOOGL,gross,-0.6194698083695578,876.5155932824964,7713.003543473454,21.579944103039143,54,0,0.7874378338552219,0.7874378338552219,5.514379436378661
tsmom12,GOOGL,retail,-0.621365025992822,868.9643637551001,7713.003543473454,21.579944103039143,54,0,0.7874378338552219,0.7874378338552219,5.514379436378661
tsmom12,GOOGL,wide,-0.6242811858028426,857.3775339967724,7713.003543473454,21.579944103039143,54,0,0.7874378338552219,0.7874378338552219,5.514379436378661
tsmom12,GOOGL,pessimistic,-0.6315625248454335,829.008071262375,7713.003543473454,21.579944103039143,54,0,0.7874378338552219,0.7874378338552219,5.514379436378661
tsmom12,META,gross,-0.38909811678585104,809.3492789054817,2136.61405939926,13.591494573736101,54,0,0.7827868852459017,0.7827868852459017,3.237318733513282
tsmom12,META,retail,-0.38991881171346626,806.7008117527258,2136.61405939926,13.591494573736101,54,0,0.7827868852459017,0.7827868852459017,3.237318733513282
tsmom12,META,wide,-0.3911796792914868,802.6297642622079,2136.61405939926,13.591494573736101,54,0,0.7827868852459017,0.7827868852459017,3.237318733513282
tsmom12,META,pessimistic,-0.3943295888557039,792.5301324032946,2136.61405939926,13.591494573736101,54,0,0.7827868852459017,0.7827868852459017,3.237318733513282
tsmom12,TSLA,gross,-0.5388442718016192,2873.3530362286024,18041.978505404717,15.577715084668661,54,0,0.6891271056661562,0.6891271056661562,8.794614566730214
tsmom12,TSLA,retail,-0.5407195228237586,2846.6246989864344,18041.978505404717,15.577715084668661,54,0,0.6891271056661562,0.6891271056661562,8.794614566730214
tsmom12,TSLA,wide,-0.5436124890701328,2805.762669614885,18041.978505404717,15.577715084668661,54,0,0.6891271056661562,0.6891271056661562,8.794614566730214
tsmom12,TSLA,pessimistic,-0.5508389582757858,2706.0520296035647,18041.978505404717,15.577715084668661,54,0,0.6891271056661562,0.6891271056661562,8.794614566730214
tsmom12,JPM,gross,-0.3244008209321763,1021.2558423871084,9659.256819773182,41.583289083403606,54,0,0.6747804505536464,0.6747804505536464,5.675356740700688
tsmom12,JPM,retail,-0.32568488285699615,1004.0536634182722,9659.256819773182,41.583289083403606,54,0,0.6747804505536464,0.6747804505536464,5.675356740700688
tsmom12,JPM,wide,-0.32766837038163693,977.974894465326,9659.256819773182,41.583289083403606,54,0,0.6747804505536464,0.6747804505536464,5.675356740700688
tsmom12,JPM,pessimistic,-0.332624493157352,915.4304905737279,9659.256819773182,41.583289083403606,54,0,0.6747804505536464,0.6747804505536464,5.675356740700688
tsmom12,JNJ,gross,-0.38033871134441344,2006.163356558839,19616.508827131267,53.57575862241664,54,0,0.7101191798060552,0.7101191798060552,6.943438778379732
tsmom12,JNJ,retail,-0.38365638392577345,1955.7929084273062,19616.508827131267,53.57575862241664,54,0,0.7101191798060552,0.7101191798060552,6.943438778379732
tsmom12,JNJ,wide,-0.38877344014218607,1880.183516810986,19616.508827131267,53.57575862241664,54,0,0.7101191798060552,0.7101191798060552,6.943438778379732
tsmom12,JNJ,pessimistic,-0.4015475262951395,1703.073618117078,19616.508827131267,53.57575862241664,54,0,0.7101191798060552,0.7101191798060552,6.943438778379732
tsmom12,XOM,gross,-0.1911421734156135,5768.344570389377,14857.76769832107,53.57575862241664,54,0,0.7211488637204826,0.7211488637204826,5.935520246034287
tsmom12,XOM,retail,-0.19367497948796056,5648.335027795987,14857.76769832107,53.57575862241664,54,0,0.7211488637204826,0.7211488637204826,5.935520246034287
tsmom12,XOM,wide,-0.19759353279641448,5467.331772092578,14857.76769832107,53.57575862241664,54,0,0.7211488637204826,0.7211488637204826,5.935520246034287
tsmom12,XOM,pessimistic,-0.20738214675673416,5039.295168505438,14857.76769832107,53.57575862241664,54,0,0.7211488637204826,0.7211488637204826,5.935520246034287
tsmom12,UNH,gross,-0.3399668433922869,10358.369721672267,74945.36354660902,40.433388893137035,54,0,0.78125,0.78125,4.575426524077505
tsmom12,UNH,retail,-0.34137768997788315,10232.096687025203,74945.36354660902,40.433388893137035,54,0,0.78125,0.78125,4.575426524077505
tsmom12,UNH,wide,-0.34355812318585033,10039.74903872403,74945.36354660902,40.433388893137035,54,0,0.78125,0.78125,4.575426524077505
tsmom12,UNH,pessimistic,-0.3490054313141323,9574.319646629869,74945.36354660902,40.433388893137035,54,0,0.78125,0.78125,4.575426524077505
tsmom12,V,gross,-0.47156540041920414,1071.4078836877723,3066.470329982456,17.57747820135107,54,0,0.8469018543645409,0.8469018543645409,4.039259738324845
tsmom12,V,retail,-0.4733585959770319,1066.0051062203215,3066.470329982456,17.57747820135107,54,0,0.8469018543645409,0.8469018543645409,4.039259738324845
tsmom12,V,wide,-0.47612300452758805,1057.670243208595,3066.470329982456,17.57747820135107,54,0,0.8469018543645409,0.8469018543645409,4.039259738324845
tsmom12,V,pessimistic,-0.48302470683437915,1037.0892064393072,3066.470329982456,17.57747820135107,54,0,0.8469018543645409,0.8469018543645409,4.039259738324845
tsmom12,PG,gross,-0.25126316242069896,2978.7693399034893,10845.510279583505,53.57575862241664,54,0,0.746613368865201,0.746613368865201,6.327488564168626
tsmom12,PG,retail,-0.2544519164245286,2911.6712826288212,10845.510279583505,53.57575862241664,54,0,0.746613368865201,0.746613368865201,6.327488564168626
tsmom12,PG,wide,-0.2593760025598291,2810.7077299952434,10845.510279583505,53.57575862241664,54,0,0.746613368865201,0.746613368865201,6.327488564168626
tsmom12,PG,pessimistic,-0.27167133744655975,2572.819655744943,10845.510279583505,53.57575862241664,54,0,0.746613368865201,0.746613368865201,6.327488564168626
tsmom12,HD,gross,-0.3877090510481432,71144.55852040956,1184208.7789355156,44.57947131294982,54,0,0.7355585224744103,0.7355585224744103,4.6209610372871195
tsmom12,HD,retail,-0.3889785033924967,70191.39723392949,1184208.7789355156,44.57947131294982,54,0,0.7355585224744103,0.7355585224744103,4.6209610372871195
tsmom12,HD,wide,-0.3909393356917987,68742.21688770976,1184208.7789355156,44.57947131294982,54,0,0.7355585224744103,0.7355585224744103,4.6209610372871195
tsmom12,HD,pessimistic,-0.395838666425567,65248.03248148576,1184208.7789355156,44.57947131294982,54,0,0.7355585224744103,0.7355585224744103,4.6209610372871195
tsmom12,MA,gross,-0.6668702837078104,812.142554765939,6300.621150737551,19.586050868556075,54,0,0.8335363377994316,0.8335363377994316,5.769412157578584
tsmom12,MA,retail,-0.6689797779271953,805.4456627305535,6300.621150737551,19.586050868556075,54,0,0.8335363377994316,0.8335363377994316,5.769412157578584
tsmom12,MA,wide,-0.6722235280258091,795.1631437932539,6300.621150737551,19.586050868556075,54,0,0.8335363377994316,0.8335363377994316,5.769412157578584
