ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,strategy,family,source,anchor,excess_cagr,excess_cagr_min,excess_cagr_hit,long_frac,exposure,turnover_yr,ir_random,ir_vs_random
-0.07554629322911116,0.3,-0.05396185372660243,0.0,-0.1838945361408382,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,1263.269655670919,683.3769123629057,579.8927433080133,crypto,1d,"macd_cross@fast_days=20.0,slow_days=50.0",binance,grid_cell,6.0,0.0,False,False,True,macd_cross,trend,"QuantifiedStrategies, 'Bitcoin MACD Trading Strategy'",False,0.19223113457336827,-0.1865109730132286,0.7,0.5172443760157386,0.5172443760157386,12.11683291673251,-0.4202649762853876,0.34471868305627645
-0.09414388312608976,0.5,-0.07891655289765553,0.0,-0.22916472771821333,,BTC/USD,10,10,5.925313475391181,False,False,False,False,0,False,654.3037435090638,683.3769123629057,-29.073168853841935,crypto,1d,tsmom12,binance,published,6.0,0.0,False,False,True,tsmom12,trend,"Moskowitz, Ooi & Pedersen (2012), 'Time Series Momentum', JFE",True,0.0660405537919497,-0.35488263419791877,0.7,0.6051644855016679,0.6051644855016679,6.511489471402795,-0.3584193523091264,0.2642754691830367
-0.10837346886933212,0.3,-0.0897468733798141,0.0,-0.26380233808771186,,ADA/USD,10,10,5.925313475391181,False,False,False,False,0,False,1430.3828218973956,683.3769123629057,747.0059095344899,crypto,1d,tsmom12@lookback_months=9.0,binance,grid_cell,6.0,0.0,False,False,True,tsmom12,trend,"Moskowitz, Ooi & Pedersen (2012), 'Time Series Momentum', JFE",True,0.1162021265938827,-0.12727672031047255,0.7,0.5810297237191001,0.5810297237191001,7.713654619184203,-0.375396462673169,0.26702299380383687
-0.13143248278228029,0.2,-0.11761787502805196,0.0,-0.31993251319142857,,SOL/USD,10,10,5.925313475391181,False,False,False,False,0,False,735.749676194455,683.3769123629057,52.372763831549264,crypto,1d,RANDOM_90,binance,control,6.0,0.0,False,False,True,,control,,False,0.02850462472869495,-0.05893519375119505,0.6,0.9013063824024178,0.9013063824024178,3.250632144128334,-0.13142398374483463,-8.499037445652835e-06
-0.15470584457965794,0.2,-0.14789805295048752,0.0,-0.37658445320372114,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,689.1981174902586,683.3769123629057,5.821205127352869,crypto,1d,WFO[golden_cross],binance,wfo,6.0,2.0,False,False,True,golden_cross,trend,Folk / StockCharts ChartSchool; the retail default,True,0.07584512030243021,-0.17768205541997695,0.6,0.5122852835514499,0.5122852835514499,3.2397748318888078,-0.42375334964619416,0.2690475050665362
-0.15513399288730942,0.3,-0.14170540486629374,0.0,-0.3776266503926193,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,1208.9169492276217,683.3769123629057,525.540036864716,crypto,1d,"golden_cross@fast_days=10.0,slow_days=50.0",binance,grid_cell,6.0,0.0,False,False,True,golden_cross,trend,Folk / StockCharts ChartSchool; the retail default,True,0.11340333389839571,-0.34737707840812426,0.7,0.48458318364553926,0.48458318364553926,6.592298105087766,-0.4367750326766653,0.28164103978935584
-0.15629468999268184,0.2,-0.15125985215918408,0.0,-0.3804520154326372,,DOGE/USD,10,10,5.925313475391181,False,False,False,False,0,False,1516.7934924383458,683.3769123629057,833.41658007544,crypto,1d,"sell_in_may@end_month=5,start_month=10",binance,grid_cell,6.0,0.0,False,False,True,sell_in_may,calendar,"Bouman & Jacobsen (2002), 'The Halloween Indicator', AER",False,0.05473253049697104,-0.16502396476203973,0.6,0.6741580275425542,0.6741580275425542,2.0263100938583385,-0.30988723965822146,0.15359254966553962
-0.1633795175249982,0.3,-0.10590812358354096,0.0,-0.39769787908794507,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,816.0556666574,683.3769123629057,132.6787542944943,crypto,1d,WFO[macd_cross],binance,wfo,6.0,2.0,False,False,True,macd_cross,trend,"QuantifiedStrategies, 'Bitcoin MACD Trading Strategy'",False,0.1229060313602682,-0.3370031233284494,0.7,0.5226624967924045,0.5226624967924045,19.816269395377876,-0.4164537087361215,0.2530741912111233
-0.16743445691545128,0.3,-0.1360295332900769,0.0,-0.4075683990885113,,SOL/USD,10,10,5.925313475391181,False,False,False,False,0,False,1797.5463230593382,683.3769123629057,1114.1694106964324,crypto,1d,macd_cross,binance,published,6.0,0.0,False,False,True,macd_cross,trend,"QuantifiedStrategies, 'Bitcoin MACD Trading Strategy'",False,0.1682715600655146,-0.4103487907312331,0.7,0.5277640920366093,0.5277640920366093,17.41268859384757,-0.4128650946750497,0.24543063775959845
-0.1710735401599381,0.3,-0.15361294381730844,0.0,-0.41642664343933966,,ADA/USD,10,10,5.925313475391181,False,False,False,False,0,False,637.1353620723202,683.3769123629057,-46.241550290585565,crypto,1d,faber_gtaa,binance,published,6.0,0.0,False,False,True,faber_gtaa,trend,"Faber (2007), 'A Quantitative Approach to Tactical Asset Allocation'",True,0.07166987304444013,-0.1745251815746398,0.6,0.5259347361218031,0.5259347361218031,8.057103796274774,-0.4141519181183709,0.2430783779584328
-0.17532486236798536,0.3,-0.16974567438393395,0.0,-0.4267751978424409,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,855.015310678458,683.3769123629057,171.6383983155523,crypto,1d,"golden_cross@fast_days=20.0,slow_days=100.0",binance,grid_cell,6.0,0.0,False,False,True,golden_cross,trend,Folk / StockCharts ChartSchool; the retail default,True,0.0832374861195889,-0.2509553905888089,0.6,0.49074388418441534,0.49074388418441534,2.647559974737564,-0.4343826342488529,0.25905777188086754
-0.17711901864558252,0.3,-0.17233942812091865,0.0,-0.43114252709620454,,DOGE/USD,10,10,5.925313475391181,False,False,False,False,0,False,1270.203355238982,683.3769123629057,586.8264428760764,crypto,1d,WFO[sell_in_may],binance,wfo,6.0,2.0,False,False,True,sell_in_may,calendar,"Bouman & Jacobsen (2002), 'The Halloween Indicator', AER",False,0.0536846999745386,-0.1740384200253433,0.6,0.6142468351723548,0.6142468351723548,2.0263100938583385,-0.3520305570057708,0.17491153836018827
-0.18135002859614177,0.3,-0.165838525004866,0.0,-0.44144163746957155,,BTC/USD,10,10,5.925313475391181,False,False,False,False,0,False,709.4662410507892,683.3769123629057,26.089328687883494,crypto,1d,voltgt_tsmom,binance,published,6.0,0.0,False,False,True,voltgt_tsmom,volatility,"Baltas & Kosowski (2013), 'Momentum Strategies in Futures Markets'",False,0.0833350536934318,-0.4719900409935669,0.8,0.6051644855016679,0.6051644855016679,7.746219153000551,-0.3584193523091264,0.17706932371298464
-0.19662999354721733,0.1,-0.1836753761323758,0.0,-0.4786360774191882,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,667.1737625953863,683.3769123629057,-16.20314976751945,crypto,1d,WFO[faber_gtaa],binance,wfo,6.0,2.0,False,False,True,faber_gtaa,trend,"Faber (2007), 'A Quantitative Approach to Tactical Asset Allocation'",True,0.0625531393881684,-0.19595199927187257,0.7,0.5183754169874263,0.5183754169874263,8.829264536505201,-0.4194693683744587,0.22283937482724137
-0.19981906399042587,0.2,-0.19590321582948195,0.0,-0.4863989021033291,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,960.3568085220082,683.3769123629057,276.9798961591025,crypto,1d,sell_in_may,binance,published,6.0,0.0,False,False,True,sell_in_may,calendar,"Bouman & Jacobsen (2002), 'The Halloween Indicator', AER",False,0.07286738170652077,-0.15018312618739893,0.6,0.5022142246172268,0.5022142246172268,2.0263100938583385,-0.42992833165050953,0.23010926766008366
-0.19984912834137059,0.2,-0.18465805904410443,0.0,-0.4864720846465756,,BTC/USD,10,10,5.925313475391181,False,False,False,False,0,False,520.306974606885,683.3769123629057,-163.06993775602075,crypto,1d,faber_gtaa@ma_months=12.0,binance,grid_cell,6.0,0.0,False,False,True,faber_gtaa,trend,"Faber (2007), 'A Quantitative Approach to Tactical Asset Allocation'",True,0.009946891377631417,-0.6443396481083645,0.6,0.5273892524163887,0.5273892524163887,7.442618457708659,-0.413128768029634,0.2132796396882634
-0.20307806895626732,0.2,-0.18896305750604916,0.0,-0.4943319611702584,,BTC/USD,10,10,5.925313475391181,False,False,False,False,0,False,599.8334830528962,683.3769123629057,-83.54342931000951,crypto,1d,voltgt_tsmom@vol_days=60.0,binance,grid_cell,6.0,0.0,False,False,True,voltgt_tsmom,volatility,"Baltas & Kosowski (2013), 'Momentum Strategies in Futures Markets'",False,0.04915856730195799,-0.5382188271233277,0.8,0.6051644855016679,0.6051644855016679,6.783208502249397,-0.3584193523091264,0.1553412833528591
-0.20523567845530116,0.3,-0.1498211671715307,0.0,-0.4995840070488642,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,806.7589329724643,683.3769123629057,123.3820206095586,crypto,1d,"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",binance,grid_cell,6.0,0.0,False,False,True,macd_cross,trend,"QuantifiedStrategies, 'Bitcoin MACD Trading Strategy'",False,0.09947139915478057,-0.44860510501058815,0.6,0.5260459969207083,0.5260459969207083,31.842796089869005,-0.41407365395818474,0.20883797550288358
-0.2104587406864003,0.3,-0.17491645494995672,0.0,-0.5122979677895957,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,667.230906297618,683.3769123629057,-16.14600606528768,crypto,1d,"ichimoku@kijun_days=13.0,senkou_days=26.0,tenkan_days=5.0",binance,grid_cell,6.0,0.0,False,False,True,ichimoku,regime,"QuantConnect, 'Ichimoku Clouds in the Energy Sector'",False,0.08233485813601234,-0.31032149610364046,0.5,0.3957885339149773,0.3957885339149773,21.082984962169014,-0.47125685484494456,0.26079811415854426
-0.21311782921444733,0.2,-0.19023979890660964,0.0,-0.5187707122555572,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,567.9214090441421,683.3769123629057,-115.45550331876359,crypto,1d,WFO[tsmom12],binance,wfo,6.0,3.0,False,False,True,tsmom12,trend,"Moskowitz, Ooi & Pedersen (2012), 'Time Series Momentum', JFE",True,0.036721246892697214,-0.26014081204757944,0.8,0.5509200025660764,0.5509200025660764,10.142252231621162,-0.3965765374404553,0.18345870822600796
-0.21494405683426984,0.2,-0.21179754819578145,0.0,-0.5232161094640788,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,624.3995586338465,683.3769123629057,-58.977353729059246,crypto,1d,"donchian_s2@entry_days=100.0,exit_days=40.0",binance,grid_cell,6.0,0.0,False,False,True,donchian_s2,trend,Dennis & Eckhardt Turtle rules,False,0.07412351985640396,-0.33641983270870623,0.5,0.3833188777692242,0.3833188777692242,1.6444912613842118,-0.4760992239181057,0.2611551670838359
-0.21506015327435363,0.3,-0.21196847693270202,0.0,-0.523498711033054,,XRP/USD,10,10,5.925313475391181,False,False,False,False,0,False,702.1845861822401,683.3769123629057,18.807673819334354,crypto,1d,golden_cross,binance,published,6.0,0.0,False,False,True,golden_cross,trend,Folk / StockCharts ChartSchool; the retail default,True,0.031651076985652685,-0.15881445650401016,0.4,0.549203233256351,0.549203233256351,1.4928427357161649,-0.39778416411203327,0.18272401083767964
-0.21543921460754079,0.3,-0.18183464476560268,0.0,-0.5244214208716953,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,828.2217209318105,683.3769123629057,144.8448085689048,crypto,1d,tsmom12@lookback_months=3.0,binance,grid_cell,6.0,0.0,False,False,True,tsmom12,trend,"Moskowitz, Ooi & Pedersen (2012), 'Time Series Momentum', JFE",True,0.06865357255339301,-0.3932001803012791,0.7,0.5094770549995722,0.5094770549995722,15.636326165747453,-0.42572874126108545,0.21028952665354467
-0.22166791276700595,0.2,-0.1982214051342977,0.0,-0.5395832972502277,,ADA/USD,10,10,5.925313475391181,False,False,False,False,0,False,935.8017539784857,683.3769123629057,252.42484161558002,crypto,1d,tsmom12@lookback_months=6.0,binance,grid_cell,6.0,0.0,False,False,True,tsmom12,trend,"Moskowitz, Ooi & Pedersen (2012), 'Time Series Momentum', JFE",True,0.05692371071233847,-0.29908818764786793,0.6,0.5563428919681807,0.5563428919681807,10.06269051200633,-0.39276191549800804,0.1710940027310021
-0.22341203478538452,0.0,-0.20812856334713,0.0,-0.5438288332763309,,ADA/USD,10,10,5.925313475391181,False,False,False,False,0,False,510.8039677974295,683.3769123629057,-172.57294456547623,crypto,1d,momo_regime,binance,published,6.0,0.0,False,False,True,momo_regime,regime,"QuantConnect, 'Momentum and State of Market Filters'",False,0.009387178597379631,-0.5782495204136975,0.6,0.463259066803524,0.463259066803524,7.516766702860852,-0.44505587400069946,0.22164383921531494
-0.23660752915067906,0.2,-0.14100933691519946,0.0,-0.5759492618471376,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,727.7569078526805,683.3769123629057,44.37999548977473,crypto,1d,trend_factor,binance,published,6.0,0.0,False,False,True,trend_factor,trend,"Han, Zhou & Zhu (2016), 'A Trend Factor', RFS",False,0.08350421431987871,-0.2725248925573176,0.5,0.42294675391326664,0.42294675391326664,57.00215424975521,-0.460710443375001,0.22410291422432194
-0.24292005343984555,0.1,-0.22324465404339477,0.0,-0.5913151875122598,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,560.3898726577916,683.3769123629057,-122.98703970511417,crypto,1d,WFO[momo_regime],binance,wfo,6.0,2.0,False,False,True,momo_regime,regime,"QuantConnect, 'Momentum and State of Market Filters'",False,0.043932202342679735,-0.12973543313422709,0.5,0.43275893849970065,0.43275893849970065,11.847526942466619,-0.456900056093578,0.21398000265373243
-0.24801384132845775,0.4,-0.22733316377962032,0.0,-0.6037144690777411,,ADA/USD,10,10,5.925313475391181,False,False,False,False,0,False,588.1680680546071,683.3769123629057,-95.20884430829858,crypto,1d,faber_gtaa@ma_months=8.0,binance,grid_cell,6.0,0.0,False,False,True,faber_gtaa,trend,"Faber (2007), 'A Quantitative Approach to Tactical Asset Allocation'",True,0.036416780545125906,-0.2465044143044488,0.4,0.5178553374390557,0.5178553374390557,9.873965799913575,-0.41983520782091005,0.1718213664924523
-0.2543330663594169,0.2,-0.21469471233931028,0.0,-0.6190967056662863,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,566.620424771977,683.3769123629057,-116.75648759092871,crypto,1d,"macd_cross@fast_days=8.0,slow_days=17.0",binance,grid_cell,6.0,0.0,False,False,True,macd_cross,trend,"QuantifiedStrategies, 'Bitcoin MACD Trading Strategy'",False,0.043621311957242295,-0.48864191265593604,0.5,0.5331729107860749,0.5331729107860749,22.39381968611161,-0.40906037044880506,0.15472730408938817
-0.25477916258130184,0.1,-0.23677723634597975,0.0,-0.6201825916084188,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,665.7262600253197,683.3769123629057,-17.650652337586052,crypto,1d,RANDOM_75,binance,control,6.0,0.0,False,False,True,,control,,False,0.04936193126724962,-0.0743832137256708,0.6,0.7525187483962021,0.7525187483962021,6.849421065524703,-0.2547636212343724,-1.5541346929437427e-05
-0.2558529408058404,0.2,-0.24668377845426712,0.0,-0.6227963789973091,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,485.1980547896766,683.3769123629057,-198.17885757322915,crypto,1d,"dyn_breakout2@base_days=40.0,hi_days=80.0",binance,grid_cell,6.0,0.0,False,False,True,dyn_breakout2,regime,"QuantConnect, 'Dynamic Breakout II'; Pruitt's Dynamic Break Out II",False,0.006945241917653555,-0.2995077236493544,0.4,0.5524637114019331,0.5524637114019331,4.032555549925803,-0.3954906466613213,0.13963770585548085
-0.25790966481344324,0.1,-0.2538958061260904,0.0,-0.627802849747645,,SOL/USD,10,10,5.925313475391181,False,False,False,False,0,False,668.1817886848164,683.3769123629057,-15.195123678089317,crypto,1d,golden_cross@slow_days=150.0,binance,grid_cell,6.0,0.0,False,False,True,golden_cross,trend,Folk / StockCharts ChartSchool; the retail default,True,0.016796037674706877,-0.16135519512925467,0.5,0.5301680780087247,0.5301680780087247,1.8372107519313157,-0.4111740593323396,0.15326439451889634
-0.2648110885545953,0.3,-0.24334269863974628,0.0,-0.644602272503459,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,1032.5756831484964,683.3769123629057,349.1987707855907,crypto,1d,faber_gtaa@ma_months=6.0,binance,grid_cell,6.0,0.0,False,False,True,faber_gtaa,trend,"Faber (2007), 'A Quantitative Approach to Tactical Asset Allocation'",True,0.04944247856695398,-0.39318503640172775,0.6,0.4965607518604055,0.4965607518604055,10.536839605720138,-0.4321237571950154,0.1673126686404201
-0.27099675724454236,0.0,-0.25850361434112024,0.0,-0.6596594066901618,,XRP/USD,10,10,5.925313475391181,False,False,False,False,0,False,600.3219158802918,683.3769123629057,-83.05499648261389,crypto,1d,donchian_s1,binance,published,6.0,0.0,False,False,True,donchian_s1,trend,Dennis & Eckhardt Turtle rules; QuantifiedStrategies 'Donchian Channels',False,0.03424459353920591,-0.21615663531024554,0.5,0.37239489778462065,0.37239489778462065,7.639526858913729,-0.4803413571585874,0.20934459991404503
-0.2719361228896881,0.2,-0.16575138503230308,0.0,-0.661946007424586,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,1031.6283022933567,683.3769123629057,348.25138993045096,crypto,1d,WFO[trend_factor],binance,wfo,6.0,1.5,False,False,True,trend_factor,trend,"Han, Zhou & Zhu (2016), 'A Trend Factor', RFS",False,0.06017510677057538,-0.309226776243001,0.4,0.47500151826191084,0.47500151826191084,57.23988498558791,-0.44049590192764804,0.16855977903795993
-0.28203986286706917,0.2,-0.261808871866849,0.0,-0.6865404977299312,,ADA/USD,10,10,5.925313475391181,False,False,False,False,0,False,582.6797502405077,683.3769123629057,-100.69716212239803,crypto,1d,momo_regime@lookback_months=6.0,binance,grid_cell,6.0,0.0,False,False,True,momo_regime,regime,"QuantConnect, 'Momentum and State of Market Filters'",False,0.02380572144345634,-0.23842090441216146,0.4,0.47587640065007275,0.47587640065007275,9.534927495896515,-0.44015615692028215,0.15811629405321298
-0.28443486943037144,0.1,-0.2368625162011429,0.0,-0.6923704147541462,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,1205.4380190150073,683.3769123629057,522.0611066521016,crypto,1d,WFO[ichimoku],binance,wfo,6.0,2.0,False,False,True,ichimoku,regime,"QuantConnect, 'Ichimoku Clouds in the Energy Sector'",False,0.04883562481370587,-0.42521324098112145,0.6,0.39870473013429136,0.39870473013429136,17.232604805401134,-0.47012440193536814,0.1856895325049967
-0.2862049238502964,0.3,-0.2788726948754462,0.0,-0.6966790753459898,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,695.1153193406765,683.3769123629057,11.738406977770751,crypto,1d,"donchian_s1@entry_days=40.0,exit_days=20.0",binance,grid_cell,6.0,0.0,False,False,True,donchian_s1,trend,Dennis & Eckhardt Turtle rules; QuantifiedStrategies 'Donchian Channels',False,0.04344224038678283,-0.3648116460630202,0.4,0.3871397442477119,0.3871397442477119,4.015254916673102,-0.4746154584115157,0.1884105345612193
-0.2867404279274811,0.1,-0.2609865995251087,0.0,-0.6979825975926309,,ADA/USD,10,10,5.925313475391181,False,False,False,False,0,False,499.5221795509663,683.3769123629057,-183.8547328119394,crypto,1d,"atr_chandelier@entry_ma_days=200.0,mult=4.0",binance,grid_cell,6.0,0.0,False,False,True,atr_chandelier,volatility,LeBeau's chandelier exit; Tradeciety / TrendSpider write-ups,False,-0.004481157422333693,-0.23749850987305443,0.5,0.5665590839107006,0.5665590839107006,10.961109827928308,-0.38557554176575604,0.09883511383827492
-0.28910351063353096,0.1,-0.30148231704090545,0.0,-0.7037348056695193,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,726.2782894658083,683.3769123629057,42.90137710290253,crypto,1d,WFO[dyn_breakout2],binance,wfo,6.0,2.0,False,False,True,dyn_breakout2,regime,"QuantConnect, 'Dynamic Breakout II'; Pruitt's Dynamic Break Out II",False,0.0003171576945856347,-0.2921965038508898,0.4,0.5392591095714652,0.5392591095714652,5.81260298847508,-0.4047791569274972,0.11567564629396626
-0.2926226590230741,0.3,-0.2871115091223186,0.0,-0.7123011049946653,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,844.0271831378675,683.3769123629057,160.65027077496177,crypto,1d,donchian_s2,binance,published,6.0,0.0,False,False,True,donchian_s2,trend,Dennis & Eckhardt Turtle rules,False,0.05779679681633935,-0.37380602868575963,0.4,0.3225011333504405,0.3225011333504405,3.1032792348143197,-0.4997167127430272,0.2070940537199531
-0.2935166730505555,0.2,-0.18222115247054965,0.0,-0.7144773109719527,,SOL/USD,10,10,5.925313475391181,False,False,False,False,0,False,402.352339325105,683.3769123629057,-281.02457303780074,crypto,1d,trend_factor@min_votes=3,binance,grid_cell,6.0,0.0,False,False,True,trend_factor,trend,"Han, Zhou & Zhu (2016), 'A Trend Factor', RFS",False,-0.01061072771032504,-0.2682714374106532,0.3,0.5512224146779574,0.5512224146779574,60.3127477282118,-0.39636381175270746,0.10284713870215195
-0.2985934363960748,0.2,-0.28672675849007945,0.0,-0.726835151451164,,SOL/USD,10,10,5.925313475391181,False,False,False,False,0,False,574.0604357397777,683.3769123629057,-109.31647662312798,crypto,1d,volmanaged,binance,published,6.0,0.0,False,False,True,volmanaged,volatility,"Moreira & Muir (2017), 'Volatility-Managed Portfolios', JF",True,-0.014329691511287445,-0.4439969126753378,0.6,1.0,1.0,2.056112367034146,0.0,-0.2985934363960748
-0.2993506755044578,0.1,-0.28596209702344505,0.0,-0.7286784203745178,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,399.50470807904964,683.3769123629057,-283.8722042838561,crypto,1d,WFO[donchian_s1],binance,wfo,6.0,2.5,False,False,True,donchian_s1,trend,Dennis & Eckhardt Turtle rules; QuantifiedStrategies 'Donchian Channels',False,0.00055581188199878,-0.33795073426831834,0.5,0.37078554015909676,0.37078554015909676,8.149532852244684,-0.4809663225547781,0.1816156470503203
-0.30174024072507294,0.2,-0.26946877782176504,0.0,-0.7344950921004307,,AVAX/USD,10,10,5.925313475391181,False,False,False,False,0,False,770.3994455504389,683.3769123629057,87.02253318753321,crypto,1d,"momo_regime@lookback_months=3.0,ma_days=50.0",binance,grid_cell,6.0,0.0,False,False,True,momo_regime,regime,"QuantConnect, 'Momentum and State of Market Filters'",False,0.03499509883297094,-0.39486589286050555,0.5,0.3798846976306561,0.3798846976306561,17.773387049453053,-0.4774328266654702,0.17569258594039727
