ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,class,timeframe,rule,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
-0.03400309923334248,0.6,0.021548034396540627,0.38789549354847197,-0.0551339765765899,,AVAX/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,MA_1000,binance,-0.5211808685150733,236396.6590399851,0.017414206861375438,0.41766521144501834,-0.917222297319636,0.926445383527746,45.93530402891294,1442,False,False,True
-0.03400309923334248,0.6,0.021548034396540627,0.38789549354847197,-0.0551339765765899,,AVAX/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,SMA_1000,binance,-0.5211808685150733,236396.6590399851,0.017414206861375438,0.41766521144501834,-0.917222297319636,0.926445383527746,45.93530402891294,1442,False,False,True
-0.03510492314445112,0.4,0.05299857391965188,0.6015490381850652,-0.056920517658910506,,AVAX/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,TSF_1000,binance,-0.32918946143924016,408728.95149250067,0.12566850361256085,0.5420685913027822,-0.8479933118615977,0.926445383527746,72.93688594875455,2291,False,False,True
-0.043592203476644796,0.4,0.07799869294251334,0.6414846443242742,-0.07068213132309298,,AVAX/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,T3_200,binance,-0.29685967295210636,715937.8807895364,0.1905879676687187,0.581486636223104,-0.8625570258056394,0.9120878758079364,92.52176490094521,2924,False,False,True
-0.050122963741327055,0.4,0.06332068599006672,0.5581686250397822,-0.08127136558639932,,AVAX/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,TEMA_1000,binance,-0.8765356940093584,-38019.02718798291,-0.1576617982305996,0.08159166049742561,-0.8549577333352814,0.7793361505832375,76.39306222188657,2404,False,False,True
-0.0503409991712606,0.6,0.014654166598220289,0.2254654853900117,-0.08162489689848146,,AVAX/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,TRIMA_1000,binance,-0.5340191074400071,208649.9973694416,0.017976894731131822,0.4245877935427106,-0.9100107511377236,0.926445383527746,47.402504671653176,1492,False,False,True
-0.052531032887007424,0.3,0.03622478644225467,0.40813984610822746,-0.0851759046097882,,AVAX/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,LINEARREG_1000,binance,-0.330751223740169,414637.7944083614,0.12051780150650286,0.5320967416176454,-0.8511782180633054,0.926445383527746,72.9499851734847,2293,False,False,True
-0.07712698414967971,0.5,0.0711930476070182,0.4799961728959327,-0.12505675757231446,,DOGE/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,MIDPOINT_200,binance,-0.3128960335043501,267346.49696279375,0.04417374542852219,0.4842558917976921,-0.8650511682643621,0.985231887449258,119.43337744433627,3766,False,False,True
-0.09670488016067649,0.5,-0.016322732324063442,0.0,-0.1568011363032618,,ADA/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,EMA_1000,binance,-0.5188248230584102,145335.714804415,-0.023903992577446454,0.39408594649360273,-0.9208985710661409,0.926445383527746,56.261933310997506,1766,False,False,True
-0.10037828573677099,0.5,-0.0118897360297999,0.0,-0.1627573421067056,,DOGE/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,WMA_1000,binance,-0.4838270446038206,272812.5229742341,0.040152902845113095,0.44129060341560544,-0.8897981552316481,0.926445383527746,62.11388409070978,1948,False,False,True
