date,add_t,add_s,rem_t,rem_s,reason
1976-07-01,DIS,The Walt Disney Company,AYE,Allegheny Energy,"Major restructuring of S&P 500 to have fewer industrials and utilities, and more financial companies to add ""new strength and breadth""[284]"
1976-07-01,BUD,Anheuser Busch,HNG,Houston Natural Gas,"Major restructuring of S&P 500 to have fewer industrials and utilities, and more financial companies to add ""new strength and breadth""[284]"
1994-09-30,NCC,National City,MCK,McKesson,McKesson sold PCS Health Services to Eli Lilly.[283]
1997-06-17,CCR,Countrywide Credit Industries,USL,USLife,AIG acquired USLife.[282]
1998-12-11,CCL,Carnival Corporation,GRN,General Re,Berkshire Hathaway purchased General Re.[281]
1998-12-11,CPWR,Compuware,SUN,SunAmerica,AIG purchased SunAmerica.[281]
1998-12-11,FSR,Firstar,AN,Amoco,BP purchased Amoco.[281]
1999-04-12,ACT,Actavis,,,Actavis plc (NYSE:ACT) added to S&P 500
1999-06-09,WLP,Wellpoint,HPH,Harnischfeger Industries,Harnischfeger filed for bankruptcy.[280]
1999-12-08,YHOO,Yahoo!,LDW,Laidlaw,Market capitalization change.[279]
2000-06-07,SBUX,Starbucks,SMS,Shared Medical Systems,Siemens AG acquired Shared Medical Systems.[278]
2000-06-12,CVG,Convergys,TMC,Times Mirror,Tribune Co. acquired Times Mirror.[278]
2000-07-27,JDSU,JDS Uniphase,RAD,Rite Aid,Market Cap change.[277]
2000-12-05,SBL,Symbol Technologies,OI,Owens-Illinois,Market Cap changes.
2000-12-05,INTU,Intuit,BS,Bethlehem Steel,Market Cap changes.[276]
2000-12-05,ABK,Ambac Financial,CCK,Crown Holdings,Market Cap changes.
2000-12-05,AYE,Allegheny Energy,GRA,WR Grace,Market Cap changes.
2003-09-25,ESRX,Express Scripts,QTRN,Quintiles Transnational,Taken private
2005-07-01,STZ,Constellation Brands,GLK,Great Lakes Chemical,Acquired by Crompton Corp.
2005-11-18,AMZN,Amazon,T,AT&T Corporation,AT&T Corp. acquired by SBC Communications[275]
2006-06-02,JNPR,Juniper Networks,ABS,Albertsons,Albertsons acquired by SuperValu and CVS Corp.[274]
2007-01-10,AVB,AvalonBay Communities,SBL,Symbol Technologies,Acquired by Motorola[273]
2007-03-30,KFT,Kraft Foods,TSG,Sabre Corporation,Taken Private[272]
2007-07-02,DFS,Discover Financial,ADCT,ADC Telecommunications,Discover Financial Services debuts on New York Stock Exchange.[271]
2007-08-24,LUK,Leucadia National,KSE,KeySpan,Acquired by National Grid plc[270]
2007-09-26,ICE,Intercontinental Exchange,FDC,First Data,FDC acquired by KKR.[269]
2007-09-27,TSO,Tesoro Corporation,MXIM,Maxim Integrated Products,MXIM delisted from NASDAQ exchange.[269]
2007-10-01,TDC,Teradata,NCR,NCR Corporation,Teradata spun off by NCR Corporation.[269]
2007-10-02,EXPE,Expedia,SLR,Solectron,Solectron acquired by Flextronics.[269]
2007-10-26,JEC,Jacobs Engineering Group,AV,Avaya,Taken private[268]
2007-12-13,GME,GameStop,DJ,Dow Jones,Acquired by News Corporation
2007-12-20,RRC,Range Resources,TRB,Tribune Media,Taken private[267]
2008-06-10,LO,Lorillard Tobacco Company,ABK,Ambac Financial,Market Value Decline[266]
2008-06-23,MEE,Massey Energy,OMX,OfficeMax,Market capitalization change.[265]
2008-06-23,COG,Cabot Oil & Gas,BC,Brunswick,Market capitalization change.[265]
2008-07-01,AKS,AK Steel,CFC,Countrywide Financial Corp,Ak Steel replaced Countrywide Financial.[264]
2008-09-12,FAST,Fastenal,FNM,Fannie Mae,Capitalization rebalance.[263]
2008-09-12,CRM,Salesforce,FRE,Freddie Mac,Capitalization rebalance.[263]
2008-09-16,HRS,Harris Corporation,LEH,Lehman Brothers,Lehman Brothers filed for bankruptcy.[262]
2008-12-31,OI,Owens-Illinois,WB,Wachovia Bank,Wachovia Bank acquired by Wells Fargo.[261]
2009-03-03,HRL,Hormel Foods,ACAS,American Capital,Capitalization rebalance.[260]
2009-03-03,VTR,Ventas,JNY,Jones Apparel Group,Capitalization rebalance.
2009-06-05,FTI,FMC Technologies,COV,Covidien,"Covidien moved its place of incorporation to Ireland, making it ineligible for inclusion in the index.[259]"
2009-06-25,,,TEL,TE Connectivity,"Tyco Electronics left the index because it was reincorporating in Switzerland, making it ineligible for inclusion.[258]"
2009-06-29,PCS,MetroPCS,,,PCS replaced TEL.[258]
2009-08-19,FMC,FMC Corporation,CTX,Centex Corp.,Centex acquired by Pulte Homes.[257]
2009-09-28,ARG,Airgas,CBE,Cooper Industries,Redomesticated to Ireland[256]
2009-11-03,PCLN,Priceline.com,SGP,Schering-Plough,Acquired by Merck & Co. (MRK)[255]
2009-12-18,MJN,Mead Johnson Nutrition,DYN,Dynegy,Market capitalization change.[citation needed]
2009-12-18,V,Visa,CIEN,Ciena,Market capitalization change.[citation needed]
2009-12-18,SAI,SAIC,CVG,Convergys,Market capitalization change.[citation needed]
2009-12-18,CLF,Cliffs Natural Resources,KBH,KB Home,Market capitalization change.[citation needed]
2009-12-18,ROST,Ross Stores,MBI,MBIA,Market capitalization change.[citation needed]
2010-02-26,HP,Helmerich & Payne,RX,IMS Health,Taken private
2010-04-29,CERN,Cerner,BJS,BJ Services,Acquired by Baker Hughes[254]
2010-06-28,KMX,CarMax,XTO,XTO Energy,Acquired by ExxonMobil[253]
2010-06-30,QEP,QEP Resources,STR,Questar,"Company split. QEP retained, but ticker changed.[252]"
2010-07-14,CB,Chubb,MIL,Millipore,Acquired by Merck KGaA (MKGAY)[251]
2010-08-26,TYC,Tyco International,SII,Smith International,Acquired by Schlumberger (SLB)[250]
2010-11-17,IR,Ingersoll-Rand,PTV,Pactiv,Reynolds Group Holdings acquired Pactiv.[249]
2010-12-17,NFX,Newfield Exploration,NYT,The New York Times Company,Market Cap changes.
2010-12-17,NFLX,Netflix,ODP,Office Depot,Market Cap changes.
2010-12-17,FFIV,F5 Networks,EK,Eastman Kodak,Market Cap changes.[248]
2010-12-17,CVC,Cablevision,KG,King Pharmaceuticals,Acquired by Pfizer.[248]
2011-01-03,MMI,Motorola Mobility,MDP,Meredith Corp,S&P constituent Motorola spun off Motorola Mobility.[247]
