symbol,start,end,reason_in,start_known
A,1976-07-01,,pre-changelog,False
AA,1976-07-01,2016-11-01,pre-changelog,False
AAL,2015-03-23,2024-09-23,Allergan acquired by Actavis (and changed name to Allergan).[181],True
AAP,2015-07-08,2023-08-25,Family Dollar acquired.[174],True
AAPL,1976-07-01,,pre-changelog,False
ABBV,2013-01-02,,ABBV spun off from Abbott Labs (ABT)[215],True
ABK,2000-12-05,2008-06-10,Market Cap changes.,True
ABMD,2018-05-31,2022-12-22,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).[116],True
ABNB,2023-09-18,,Market capitalization change.[40],True
ABS,1976-07-01,2006-06-02,pre-changelog,False
ABT,1976-07-01,,pre-changelog,False
ACAS,1976-07-01,2009-03-03,pre-changelog,False
ACE,1976-07-01,2016-01-19,pre-changelog,False
ACGL,2022-11-01,,Elon Musk acquired Twitter.[50],True
ACN,2011-07-05,,Marshall & Iisley is being bought by Bank of Montreal[239],True
ADBE,1976-07-01,,pre-changelog,False
ADCT,1976-07-01,2007-07-02,pre-changelog,False
ADI,1976-07-01,,pre-changelog,False
ADM,1976-07-01,,pre-changelog,False
ADP,1976-07-01,,pre-changelog,False
ADS,2013-12-23,2020-06-22,Market capitalization changes.[200],True
ADSK,1976-07-01,,pre-changelog,False
ADT,2012-10-01,2016-05-03,Tyco spun off ADT,True
AEE,1976-07-01,,pre-changelog,False
AEP,1976-07-01,,pre-changelog,False
AES,1976-07-01,,pre-changelog,False
AET,1976-07-01,2018-12-03,pre-changelog,False
AFL,1976-07-01,,pre-changelog,False
AGN,2015-03-23,2020-05-12,re-entry,True
AGN,1976-07-01,2015-03-23,pre-changelog,False
AIG,1976-07-01,,pre-changelog,False
AIV,1976-07-01,2020-12-21,pre-changelog,False
AIZ,1976-07-01,,pre-changelog,False
AJG,2016-05-31,,CCE merging with European bottlers[148],True
AKAM,1976-07-01,,pre-changelog,False
AKS,2008-07-01,2011-12-16,Ak Steel replaced Countrywide Financial.[264],True
ALB,2016-07-01,,TE acquired by EMA[144],True
ALGN,2017-06-19,,Market capitalization changes.[128],True
ALK,2016-05-13,2023-12-18,SNDK acquired by WDC[151],True
