class,tf,symbol,ts,action,field,was,now
crypto,4h,AAVE_USD,2023-12-13 20:00:00,clamp_wick,Low,1.01e-06,94.44
crypto,4h,AAVE_USD,2023-12-15 08:00:00,clamp_wick,Low,0.0001536,107.61
crypto,4h,AAVE_USD,2023-12-18 08:00:00,clamp_wick,Low,9.397,96.39
crypto,4h,AAVE_USD,2025-10-10 20:00:00,clamp_wick,Low,79.51,224.45
crypto,4h,ADA_USD,2023-07-26 20:00:00,clamp_wick,Low,0.0265,0.3069
crypto,4h,ADA_USD,2025-10-10 20:00:00,clamp_wick,Low,0.2737,0.6353
crypto,4h,APT_USD,2023-05-11 16:00:00,clamp_wick,Low,0.0008,7.97
crypto,4h,APT_USD,2023-05-12 12:00:00,clamp_wick,Low,0.0008,7.92
crypto,4h,APT_USD,2023-05-15 08:00:00,clamp_wick,Low,0.0009,8.7
crypto,4h,APT_USD,2023-05-24 12:00:00,clamp_wick,Low,0.0008,8.04
crypto,4h,APT_USD,2023-05-26 08:00:00,clamp_wick,Low,0.0008,7.97
crypto,4h,APT_USD,2023-05-26 12:00:00,clamp_wick,Low,0.0008,8.02
crypto,4h,APT_USD,2023-06-03 00:00:00,clamp_wick,Low,0.0009,8.93
crypto,4h,APT_USD,2023-06-04 00:00:00,clamp_wick,Low,0.0009,8.97
crypto,4h,APT_USD,2023-06-05 16:00:00,clamp_wick,Low,0.0008,8.08
crypto,4h,APT_USD,2023-06-05 20:00:00,clamp_wick,Low,0.0008,8.09
crypto,4h,APT_USD,2023-06-06 00:00:00,clamp_wick,Low,0.0008,8.06
crypto,4h,APT_USD,2023-06-06 12:00:00,clamp_wick,Low,0.0008,8.0
crypto,4h,APT_USD,2023-06-06 16:00:00,clamp_wick,Low,0.0008,8.04
crypto,4h,APT_USD,2023-06-07 08:00:00,clamp_wick,Low,0.0008,8.03
crypto,4h,APT_USD,2023-06-10 00:00:00,clamp_wick,Low,0.0007,6.93
crypto,4h,APT_USD,2023-06-10 04:00:00,clamp_wick,Low,0.0006,6.03
crypto,4h,APT_USD,2023-06-10 20:00:00,clamp_wick,Low,0.0006,5.9
crypto,4h,APT_USD,2025-10-10 20:00:00,clamp_wick,Low,0.747,3.664
crypto,4h,ARB_USD,2025-10-10 20:00:00,clamp_wick,Low,0.1074,0.2965
crypto,4h,ATOM_USD,2025-10-10 20:00:00,clamp_wick,Low,0.749,2.946
crypto,4h,AVAX_USD,2023-07-27 08:00:00,clamp_wick,Low,0.632717,13.27
crypto,4h,AVAX_USD,2023-07-29 08:00:00,clamp_wick,Low,2.65e-06,13.17
crypto,4h,AVAX_USD,2023-11-27 00:00:00,clamp_wick,Low,1.171,20.64
crypto,4h,AVAX_USD,2025-10-10 20:00:00,clamp_wick,Low,8.52,20.68
crypto,4h,BCH_USD,2023-06-30 20:00:00,clamp_wick,Low,0.0306,302.1
crypto,4h,BCH_USD,2023-07-10 04:00:00,clamp_wick,Low,0.0264,264.2
crypto,4h,BCH_USD,2023-07-20 08:00:00,clamp_wick,Low,0.0248,246.9
crypto,4h,BCH_USD,2023-09-12 16:00:00,clamp_wick,Low,0.0207,197.5
crypto,4h,BCH_USD,2023-11-14 00:00:00,clamp_wick,Low,7.0161,233.9
crypto,4h,BCH_USD,2023-11-14 04:00:00,clamp_wick,Low,1.5975,237.3
crypto,4h,BCH_USD,2023-12-12 12:00:00,clamp_wick,Low,4.569,230.9
crypto,4h,BCH_USD,2023-12-13 00:00:00,clamp_wick,Low,50.86,226.0
crypto,4h,BCH_USD,2023-12-13 08:00:00,clamp_wick,Low,0.02965,227.3
crypto,4h,BCH_USD,2023-12-20 12:00:00,clamp_wick,Low,0.0302,228.7
crypto,4h,BNB_USD,2023-07-26 12:00:00,clamp_wick,Low,0.2118,236.8
