date,symbol,rank,median_dollar_volume,eligible
2000-01-01,MSFT,1,1919389349.6009998,296
2000-01-01,INTC,2,1259477851.234,296
2000-01-01,CSCO,3,944543485.088,296
2000-01-01,AMAT,4,465002267.44200003,296
2000-01-01,EBAY,5,451032846.306895,296
2000-01-01,IBM,6,433085333.3663575,296
2000-01-01,ORCL,7,401640231.08599997,296
2000-01-01,QCOM,8,382177406.604,296
2000-01-01,MU,9,315795639.88600004,296
2000-01-01,C,10,268829369.597265,296
2000-01-01,GE,11,238793069.98499,296
2000-01-01,AMGN,12,223475109.86663997,296
2000-01-01,TXN,13,197671663.97,296
2000-01-01,WMT,14,187314344.226,296
2000-01-01,JCI,15,180120743.68058002,296
2000-01-01,AAPL,16,171378177.69766402,296
2000-01-01,BAC,17,165008693.56,296
2000-01-01,AIG,18,156064080.71944827,296
2000-01-01,AXP,19,151050121.59699,296
2000-01-01,MRK,20,140496195.288531,296
2000-01-01,MSI,21,140377883.036544,296
2000-01-01,PFE,22,135347416.55993998,296
2000-01-01,DIS,23,135308669.91057,296
2000-01-01,HD,24,128016479.99399999,296
2000-01-01,XOM,25,127590632.851,296
2000-01-01,SCHW,26,125309848.012,296
2000-01-01,COST,27,123576012.92000002,296
2000-01-01,MS,28,118615116.074,296
2000-01-01,JPM,29,113483098.8993,296
2000-01-01,CIEN,30,112310292.5,296
2000-01-01,KO,31,111136186.40810001,296
2000-01-01,BKNG,32,108129729.68296999,296
2000-01-01,JNJ,33,107377468.25099999,296
2000-01-01,PG,34,107051392.13,296
2000-01-01,VRSN,35,102058248.83,296
2000-01-01,LLY,36,96142093.7665,296
2000-01-01,SLB,37,94148211.063,296
2000-01-01,MDT,38,87810508.6408,296
2000-01-01,BMY,39,84967910.29541,296
2000-01-01,BA,40,75784643.64500001,296
2000-01-01,ADBE,41,70482426.52000001,296
2000-01-01,ABT,42,67995969.01717749,296
2000-01-01,MCD,43,67680266.16350001,296
2000-01-01,WFC,44,64997903.574,296
2000-01-01,TER,45,63613642.257,296
2000-01-01,GPS,46,61926042.42375,296
2000-01-01,TGT,47,61288081.8,296
2000-01-01,F,48,59688844.60392,296
2000-01-01,HAL,49,58924239.900000006,296
2000-01-01,BBY,50,57259974.945264004,296
2000-01-01,FDX,51,56944815.802039996,296
2000-01-01,PEP,52,55427417.2782,296
2000-01-01,MO,53,54256846.575,296
2000-01-01,LOW,54,53433845.533999994,296
2000-01-01,RTX,55,52524608.716005,296
2000-01-01,MCK,56,51616948.017000005,296
2000-01-01,AA,57,50396695.49434,296
2000-01-01,KR,58,47713025.143999994,296
2000-01-01,ALL,59,46693947.0415,296
2000-01-01,DD,60,46653051.439899996,296
2000-01-01,CI,61,46203406.635000005,296
2000-01-01,HPQ,62,45672569.778,296
2000-01-01,VZ,63,45419846.848005,296
2000-01-01,BSX,64,43779343.75,296
2000-01-01,CAH,65,43574767.9974,296
2000-01-01,MMM,66,43175996.237875,296
2000-01-01,EA,67,42580959.6812,296
2000-01-01,CVS,68,42576179.374,296
2000-01-01,COF,69,42325372.116000004,296
2000-01-01,CL,70,42224607.75,296
2000-01-01,CVX,71,41670846.885000005,296
2000-01-01,T,72,40452474.355655,296
2000-01-01,KMB,73,38015429.590560004,296
2000-01-01,CAT,74,37960983.68799999,296
2000-01-01,NKE,75,37216665.256,296
2000-01-01,WM,76,36355249.1255,296
2000-01-01,GS,77,35886499.328999996,296
2000-01-01,IP,78,35744146.921409994,296
2000-01-01,UNH,79,35635871.335999995,296
2000-01-01,GLW,80,35188109.20575,296
2000-01-01,AMD,81,33422846.875,296
2000-01-01,BIIB,82,33356899.6332,296
2000-01-01,NTAP,83,33205350.584,296
2000-01-01,BAX,84,33122769.622505,296
2000-01-01,BNY,85,32976103.088188,296
2000-01-01,LUV,86,31626191.9593125,296
2000-01-01,PAYX,87,30992929.129499998,296
2000-01-01,BRK.B,88,30923250.0,296
2000-01-01,ADI,89,30798263.228,296
2000-01-01,CCL,90,28798895.8459,296
2000-01-01,GT,91,28472127.09375,296
2000-01-01,LMT,92,28026488.293,296
2000-01-01,ANF,93,27973103.634,296
2000-01-01,MAT,94,27754655.91,296
2000-01-01,EMR,95,26626047.912,296
2000-01-01,CLX,96,25769860.538499996,296
2000-01-01,TJX,97,25326853.568000004,296
2000-01-01,ADP,98,25197465.10453,296
2000-01-01,MRSH,99,25008407.9112,296
2000-01-01,M,100,24441049.487999998,296
2001-01-01,MSFT,1,2195946848.101,302
2001-01-01,CSCO,2,1993543248.105,302
2001-01-01,INTC,3,1902512819.6935,302
2001-01-01,ORCL,4,1278394536.7200003,302
2001-01-01,QCOM,5,1008518667.5739999,302
2001-01-01,CIEN,6,878160109.96875,302
2001-01-01,AMAT,7,873335245.804,302
2001-01-01,VRSN,8,612828198.683,302
2001-01-01,MU,9,427616515.56,302
2001-01-01,GLW,10,407204065.26750004,302
2001-01-01,NTAP,11,378429260.3685,302
2001-01-01,IBM,12,378358743.41778004,302
2001-01-01,AMGN,13,351959377.62899995,302
2001-01-01,TXN,14,350260349.0,302
2001-01-01,GE,15,347464936.7570255,302
2001-01-01,C,16,309068732.52470005,302
2001-01-01,MSI,17,260612002.84498,302
2001-01-01,AAPL,18,255845025.818368,302
2001-01-01,WMT,19,248493857.9895,302
2001-01-01,AMD,20,237907993.75,302
2001-01-01,EBAY,21,229330998.31972,302
2001-01-01,AIG,22,224734805.71394998,302
2001-01-01,ADBE,23,216298569.116,302
2001-01-01,JCI,24,206817140.247552,302
2001-01-01,XOM,25,188405315.561,302
2001-01-01,HD,26,174618628.1815,302
2001-01-01,PFE,27,169335242.18231,302
2001-01-01,MS,28,167802404.751,302
2001-01-01,MRK,29,164008511.65625,302
2001-01-01,BAC,30,159577398.411,302
2001-01-01,JPM,31,157887653.72158,302
2001-01-01,AXP,32,156898559.477755,302
2001-01-01,COST,33,153626287.0245,302
2001-01-01,ADI,34,147370082.99,302
2001-01-01,JNJ,35,141844852.0714,302
2001-01-01,AKAM,36,133035143.75,302
2001-01-01,BIIB,37,131127591.27900001,302
2001-01-01,DIS,38,131024469.407045,302
2001-01-01,SLB,39,129905366.66600001,302
2001-01-01,PG,40,125760849.426,302
2001-01-01,TER,41,125421137.9875,302
2001-01-01,KO,42,119187033.9816,302
2001-01-01,INTU,43,119134038.434,302
2001-01-01,LLY,44,115528669.58450001,302
2001-01-01,GS,45,114851425.1805,302
2001-01-01,BA,46,109449014.653,302
2001-01-01,BMY,47,106708658.01822,302
2001-01-01,A,48,96799235.99454299,302
2001-01-01,MDT,49,95047269.6255,302
2001-01-01,SCHW,50,93406724.30250001,302
2001-01-01,HAL,51,83428808.64700001,302
2001-01-01,WFC,52,78284960.61000001,302
2001-01-01,ABT,53,77271363.41822499,302
2001-01-01,EA,54,74380385.0582,302
2001-01-01,MCD,55,73661346.3775,302
2001-01-01,NVDA,56,73092721.42284,302
2001-01-01,TGT,57,69478142.221,302
2001-01-01,T,58,68886016.738723,302
2001-01-01,GPS,59,67380645.0719,302
2001-01-01,HPQ,60,67364803.34200001,302
2001-01-01,F,61,67188787.60108,302
2001-01-01,AA,62,65602101.15031999,302
2001-01-01,MMM,63,65064193.93163,302
2001-01-01,PEP,64,64886088.756,302
2001-01-01,VZ,65,64222217.629115,302
2001-01-01,UNH,66,63807574.1548,302
2001-01-01,AES,67,62803546.3646,302
2001-01-01,LOW,68,61827155.401999995,302
2001-01-01,CI,69,59547077.099999994,302
2001-01-01,RTX,70,59331833.82594499,302
2001-01-01,BKNG,71,58800716.325124994,302
2001-01-01,SBUX,72,55577189.6,302
2001-01-01,CVS,73,55470617.805999994,302
2001-01-01,BBY,74,55137067.872375,302
2001-01-01,CVX,75,54343772.465,302
2001-01-01,BAX,76,54192158.19298,302
2001-01-01,PAYX,77,54143586.087,302
2001-01-01,MO,78,53938059.416,302
2001-01-01,CL,79,53072720.16,302
2001-01-01,WAT,80,50476996.875,302
2001-01-01,MRSH,81,48933113.998,302
2001-01-01,DD,82,48713323.415535,302
2001-01-01,JBL,83,47453413.789,302
2001-01-01,KMB,84,47201143.56945,302
2001-01-01,ADP,85,46071534.445030004,302
2001-01-01,CAH,86,45522748.5855,302
