symbol,us_quote,us_history_bars,has_us_listing,resolves_to,resolves_exchange
A,154.77,,True,,
AA,51.28,,True,,
AAL,13.95,,True,,
AAP,43.64,,True,,
AAPL,309.89999,,True,,
ABBV,265.79001,,True,,
ABK,,0.0,False,Aktienbrauerei Kaufbeuren AG,Munich
ABNB,190.5,,True,,
ABT,116.13,,True,,
ACE,,0.0,False,Action Construction Equipment Ltd.,BSE
ACGL,100.56,,True,,
ACN,186.92999,,True,,
ADBE,273.92001,,True,,
ADCT,1.04,,True,,
ADI,373.66,,True,,
ADM,79.16,,True,,
ADP,282.78,,True,,
ADS,,0.0,False,adidas AG,XETR
ADSK,251.21001,,True,,
ADT,7.43,,True,,
AEE,106.83,,True,,
AEP,122.77,,True,,
AES,14.73,,True,,
AET,,0.0,False,Afentra plc,LSE
AFL,116.18,,True,,
AGN,,0.0,False,Aegon Ltd.,Euronext
AIG,76.38,,True,,
AIV,2.58,,True,,
AIZ,285.14999,,True,,
AJG,268.51001,,True,,
AKAM,105.74,,True,,
ALB,133.17999,,True,,
ALGN,159.61,,True,,
ALK,43.33,,True,,
ALL,257.62,,True,,
ALLE,160.37,,True,,
ALTR,,0.0,False,Altri SGPS S.A.,Euronext
AMAT,480.040009,,True,,
AMCR,47.27,,True,,
AMD,479.17999,,True,,
AME,241.77,,True,,
AMG,365.28,,True,,
AMGN,442.23999,,True,,
AMP,560.26001,,True,,
AMT,178.57001,,True,,
AMTM,20.26,,True,,
AMZN,261.059998,,True,,
AN,196.8,,True,,
ANET,190.94,,True,,
ANF,108.9,,True,,
AON,354.82999,,True,,
AOS,62.15,,True,,
APA,41.35,,True,,
APC,18.84,,True,,
APD,303.85001,,True,,
APH,158.78,,True,,
APO,133.17999,,True,,
APP,310.54001,,True,,
APTV,46.63,,True,,
ARE,52.9,,True,,
ARES,142.75999,,True,,
ARG,,0.0,False,Amerigo Resources Ltd.,TSX
ATI,215.23,,True,,
ATO,167.56,,True,,
AV,27.738,,True,,
AVB,68.14,,True,,
AVGO,356.73999,,True,,
AVY,179.95,,True,,
AWK,137.60001,,True,,
AXON,613.26001,,True,,
AXP,335.95001,,True,,
AYE,,0.0,False,Aye Finance Limited,BSE
AYI,339.95001,,True,,
AZO,3027.34009,,True,,
BA,211.080002,,True,,
BAC,62.43,,True,,
BALL,64.080002,,True,,
BAX,26.29,,True,,
BBBY,4.06,,True,,
BBWI,17.58,,True,,
BBY,85.29,,True,,
BC,80.33,,True,,
BDX,189.78,,True,,
BEAM,31.030001,,True,,
BEN,35.029999,,True,,
BF.B,28.18,,True,,
BG,111.71,,True,,
BHF,51.87,,True,,
BHI,,0.0,False,Black Hills Corporation,XDUS
BIG,,0.0,False,Bigben Interactive SA,Euronext
BIIB,220.77,,True,,
BIO,390.34,,True,,
BKNG,213.78,,True,,
BKR,61.82,,True,,
BLDR,69.36,,True,,
BLK,1176.64001,,True,,
BMS,,0.0,False,Braemar Plc,LSE
BMY,67.92,,True,,
BNY,163.64999,,True,,
BR,184.82001,,True,,
BRK.B,504.32001,,True,,
BRO,73.34,,True,,
BSX,49.86,,True,,
BTU,27.46,,True,,
BWA,65.099998,,True,,
BX,143.41,,True,,
BXP,72.13,,True,,
C,133.25,,True,,
CA,,0.0,False,Carrefour SA,Euronext
CAG,16.27,,True,,
CAH,237.92,,True,,
CAM,24.9,,True,,
CARR,58.52,,True,,
CASY,824.91998,,True,,
CAT,811.28998,,True,,
CB,343.10999,,True,,
CBE,,0.0,False,Robertet SA,Euronext
CBOE,308.82001,,True,,
CBRE,151.74001,,True,,
CCE,,0.0,False,MARINOMED BIOTECH AG INH.,Munich
CCI,76.29,,True,,
CCK,120.43,,True,,
CCL,26.14,,True,,
CDAY,,0.0,False,Hamilton Enhanced Canadian Equity DayMAX ETF,NEO
CDNS,331.89999,,True,,
CDW,142.089996,,True,,
CE,44.52,,True,,
CEG,278.42001,,True,,
CF,127.26,,True,,
CFC,,0.0,False,United Electronic Technology AG,XETR
CFG,69.83,,True,,
CHD,102.56,,True,,
CHK,,0.0,False,China Resources Beer Holdings Co. Ltd.,FSX
CHRW,143.66,,True,,
CHTR,155.14,,True,,
CI,279.32001,,True,,
CIEN,387.66,,True,,
CINF,171.42,,True,,
CL,91.33,,True,,
CLF,11.52,,True,,
CLX,104.93,,True,,
CMA,,0.0,False,Mapfre S.A.,FSX
CMCSA,27.1,,True,,
CME,277.32001,,True,,
CMG,37.43,,True,,
CMI,572.66998,,True,,
CMS,68.74,,True,,
CNC,65.0,,True,,
CNP,38.93,,True,,
CNX,36.0,,True,,
COF,216.24001,,True,,
COHR,288.14001,,True,,
COIN,187.16,,True,,
COL,,0.0,False,"Colonial SFL, SOCIMI, S.A.",BME
COO,73.040001,,True,,
COP,131.84,,True,,
COR,328.059998,,True,,
COST,960.01001,,True,,
COTY,2.67,,True,,
COV,,0.0,False,Covalon Technologies Ltd.,TSXV
CPAY,412.37,,True,,
CPB,23.47,,True,,
CPRI,13.3,,True,,
CPRT,33.33,,True,,
CPT,108.28,,True,,
CPWR,0.0060000001,,True,,
CRH,96.2,,True,,
CRL,297.64001,,True,,
CRM,205.69,,True,,
CRWD,185.38,,True,,
CSC,,0.0,False,The Campbell's Company Common Stock,FSX
CSCO,111.11,,True,,
CSGP,32.81,,True,,
CSRA,25.6534,,True,,
CSX,51.51,,True,,
CTAS,204.75999,,True,,
CTRA,,0.0,False,Ciputra Development Tbk PT,IDX
CTSH,63.060001,,True,,
CTVA,83.050003,,True,,
CVC,,0.0,False,CVC Capital Partners plc,Euronext
CVG,,0.0,False,Clairvest Group Inc.,TSX
CVH,,0.0,False,Cablevisión Holding S.A.,BCBA
CVNA,75.77,,True,,
CVS,92.9,,True,,
CVX,199.89,,True,,
CZR,29.66,,True,,
D,66.93,,True,,
DAL,83.62,,True,,
DASH,233.5,,True,,
DD,136.039993,,True,,
DDOG,222.99001,,True,,
DE,630.65997,,True,,
DECK,88.74,,True,,
DELL,451.5,,True,,
DF,,0.0,False,Dividend 15 Split Corp II,TSX
DFS,,0.0,False,DFS Furniture plc,LSE
DG,122.58,,True,,
DGX,244.50999,,True,,
DHI,150.8,,True,,
DHR,215.97,,True,,
DIS,111.25,,True,,
DISH,,0.0,False,Amala Foods Plc,LSE
DLR,192.32001,,True,,
DLTR,134.48,,True,,
DOC,21.66,,True,,
DOV,202.059998,,True,,
DOW,30.16,,True,,
DPZ,349.91,,True,,
DRI,220.41,,True,,
DTE,136.14,,True,,
DUK,121.59,,True,,
DV,13.32,,True,,
DVA,177.8,,True,,
DVN,46.91,,True,,
DXC,10.89,,True,,
DXCM,89.16,,True,,
DYN,26.34,,True,,
EA,209.7,,True,,
EBAY,106.0,,True,,
ECHO,86.52,,True,,
ECL,289.54001,,True,,
ED,107.089996,,True,,
EFX,191.89,,True,,
EG,375.39001,,True,,
EIX,74.78,,True,,
EL,104.85,,True,,
ELV,398.87,,True,,
EMC,37.1653,,True,,
EME,739.87,,True,,
EMN,72.019997,,True,,
EMR,154.96001,,True,,
ENPH,37.35,,True,,
EOG,146.83,,True,,
EP,3.34,,True,,
EPAM,111.85,,True,,
EQIX,1073.43994,,True,,
EQR,63.66,,True,,
EQT,54.0,,True,,
ERIE,257.98001,,True,,
ES,71.029999,,True,,
ESS,292.0,,True,,
ETN,409.20001,,True,,
ETR,106.24,,True,,
ETSY,84.43,,True,,
EVRG,81.41,,True,,
EW,90.87,,True,,
EXC,44.31,,True,,
EXE,94.66,,True,,
EXPD,189.050003,,True,,
EXPE,337.97,,True,,
EXR,144.87,,True,,
F,13.95,,True,,
FANG,199.89,,True,,
FAST,50.31,,True,,
FBHS,45.68,,True,,
FCX,79.91,,True,,
FDC,,0.0,False,FDC Ltd.,BSE
FDO,,0.0,False,Macy's Inc.,FSX
FDS,296.079987,,True,,
FDX,333.70999,,True,,
FDXF,128.75,,True,,
FE,46.62,,True,,
FERG,232.67,,True,,
FFIV,382.75,,True,,
FHN,24.42,,True,,
FICO,1137.14001,,True,,
FII,,0.0,False,Lisi S.A.,Euronext
FIS,40.47,,True,,
FISV,52.44,,True,,
FITB,54.89,,True,,
FIX,1561.95996,,True,,
FL,,0.0,False,Frontier Lithium Inc.,TSXV
FLEX,109.25,,True,,
FLR,51.26,,True,,
FLS,80.56,,True,,
FLT,412.37,,True,,
FMC,11.17,,True,,
FOSL,5.46,,True,,
FOX,62.69,,True,,
FOXA,70.33,,True,,
FRC,,0.0,False,,
FRE,,0.0,False,Fresenius SE & Co. KGaA,XETR
FRT,117.75,,True,,
FRX,,0.0,False,Fennec Pharmaceuticals Inc.,TSX
FSLR,206.82001,,True,,
FTI,75.2,,True,,
FTNT,153.66,,True,,
FTV,59.5,,True,,
GD,376.57999,,True,,
GDDY,99.79,,True,,
GE,349.54001,,True,,
GEHC,73.91,,True,,
GEN,29.31,,True,,
GENZ,40.88,,True,,
GEV,926.72998,,True,,
GGP,,0.0,False,Greatland Resources Limited,LSE
GHC,1178.62,,True,,
GILD,148.77,,True,,
GIS,39.78,,True,,
GL,172.24001,,True,,
GLW,147.16,,True,,
GM,85.81,,True,,
GME,18.09,,True,,
GNRC,201.78,,True,,
GNW,9.86,,True,,
GOOG,343.34,,True,,
GOOGL,346.95999,,True,,
GPC,137.95,,True,,
GPN,93.82,,True,,
GPS,20.15,,True,,
GR,,0.0,False,Great Atlantic Resources Corp.,TSXV
GRA,,0.0,False,Nanoxplore Inc.,TSX
GRMN,288.45001,,True,,
GRN,33.6779,,True,,
GS,1058.88,,True,,
GT,6.2,,True,,
GWW,1301.68005,,True,,
HAL,33.8,,True,,
HAR,,0.0,False,Harfang Exploration Inc.,TSXV
HAS,96.74,,True,,
HBAN,16.95,,True,,
HCA,428.76001,,True,,
HD,337.88,,True,,
HFC,,0.0,False,Hampton Financial Corp.,TSXV
HIG,138.22,,True,,
HII,291.14999,,True,,
HLT,329.31,,True,,
HOG,27.49,,True,,
HON,215.67999,,True,,
HONA,160.36,,True,,
HOOD,112.089996,,True,,
HOT,,0.0,False,Hochtief Aktiengesellschaft,XETR
HP,42.080002,,True,,
HPE,53.44,,True,,
HPQ,29.52,,True,,
HRB,53.19,,True,,
HRL,23.78,,True,,
HSIC,89.65,,True,,
HSP,,0.0,False,Hargreaves Services Plc,LSE
HST,23.0,,True,,
HSY,187.17999,,True,,
HUBB,464.19,,True,,
HUM,389.70999,,True,,
HWM,264.040009,,True,,
IBKR,98.19,,True,,
IBM,234.19,,True,,
ICE,161.78,,True,,
IDXX,550.01001,,True,,
IEX,230.27,,True,,
IFF,87.16,,True,,
IGT,11.61,,True,,
ILMN,224.99001,,True,,
INCY,129.72,,True,,
INFO,28.078699,,True,,
INTC,87.48,,True,,
INTU,357.45999,,True,,
INVH,30.21,,True,,
IP,40.99,,True,,
IPGP,71.73,,True,,
IQV,259.42001,,True,,
IR,78.57,,True,,
