engine,convention,ticker,rule,n_bars,final_equity,total_return,n_trades
reference,at_close,AAPL,SMA_CROSS,2848,43403.23300958048,3.3403233009580475,69
reference,at_close,AAPL,RSI_TREND,2848,91659.48094997655,8.165948094997656,259
reference,at_close,AAPL,MACD_CROSS,2848,94385.82564509187,8.438582564509186,201
reference,at_close,AAPL,CCI_ZERO,2848,121342.45060283308,11.134245060283307,213
reference,at_close,AAPL,BBANDS_DIP,2848,12378.241809206198,0.23782418092061985,126
reference,next_open,AAPL,SMA_CROSS,2848,42938.619083535734,3.2938619083535734,69
reference,next_open,AAPL,RSI_TREND,2848,75856.71269947005,6.585671269947005,259
reference,next_open,AAPL,MACD_CROSS,2848,77090.58993959193,6.709058993959193,201
reference,next_open,AAPL,CCI_ZERO,2848,118186.54174704307,10.818654174704307,213
reference,next_open,AAPL,BBANDS_DIP,2848,15929.909290645961,0.592990929064596,126
reference,at_close,MSFT,SMA_CROSS,2848,26134.359878495656,1.6134359878495657,60
reference,at_close,MSFT,RSI_TREND,2848,21361.257314263974,1.1361257314263975,325
reference,at_close,MSFT,MACD_CROSS,2848,14331.185125793256,0.43311851257932554,239
reference,at_close,MSFT,CCI_ZERO,2848,21604.228612426068,1.1604228612426066,321
reference,at_close,MSFT,BBANDS_DIP,2848,26172.597836269866,1.6172597836269866,136
reference,next_open,MSFT,SMA_CROSS,2848,29640.592611734926,1.9640592611734928,60
reference,next_open,MSFT,RSI_TREND,2848,25417.250110251916,1.5417250110251914,324
reference,next_open,MSFT,MACD_CROSS,2848,12901.800203933137,0.2901800203933136,239
reference,next_open,MSFT,CCI_ZERO,2848,21886.59039703657,1.1886590397036567,321
reference,next_open,MSFT,BBANDS_DIP,2848,16962.23726049655,0.6962237260496549,136
reference,at_close,AMZN,SMA_CROSS,2848,37750.09896354684,2.7750098963546845,58
reference,at_close,AMZN,RSI_TREND,2848,36012.111849126035,2.6012111849126036,334
reference,at_close,AMZN,MACD_CROSS,2848,19198.583526912404,0.9198583526912403,238
reference,at_close,AMZN,CCI_ZERO,2848,48885.03738696739,3.8885037386967394,278
reference,at_close,AMZN,BBANDS_DIP,2848,11152.281413806273,0.11522814138062731,132
reference,next_open,AMZN,SMA_CROSS,2848,36795.11607886404,2.679511607886404,58
reference,next_open,AMZN,RSI_TREND,2848,40700.3783795087,3.0700378379508697,334
reference,next_open,AMZN,MACD_CROSS,2848,24547.08208718611,1.454708208718611,238
reference,next_open,AMZN,CCI_ZERO,2848,34867.88736405085,2.4867887364050847,278
