cls,tf,rank,rule,family,source,window,n_eval_per_symbol,n_symbols,n_symbols_failed,n_bars_compared,n_bars_agree,agree_frac,n_symbols_below_100pct,worst_symbol,worst_symbol_frac,verdict,diagnosis,note
cme_futures,15m,1,ibs,published,book_csv,1500,200,19,0,3800,3800,1.0,0,ES.v.0,1.0,reproduces,,board sheet empty (no edge_standard rows for this cell); ranked from book CSV on cashmatch_excess_cagr
cme_futures,15m,2,volmanaged,published,book_csv,1500,200,19,0,3800,1671,0.439737,11,NQ.v.0,0.0,anchored_state,w4500=67% w18000=67%,board sheet empty (no edge_standard rows for this cell); ranked from book CSV on cashmatch_excess_cagr
cme_futures,15m,3,ssl_hybrid@allow_short=0,published,book_csv,1500,200,19,0,3800,1120,0.294737,14,ES.v.0,0.0,window_too_short,w4500=0% w18000=100%,board sheet empty (no edge_standard rows for this cell); ranked from book CSV on cashmatch_excess_cagr
cme_futures,15m,4,CDLHOMINGPIGEON,talib,book_csv,1500,200,19,0,3800,3800,1.0,0,ES.v.0,1.0,reproduces,,board sheet empty (no edge_standard rows for this cell); ranked from book CSV on cashmatch_excess_cagr
cme_futures,15m,5,MAXINDEX~MININDEX|or,combo,book_csv,1500,200,19,0,3800,3800,1.0,0,ES.v.0,1.0,reproduces,,board sheet empty (no edge_standard rows for this cell); ranked from book CSV on cashmatch_excess_cagr
cme_futures,1h,1,MAXINDEX,talib,board,1500,200,19,0,3800,3800,1.0,0,ES.v.0,1.0,reproduces,,
cme_futures,1h,2,CDLGAPSIDESIDEWHITE,talib,board,1500,200,19,0,3800,3800,1.0,0,ES.v.0,1.0,reproduces,,
cme_futures,1h,3,CDLMATCHINGLOW,talib,board,1500,200,19,0,3800,3800,1.0,0,ES.v.0,1.0,reproduces,,
cme_futures,1h,4,CDLINVERTEDHAMMER,talib,board,1500,200,19,0,3800,3800,1.0,0,ES.v.0,1.0,reproduces,,
cme_futures,1h,5,CDLHIKKAKEMOD,talib,board,1500,200,19,0,3800,3800,1.0,0,ES.v.0,1.0,reproduces,,
cme_futures,1h,1,MAXINDEX,talib,board,5000,200,19,0,3800,3800,1.0,0,ES.v.0,1.0,re-measure at the largest single warm-up request td_live can make,,
cme_futures,1h,2,CDLGAPSIDESIDEWHITE,talib,board,5000,200,19,0,3800,3800,1.0,0,ES.v.0,1.0,re-measure at the largest single warm-up request td_live can make,,
cme_futures,1h,3,CDLMATCHINGLOW,talib,board,5000,200,19,0,3800,3800,1.0,0,ES.v.0,1.0,re-measure at the largest single warm-up request td_live can make,,
cme_futures,1h,4,CDLINVERTEDHAMMER,talib,board,5000,200,19,0,3800,3800,1.0,0,ES.v.0,1.0,re-measure at the largest single warm-up request td_live can make,,
cme_futures,1h,5,CDLHIKKAKEMOD,talib,board,5000,200,19,0,3800,3800,1.0,0,ES.v.0,1.0,re-measure at the largest single warm-up request td_live can make,,
commodities,15m,1,CDLINVERTEDHAMMER,talib,board,1500,200,5,0,1000,1000,1.0,0,XAU/USD,1.0,reproduces,,
