rule,min_window,note,symbol
ema_cross_sniper@allow_short=0,,rule failed to build,BTC/USD
ema_cross_sniper,,rule failed to build,BTC/USD
renko_delta,,rule failed to build,BTC/USD
pivot_center@allow_short=0,,rule failed to build,BTC/USD
bar_updn@allow_short=0,,rule failed to build,BTC/USD
bb_outside_in@allow_short=0,,rule failed to build,BTC/USD
ema_cross_sniper@allow_short=0,,rule failed to build,ETH/USD
ema_cross_sniper,,rule failed to build,ETH/USD
renko_delta,,rule failed to build,ETH/USD
pivot_center@allow_short=0,,rule failed to build,ETH/USD
bar_updn@allow_short=0,,rule failed to build,ETH/USD
bb_outside_in@allow_short=0,,rule failed to build,ETH/USD
