book,signal,horizon,t,p_perm,null_sd,z_vs_null,n_eff
top-20,C_vol_of_vol_60,5,-2.823444617657152,0.083,0.7242785783994755,-3.898285413737423,6.774776520343785
top-20,C_downside_vol_126,21,-2.8011108118968755,0.0275,0.4315606993360067,-6.490653148460056,6.774776520343785
top-20,C_idio_vol_126,21,-2.7746110096470002,0.0004997501249375312,0.6911360590858917,-4.014565544904064,6.774776520343785
top-20,A_mom_252_skip21,1,2.62973261639813,0.0004997501249375312,0.674280366497672,3.9000581168593307,6.774776520343785
top-20,A_mom_504_skip21,1,2.5538564854111074,0.1605,1.8882485305846157,1.3525001841894269,6.774776520343785
top-20,A_mom_504,1,2.5494778112751564,0.1675,1.9164131594253633,1.3303382930430396,6.774776520343785
top-20,C_lowvol_60,21,-2.539883587058223,0.1085,0.4055843598359614,-6.2622818791273875,6.774776520343785
top-20,C_downside_vol_60,21,-2.510594030662863,0.0615,0.40758476943736893,-6.159685589156076,6.774776520343785
top-20,C_lowvol_60,5,-2.46638310789269,0.1425,0.35871359424975546,-6.875633227815344,6.774776520343785
top-20,C_vol_of_vol_60,21,-2.455331222132738,0.174,0.7927251392129966,-3.0973298318384948,6.774776520343785
top-20,C_lowvol_126,21,-2.4127688114626227,0.1035,0.3699904348453164,-6.5211653714003175,6.774776520343785
top-20,A_mom_252,1,2.411187618406292,0.0004997501249375312,0.6704189307931857,3.5965386829897072,6.774776520343785
top-20,C_idio_vol_126,5,-2.389418456135417,0.0855,0.6586808000608798,-3.6275817602616782,6.774776520343785
top-20,E_neg_gap_63,5,-2.3503935742180695,0.067,0.3492935288366841,-6.728992609871742,6.774776520343785
top-20,E_neg_gap_63,21,-2.2968054566174145,0.151,0.41537891863997245,-5.529422302262188,6.774776520343785
S&P-PIT,B_reversal_1,1,3.6686818557178302,0.001,0.9922182072685205,3.6974546816847393,4.428643586670972
S&P-PIT,B_reversal_10,1,2.7100764356538862,0.026,1.0713471594575636,2.5295968834472213,4.428643586670972
S&P-PIT,B_rel_reversal_5,1,2.4269840628155346,0.025,1.04736016067554,2.3172392400816033,4.428643586670972
S&P-PIT,B_reversal_5,1,2.4269840628155346,0.032,1.1037162746880496,2.198920246511259,4.428643586670972
S&P-PIT,B_reversal_1,5,2.3423450700630846,0.039,1.0682790578288999,2.1926340808585283,4.428643586670972
S&P-PIT,F_overnight_21,21,-2.3025638825789576,0.0415,1.0001339894019892,-2.302255404754048,4.428643586670972
S&P-PIT,A_mom_504_skip21,1,2.259270507480419,0.3055,3.323022154426717,0.6798842747619854,4.428643586670972
S&P-PIT,B_reversal_21,21,2.1997418745084354,0.032,0.9401409089871576,2.339800186844634,4.428643586670972
S&P-PIT,A_mom_21,21,-2.1997418745084354,0.029,0.9321234112839558,-2.3599255719566097,4.428643586670972
S&P-PIT,B_rel_reversal_21,21,2.1997418745084354,0.0265,0.9173495077788137,2.3979321467503585,4.428643586670972
S&P-PIT,I_idio_mom_252,1,2.0706577005203837,0.0635,0.9953783219440219,2.080272048195996,4.428643586670972
S&P-PIT,F_on_minus_id_21,1,2.0270341952492346,0.066,0.8516288126966878,2.3801850818440706,4.428643586670972
S&P-PIT,F_on_share_21,21,-2.0248610826232696,0.016,0.9251939305307787,-2.1885801622818883,4.428643586670972
S&P-PIT,F_intraday_21,1,-2.011510990535461,0.061,0.9094528711653145,-2.2117814504868627,4.428643586670972
S&P-PIT,A_mom_126_skip21,1,1.9768207648559823,0.0745,0.9993841155383326,1.9780390083457944,4.428643586670972
