sample,lookback,cap,ir,t,year_hit,breakeven_bps,cagr_5,dd_5,gates,years
"1995-2014 (NEW, unsearched)",20,1.0,-0.5777281776536164,-2.5823970507060117,0.15,0.0,0.18583634578780628,-0.2500315990639992,0,19.98015873015873
"1995-2014 (NEW, unsearched)",20,2.0,-0.28675884733959645,-1.2817882704651802,0.4,0.0,0.21058137990159298,-0.2529757661885763,0,19.98015873015873
"1995-2014 (NEW, unsearched)",60,1.0,-0.5573498124669295,-2.4913074480315474,0.1,0.0,0.19032372281663745,-0.23618255242133057,0,19.98015873015873
"1995-2014 (NEW, unsearched)",60,2.0,-0.33845400305148915,-1.5128613300974207,0.4,0.0,0.20848942232078516,-0.23618255242133035,0,19.98015873015873
2015-2022 (original train),20,1.0,-0.35420104726555235,-1.001334785987478,0.125,0.0,0.17632021999391867,-0.15020156444101906,0,7.992063492063492
2015-2022 (original train),20,2.0,0.17926011719196044,0.5067726153557284,0.5,23.80420898275088,0.23447119747111356,-0.166082837461893,1,7.992063492063492
2015-2022 (original train),60,1.0,-0.5894479834449207,-1.6663834703770881,0.125,0.0,0.15648450120424595,-0.20518776443097075,0,7.992063492063492
2015-2022 (original train),60,2.0,-0.0044837605739986,-0.01267569779774795,0.625,3.8865406538478444,0.21087434472329858,-0.22479010120581966,0,7.992063492063492
2023-2026 (original holdout),20,1.0,-0.7561365234793258,-1.4265801189244462,0.0,0.0,0.2293624186966794,-0.13358457623845543,0,3.5595238095238093
2023-2026 (original holdout),20,2.0,0.4134258993482204,0.7799982547394514,0.75,28.890813643797852,0.29648278469950395,-0.15700320951631996,2,3.5595238095238093
2023-2026 (original holdout),60,1.0,-0.9219803074655407,-1.7394726161593101,0.0,0.0,0.2127142414421177,-0.15217918637384475,0,3.5595238095238093
2023-2026 (original holdout),60,2.0,0.18703159467854763,0.3528669047110862,0.75,33.40690380126779,0.2775584758702876,-0.17333268830297122,2,3.5595238095238093
1995-2026 (full),20,1.0,-0.5088016487846027,-2.8570807821234334,0.125,0.0,0.1894080469015278,-0.2500315990639992,0,31.53174603174603
1995-2026 (full),20,2.0,-0.08766584813255794,-0.4922712230716782,0.5,0.0,0.22724655325925247,-0.2529757661885763,0,31.53174603174603
1995-2026 (full),60,1.0,-0.5660318849746847,-3.1784465016836108,0.09375,0.0,0.18733507003767524,-0.23618255242133057,0,31.53174603174603
1995-2026 (full),60,2.0,-0.17323221731149022,-0.9727532135706926,0.5,0.0,0.2199829623328644,-0.23618255242133035,0,31.53174603174603
