timeframe,ticker,indicator,cost_bps,n_bars,bars_per_year,total_return,pnl_dollars,cagr,sharpe,max_drawdown,exposure,n_trades,turnover_per_year,base_total_return,base_cagr,base_sharpe,excess_total_return,excess_cagr,excess_sharpe,beat_buyhold
5m,AAPL,ACCBANDS,0.0,69716,19508.469880319324,-0.2185755327835972,-2185.755327835972,-0.06668900069794015,-0.24755256480621035,-0.48599945438102354,0.9860290320729818,2506,901.0582086298247,1.4209142850785947,0.28070654207174495,1.063021548497196,-1.639489817862192,-0.3473955427696851,-1.3105741133034066,False
5m,AAPL,ACCBANDS,1.0,69716,19508.469880319324,-0.43389183834903133,-4338.918383490313,-0.1471877829952689,-0.698955666228333,-0.5862764294020044,0.9860290320729818,2506,901.0582086298247,1.4209142850785947,0.28070654207174495,1.063021548497196,-1.854806123427626,-0.42789432506701386,-1.7619772147255293,False
5m,AAPL,ACCBANDS,5.0,69716,19508.469880319324,-0.8441357450317926,-8441.357450317926,-0.40556433983946527,-2.4761893924597778,-0.8660340775734441,0.9860290320729818,2506,901.0582086298247,1.4209142850785947,0.28070654207174495,1.063021548497196,-2.2650500301103875,-0.6862708819112102,-3.539210940956974,False
5m,AAPL,ACCBANDS,10.0,69716,19508.469880319324,-0.9689473099305022,-9689.473099305022,-0.6215212500037994,-4.607428991846627,-0.971734128191777,0.9860290320729818,2506,901.0582086298247,1.4209142850785947,0.28070654207174495,1.063021548497196,-2.389861595009097,-0.9022277920755444,-5.670450540343823,False
5m,AAPL,ACOS,0.0,69716,19508.469880319324,0.0,0.0,0.0,,0.0,0.0,0,0.0,1.4209142850785947,0.28070654207174495,1.063021548497196,-1.4209142850785947,-0.28070654207174495,,False
5m,AAPL,ACOS,1.0,69716,19508.469880319324,0.0,0.0,0.0,,0.0,0.0,0,0.0,1.4209142850785947,0.28070654207174495,1.063021548497196,-1.4209142850785947,-0.28070654207174495,,False
5m,AAPL,ACOS,5.0,69716,19508.469880319324,0.0,0.0,0.0,,0.0,0.0,0,0.0,1.4209142850785947,0.28070654207174495,1.063021548497196,-1.4209142850785947,-0.28070654207174495,,False
5m,AAPL,ACOS,10.0,69716,19508.469880319324,0.0,0.0,0.0,,0.0,0.0,0,0.0,1.4209142850785947,0.28070654207174495,1.063021548497196,-1.4209142850785947,-0.28070654207174495,,False
5m,AAPL,AD,0.0,69716,19508.469880319324,-0.19515200563234336,-1951.5200563234337,-0.05894339563649853,-0.20579922663998476,-0.3849680100565398,0.9866314762751736,9561,4848.924422092423,1.4209142850785947,0.28070654207174495,1.063021548497196,-1.616066290710938,-0.3396499377082435,-1.268820775137181,False
5m,AAPL,AD,1.0,69716,19508.469880319324,-0.857970625289916,-8579.70625289916,-0.4208267323573799,-2.609473615373022,-0.8694583112529672,0.9866314762751736,9561,4848.924422092423,1.4209142850785947,0.28070654207174495,1.063021548497196,-2.278884910368511,-0.7015332744291248,-3.672495163870218,False
5m,AAPL,AD,5.0,69716,19508.469880319324,-0.9998627209561923,-9998.627209561922,-0.9169806997560302,-11.468578970902348,-0.9998663457924628,0.9866314762751736,9561,4848.924422092423,1.4209142850785947,0.28070654207174495,1.063021548497196,-2.420777006034787,-1.1976872418277753,-12.531600519399543,False
5m,AAPL,AD,10.0,69716,19508.469880319324,-0.99999997677731,-9999.9997677731,-0.992692984903493,-20.514961348257792,-0.9999999773678392,0.9866314762751736,9561,4848.924422092423,1.4209142850785947,0.28070654207174495,1.063021548497196,-2.4209142618559047,-1.273399526975238,-21.57798289675499,False
5m,AAPL,ADD,0.0,69716,19508.469880319324,-0.3895099459929595,-3895.099459929595,-0.12898413126126296,-0.5943527699518812,-0.5001429209833843,0.9868609788283894,8296,4140.950115311846,1.4209142850785947,0.28070654207174495,1.063021548497196,-1.8104242310715541,-0.4096906733330079,-1.6573743184490772,False
5m,AAPL,ADD,1.0,69716,19508.469880319324,-0.8611857592659649,-8611.857592659648,-0.4245258519415186,-2.650918990362338,-0.8716809410859996,0.9868609788283894,8296,4140.950115311846,1.4209142850785947,0.28070654207174495,1.063021548497196,-2.28210004434456,-0.7052323940132635,-3.713940538859534,False
5m,AAPL,ADD,5.0,69716,19508.469880319324,-0.9996299628668096,-9996.299628668095,-0.8904314014028528,-10.362436562254464,-0.9996424114036964,0.9868609788283894,8296,4140.950115311846,1.4209142850785947,0.28070654207174495,1.063021548497196,-2.4205442479454042,-1.1711379434745979,-11.42545811075166,False
5m,AAPL,ADD,10.0,69716,19508.469880319324,-0.9999997772680996,-9999.997772680996,-0.9862438035777114,-18.4883381410866,-0.9999997835601722,0.9868609788283894,8296,4140.950115311846,1.4209142850785947,0.28070654207174495,1.063021548497196,-2.4209140623466943,-1.2669503456494562,-19.551359689583798,False
5m,AAPL,ADOSC,0.0,69716,19508.469880319324,0.011150011376659386,111.50011376659386,0.003107679462351909,0.11506791877510134,-0.27755437085351997,0.9870044179241494,8920,4490.180129091355,1.4209142850785947,0.28070654207174495,1.063021548497196,-1.4097642737019354,-0.27759886260939304,-0.9479536297220947,False
5m,AAPL,ADOSC,1.0,69716,19508.469880319324,-0.7971089690096611,-7971.089690096611,-0.3600439392722833,-2.1176502462524027,-0.813253533852176,0.9870044179241494,8920,4490.180129091355,1.4209142850785947,0.28070654207174495,1.063021548497196,-2.218023254088256,-0.6407504813440282,-3.180671794749599,False
5m,AAPL,ADOSC,5.0,69716,19508.469880319324,-0.9996721066870603,-9996.721066870603,-0.8940767315416239,-10.422694534962853,-0.9996821638772266,0.9870044179241494,8920,4490.180129091355,1.4209142850785947,0.28070654207174495,1.063021548497196,-2.420586391765655,-1.174783273613369,-11.485716083460048,False
5m,AAPL,ADOSC,10.0,69716,19508.469880319324,-0.9999998944769404,-9999.998944769404,-0.9888387934842301,-19.045667239846047,-0.9999998976110297,0.9870044179241494,8920,4490.180129091355,1.4209142850785947,0.28070654207174495,1.063021548497196,-2.420914179555535,-1.269545335555975,-20.108688788343244,False
5m,AAPL,ADX,0.0,69716,19508.469880319324,-0.26194688787353193,-2619.4688787353193,-0.08148399594058275,-0.32770768938208483,-0.5620637006426163,0.9864736932698376,5488,2569.415053304053,1.4209142850785947,0.28070654207174495,1.063021548497196,-1.6828611729521268,-0.3621905380123277,-1.390729237879281,False
