timeframe,cost_bps,indicator,n_tickers,total_pnl_dollars,avg_total_return,median_total_return,avg_cagr,avg_sharpe,avg_max_drawdown,avg_excess_sharpe,avg_excess_cagr,beat_buyhold_rate,win_rate,avg_exposure,avg_turnover,avg_trades,n_sharpe,rankable,generic_fallback,is_baseline
1d,0.0,ACCBANDS,20,-88629.63578079735,-0.4431481789039868,-0.5115027509395391,-0.05933815586318536,-0.09724495754986573,-0.7127351462447997,-0.8230573493201868,-0.25281528978968193,0.0,0.15,0.9882171075231879,8.175147531430131,47.8,20,True,False,False
1d,0.0,ACOS,20,-1008.5093220553188,-0.005042546610276593,0.0,-0.0004572362920424788,-0.012709162590119998,-0.020164019544853744,-1.334106417598338,-0.19393437021853907,0.0,0.0,0.005565097904500172,0.2506123450438412,1.5,1,False,True,False
1d,0.0,AD,20,-125751.19239404352,-0.6287559619702177,-0.7950478653655635,-0.12486914220253582,-0.3585835113097097,-0.8345941390499526,-1.0843959030800308,-0.31834627612903243,0.0,0.1,0.9934730333218825,63.776520911156844,369.5,20,True,False,False
1d,0.0,ADD,20,-16476.250147699444,-0.08238125073849722,-0.42632724900040286,-0.035419935249453555,-0.019651173297879597,-0.6680121688789793,-0.7454635650682006,-0.22889706917595015,0.0,0.25,0.9934730333218825,52.196502209131076,302.5,20,True,True,False
1d,0.0,ADOSC,20,-131265.67396266575,-0.6563283698133288,-0.815536771779122,-0.12811444014239237,-0.3732718342484889,-0.8376121660032059,-1.0990842260188098,-0.32159157406888894,0.0,0.1,0.9969082789419443,56.9149277399565,329.8,20,True,False,False
1d,0.0,ADX,20,4746.302061842907,0.023731510309214544,-0.06161532506109685,-0.019305243914141575,0.0649492265077415,-0.65138262936775,-0.6608631652625795,-0.2127823778406382,0.0,0.45,0.9841978701477154,29.8142272552156,173.0,20,True,True,False
1d,0.0,ADXR,20,3313.799638168781,0.016568998190843915,-0.4073659026236626,-0.04051078590466079,-0.013461457305855799,-0.6652029169460812,-0.7392738490761769,-0.2339879198311574,0.0,0.25,0.9797320508416352,25.458757534453667,147.8,20,True,True,False
1d,0.0,APO,20,22614.154457752076,0.11307077228876036,-0.4134119881819612,-0.01902635424071203,0.027662818161328578,-0.6730891626738477,-0.6981495736089924,-0.21250348816720863,0.0,0.35,0.9914118859498455,20.47243604858138,118.95,20,True,False,False
1d,0.0,AROON,20,-3683.816239451626,-0.018419081197258113,-0.3715626704201913,-0.03869863854814686,-0.022404811377952943,-0.6602641135959175,-0.7482172031482739,-0.23217577247464347,0.0,0.3,0.9938509103400893,34.11784614596846,199.1,20,True,False,False
1d,0.0,AROONOSC,20,-3683.816239451626,-0.018419081197258113,-0.3715626704201913,-0.03869863854814686,-0.022404811377952943,-0.6602641135959175,-0.7482172031482739,-0.23217577247464347,0.0,0.3,0.9938509103400893,34.11784614596846,199.1,20,True,False,False
1d,0.0,ASIN,20,-696.9060024627927,-0.0034845300123139632,0.0,-0.00031116136546984754,0.012709162590119998,-0.01803982776748244,-1.3086880924180981,-0.19378829529196645,0.0,0.0,0.005565097904500172,0.2506123450438412,1.5,1,False,True,False
1d,0.0,ATAN,20,5491.790385966619,0.02745895192983307,-0.4124290084859731,-0.04257878233939881,-0.05023315424790668,-0.680936196527243,-0.7760455460182277,-0.23605591626589542,0.0,0.2,0.9934730333218825,58.74699040027699,340.4,20,True,True,False
1d,0.0,ATR,20,-28500.970165882805,-0.14250485082941403,-0.41776928782452155,-0.040696430538286685,-0.02746447281370163,-0.7124026525423709,-0.7532768645840227,-0.23417356446478327,0.0,0.2,0.9886636894537959,46.22501495308644,267.95,20,True,True,False
1d,0.0,AVGDEV,20,-8721.705480690976,-0.04360852740345485,-0.4145855301751926,-0.030037482255166142,0.012867782540654672,-0.7072863299837395,-0.7129446092296663,-0.22351461618166274,0.0,0.25,0.9890072140158022,44.488012147782584,257.9,20,True,True,False
1d,0.0,AVGPRICE,20,-36970.46175601616,-0.1848523087800808,-0.7224016902293128,-0.1020314812107003,-0.2788645189129254,-0.8144918948112355,-1.0046769106832465,-0.2955086151371969,0.0,0.15,0.999776709034696,254.68263519955332,1474.7,20,True,False,False
1d,0.0,BBANDS,20,0.0,0.0,0.0,0.0,,0.0,,-0.1934771339264966,0.0,0.0,0.0,0.0,0.0,0,False,False,False
1d,0.0,BETA,20,-172504.78045210146,-0.8625239022605073,-0.9014348046590372,-0.2010696486537015,-0.6246856998176022,-0.8951452114774476,-1.3504980915879234,-0.3945467825801981,0.0,0.0,0.998282377189969,28.975972170068957,168.15,20,True,False,False
1d,0.0,BOP,20,-126237.93081885287,-0.6311896540942643,-0.7469882050428354,-0.11374433145855431,-0.30837940092890226,-0.79995662898586,-1.0341917926992232,-0.3072214653850509,0.0,0.05,0.9965132256956373,255.1147254496289,1486.6,20,True,False,False
1d,0.0,BUYHOLD,20,5374372.87291947,26.871864364597343,5.028281442799381,0.1934771339264966,0.7258123917703211,-0.46543749735534695,0.0,0.0,0.0,1.0,1.0,0.08641805001511768,1.0,20,True,False,True
1d,0.0,CCI,20,10991.099882782693,0.05495549941391349,-0.3711640483617651,-0.04111759479602514,-0.05876958898377336,-0.6843428673443411,-0.7845819807540944,-0.23459472872252177,0.0,0.2,0.9955341806939197,61.94445825083635,358.9,20,True,False,False
1d,0.0,CDL2CROWS,20,-6221.192866983518,-0.03110596433491759,-0.021417337757203503,-0.0029268246330588664,-0.11245565542484517,-0.07271976875498767,-0.8382680471951662,-0.19640395855955547,0.0,0.4,0.00623497080041223,0.5228292025914619,6.05,20,True,False,False
1d,0.0,CDL3BLACKCROWS,20,-752.4442765854311,-0.0037622213829271558,0.0,-0.0003474389097231301,-0.15498395313391528,-0.010341567216756015,-1.0241943507110947,-0.19382457283621973,0.0,0.05,0.0004122294744074201,0.034567220006047075,0.4,4,False,False,False
1d,0.0,CDL3INSIDE,20,-4083.0525040458842,-0.020415262520229426,-0.007207073928369001,-0.006258157664312069,0.014658421290588105,-0.305010301495903,-0.7111539704797329,-0.19973529159080866,0.0,0.5,0.10274819649604947,8.594275074003452,96.35,20,True,False,False
1d,0.0,CDL3LINESTRIKE,20,-1576.258037320165,-0.007881290186600826,0.0,-0.0008371473437309207,-0.024017572772833937,-0.047085162910609546,-0.7681790321241901,-0.1943142812702275,0.0,0.4,0.004740638955685331,0.3888812250680295,4.5,16,True,False,False
1d,0.0,CDL3OUTSIDE,20,-58729.75649617904,-0.2936487824808952,-0.3221776634947895,-0.03596808041806667,-0.2572913105024715,-0.47767070502362835,-0.9831037022727924,-0.22944521434456328,0.0,0.2,0.19876331157677773,16.289802427849683,179.0,20,True,False,False
1d,0.0,CDL3STARSINSOUTH,20,0.0,0.0,0.0,0.0,,0.0,,-0.1934771339264966,0.0,0.0,0.0,0.0,0.0,0,False,False,False
1d,0.0,CDL3WHITESOLDIERS,20,7024.931596254858,0.035124657981274295,0.012132157085004702,0.002790019141358485,0.16911068600758733,-0.027657202028920042,-0.5810790588381418,-0.1906871147851381,0.0,0.55,0.004465819306080384,0.371597615065006,4.3,16,True,False,False
1d,0.0,CDLABANDONEDBABY,20,160.23433940150707,0.0008011716970075355,0.0,4.694258540183793e-05,0.013001337907081849,-0.007404950781847497,-0.7904207215802215,-0.19343019134109476,0.0,0.1,0.0006183442116111301,0.051850830009070606,0.55,4,False,False,False
