timeframe,cost_bps,indicator,n_tickers,total_pnl_dollars,avg_total_return,median_total_return,avg_cagr,avg_sharpe,avg_max_drawdown,avg_excess_sharpe,avg_excess_cagr,beat_buyhold_rate,win_rate,avg_exposure,avg_turnover,avg_trades,n_sharpe,rankable,generic_fallback,is_baseline
5m,0.0,ACCBANDS,20,-1994.6489636901865,-0.009973244818450938,-0.22247119164765095,-0.0249456759433216,-0.1254599014020649,-0.3947335603642553,-0.9373249496756525,-0.2666164240643529,0.15,0.3,0.9865739060451434,935.9812116600727,2569.25,20,True,False,False
5m,0.0,ACOS,20,0.0,0.0,0.0,0.0,,0.0,,-0.24167074812103126,0.1,0.0,0.0,0.0,0.0,0,False,True,False
5m,0.0,AD,20,36503.93457159935,0.18251967285799675,-0.1474151511758255,-0.003628086329469471,-0.1047116146483215,-0.38629176958037603,-0.9165766629219091,-0.24529883445050077,0.05,0.4,0.9866685836368945,4907.017500342796,9665.15,20,True,False,False
5m,0.0,ADD,20,-8277.741826760703,-0.041388709133803506,-0.05587726950134281,-0.022075217407767474,-0.07964254828210945,-0.3929552759139575,-0.8915075965556971,-0.26374596552879875,0.1,0.45,0.9868593765560506,4118.199801929122,8255.35,20,True,True,False
5m,0.0,ADOSC,20,36458.51087935756,0.1822925543967878,-0.0005129575297674882,0.012282012472543763,0.0039225121173036195,-0.35115749678345054,-0.8079425361562841,-0.22938873564848752,0.15,0.5,0.9870028331438666,4534.925232571512,8999.95,20,True,False,False
5m,0.0,ADX,20,14064.371153704342,0.07032185576852172,-0.042558634459617994,0.0020445660111211073,0.054375000730453114,-0.34823506396872994,-0.7574900475431345,-0.23962618210991016,0.15,0.45,0.9864720437689473,2545.3215447844664,5444.95,20,True,True,False
5m,0.0,ADXR,20,5683.639785059251,0.02841819892529625,-0.08048320356059624,-0.0057670094695110195,0.0458142989787457,-0.361167266660782,-0.7660507492948418,-0.2474377575905423,0.1,0.4,0.9862855502047865,2265.601735174043,4945.15,20,True,True,False
5m,0.0,APO,20,56379.01628682345,0.28189508143411723,0.15445523093100455,0.05481629108522679,0.295996622349922,-0.33934751349815717,-0.5158684259236657,-0.1868544570358045,0.15,0.7,0.986773302603361,2089.7834514870083,4631.0,20,True,False,False
5m,0.0,AROON,20,23093.13075026668,0.1154656537513334,0.038731089553828424,0.018487247230721406,0.16049113100684748,-0.3546740411395848,-0.6513739172667401,-0.2231835008903099,0.2,0.55,0.9816318022460224,3082.318658249808,6457.7,20,True,False,False
5m,0.0,AROONOSC,20,23093.13075026668,0.1154656537513334,0.038731089553828424,0.018487247230721406,0.16049113100684748,-0.3546740411395848,-0.6513739172667401,-0.2231835008903099,0.2,0.55,0.9816318022460224,3082.318658249808,6457.7,20,True,False,False
