fold,rule,is_excess_cagr
1998-05-04,"ibs@buy=0.1,sell=0.9",0.08902030675646877
1999-05-04,"ibs@buy=0.1,sell=0.9",0.14633242945638614
2000-05-04,"ibs@buy=0.1,sell=0.9",0.09534269065686263
2001-05-04,"ibs@buy=0.3,sell=0.7",0.11755417545636204
2002-05-04,"ibs@buy=0.3,sell=0.7",0.13574999926060305
2003-05-04,"ibs@buy=0.3,sell=0.7",0.13528687794538663
2004-05-04,"sell_in_may@end_month=5,start_month=10",0.11956578479746094
2005-05-04,"sell_in_may@end_month=5,start_month=10",0.05799519113445473
2006-05-04,ibs,0.03768423375983376
2007-05-04,"ibs@buy=0.3,sell=0.7",0.024824094004072927
2008-05-04,"ibs@buy=0.3,sell=0.7",0.03622353001452283
2009-05-04,st_reversal@lookback_weeks=0.5,0.1763950028847613
2010-05-04,"ibs@buy=0.3,sell=0.7",0.15114400570938047
2011-05-04,"ibs@buy=0.3,sell=0.7",0.15269076499854561
2012-05-04,"sell_in_may@end_month=5,start_month=10",0.04337855519752032
2013-05-04,sell_in_may,0.050153827738396606
2014-05-04,ibs,0.03915331810750988
2015-05-04,preholiday@sessions=3,0.035385979577267745
2016-05-04,"sell_in_may@end_month=5,start_month=10",0.05008882331399045
2017-05-04,"sell_in_may@end_month=5,start_month=10",0.03795326257606235
2018-05-04,"ibs@buy=0.1,sell=0.9",0.018523380206988183
2019-05-04,RANDOM_75,0.005615797242054521
2020-05-04,"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",0.09176996002621784
2021-05-04,ibs,0.10692437576681901
2022-05-04,ibs,0.15443929866944894
2023-05-04,ibs,0.12457543465138277
2024-05-04,"ibs@buy=0.1,sell=0.9",0.10201409677818707
2025-05-04,"ibs@buy=0.1,sell=0.9",0.0781583684787781
2026-05-04,"supertrend_lf@atr_days=20.0,mult=4.0",0.0023312325069659856
