symbol,scenario,fold,rule,ir_is,ir_oos
AAVE/USD,binance,1,"turn_of_month@after=5,before=3",0.04075498361790314,0.553260668555125
AAVE/USD,binance,2,bollinger_mr@period_days=50.0,0.8352175519738934,0.33695504014954664
AAVE/USD,binance,3,bollinger_mr@period_days=50.0,0.6383393593040612,-1.1428506398307015
AAVE/USD,binance,4,volmanaged@var_months=2.0,0.31452527858215557,-0.5776349557266435
AAVE/USD,binance,5,volmanaged@var_months=3.0,-0.21967578051399952,0.7947119947250652
AAVE/USD,coinbase,1,"turn_of_month@after=5,before=3",-0.10384260869327246,0.44544956682981635
AAVE/USD,coinbase,2,bollinger_mr@period_days=50.0,0.809467543497489,0.3075155716685566
AAVE/USD,coinbase,3,bollinger_mr@period_days=50.0,0.6116210871201453,-1.155897129919458
AAVE/USD,coinbase,4,bollinger_mr@period_days=50.0,0.2880815418314444,-1.6221676295459064
AAVE/USD,coinbase,5,volmanaged@var_months=3.0,-0.2586799212229172,0.48210958458533243
AAVE/USD,gross,1,"turn_of_month@after=5,before=3",0.07203211368223332,0.5765019211258372
AAVE/USD,gross,2,bollinger_mr@period_days=50.0,0.8407417115484801,0.34327382830570297
AAVE/USD,gross,3,bollinger_mr@period_days=50.0,0.6440721455605131,-1.1400272422383642
AAVE/USD,gross,4,"ibs@buy=0.1,sell=0.9",0.3339188519527614,-0.7105566151867392
AAVE/USD,gross,5,volmanaged@var_months=3.0,-0.21125636143426116,0.8614130903542124
AAVE/USD,kraken,1,"turn_of_month@after=5,before=3",-0.006107928673917607,0.5183878517718342
AAVE/USD,kraken,2,bollinger_mr@period_days=50.0,0.8269113419013276,0.3274559682344447
AAVE/USD,kraken,3,bollinger_mr@period_days=50.0,0.6297200231852498,-1.1470795140993544
AAVE/USD,kraken,4,bollinger_mr@period_days=50.0,0.3045435301181847,-1.614071600359147
AAVE/USD,kraken,5,volmanaged@var_months=3.0,-0.23230052447145644,0.694046247703252
ADA/USD,binance,0,supertrend_regime@ma_days=100.0,0.78720432074637,-1.3008608901893575
ADA/USD,binance,1,"supertrend@atr_days=20.0,mult=4.0",0.07046811944119587,0.5998668597273537
ADA/USD,binance,2,momo_regime@lookback_months=6.0,0.24422851469286125,-0.03598681370196703
ADA/USD,binance,3,momo_regime@lookback_months=6.0,0.5480295494304629,-1.071359734406505
ADA/USD,binance,4,"macd_cross@fast_days=8.0,slow_days=17.0",1.048858645229182,-1.1166540341880589
ADA/USD,binance,5,volmanaged@var_months=3.0,0.5412190213620283,
ADA/USD,coinbase,0,supertrend_regime@ma_days=100.0,0.7670889430364443,-1.4050983554100036
ADA/USD,coinbase,1,"supertrend@atr_days=20.0,mult=4.0",0.04169164515404752,0.5703928127385861
ADA/USD,coinbase,2,momo_regime@lookback_months=6.0,0.22462463942956692,-0.1428584958562994
ADA/USD,coinbase,3,momo_regime,0.5161395218321645,-0.641929565607144
ADA/USD,coinbase,4,"supertrend_dual@atr_days=7.0,mult=2.0",0.912310856613271,-1.2140560524560744
ADA/USD,coinbase,5,volmanaged@var_months=3.0,0.5208811070172225,
ADA/USD,gross,0,supertrend_regime@ma_days=100.0,0.7915373223427701,-1.278097755468744
ADA/USD,gross,1,"supertrend@atr_days=20.0,mult=4.0",0.0766896589175772,0.6062260570867734
ADA/USD,gross,2,momo_regime@lookback_months=6.0,0.2484550023271835,-0.012786956922776552
ADA/USD,gross,3,momo_regime@lookback_months=6.0,0.5578978649995069,-1.0299503638250906
ADA/USD,gross,4,"macd_cross@fast_days=8.0,slow_days=17.0",1.0845571942987917,-1.0816062200389844
ADA/USD,gross,5,volmanaged@var_months=3.0,0.5455903915054471,
ADA/USD,kraken,0,supertrend_regime@ma_days=100.0,0.7807009513876244,-1.3348220597576448
ADA/USD,kraken,1,"supertrend@atr_days=20.0,mult=4.0",0.06114539188681568,0.5903291480833681
ADA/USD,kraken,2,momo_regime@lookback_months=6.0,0.2378874215832001,-0.07069190007042603
ADA/USD,kraken,3,momo_regime@lookback_months=6.0,0.5332235568206684,-1.1329286486037722
ADA/USD,kraken,4,"macd_cross@fast_days=8.0,slow_days=17.0",0.9953118744106006,-1.1689123626494593
ADA/USD,kraken,5,volmanaged@var_months=3.0,0.5346515967180169,
ALGO/USD,binance,0,"macd_cross@fast_days=20.0,slow_days=50.0",0.5829163299565832,-0.31638872706666044
ALGO/USD,binance,1,"macd_cross@fast_days=20.0,slow_days=50.0",0.14823276738313246,-0.35653137796153217
ALGO/USD,binance,2,"donchian_s1@entry_days=30.0,exit_days=15.0",0.2608442122741062,0.5320630329732569
ALGO/USD,binance,3,faber_gtaa@ma_months=12.0,0.8093061862250124,-0.9886102778885932
ALGO/USD,binance,4,tsmom12@lookback_months=3.0,0.8383324474955309,0.03262252136810723
ALGO/USD,binance,5,volmanaged@var_months=3.0,0.4406250435379707,
ALGO/USD,coinbase,0,"macd_cross@fast_days=20.0,slow_days=50.0",0.5480433452377504,-0.37944478723676117
ALGO/USD,coinbase,1,"macd_cross@fast_days=20.0,slow_days=50.0",0.09956860569481758,-0.46182030076584646
ALGO/USD,coinbase,2,"donchian_s1@entry_days=30.0,exit_days=15.0",0.24219000066172755,0.5016199727231198
ALGO/USD,coinbase,3,faber_gtaa@ma_months=12.0,0.7850054972144316,-1.0275262382894608
ALGO/USD,coinbase,4,"supertrend@atr_days=20.0,mult=4.0",0.7706137547688792,-0.4771823376798257
ALGO/USD,coinbase,5,volmanaged@var_months=3.0,0.4216130415859664,
