ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,base_rule,variant
-0.013940341183308313,0.5757575757575758,0.17093990122285566,,-0.0264087691691218,,ARB/USD,33,33,3.5888021384952955,False,False,False,False,0,False,,,,crypto,4h,ATR|long_regime200,binance,fixed_transform,4.0,0.0,False,False,True,ATR,long_regime200
-0.01734901062587987,0.5454545454545454,0.257143433771485,,-0.03286619824485323,,DOT/USD,33,33,3.5888021384952955,False,False,False,False,0,False,,,,crypto,4h,ATR|regime200,binance,fixed_transform,4.0,0.0,False,False,True,ATR,regime200
-0.051674542297642526,0.48484848484848486,0.14149129263280028,,-0.09789294548202741,,ARB/USD,33,33,3.5888021384952955,False,False,False,False,0,False,,,,crypto,4h,NATR|long_regime200,binance,fixed_transform,4.0,0.0,False,False,True,NATR,long_regime200
-0.059148647206452784,0.45454545454545453,0.07836574473217134,,-0.11205198999084537,,ARB/USD,33,33,3.5888021384952955,False,False,False,False,0,False,,,,crypto,4h,LINEARREG_INTERCEPT_50|long_regime200,binance,fixed_transform,4.0,0.0,False,False,True,LINEARREG_INTERCEPT_50,long_regime200
-0.07889740403697773,0.45454545454545453,0.12884417020672298,,-0.149464299607695,,ARB/USD,33,33,3.5888021384952955,False,False,False,False,0,False,,,,crypto,4h,LINEARREG_INTERCEPT_50|regime200,binance,fixed_transform,4.0,0.0,False,False,True,LINEARREG_INTERCEPT_50,regime200
-0.07936156874442048,0.45454545454545453,0.20788397266552613,,-0.1503436194503102,,ARB/USD,33,33,3.5888021384952955,False,False,False,False,0,False,,,,crypto,4h,NATR|regime200,binance,fixed_transform,4.0,0.0,False,False,True,NATR,regime200
-0.09020260403401956,0.5454545454545454,0.1418612054197339,,-0.17088102199682242,,DOT/USD,33,33,3.5888021384952955,False,False,False,False,0,False,29.07631193354398,37.76585709864243,-8.689545165098448,crypto,4h,BEST[ATR],binance,wf_transform,4.0,2.0,False,False,True,ATR,
-0.09517139314401567,0.45454545454545453,0.06143241241547143,,-0.18029396267958356,,ARB/USD,33,33,3.5888021384952955,False,False,False,False,0,False,,,,crypto,4h,MA_100|long_regime200,binance,fixed_transform,4.0,0.0,False,False,True,MA_100,long_regime200
-0.09517139314401567,0.45454545454545453,0.06143241241547143,,-0.18029396267958356,,ARB/USD,33,33,3.5888021384952955,False,False,False,False,0,False,,,,crypto,4h,SMA_100|long_regime200,binance,fixed_transform,4.0,0.0,False,False,True,SMA_100,long_regime200
-0.09546146557532074,0.5151515151515151,0.14137728574867886,,-0.18084347978106127,,ARB/USD,33,33,3.5888021384952955,False,False,False,False,0,False,,,,crypto,4h,ATR|hold10,binance,fixed_transform,4.0,0.0,False,False,True,ATR,hold10
