ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,base_rule,variant
-0.1324914015266078,0.4307692307692308,-0.1324914015266078,,-0.2463438741574986,,SPXL,65,65,3.457069781006823,False,False,False,False,0,False,,,,us_etfs,4h,MAXINDEX|confirm2,gross,fixed_transform,4.0,0.0,False,False,True,MAXINDEX,confirm2
-0.19798398446754206,0.36923076923076925,-0.19798398446754206,,-0.36811552442576884,,CORN,65,65,3.457069781006823,False,False,False,False,0,False,,,,us_etfs,4h,MAXINDEX|hold10,gross,fixed_transform,4.0,0.0,False,False,True,MAXINDEX,hold10
-0.23504505299769465,0.27692307692307694,-0.23504505299769468,,-0.43702389958776633,,CORN,65,65,3.457069781006823,False,False,False,False,0,False,,,,us_etfs,4h,MAXINDEX|base,gross,fixed_transform,4.0,0.0,False,False,True,MAXINDEX,base
-0.23504505299769465,0.27692307692307694,-0.23504505299769468,,-0.43702389958776633,,CORN,65,65,3.457069781006823,False,False,False,False,0,False,,,,us_etfs,4h,MAXINDEX|long_only,gross,fixed_transform,4.0,0.0,False,False,True,MAXINDEX,long_only
-0.2894953942769566,0.2923076923076923,-0.28949539427695653,,-0.5382644923007777,,SQQQ,65,65,3.457069781006823,False,False,False,False,0,False,70.87465416575532,90.00272003886836,-19.128065873113044,us_etfs,4h,BEST[MAXINDEX],gross,wf_transform,4.0,2.0,False,False,True,MAXINDEX,
-0.41579467347453397,0.16923076923076924,-0.41579467347453397,,-0.7730952313701539,,CORN,65,65,3.457069781006823,False,False,False,False,0,False,,,,us_etfs,4h,MAXINDEX|voltgt,gross,fixed_transform,4.0,0.0,False,False,True,MAXINDEX,voltgt
-0.44144383801206266,0.18461538461538463,-0.44144383801206266,,-0.8207852285192068,,SQQQ,65,65,3.457069781006823,False,False,False,False,0,False,,,,us_etfs,4h,TSF_9|base,gross,fixed_transform,4.0,0.0,False,False,True,TSF_9,base
-0.44144383801206266,0.18461538461538463,-0.44144383801206266,,-0.8207852285192068,,SQQQ,65,65,3.457069781006823,False,False,False,False,0,False,,,,us_etfs,4h,TSF_9|long_only,gross,fixed_transform,4.0,0.0,False,False,True,TSF_9,long_only
-0.5096256001018558,0.13846153846153847,-0.5096256001018558,,-0.9475569225805106,,SQQQ,65,65,3.457069781006823,False,False,False,False,0,False,5.58803339892312,90.00272003886836,-84.41468663994524,us_etfs,4h,BEST[MINUS_DM],gross,wf_transform,4.0,2.0,False,False,True,MINUS_DM,
-0.5096256001018558,0.13846153846153847,-0.5096256001018558,,-0.9475569225805106,,SQQQ,65,65,3.457069781006823,False,False,False,False,0,False,5.58803339892312,90.00272003886836,-84.41468663994524,us_etfs,4h,BEST[PLUS_DM],gross,wf_transform,4.0,2.0,False,False,True,PLUS_DM,
-0.5105205022707396,0.13846153846153847,-0.5105205022707396,,-0.9492208318209192,,SQQQ,65,65,3.457069781006823,False,False,False,False,0,False,5.476547943568418,90.00272003886836,-84.52617209529994,us_etfs,4h,BEST[MINUS_DI],gross,wf_transform,4.0,2.0,False,False,True,MINUS_DI,
-0.5105205022707396,0.13846153846153847,-0.5105205022707396,,-0.9492208318209192,,SQQQ,65,65,3.457069781006823,False,False,False,False,0,False,5.476547943568418,90.00272003886836,-84.52617209529994,us_etfs,4h,BEST[PLUS_DI],gross,wf_transform,4.0,2.0,False,False,True,PLUS_DI,
-0.5282994868806822,0.18461538461538463,-0.5282994868806822,,-0.9822776483156879,,SQQQ,65,65,3.457069781006823,False,False,False,False,0,False,,,,us_etfs,4h,TSF_9|voltgt,gross,fixed_transform,4.0,0.0,False,False,True,TSF_9,voltgt
-0.5314326950691298,0.16923076923076924,-0.5314326950691298,,-0.9881032840534847,,SQQQ,65,65,3.457069781006823,False,False,False,False,0,False,-2.755254421551842,90.00272003886836,-92.7579744604202,us_etfs,4h,BEST[TSF_9],gross,wf_transform,4.0,1.0,False,False,True,TSF_9,
