symbol,scenario,fold,rule,ir_is,ir_oos
AAVE/USD,binance,1,SUB,-0.9344181080807964,0.06644373619314171
AAVE/USD,binance,2,ADX,1.962831246998274,0.9356908555431811
AAVE/USD,binance,3,ADXR,1.5720740759044762,-0.007504308267408166
AAVE/USD,binance,4,ADXR,1.3108932733445569,-1.447305124560757
AAVE/USD,binance,5,HT_TRENDMODE,0.22485325502068898,0.7604539518968966
AAVE/USD,coinbase,1,KAMA_9,-1.241070665668032,0.050590531942071845
AAVE/USD,coinbase,2,ADX,1.8452749911995594,0.7557359381825733
AAVE/USD,coinbase,3,ADXR,1.4526100512121112,-0.14278173966514693
AAVE/USD,coinbase,4,ADXR,1.1826425447650917,-1.5777080596963242
AAVE/USD,coinbase,5,MINMAX,-0.110987071120913,1.8962558806372847
AAVE/USD,gross,1,SUB,-0.7552065645720153,0.22002820349236002
AAVE/USD,gross,2,ADX,1.9880442064359782,0.974281646691333
AAVE/USD,gross,3,ADXR,1.5977208975914605,0.021652535000524217
AAVE/USD,gross,4,ADXR,1.3384351088798887,-1.4189671949697282
AAVE/USD,gross,5,HT_TRENDMODE,0.37412779432241344,0.918610840979585
AAVE/USD,kraken,1,KAMA_9,-1.1039388621400392,0.22315249403962134
AAVE/USD,kraken,2,ADX,1.9249123141768831,0.877640965935516
AAVE/USD,kraken,3,ADXR,1.5335184706084608,-0.05126205749611185
AAVE/USD,kraken,4,ADXR,1.2694939276244386,-1.4896776554085027
AAVE/USD,kraken,5,MINMAX,0.017782055353683598,2.0368382630704196
ADA/USD,binance,0,MA_21,1.0684619078229278,-1.8157837569492505
ADA/USD,binance,1,MAXINDEX,0.22623972883350413,0.6464831517201499
ADA/USD,binance,2,MAXINDEX,0.3040427743644508,0.37901795087100176
ADA/USD,binance,3,EMA_200,0.4562392830207723,0.20521160509683192
ADA/USD,binance,4,CORREL,1.3260762805225228,-0.42052153200955233
ADA/USD,binance,5,TSF_50,0.24767971740415984,0.15967913602239248
ADA/USD,coinbase,0,MAXINDEX,0.8916694334705152,-1.6004004885492735
ADA/USD,coinbase,1,SUM,0.14861367821711627,0.6005636734097469
ADA/USD,coinbase,2,MAXINDEX,0.1883667295871441,0.07987487747142107
ADA/USD,coinbase,3,EMA_200,0.41186575345256704,0.15811159536497782
ADA/USD,coinbase,4,CORREL,1.1071837082374192,-0.540654357938074
ADA/USD,coinbase,5,CORREL,0.057232661876837156,0.4553817729488208
ADA/USD,gross,0,MA_21,1.1081780665079346,-1.7572946262589655
ADA/USD,gross,1,MAXINDEX,0.2528150051267276,0.680055824353896
ADA/USD,gross,2,MAXINDEX,0.32910591189695904,0.44317106356573427
ADA/USD,gross,3,EMA_200,0.4658157600035446,0.2153853463431235
ADA/USD,gross,4,CORREL,1.3730300477543278,-0.39455257775203123
ADA/USD,gross,5,STOCHRSI,0.38712898907058707,2.345972164524116
ADA/USD,kraken,0,MA_21,1.0090305707566574,-1.9025897673315197
ADA/USD,kraken,1,MAXINDEX,0.18647941397005582,0.5960771499714725
ADA/USD,kraken,2,MAXINDEX,0.26651514762549927,0.28243538975262217
ADA/USD,kraken,3,EMA_200,0.4418775109516872,0.18995942817971548
ADA/USD,kraken,4,CORREL,1.2554504745332609,-0.4594405805722965
ADA/USD,kraken,5,CORREL,0.17538004577720548,0.5769034437742994
ALGO/USD,binance,0,LINEARREG_21,1.1418708770400186,-1.444568718541894
ALGO/USD,binance,1,MININDEX,0.7884165391124575,1.469554712240683
ALGO/USD,binance,2,MININDEX,1.1599435556552633,-0.14091054442057555
ALGO/USD,binance,3,NATR,0.9089852666243802,-0.027943764143968392
ALGO/USD,binance,4,MAXINDEX,1.0811559763902203,-0.7408277885663265
ALGO/USD,binance,5,HT_TRENDMODE,0.8767271467647925,1.2429734262404766
ALGO/USD,coinbase,0,TSF_21,0.9039520192066203,-1.6289113173601697
ALGO/USD,coinbase,1,MININDEX,0.6674546270981111,1.2611591638085733
ALGO/USD,coinbase,2,MININDEX,1.0021283517795485,-0.3182537237994858
ALGO/USD,coinbase,3,MAXINDEX,0.6942997311021193,0.458501368896755
ALGO/USD,coinbase,4,MAXINDEX,0.8634979104076564,-0.9251402477403594
ALGO/USD,coinbase,5,MACDEXT,0.5718345783015447,-1.480567703058511
ALGO/USD,gross,0,LINEARREG_21,1.1957977891521132,-1.3625438742376563
ALGO/USD,gross,1,MININDEX,0.8142781152640953,1.5139875160412624
ALGO/USD,gross,2,MININDEX,1.1934974549547164,-0.10298666272447386
ALGO/USD,gross,3,NATR,0.9767218854306846,0.054308392728514635
ALGO/USD,gross,4,MAXINDEX,1.1275111587231885,-0.7005073423245819
ALGO/USD,gross,5,HT_TRENDMODE,1.0476406246795702,1.3645671538312525
ALGO/USD,kraken,0,LINEARREG_21,1.0611642994566142,-1.5665808065549758
ALGO/USD,kraken,1,MININDEX,0.7494659575667134,1.4025202685521496
ALGO/USD,kraken,2,MININDEX,1.109275383965581,-0.19803783617255227
ALGO/USD,kraken,3,NATR,0.806516681731859,-0.15196512042624097
ALGO/USD,kraken,4,MAXINDEX,1.011178831064306,-0.8009606291154064
ALGO/USD,kraken,5,MACDEXT,0.7203756297028402,-1.2741005540623889
APT/USD,binance,3,CORREL,2.2257100347693712,0.5023661708967234
APT/USD,binance,4,CORREL,1.3082691422600978,0.23464619797296016
APT/USD,binance,5,CORREL,0.9013075642261728,1.4343051452916191
APT/USD,coinbase,3,CORREL,2.100215553372319,0.34705324075986826
APT/USD,coinbase,4,CORREL,1.1673907485546369,0.06928872695614974
APT/USD,coinbase,5,CORREL,0.7505033178562986,1.2339436675589894
APT/USD,gross,3,CORREL,2.2524922228498356,0.5357293040934368
APT/USD,gross,4,CORREL,1.3384384549598334,0.2703809536544821
APT/USD,gross,5,CORREL,0.9337247012461682,1.4772092791665423
APT/USD,kraken,3,CORREL,2.1853400658103546,0.4522201967041666
APT/USD,kraken,4,CORREL,1.2628624724445021,0.18107948981601332
APT/USD,kraken,5,CORREL,0.8525993633411187,1.3697239441572664
ARB/USD,binance,3,CDLHAMMER,1.7758714835238703,-0.8905350597341315
ARB/USD,binance,4,WMA_100,1.2908800572898926,-0.5450602754723362
