symbol,scenario,fold,rule,ir_is,ir_oos
ADA/USD,binance,0,MININDEX,0.08152210266894108,-1.0782704761273136
ADA/USD,binance,1,LINEARREG_INTERCEPT_1000,0.2816323985240502,-0.24406291437606717
ADA/USD,binance,2,LINEARREG_INTERCEPT_200,0.4295901032538462,-0.0661806017062172
ADA/USD,binance,3,T3_1000,0.10439293441561574,0.8756115311301174
ADA/USD,coinbase,0,LINEARREG_INTERCEPT_1000,-0.22010316213678205,-0.5878777050153212
ADA/USD,coinbase,1,LINEARREG_INTERCEPT_1000,0.13052232925974253,-0.4934508134323536
ADA/USD,coinbase,2,LINEARREG_INTERCEPT_1000,0.035827270054352975,-0.42303544618800615
ADA/USD,coinbase,3,T3_1000,-0.10483897648597695,0.5492646509237141
ADA/USD,gross,0,HT_TRENDMODE,1.017841204734915,-0.3010526226219198
ADA/USD,gross,1,HT_TRENDMODE,0.9557746127754394,0.03368484545280078
ADA/USD,gross,2,SUB,0.7828334302138745,-0.474549036756605
ADA/USD,gross,3,MAXINDEX,0.3301535618644273,2.2581193805336923
ADA/USD,kraken,0,MA_1000,-0.08934266749513521,-1.243679276308642
ADA/USD,kraken,1,LINEARREG_INTERCEPT_1000,0.23268668391425532,-0.3251439104267971
ADA/USD,kraken,2,LINEARREG_INTERCEPT_200,0.27553968496085923,-0.23146066073756685
ADA/USD,kraken,3,T3_1000,0.03650290822368946,0.769785120071789
AVAX/USD,binance,0,SUM,0.46435459099549586,-0.5686208173467804
AVAX/USD,binance,1,MA_200,0.4511300335787058,0.4211590496712011
AVAX/USD,binance,2,MA_200,1.0583222249854485,0.8827003582942596
AVAX/USD,binance,3,MA_200,0.7229955320886119,-0.05464370272539462
AVAX/USD,coinbase,0,SUM,0.03897879905766116,-1.5037605595085766
AVAX/USD,coinbase,1,MA_200,0.009640707848598998,-0.14191215059534376
AVAX/USD,coinbase,2,MA_200,0.5444650147753658,0.14880889208238754
AVAX/USD,coinbase,3,T3_1000,0.25710374217126913,0.5386358826901668
AVAX/USD,gross,0,TRIMA_50,0.5808670846715248,0.08341941975895416
AVAX/USD,gross,1,MA_200,0.5470428647829888,0.5439777120564631
AVAX/USD,gross,2,MA_200,1.169861400638753,1.0425692096263877
AVAX/USD,gross,3,MAXINDEX,0.9375205220881441,-0.12264269130454775
AVAX/USD,kraken,0,SUM,0.3265487960971622,-0.874100518824388
AVAX/USD,kraken,1,MA_200,0.30766141931512164,0.23771405273982688
AVAX/USD,kraken,2,MA_200,0.8913835923755942,0.6437521012663816
AVAX/USD,kraken,3,MA_200,0.5002777006251541,-0.6003236794064615
BNB/USD,binance,0,ACCBANDS,-0.20876166686826397,-1.1520928968665918
BNB/USD,binance,1,WMA_1000,-0.06813663909480405,-1.4214924088794352
BNB/USD,binance,2,COSH,0.33981026707786505,-0.6950117905581492
BNB/USD,binance,3,BBANDS,-0.032919261655996464,
BNB/USD,coinbase,0,ACCBANDS,-0.562088273012003,-1.8531882942675062
BNB/USD,coinbase,1,TRIMA_1000,-0.4211232495051376,-1.4902445151520225
BNB/USD,coinbase,2,BBANDS,0.1984010803329969,
BNB/USD,coinbase,3,BBANDS,-0.04107869159987618,
BNB/USD,gross,0,LINEARREG_INTERCEPT_9,0.0798986851055417,-0.6326128766441197
BNB/USD,gross,1,NATR,0.09309275921364735,-0.6778066801365183
BNB/USD,gross,2,COSH,0.5445348014505924,-0.6950117905581492
BNB/USD,gross,3,HT_DCPHASE,0.2996292631101255,2.7883154426499845
BNB/USD,kraken,0,ACCBANDS,-0.323739805715037,-1.3853632837409453
BNB/USD,kraken,1,WMA_1000,-0.24279657010144634,-1.854021344941021
BNB/USD,kraken,2,BBANDS,0.20077976499191505,
BNB/USD,kraken,3,BBANDS,-0.03555974641929984,
BTC/USD,binance,0,EMA_1000,0.17536524518797167,-1.0762807376615586
BTC/USD,binance,1,EMA_1000,0.3247689145391971,-1.1302070956165438
BTC/USD,binance,2,EMA_1000,0.03245968068100987,-0.5098273597516565
BTC/USD,binance,3,T3_1000,-0.4794236832747284,1.0484714415760554
BTC/USD,coinbase,0,LINEARREG_INTERCEPT_1000,-0.011260438916380369,-2.4940239708455234
BTC/USD,coinbase,1,MIDPRICE_1000,0.12249669557617596,-2.8238355809383546
BTC/USD,coinbase,2,MIDPOINT_1000,-0.27616228962265205,-1.0688177392767453
BTC/USD,coinbase,3,T3_1000,-1.1442742377310933,0.9636162740544923
BTC/USD,gross,0,TSF_21,0.446172001156362,-0.43308661825829536
BTC/USD,gross,1,TSF_21,0.6389921448843048,-0.31157055655797056
BTC/USD,gross,2,TSF_21,0.5565634233803596,0.14138451210923567
BTC/USD,gross,3,MAXINDEX,-0.1946127961688003,2.0755407179270615
BTC/USD,kraken,0,LINEARREG_INTERCEPT_1000,0.08528827016719603,-2.2042821154971532
