symbol,scenario,fold,rule,ir_is,ir_oos
ADA/USD,binance,0,BBANDS,-1.050814705611018,-1.0697013726206825
ADA/USD,binance,1,CDL2CROWS,-0.39801253882967375,-0.658826065605944
ADA/USD,binance,2,BBANDS,-0.39032219287707126,0.4095875903433879
ADA/USD,binance,3,CDLKICKINGBYLENGTH,-0.45392050896561836,1.0418621436432256
ADA/USD,coinbase,0,BBANDS,-1.0619993164506996,-1.0697013726206825
ADA/USD,coinbase,1,BBANDS,-0.42049595316449867,-0.653115718590173
ADA/USD,coinbase,2,BBANDS,-0.39032219287707126,0.4095875903433879
ADA/USD,coinbase,3,BBANDS,-0.4653454898012177,1.0418621436432256
ADA/USD,gross,0,HT_PHASOR,0.9742619837274034,1.2040174865810207
ADA/USD,gross,1,HT_PHASOR,1.4726845408002098,-0.04753327112516502
ADA/USD,gross,2,CDLHARAMI,1.0068853411167036,1.2779779374160654
ADA/USD,gross,3,MAXINDEX,0.47101943685723907,-0.948774191473038
ADA/USD,kraken,0,BBANDS,-1.0544389264987206,-1.0697013726206825
ADA/USD,kraken,1,BBANDS,-0.42049595316449867,-0.653115718590173
ADA/USD,kraken,2,BBANDS,-0.39032219287707126,0.4095875903433879
ADA/USD,kraken,3,BBANDS,-0.4653454898012177,1.0418621436432256
AVAX/USD,binance,0,LINEARREG_INTERCEPT_1000,-0.6046063547614711,-2.0983228873987176
AVAX/USD,binance,1,CDLCONCEALBABYSWALL,-0.8500661163952501,0.432634520522337
AVAX/USD,binance,2,ACOS,-0.1023546613729354,-0.1718521895329485
AVAX/USD,binance,3,BBANDS,-0.3653929914892179,1.3096339197574272
AVAX/USD,coinbase,0,BBANDS,-0.723679976118712,-1.7748607837043109
AVAX/USD,coinbase,1,CDLCONCEALBABYSWALL,-0.8604967687076311,0.432634520522337
AVAX/USD,coinbase,2,ACOS,-0.1023546613729354,-0.1718521895329485
AVAX/USD,coinbase,3,BBANDS,-0.3653929914892179,1.3096339197574272
AVAX/USD,gross,0,NATR,0.7302812119150315,-1.9912425412515768
AVAX/USD,gross,1,MININDEX,0.7367427002742839,-0.3794799292030117
AVAX/USD,gross,2,ADXR,0.900207213193579,1.3581710647223055
AVAX/USD,gross,3,ADXR,0.8340340598459909,1.4027555789333261
AVAX/USD,kraken,0,BBANDS,-0.7208318547451827,-1.7748607837043109
AVAX/USD,kraken,1,CDLCONCEALBABYSWALL,-0.8534445812195769,0.432634520522337
AVAX/USD,kraken,2,ACOS,-0.1023546613729354,-0.1718521895329485
AVAX/USD,kraken,3,BBANDS,-0.3653929914892179,1.3096339197574272
BNB/USD,binance,0,LINEARREG_INTERCEPT_1000,-1.5687620447407202,-4.281960844638043
BNB/USD,binance,1,BBANDS,-0.7284133019960359,
BNB/USD,binance,2,CDLUPSIDEGAP2CROWS,-0.5367070241437312,-0.3585656274692999
BNB/USD,binance,3,CDLUPSIDEGAP2CROWS,-0.6863913090443617,0.4290066878279391
BNB/USD,coinbase,0,ACOS,-1.5880641080022124,-1.3791575132801588
BNB/USD,coinbase,1,BBANDS,-0.7436278144612198,
BNB/USD,coinbase,2,ACOS,-0.5405477132677566,-0.3585656274692999
BNB/USD,coinbase,3,ACOS,-0.6878229354846057,0.4290066878279391
BNB/USD,gross,0,DIV,0.9158287114807404,-0.21877503566339646
BNB/USD,gross,1,HT_PHASOR,1.086703173894905,-1.2176187690609477
BNB/USD,gross,2,MINMAX,0.6741906697297196,-0.030371585812888978
BNB/USD,gross,3,TSF_9,0.26283318416371443,2.4116639420240267
BNB/USD,kraken,0,ACOS,-1.5880641080022124,-1.3791575132801588
BNB/USD,kraken,1,BBANDS,-0.7333471748178961,
BNB/USD,kraken,2,ACOS,-0.5405477132677566,-0.3585656274692999
BNB/USD,kraken,3,ACOS,-0.6878229354846057,0.4290066878279391
BTC/USD,binance,0,BBANDS,-0.20179223594756274,-1.484658093803623
BTC/USD,binance,1,BBANDS,-0.21908879596669542,-0.6929720497678851
BTC/USD,binance,2,BBANDS,-0.39569907737213406,-0.033724748747446506
BTC/USD,binance,3,BBANDS,-0.715607344580505,
BTC/USD,coinbase,0,BBANDS,-0.24226483188850662,-1.8495515993814913
BTC/USD,coinbase,1,BBANDS,-0.30537486042494905,-0.7311183965711116
BTC/USD,coinbase,2,BBANDS,-0.49494058869111646,-0.16137096917050858
BTC/USD,coinbase,3,BBANDS,-0.8708412434137424,
BTC/USD,gross,0,HT_PHASOR,1.4464207637449153,0.06242795324988083
BTC/USD,gross,1,HT_PHASOR,1.4818542503241785,-2.6919053902906613
BTC/USD,gross,2,MININDEX,0.5917692104009483,-0.9297302128127596
BTC/USD,gross,3,HT_TRENDMODE,0.16863137175474757,0.5990743245413839
BTC/USD,kraken,0,BBANDS,-0.2148954572410433,-1.6039460680039068
BTC/USD,kraken,1,BBANDS,-0.24703314274899843,-0.7053441348470508
BTC/USD,kraken,2,BBANDS,-0.42786839519521913,-0.07506978424932155
BTC/USD,kraken,3,BBANDS,-0.7660324759359434,
DOGE/USD,binance,0,BBANDS,-1.506920694460587,-1.4088815929041547
DOGE/USD,binance,1,CDLRISEFALL3METHODS,-0.950062702048791,-0.680729499519546
DOGE/USD,binance,2,CDL3STARSINSOUTH,-0.630661457611405,0.12636995647576413
DOGE/USD,binance,3,CDLBREAKAWAY,-0.5999433963180721,1.24794860664146
DOGE/USD,coinbase,0,CDL3STARSINSOUTH,-1.5491746351944367,-1.4088815929041547
DOGE/USD,coinbase,1,BBANDS,-0.9705285339220189,-0.6279513390207947
DOGE/USD,coinbase,2,CDL3STARSINSOUTH,-0.6339130023984281,0.12636995647576413
DOGE/USD,coinbase,3,BBANDS,-0.6018000271515892,1.24794860664146
DOGE/USD,gross,0,COS,1.3429674226409571,-0.22680186059878
DOGE/USD,gross,1,TSF_9,0.46112043621887017,0.5021235232208309
DOGE/USD,gross,2,DIV,0.1690656437858512,-0.3635422407535181
DOGE/USD,gross,3,TSF_9,1.165242013287797,2.0385180215908636
DOGE/USD,kraken,0,BBANDS,-1.5327527698323182,-1.4088815929041547
DOGE/USD,kraken,1,BBANDS,-0.9670834827305074,-0.6279513390207947
DOGE/USD,kraken,2,CDL3STARSINSOUTH,-0.6317145341449845,0.12636995647576413
DOGE/USD,kraken,3,BBANDS,-0.6018000271515892,1.24794860664146
ETH/USD,binance,0,ACOS,-1.366362485168626,-1.718800191934997
ETH/USD,binance,1,ACOS,-0.7436459210118116,0.45069928060575826
ETH/USD,binance,2,ACOS,-0.13915988498073376,-0.4204596985783855
ETH/USD,binance,3,BBANDS,-0.397333285861653,0.5442469630160267
ETH/USD,coinbase,0,ACOS,-1.366362485168626,-1.718800191934997
ETH/USD,coinbase,1,ACOS,-0.7436459210118116,0.45069928060575826
ETH/USD,coinbase,2,ACOS,-0.13915988498073376,-0.4204596985783855
ETH/USD,coinbase,3,BBANDS,-0.405530920605782,0.5442469630160267
ETH/USD,gross,0,HT_PHASOR,0.802997961863165,0.6401600790659946
ETH/USD,gross,1,HT_PHASOR,1.0219095295828733,-1.0192596036096067
ETH/USD,gross,2,MAXINDEX,1.2576239148873964,-0.5174520714283901
ETH/USD,gross,3,DEMA_200,1.0084823400797147,-0.09159558502562955
ETH/USD,kraken,0,ACOS,-1.366362485168626,-1.718800191934997
ETH/USD,kraken,1,ACOS,-0.7436459210118116,0.45069928060575826
ETH/USD,kraken,2,ACOS,-0.13915988498073376,-0.4204596985783855
ETH/USD,kraken,3,BBANDS,-0.39998851069237396,0.5442469630160267
LINK/USD,binance,0,BBANDS,-0.7448097283096002,
LINK/USD,binance,1,CDLMATHOLD,-0.4695389653888611,-0.28581561608576744
LINK/USD,binance,2,CDLMATHOLD,-0.473489792253357,-0.00747011211618283
LINK/USD,binance,3,ACOS,-0.5782459129251397,0.2869133932768574
LINK/USD,coinbase,0,BBANDS,-0.7564116212900375,
LINK/USD,coinbase,1,ACOS,-0.4725060279934861,-0.28581561608576744
LINK/USD,coinbase,2,ACOS,-0.474190681798741,-0.00747011211618283
LINK/USD,coinbase,3,ACOS,-0.5782459129251397,0.2869133932768574
LINK/USD,gross,0,AVGDEV,1.11164817343653,-0.8792531930038558
LINK/USD,gross,1,MININDEX,1.4435704536692648,-1.4037329060467416
LINK/USD,gross,2,ADXR,0.772411516665579,-0.3404115373908618
LINK/USD,gross,3,ADX,0.5309004446572321,-0.5769204528389219
LINK/USD,kraken,0,BBANDS,-0.7485814470776718,
LINK/USD,kraken,1,ACOS,-0.4725060279934861,-0.28581561608576744
LINK/USD,kraken,2,ACOS,-0.474190681798741,-0.00747011211618283
LINK/USD,kraken,3,ACOS,-0.5782459129251397,0.2869133932768574
SOL/USD,binance,0,CDLRISEFALL3METHODS,0.4050948587304339,-2.7921953570882914
SOL/USD,binance,1,ACOS,-0.6522770191300457,-0.18678890380156335
SOL/USD,binance,2,CDLCONCEALBABYSWALL,-0.6635475688367287,0.1708764392025596
SOL/USD,binance,3,ACOS,-1.0035746974877127,0.7606860620203206
SOL/USD,coinbase,0,ACOS,0.40353212248421194,-2.7049525201778373
SOL/USD,coinbase,1,ACOS,-0.6522770191300457,-0.18678890380156335
SOL/USD,coinbase,2,ACOS,-0.6635694075586657,0.1708764392025596
SOL/USD,coinbase,3,ACOS,-1.0035746974877127,0.7606860620203206
SOL/USD,gross,0,DX,1.3357957348322134,-1.9285722721321674
SOL/USD,gross,1,MA_1000,0.4620797576810478,0.13121611830483632
SOL/USD,gross,2,COSH,0.4817550385773896,0.25473063598754725
SOL/USD,gross,3,COSH,0.40585628420598296,0.537711067873451
SOL/USD,kraken,0,ACOS,0.40353212248421194,-2.7049525201778373
