symbol,scenario,fold,rule,ir_is,ir_oos
ADA/USD,binance,0,dyn_breakout2,0.28515935296295164,-0.6012089272937896
ADA/USD,binance,1,"ichimoku@kijun_days=60.0,senkou_days=120.0,tenkan_days=20.0",0.5575284407444463,-0.6286417155827059
ADA/USD,binance,2,"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",0.5348882349924707,-0.27742221099165587
ADA/USD,binance,3,sell_in_may@end_month=5,0.2088641796085333,0.4961636751284057
ADA/USD,coinbase,0,dyn_breakout2,0.24754556976228329,-0.6608307856102961
ADA/USD,coinbase,1,"ichimoku@kijun_days=60.0,senkou_days=120.0,tenkan_days=20.0",0.5107334696299345,-0.7543298394595163
ADA/USD,coinbase,2,sell_in_may,0.4322973180586759,-0.09876327202795042
ADA/USD,coinbase,3,sell_in_may@end_month=5,0.186575713822598,0.47646169740280714
ADA/USD,gross,0,dyn_breakout2,0.29327525373020286,-0.5881757457556728
ADA/USD,gross,1,"ichimoku@kijun_days=60.0,senkou_days=120.0,tenkan_days=20.0",0.5676045885325242,-0.6012751137495749
ADA/USD,gross,2,trend_factor@min_votes=3,0.6301727540232203,0.13776929518525413
ADA/USD,gross,3,sell_in_may@end_month=5,0.21366495689341705,0.5003995007765366
ADA/USD,kraken,0,dyn_breakout2,0.2729869227370485,-0.6206452100937495
ADA/USD,kraken,1,"ichimoku@kijun_days=60.0,senkou_days=120.0,tenkan_days=20.0",0.5424019873489667,-0.6695271519072552
ADA/USD,kraken,2,"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",0.4504082446150377,-0.3500954679450839
ADA/USD,kraken,3,sell_in_may@end_month=5,0.20165833677973866,0.48980061730340024
AVAX/USD,binance,0,ibs,0.3817681137926807,-2.2836332539922095
AVAX/USD,binance,1,volmanaged@var_months=2.0,0.23380451607808472,-0.8304787886251034
AVAX/USD,binance,2,"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",0.8854571955647033,-0.29340468646434636
AVAX/USD,binance,3,"macd_cross@fast_days=20.0,slow_days=50.0",0.637270377110452,1.532005183834098
AVAX/USD,coinbase,0,volmanaged@var_months=2.0,0.1485904882177227,0.13578070746858859
AVAX/USD,coinbase,1,volmanaged@var_months=2.0,0.1443111213691688,-0.9218139689487036
AVAX/USD,coinbase,2,"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",0.7043010180900704,-0.614718383742237
AVAX/USD,coinbase,3,"macd_cross@fast_days=20.0,slow_days=50.0",0.5493648538756409,1.3946379310567159
AVAX/USD,gross,0,ibs,0.9740017057950338,-1.5382971029854553
AVAX/USD,gross,1,ibs,0.3024694872955826,-0.17166103853703135
AVAX/USD,gross,2,trend_factor@min_votes=3,0.9254288298392328,0.39766869306491215
AVAX/USD,gross,3,"macd_cross@fast_days=20.0,slow_days=50.0",0.6561934851693524,1.5614166746563054
AVAX/USD,kraken,0,volmanaged@var_months=2.0,0.22733498169048172,0.15647736824957456
AVAX/USD,kraken,1,volmanaged@var_months=2.0,0.204886441223333,-0.8600425305834681
AVAX/USD,kraken,2,"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",0.8268687611370291,-0.39770539254964965
AVAX/USD,kraken,3,"macd_cross@fast_days=20.0,slow_days=50.0",0.6088574357607156,1.4877296105072453
BNB/USD,binance,0,supertrend,-0.22908348735889536,-0.9077225069272395
BNB/USD,binance,1,"macd_cross@fast_days=20.0,slow_days=50.0",0.196596053805937,-1.7938543118632282
BNB/USD,binance,2,"sell_in_may@end_month=5,start_month=10",0.3199349488841862,-2.0107923570585307
BNB/USD,binance,3,volmanaged,0.14851523205260372,-0.5278885801660139
BNB/USD,coinbase,0,"golden_cross@fast_days=20.0,slow_days=100.0",-0.2874236312335355,-0.11759075231446396
BNB/USD,coinbase,1,sell_in_may,0.11058562535031195,-0.23966647011468667
BNB/USD,coinbase,2,"sell_in_may@end_month=5,start_month=10",0.2893475811163275,-2.0552281906068584
BNB/USD,coinbase,3,volmanaged,0.024375636372575286,-1.5672294451820692
BNB/USD,gross,0,supertrend,-0.14293838881774443,-0.7293076129291
BNB/USD,gross,1,"macd_cross@fast_days=20.0,slow_days=50.0",0.21909250724161852,-1.7566110935252024
BNB/USD,gross,2,"sell_in_may@end_month=5,start_month=10",0.32651689671559886,-2.0009375836838315
BNB/USD,gross,3,volmanaged,0.1752498674489815,-0.24562356724175605
BNB/USD,kraken,0,"golden_cross@fast_days=20.0,slow_days=100.0",-0.2716154593223543,-0.0847632173614836
BNB/USD,kraken,1,"macd_cross@fast_days=20.0,slow_days=50.0",0.16284418003932105,-1.8493281411585298
BNB/USD,kraken,2,"sell_in_may@end_month=5,start_month=10",0.31005098802815617,-2.025397169870472
BNB/USD,kraken,3,volmanaged,0.10838427947130093,-0.9159153032330538
