symbol,scenario,fold,rule,ir_is,ir_oos
SOXL,gross,0,ibs,0.625991477720689,-1.1808768426754843
SOXL,gross,1,"sell_in_may@end_month=5,start_month=10",0.3958507934816363,0.13317109636296065
SOXL,gross,2,st_reversal,0.715255681515397,-1.6459623856559398
SOXL,gross,3,monday_effect,0.28193062468305813,-0.8538686143955478
SOXL,pessimistic,0,ibs,0.5634312389268313,-1.264332518802784
SOXL,pessimistic,1,"sell_in_may@end_month=5,start_month=10",0.3941992458501154,0.13201340297102718
SOXL,pessimistic,2,st_reversal,0.6768260455728934,-1.6830547404899994
SOXL,pessimistic,3,monday_effect,0.166336181048898,-0.9004628593472719
SOXL,retail,0,ibs,0.6162431211975805,-1.1938126384835384
SOXL,retail,1,"sell_in_may@end_month=5,start_month=10",0.39559443798880095,0.13299063743888392
SOXL,retail,2,st_reversal,0.7092598762225458,-1.651671146487423
SOXL,retail,3,monday_effect,0.26393550176680386,-0.8610950732422433
SOXL,wide,0,ibs,0.6011705728021359,-1.2139434545307908
SOXL,wide,1,"sell_in_may@end_month=5,start_month=10",0.3951958363025151,0.13271144799279974
SOXL,wide,2,st_reversal,0.7000012318988583,-1.660632829102402
SOXL,wide,3,monday_effect,0.23606053758954743,-0.8723447359426316
SPY,gross,0,"ibs@buy=0.1,sell=0.9",0.6113213286997012,-1.0572174132395715
SPY,gross,1,"ibs@buy=0.1,sell=0.9",0.23346683609915722,-0.4231637954488821
SPY,gross,2,st_reversal@lookback_weeks=0.5,0.1486235111599257,-1.263666224181264
SPY,gross,3,tsmom12@lookback_months=9.0,-0.20023121992385456,
SPY,pessimistic,0,"ibs@buy=0.1,sell=0.9",0.44564458666557616,-1.3908394875650805
SPY,pessimistic,1,"sell_in_may@end_month=5,start_month=10",0.13905062279798353,-1.0402630737728973
SPY,pessimistic,2,golden_cross@slow_days=150.0,0.1317355244387397,-1.8969346334629082
SPY,pessimistic,3,tsmom12@lookback_months=9.0,-0.22085749372674895,
SPY,retail,0,"ibs@buy=0.1,sell=0.9",0.5855864479775381,-1.1086276624267213
SPY,retail,1,"ibs@buy=0.1,sell=0.9",0.19558271774401917,-0.4555740527431334
SPY,retail,2,golden_cross@slow_days=150.0,0.13560328558735468,-1.8906978226850062
SPY,retail,3,tsmom12@lookback_months=9.0,-0.20344901330087384,
SPY,wide,0,"ibs@buy=0.1,sell=0.9",0.5457254131177071,-1.1888935340991535
SPY,wide,1,"sell_in_may@end_month=5,start_month=10",0.14472052332659335,-1.0338377816173896
SPY,wide,2,golden_cross@slow_days=150.0,0.1344984498980475,-1.8924834662952732
SPY,wide,3,tsmom12@lookback_months=9.0,-0.2084271827252225,
TQQQ,gross,0,ibs,0.574604673508089,-0.5574179350140606
TQQQ,gross,1,"ibs@buy=0.1,sell=0.9",0.385019814228119,-0.2999905059299475
TQQQ,gross,2,st_reversal@lookback_weeks=0.5,0.2946520664316536,-1.2413085497524332
TQQQ,gross,3,"atr_chandelier@entry_ma_days=200.0,mult=4.0",-0.3236436754455691,-0.8018541189637315
TQQQ,pessimistic,0,ibs,0.49940330980088843,-0.6871519905632619
TQQQ,pessimistic,1,"ibs@buy=0.1,sell=0.9",0.33647889684034965,-0.3431257781675722
TQQQ,pessimistic,2,faber_gtaa@ma_months=12.0,0.2677399873315932,-0.5987322801623746
TQQQ,pessimistic,3,"atr_chandelier@entry_ma_days=200.0,mult=4.0",-0.3559274632692661,-0.8300461146240703
TQQQ,retail,0,ibs,0.562895093803419,-0.577519316281809
TQQQ,retail,1,"ibs@buy=0.1,sell=0.9",0.3774590030675023,-0.3066818117790382
TQQQ,retail,2,st_reversal@lookback_weeks=0.5,0.280300992641019,-1.2565139281663473
TQQQ,retail,3,"atr_chandelier@entry_ma_days=200.0,mult=4.0",-0.3286696143177561,-0.8062549677230333
TQQQ,wide,0,ibs,0.544777147481036,-0.6087771698319548
TQQQ,wide,1,"ibs@buy=0.1,sell=0.9",0.36576193366430854,-0.3170857825848948
TQQQ,wide,2,faber_gtaa@ma_months=12.0,0.26790081692294476,-0.5937624532744066
TQQQ,wide,3,"atr_chandelier@entry_ma_days=200.0,mult=4.0",-0.33645906808800546,-0.8130563817953251
