ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,strategy,family,source,anchor,excess_cagr,excess_cagr_min,excess_cagr_hit,long_frac,exposure,turnover_yr,ir_random,ir_vs_random
-0.3194555615647457,0.0,-0.31945556156474564,0.0,-0.5936631921731226,,SOXL,3,3,3.453499036620149,False,False,False,False,0,False,505.1980981201187,460.40263115312473,44.795466966993956,us_etfs,4h,monday_effect,gross,published,4.0,0.0,False,False,True,monday_effect,calendar,"French (1980), 'Stock Returns and the Weekend Effect', JFE",False,0.008099933622373342,-0.10427736825288414,0.3333333333333333,0.8105625717566016,0.8105625717566016,95.57472976359725,-0.7281522972046348,0.4086967356398891
-0.4394877379522253,0.0,-0.4394877379522253,0.0,-0.8167260953470155,,SPY,3,3,3.453499036620149,False,False,False,False,0,False,246.74440344721313,460.40263115312473,-213.6582277059116,us_etfs,4h,tsmom12@lookback_months=9.0,gross,grid_cell,4.0,0.0,False,False,True,tsmom12,trend,"Moskowitz, Ooi & Pedersen (2012), 'Time Series Momentum', JFE",True,-0.1821595827466865,-0.40450931221703934,0.0,0.8507462686567164,0.8507462686567164,5.600192903955121,-0.668872700207012,0.22938496225478666
-0.5345446212271773,0.0,-0.5345446212271773,0.0,-0.9933759319835224,,SPY,3,3,3.453499036620149,False,False,False,False,0,False,286.1173276940413,460.40263115312473,-174.28530345908342,us_etfs,4h,faber_gtaa@ma_months=6.0,gross,grid_cell,4.0,0.0,False,False,True,faber_gtaa,trend,"Faber (2007), 'A Quantitative Approach to Tactical Asset Allocation'",True,-0.15320916834566214,-0.25939460642052303,0.0,0.7979334098737083,0.7979334098737083,9.075165639916824,-0.7467830276896021,0.21223840646242487
-0.5399782743167353,0.0,-0.5399782743167353,0.0,-1.003473611368123,,SPY,3,3,3.453499036620149,False,False,False,False,0,False,267.1835827271335,460.40263115312473,-193.21904842599122,us_etfs,4h,faber_gtaa@ma_months=8.0,gross,grid_cell,4.0,0.0,False,False,True,faber_gtaa,trend,"Faber (2007), 'A Quantitative Approach to Tactical Asset Allocation'",True,-0.17485267613546518,-0.3415583348230684,0.0,0.8182166092613854,0.8182166092613854,6.4674316430428815,-0.7168609453955638,0.1768826710788285
-0.5598351887280538,0.0,-0.5598351887280538,0.0,-1.0403748915912336,,SPY,3,3,3.453499036620149,False,False,False,False,0,False,255.4695173606136,460.40263115312473,-204.93311379251114,us_etfs,4h,WFO[momo_regime],gross,wfo,4.0,1.0,False,False,True,momo_regime,regime,"QuantConnect, 'Momentum and State of Market Filters'",False,-0.18691221337276084,-0.36671896913482205,0.0,0.7592805204745504,0.7592805204745504,9.366201981283531,-0.8038043543254105,0.2439691655973567
-0.5655063740054104,0.0,-0.5655063740054104,0.0,-1.0509139911100203,,SPY,3,3,3.453499036620149,False,False,False,False,0,False,209.9970903754098,460.40263115312473,-250.40554077771492,us_etfs,4h,tsmom12,gross,published,4.0,0.0,False,False,True,tsmom12,trend,"Moskowitz, Ooi & Pedersen (2012), 'Time Series Momentum', JFE",True,-0.2198292875853017,-0.39676077918093244,0.0,0.8453884424033679,0.8453884424033679,5.31045451505346,-0.6767766464733616,0.11127027246795118
-0.5786731527519106,0.0,-0.5786731527519107,0.0,-1.0753825959544543,,TQQQ,3,3,3.453499036620149,False,False,False,False,0,False,199.79817507750454,460.40263115312473,-260.6044560756202,us_etfs,4h,atr_chandelier@atr_days=14.0,gross,grid_cell,4.0,0.0,False,False,True,atr_chandelier,volatility,LeBeau's chandelier exit; Tradeciety / TrendSpider write-ups,False,-0.24507252707056293,-0.5373599412444727,0.0,0.7116341370072714,0.7116341370072714,29.059651247457523,-0.8413542364900165,0.26268108373810595
-0.5789993099354477,0.0,-0.5789993099354477,0.0,-1.0759887131676917,,SOXL,3,3,3.453499036620149,False,False,False,False,0,False,470.8873210131158,460.40263115312473,10.484689859991079,us_etfs,4h,"sell_in_may@end_month=5,start_month=10",gross,grid_cell,4.0,0.0,False,False,True,sell_in_may,calendar,"Bouman & Jacobsen (2002), 'The Halloween Indicator', AER",False,-0.03147502447377285,-0.16333476422073234,0.3333333333333333,0.6595866819747417,0.6595866819747417,2.027342752561154,-0.87819787196009,0.29919856202464234
-0.5801351489283814,0.0,-0.5801351489283814,0.0,-1.0780995100467219,,SPY,3,3,3.453499036620149,False,False,False,False,0,False,250.39882120690106,460.40263115312473,-210.00380994622367,us_etfs,4h,WFO[faber_gtaa],gross,wfo,4.0,2.0,False,False,True,faber_gtaa,trend,"Faber (2007), 'A Quantitative Approach to Tactical Asset Allocation'",True,-0.18532489150572573,-0.29344974123928047,0.0,0.8381171067738231,0.8381171067738231,6.661416538727806,-0.6875034306919793,0.10736828176359792
-0.5988682385205792,0.0,-0.5988682385205794,0.0,-1.1129123200416273,,SOXL,3,3,3.453499036620149,False,False,False,False,0,False,401.9380700261913,460.40263115312473,-58.464561126933404,us_etfs,4h,RANDOM_90,gross,control,4.0,0.0,False,False,True,,control,,False,-0.054590452780199104,-0.10758226344211241,0.0,0.8981853552749076,0.8981853552749076,4.505018470896949,-0.5988898426403738,2.1604119794571552e-05
