ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,strategy,family,source,anchor,excess_cagr,excess_cagr_min,excess_cagr_hit,long_frac,exposure,turnover_yr,ir_random,ir_vs_random
-0.13780504175965985,0.4,-0.13780504175965985,0.0,-0.8824725322699758,,MA,20,20,41.008338988270324,False,False,False,False,0,False,141555.2540724196,105220.45834144484,36334.79573097476,us_stocks,1d,WFO[ibs],gross,wfo,41.0,12.5,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.016568361557349375,-0.2778340303102833,0.55,,,57.773529249096995,,
-0.1524552079114089,0.35,-0.15245520791140893,0.0,-0.9762889054376405,,V,20,20,41.008338988270324,False,False,False,False,0,False,105319.87728048788,164378.7524237938,-59058.87514330592,us_stocks,1d,ibs,gross,published,54.0,0.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.017824926333640377,-0.20057346617509264,0.5,0.45764011354938877,0.45764011354938877,57.87641269390203,-0.5021364209704802,0.3496812130590713
-0.1710833884052802,0.25,-0.1710833884052802,0.0,-1.0955795888705377,,V,20,20,41.008338988270324,False,False,False,False,0,False,56637.63451375411,164378.7524237938,-107741.1179100397,us_stocks,1d,"ibs@buy=0.3,sell=0.7",gross,grid_cell,54.0,0.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.022945539536789204,-0.23017106378912677,0.45,0.46972994528399703,0.46972994528399703,82.02076064389935,-0.49688250423976255,0.32579911583448234
-0.18230947579637843,0.25,-0.18230947579637843,0.0,-1.1674689308061137,,XOM,20,20,41.008338988270324,False,False,False,False,0,False,115708.1514198374,164378.7524237938,-48670.6010039564,us_stocks,1d,IS#1,gross,is1_selection,41.0,26.5,False,False,True,,is1_selection,,False,-0.023814604337124956,-0.13182605482527365,0.35,,,38.94955552768639,,
-0.20115346479264234,0.2,-0.20115346479264234,0.0,-1.28814160341125,,XOM,20,20,41.008338988270324,False,False,False,False,0,False,45863.57864038476,164378.7524237938,-118515.17378340905,us_stocks,1d,"ibs@buy=0.1,sell=0.9",gross,grid_cell,54.0,0.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.03301911581900492,-0.2678558865242511,0.35,0.4412187255757842,0.4412187255757842,31.428194075876327,-0.5092727159090731,0.30811925111643074
-0.21450400049753923,0.0,-0.21450400049753923,0.0,-1.3736354351333773,,JPM,20,20,41.008338988270324,False,False,False,False,0,False,95347.80030030165,164378.7524237938,-69030.95212349216,us_stocks,1d,RANDOM_90,gross,control,54.0,0.0,False,False,True,,control,,False,-0.01587045460400076,-0.05030996722257375,0.05,0.8997509175852324,0.8997509175852324,2.262034110742343,-0.21454259786668547,3.859736914624268e-05
-0.28246524635014736,0.0,-0.28246524635014736,0.0,-1.8088439874327304,,AAPL,20,20,41.008338988270324,False,False,False,False,0,False,155791.46562017835,164378.7524237938,-8587.286803615454,us_stocks,1d,volmanaged,gross,published,54.0,0.0,False,False,True,volmanaged,volatility,"Moreira & Muir (2017), 'Volatility-Managed Portfolios', JF",True,-0.014312344557919243,-0.10691444762127222,0.1,1.0,1.0,2.566862336685142,0.0,-0.28246524635014736
-0.2856576289858782,0.0,-0.2856576289858782,0.0,-1.8292872887267533,,JPM,20,20,41.008338988270324,False,False,False,False,0,False,75851.405920707,164378.7524237938,-88527.34650308681,us_stocks,1d,"sell_in_may@end_month=5,start_month=10",gross,grid_cell,54.0,0.0,False,False,True,sell_in_may,calendar,"Bouman & Jacobsen (2002), 'The Halloween Indicator', AER",False,-0.04288827702748823,-0.22847400790539485,0.15,0.6636899476797056,0.6636899476797056,1.9823454897908779,-0.3844046327807299,0.09874700379485168
-0.2868650680269207,0.0,-0.28686506802692074,0.0,-1.8370194571184493,,AAPL,20,20,41.008338988270324,False,False,False,False,0,False,149260.55577215564,164378.7524237938,-15118.196651638165,us_stocks,1d,volmanaged@var_months=0.5,gross,grid_cell,54.0,0.0,False,False,True,volmanaged,volatility,"Moreira & Muir (2017), 'Volatility-Managed Portfolios', JF",True,-0.01580588912169727,-0.10495783413057791,0.2,1.0,1.0,5.331193548285648,0.0,-0.2868650680269207
-0.29888651122511967,0.0,-0.29888651122511967,0.0,-1.914002078981852,,AAPL,20,20,41.008338988270324,False,False,False,False,0,False,142263.95070035057,164138.86090710165,-21874.910206751083,us_stocks,1d,WFO[volmanaged],gross,wfo,41.0,15.5,False,False,True,volmanaged,volatility,"Moreira & Muir (2017), 'Volatility-Managed Portfolios', JF",True,-0.01576477337154042,-0.10485112239489092,0.1,,,2.979531306691806,,
-0.29924322999050484,0.0,-0.29924322999050484,0.0,-1.9162864258256105,,AAPL,20,20,41.008338988270324,False,False,False,False,0,False,135864.4141509488,164378.7524237938,-28514.338272844994,us_stocks,1d,volmanaged@var_months=2.0,gross,grid_cell,54.0,0.0,False,False,True,volmanaged,volatility,"Moreira & Muir (2017), 'Volatility-Managed Portfolios', JF",True,-0.01464197300984208,-0.09559717566683479,0.1,1.0,1.0,1.2816007437124162,0.0,-0.29924322999050484
-0.3222005922747716,0.0,-0.3222005922747716,0.0,-2.0633002169797066,,V,20,20,41.008338988270324,False,False,False,False,0,False,51815.704510192554,164378.7524237938,-112563.04791360124,us_stocks,1d,ibs@sell=0.6,gross,grid_cell,54.0,0.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.06678988387689579,-0.3482652036235432,0.2,0.3266604555818631,0.3266604555818631,71.73700961827026,-0.5590566686203577,0.23685607634558614
-0.3228317499447745,0.0,-0.3228317499447745,0.0,-2.067342008921401,,AAPL,20,20,41.008338988270324,False,False,False,False,0,False,121217.4782777185,164378.7524237938,-43161.2741460753,us_stocks,1d,volmanaged@var_months=3.0,gross,grid_cell,54.0,0.0,False,False,True,volmanaged,volatility,"Moreira & Muir (2017), 'Volatility-Managed Portfolios', JF",True,-0.015766608757833967,-0.09310502254628883,0.05,1.0,1.0,0.8487606207694485,0.0,-0.3228317499447745
-0.33120261054793515,0.0,-0.33120261054793515,0.0,-2.120947119876874,,XOM,20,20,41.008338988270324,False,False,False,False,0,False,40157.70941881427,164378.7524237938,-124221.04300497952,us_stocks,1d,RANDOM_75,gross,control,54.0,0.0,False,False,True,,control,,False,-0.03793023043071051,-0.08785236741318392,0.0,0.7513880497870151,0.7513880497870151,4.691865381658325,-0.3312098591526285,7.24860469336619e-06
-0.3408470885061751,0.0,-0.34084708850617523,0.0,-2.1827081902814944,,JPM,20,20,41.008338988270324,False,False,False,False,0,False,37353.976172324314,164378.7524237938,-127024.77625146949,us_stocks,1d,WFO[sell_in_may],gross,wfo,41.0,12.0,False,False,True,sell_in_may,calendar,"Bouman & Jacobsen (2002), 'The Halloween Indicator', AER",False,-0.05579891072610758,-0.22508541530952053,0.05,,,1.9823454897908779,,
-0.3700145185103234,0.0,-0.37001451851032346,0.0,-2.369489860145643,,NVDA,20,20,41.008338988270324,False,False,False,False,0,False,22006.6684587853,164378.7524237938,-142372.0839650085,us_stocks,1d,golden_cross,gross,published,54.0,0.0,False,False,True,golden_cross,trend,Folk / StockCharts ChartSchool; the retail default,True,-0.05960866300446436,-0.16721178436766437,0.0,0.7109552260146265,0.7109552260146265,1.391494000145081,-0.3557350752751547,-0.01427944323516872
