class,timeframe,n_assets,n_rules_run,n_rules_skipped,n_folds,n_families_reoptimised,is_years,oos_years,step_years,oos_start,oos_end,ranking_stability_spearman,mean_is_ir,mean_oos_ir,wf_drop,seconds
crypto,15m,10,228,4,4,14,3,1,1,2023-02-20,2026-08-03,0.9904983509415788,-6.1346151289667175,-8.094753749435636,-1.9601386204689184,152.23188614845276
crypto,1d,10,228,4,6,14,3,1,1,2020-08-29,2026-08-03,-0.09148049999194532,-0.6187548279478219,-0.4210880530906438,0.1976667748571781,9.180142164230347
crypto,1h,10,228,4,4,14,3,1,1,2023-01-07,2026-08-03,0.8819437027998981,-1.900574500774796,-2.1738294702071137,-0.2732549694323183,26.014439582824707
crypto,2h,10,228,4,4,14,3,1,1,2023-01-07,2026-08-03,0.7039926586946078,-1.2089008135968973,-1.238777450336838,-0.0298766367399407,14.464211702346802
crypto,4h,10,228,4,4,14,3,1,1,2023-01-07,2026-08-03,0.29159818508883295,-0.7750037867618597,-0.7145899415052149,0.06041384525664473,12.790548324584961
crypto,5m,10,228,4,4,14,3,1,1,2023-03-26,2026-08-03,0.9960071341157832,-16.920163990715665,-22.352585217858312,-5.432421227142648,598.0330743789673
us_etfs,1d,3,232,0,14,14,3,1,1,2013-02-11,2026-08-06,-0.00036368301321709333,-0.7292549625182438,-0.9623775874351735,-0.2331226249169297,5.412635564804077
us_etfs,4h,3,232,0,4,14,3,1,1,2023-02-10,2026-08-06,-0.09165260992673507,-0.5461096784260598,-1.063726952512999,-0.5176172740869392,3.6801505088806152
us_stocks,15m,20,232,0,4,14,3,1,1,2022-09-17,2026-07-31,0.4281198067519189,-0.8195211405427061,-0.8862106681121138,-0.0666895275694077,54.69280743598938
us_stocks,1d,20,232,0,54,14,3,1,1,1973-01-02,2026-08-04,0.19645923311046312,-0.5738525921070112,-0.6526009384272331,-0.07874834632022187,58.48786377906799
us_stocks,1h,20,232,0,5,14,3,1,1,2022-01-08,2026-07-31,0.1336557891799276,-0.6396851354099905,-0.6108853762309353,0.0287997591790551,23.03062415122986
us_stocks,2h,20,232,0,5,14,3,1,1,2022-06-21,2026-07-31,0.2430000701146889,-0.6045631269014712,-0.8945752797095126,-0.2900121528080414,18.476747274398804
us_stocks,4h,20,232,0,5,14,3,1,1,2022-06-21,2026-07-31,0.31795881298171486,-0.6026570870939804,-0.9337902562068726,-0.33113316911289226,17.57666254043579
us_stocks,5m,20,232,0,4,14,3,1,1,2023-01-09,2026-08-03,0.9146602604919252,-1.3530396598316523,-1.5707223864577495,-0.2176827266260972,170.07448554039
