symbol,scenario,fold,rule,ir_is,ir_oos
ADA/USD,binance,0,MA_21,1.0684621997327188,-1.8157842530315658
ADA/USD,binance,1,MAXINDEX,0.22623979064346805,0.6464833283429761
ADA/USD,binance,2,MAXINDEX,0.3040428574306435,0.3790180544208336
ADA/USD,binance,3,EMA_200,0.45623940766790555,0.2052116611617944
ADA/USD,binance,4,CORREL,1.3260766428140067,-0.4205216468983955
ADA/USD,binance,5,TSF_50,0.24767978507164898,0.16084906895128595
ADA/USD,coinbase,0,MAXINDEX,0.8916696770796099,-1.600400925787671
ADA/USD,coinbase,1,SUM,0.1486137188192074,0.6005638374871137
ADA/USD,coinbase,2,MAXINDEX,0.18836678104999202,0.07987489929368596
ADA/USD,coinbase,3,EMA_200,0.4118658659766029,0.15811163856195323
ADA/USD,coinbase,4,CORREL,1.1071840107262234,-0.5406545056478796
ADA/USD,coinbase,5,CORREL,0.05723267751312166,0.5789592140928845
ADA/USD,gross,0,MA_21,1.108178369268403,-1.757295106361722
ADA/USD,gross,1,MAXINDEX,0.25281507419720617,0.6800560101489647
ADA/USD,gross,2,MAXINDEX,0.3291060018105416,0.44317118464255656
ADA/USD,gross,3,EMA_200,0.4658158872670251,0.2153854051876092
ADA/USD,gross,4,CORREL,1.3730304228738444,-0.3945526855460103
ADA/USD,gross,5,STOCHRSI,0.3871290948364,2.457034903135478
ADA/USD,kraken,0,MA_21,1.0090308464294735,-1.9025902871297244
ADA/USD,kraken,1,MAXINDEX,0.18647946491727851,0.5960773128230961
ADA/USD,kraken,2,MAXINDEX,0.26651522043893366,0.2824354669155561
ADA/USD,kraken,3,EMA_200,0.4418776316751037,0.18995948007769758
ADA/USD,kraken,4,CORREL,1.2554508175293781,-0.45944070609404214
ADA/USD,kraken,5,CORREL,0.17538009369201848,0.7023520896077037
AVAX/USD,binance,1,MOM,0.6565611653911547,1.3205696317853068
AVAX/USD,binance,2,MOM,1.0299406062001384,0.4612897038789269
AVAX/USD,binance,3,MOM,0.8595260552993647,0.16658728455785526
AVAX/USD,binance,4,ATAN,0.7898985158676801,-0.7879000562490841
AVAX/USD,binance,5,WILLR,0.5290355548358636,0.5446508635923918
AVAX/USD,coinbase,1,MOM,0.5285076364635284,1.0861927464100372
AVAX/USD,coinbase,2,MOM,0.8427366931263199,0.03234575550503155
AVAX/USD,coinbase,3,MOM,0.6162624033438684,-0.3101672066086282
AVAX/USD,coinbase,4,ATAN,0.5937136595052034,-1.1497449838047393
AVAX/USD,coinbase,5,CORREL,0.29221862893900785,0.558741280799214
AVAX/USD,gross,1,MOM,0.6842820539062267,1.3714367540090961
AVAX/USD,gross,2,MOM,1.07051860760532,0.5553865781926904
AVAX/USD,gross,3,MOM,0.9123644441997873,0.27071948295512727
AVAX/USD,gross,4,ATAN,0.8326298501292119,-0.7079265135451032
AVAX/USD,gross,5,WILLR,0.6013684501707226,0.6431265969495491
AVAX/USD,kraken,1,MOM,0.6150436085555373,1.244465620564261
AVAX/USD,kraken,2,MOM,0.9691988913518158,0.3211309812584639
AVAX/USD,kraken,3,MOM,0.780498907583984,0.011164551409576664
AVAX/USD,kraken,4,ATAN,0.7260674289369858,-0.9066074142329844
AVAX/USD,kraken,5,WILLR,0.4213128170665665,0.3977954690180327
BNB/USD,binance,0,IMI,0.19978505178503833,-1.2147110861266655
BNB/USD,binance,1,MAMA,0.1500186016898701,0.26698465861797716
BNB/USD,binance,2,LINEARREG_INTERCEPT_21,0.1515319160525385,-0.7513937080906251
BNB/USD,binance,3,MINMAX,0.13042611439722737,-0.9720544720941519
BNB/USD,binance,4,ATR,0.8517402795522975,0.3694261966855804
BNB/USD,binance,5,CORREL,0.2974909961643053,0.03774039790438442
BNB/USD,coinbase,0,MAMA,0.05487030962862216,-0.28166555866950266
BNB/USD,coinbase,1,MAMA,0.06370136467689161,0.1478771726742905
BNB/USD,coinbase,2,LINEARREG_INTERCEPT_21,-0.0009449704146700504,-1.1643842802064808
BNB/USD,coinbase,3,LINEARREG_1000,0.04983941940091268,-1.378231665286426
BNB/USD,coinbase,4,ATR,0.578234845524308,-0.13948600766833122
BNB/USD,coinbase,5,CORREL,-0.016861284760677095,-0.22809342757892728
BNB/USD,gross,0,IMI,0.25582455868411064,-1.1612131139551258
BNB/USD,gross,1,MAMA,0.1686602015615652,0.2927445377431112
BNB/USD,gross,2,LINEARREG_INTERCEPT_21,0.1846212174567377,-0.659593657624116
BNB/USD,gross,3,MINMAX,0.17101279127271746,-0.9213798130152666
BNB/USD,gross,4,ATR,0.9100808104374158,0.47986046182670034
BNB/USD,gross,5,CORREL,0.36541133463731046,0.09513835469880375
BNB/USD,kraken,0,IMI,0.1160432262912874,-1.294447126352802
BNB/USD,kraken,1,MAMA,0.12206915315928794,0.22838523491707455
BNB/USD,kraken,2,LINEARREG_INTERCEPT_21,0.1020239377886543,-0.8873668841949592
BNB/USD,kraken,3,LINEARREG_INTERCEPT_1000,0.08241995682277044,-2.149405473504413
BNB/USD,kraken,4,ATR,0.7637488500719415,0.20400730369997958
BNB/USD,kraken,5,CORREL,0.19561505973701337,-0.048377338982987426
BTC/USD,binance,0,MAXINDEX,0.6299082363086158,-0.7883878547710467
BTC/USD,binance,1,MININDEX,0.5520673643183495,-0.1691493703052539
BTC/USD,binance,2,WMA_1000,0.4884648501788698,-1.0109818782332707
BTC/USD,binance,3,MININDEX,0.3910395092464822,1.7622360378932078
BTC/USD,binance,4,MININDEX,0.5944591384664724,-0.6715044953390913
BTC/USD,binance,5,MININDEX,0.43405220277902645,-0.2539194875665757
BTC/USD,coinbase,0,MAXINDEX,0.5118819195702613,-1.0340176247855355
BTC/USD,coinbase,1,MININDEX,0.29298209947412257,-0.3180812393638215
BTC/USD,coinbase,2,WMA_1000,0.4803416171611926,-1.1132448406085265
BTC/USD,coinbase,3,WMA_200,0.31321578300888425,-0.9836306531611292
BTC/USD,coinbase,4,MININDEX,0.32858333225793585,-1.0200377972874286
BTC/USD,coinbase,5,MININDEX,0.07127317715176269,-0.6547866181168828
BTC/USD,gross,0,MAXINDEX,0.6553593402248349,-0.7350051076650471
BTC/USD,gross,1,MININDEX,0.607778035544075,-0.1368977441716392
BTC/USD,gross,2,WMA_1000,0.49020946352961947,-0.9887258802652159
BTC/USD,gross,3,HT_TRENDMODE,0.5209703586041757,-0.13255963622835043
BTC/USD,gross,4,MININDEX,0.6507909627793234,-0.5943432950182473
BTC/USD,gross,5,MININDEX,0.5116002473934613,-0.16673515605554848
BTC/USD,kraken,0,MAXINDEX,0.5917176320135609,-0.8682644441465788
BTC/USD,kraken,1,MININDEX,0.46830066112009927,-0.21747310919903026
BTC/USD,kraken,2,WMA_1000,0.4858429167870061,-1.044239418241923
BTC/USD,kraken,3,WMA_200,0.35629857322359293,-0.8651079076026504
BTC/USD,kraken,4,MININDEX,0.5091606893041091,-0.7861074825157958
BTC/USD,kraken,5,MININDEX,0.3170105673224836,-0.384502948988801
DOGE/USD,binance,0,CDLDOJI,1.0609119742560256,-1.4428639788034805
DOGE/USD,binance,1,LINEARREG_INTERCEPT_50,0.1536417857703769,0.9108340359203281
DOGE/USD,binance,2,LINEARREG_INTERCEPT_50,0.5058475607475422,-0.6263728914657014
DOGE/USD,binance,3,SUM,0.5240995988050252,-0.7704258688336183
DOGE/USD,binance,4,CORREL,0.9340699314091633,0.44782641750439284
DOGE/USD,binance,5,DX,0.6040652610562042,2.0273528741750177
DOGE/USD,coinbase,0,CDLDOJI,0.7036851171981365,-1.4978168114951662
DOGE/USD,coinbase,1,LINEARREG_INTERCEPT_50,0.08510159076958491,0.8497005486393806
DOGE/USD,coinbase,2,LINEARREG_INTERCEPT_50,0.44063656136708784,-0.7398440189758221
DOGE/USD,coinbase,3,SUM,0.4643370062167238,-0.8533006230140658
DOGE/USD,coinbase,4,CORREL,0.7029865436972,0.1749310432471709
DOGE/USD,coinbase,5,DX,0.19347785813746843,1.3717687928795943
DOGE/USD,gross,0,CDLDOJI,1.1378536184883836,-1.4310028720182808
DOGE/USD,gross,1,LINEARREG_INTERCEPT_50,0.1685391830868714,0.9240034090478211
DOGE/USD,gross,2,LINEARREG_INTERCEPT_50,0.5199537084471104,-0.6015344538918276
DOGE/USD,gross,3,SUM,0.5369738350240145,-0.7524736306458872
DOGE/USD,gross,4,CORREL,0.9837349654082974,0.5067736567948871
DOGE/USD,gross,5,DX,0.6926248949392482,2.1668761171576136
DOGE/USD,kraken,0,CDLDOJI,0.945372850596119,-1.4606501513396326
DOGE/USD,kraken,1,LINEARREG_INTERCEPT_50,0.13136988191201335,0.8910677204271173
DOGE/USD,kraken,2,LINEARREG_INTERCEPT_50,0.48471391581066037,-0.6633935979064722
DOGE/USD,kraken,3,SUM,0.50477617884341,-0.7973069447032191
DOGE/USD,kraken,4,CORREL,0.8594271436223687,0.35942977585459646
DOGE/USD,kraken,5,DX,0.47115754166692725,1.8165587273273838
ETH/USD,binance,0,MACDEXT,1.0443883159984866,-1.8653929310346635
ETH/USD,binance,1,MAXINDEX,0.5155482068442329,-1.029560980826938
ETH/USD,binance,2,HT_TRENDMODE,0.43733663546427193,0.6520211832543631
ETH/USD,binance,3,HT_TRENDMODE,0.9108862939782915,-1.4658392295025762
ETH/USD,binance,4,CDLDOJI,0.3834566872554663,-0.5771362102619013
ETH/USD,binance,5,MAX,0.10635462007496413,0.28338972450594474
ETH/USD,coinbase,0,MACDEXT,0.890588476854478,-2.0279439568901703
ETH/USD,coinbase,1,MAXINDEX,0.3882194573430938,-1.2001199592650849
ETH/USD,coinbase,2,APO,0.040300682941675936,-2.112722796480452
ETH/USD,coinbase,3,HT_TRENDMODE,0.18733061190731123,-2.5908418435687244
ETH/USD,coinbase,4,MA_200,0.24299640394390043,-0.47187312457097874
ETH/USD,coinbase,5,MAX,-0.011565069600791168,0.18341959129845925
ETH/USD,gross,0,MACDEXT,1.0774877635381246,-1.8302172062708841
ETH/USD,gross,1,MAXINDEX,0.5429003194786697,-0.9920771244434851
ETH/USD,gross,2,HT_TRENDMODE,0.5833260175935155,0.8392612024520476
ETH/USD,gross,3,HT_TRENDMODE,1.0633781410499021,-1.207815428942346
ETH/USD,gross,4,CDLDOJI,0.47920558823723164,-0.4763489869763282
ETH/USD,gross,5,HT_TRENDMODE,0.18918384491632037,0.3625011638620548
ETH/USD,kraken,0,MACDEXT,0.9946807547133082,-1.918089068201217
ETH/USD,kraken,1,MAXINDEX,0.4744344483161432,-1.085359519879401
ETH/USD,kraken,2,HT_TRENDMODE,0.21674847430072308,0.36883878107820534
ETH/USD,kraken,3,HT_TRENDMODE,0.6791037300425876,-1.843996748246355
ETH/USD,kraken,4,HT_SINE,0.31135484949710074,-0.7884376357144415
ETH/USD,kraken,5,MAX,0.06803615904588604,0.2509268617577671
LINK/USD,binance,0,HT_TRENDLINE,0.17978552745170348,-0.9197631274835557
LINK/USD,binance,1,STDDEV,0.07299597488775651,-0.726914269890145
LINK/USD,binance,2,MAXINDEX,0.2686557315321499,-0.2101975667284868
LINK/USD,binance,3,COS,0.55800016457897,-0.4119027537221892
LINK/USD,binance,4,COS,0.7836357447977496,-1.4115490540478661
LINK/USD,binance,5,MININDEX,0.20601692761770873,0.11387438796173818
LINK/USD,coinbase,0,HT_TRENDLINE,0.07355706816092179,-1.1252178580678498
LINK/USD,coinbase,1,ADXR,-0.2268110723314619,0.20287267254488672
LINK/USD,coinbase,2,MAXINDEX,0.1634426869034286,-0.4871436672202566
LINK/USD,coinbase,3,ADXR,0.19979323909839336,-0.9993703220568584
LINK/USD,coinbase,4,CORREL,0.25746167281556376,-1.4031239660880686
LINK/USD,coinbase,5,MININDEX,0.04023696421941908,-0.17549288807044344
LINK/USD,gross,0,HT_TRENDLINE,0.20278914667297956,-0.8750147010037094
LINK/USD,gross,1,STDDEV,0.15248966522200308,-0.6232928498057899
LINK/USD,gross,2,MAXINDEX,0.2913589634031713,-0.15013743128817186
LINK/USD,gross,3,COS,0.6755764548540826,-0.286357223952719
