symbol,scenario,fold,rule,ir_is,ir_oos
ADA/USD,binance,0,LINEARREG_INTERCEPT_1000,0.2172457220340234,-0.8153443055278119
ADA/USD,binance,1,LINEARREG_INTERCEPT_1000,0.3836370945838558,-0.08531417212570522
ADA/USD,binance,2,MA_100,0.5291369828578829,0.026788514610846543
ADA/USD,binance,3,MINMAX,0.15676115397658164,1.2570136212947518
ADA/USD,coinbase,0,LINEARREG_INTERCEPT_1000,0.16154467709630754,-0.8620499060619288
ADA/USD,coinbase,1,LINEARREG_INTERCEPT_1000,0.362116565896195,-0.10555230016619861
ADA/USD,coinbase,2,LINEARREG_INTERCEPT_1000,0.28995874620696593,-0.1200414902772411
ADA/USD,coinbase,3,TRIX,-0.2572019843342651,-0.08942183195666316
ADA/USD,gross,0,LINEARREG_9,0.40873132725609496,-0.8827415120451371
ADA/USD,gross,1,ATR,0.5334708189212574,-0.4979251716998437
ADA/USD,gross,2,MAXINDEX,0.7614106715330209,0.5735435811634428
ADA/USD,gross,3,HT_TRENDMODE,0.5589030250119977,1.0479737265284486
ADA/USD,kraken,0,LINEARREG_INTERCEPT_1000,0.19921582836498056,-0.8305117408274915
ADA/USD,kraken,1,LINEARREG_INTERCEPT_1000,0.37667815942897687,-0.09186582214260686
ADA/USD,kraken,2,ACCBANDS,0.3358579407164156,-0.4431074084164942
ADA/USD,kraken,3,T3_200,-0.10090893093631506,-0.2933039052173336
AVAX/USD,binance,0,MAXINDEX,0.7940958525688213,-2.176618421973951
AVAX/USD,binance,1,ATR,0.38490217087726786,-0.6231057271522856
AVAX/USD,binance,2,HT_TRENDLINE,1.0183146510638115,0.12577593493382117
AVAX/USD,binance,3,MA_100,0.5988055398120263,0.08266936145725329
AVAX/USD,coinbase,0,KAMA_1000,0.24286185446673839,-0.4830444617544301
AVAX/USD,coinbase,1,ACCBANDS,0.17625422504953592,-0.2574743641550372
AVAX/USD,coinbase,2,COSH,0.5283022608906428,
AVAX/USD,coinbase,3,TRIX,0.17748839386899196,1.3393790145746174
AVAX/USD,gross,0,MAXINDEX,0.9313519852665234,-1.927350810796164
AVAX/USD,gross,1,NATR,0.6214715513869334,-0.6947451810023157
AVAX/USD,gross,2,HT_TRENDLINE,1.3114353674739532,0.45832463739394724
AVAX/USD,gross,3,HT_PHASOR,0.8991230919267689,1.884123700462259
AVAX/USD,kraken,0,MAXINDEX,0.5882410395247831,-2.541673491334246
AVAX/USD,kraken,1,ACCBANDS,0.2734702824015083,-0.13733778039835456
AVAX/USD,kraken,2,MA_100,0.7423037299094206,0.6685190281767426
AVAX/USD,kraken,3,MA_100,0.43242462873245363,-0.3403719255706981
BNB/USD,binance,0,MAMA,-0.08659525501465253,-0.8195348082084961
BNB/USD,binance,1,LINEARREG_1000,0.2297844124466019,-1.0186787225118834
BNB/USD,binance,2,MAXINDEX,0.16415045325190986,-0.3314999339016054
BNB/USD,binance,3,LINEARREG_1000,-0.3314795598427663,0.41694731706428745
BNB/USD,coinbase,0,LINEARREG_1000,-0.4138703571472258,-0.7852399838697756
BNB/USD,coinbase,1,LINEARREG_1000,-0.03603783799802823,-1.6228820389915861
BNB/USD,coinbase,2,CDLTASUKIGAP,-0.5049814164019317,-0.6988515624921027
BNB/USD,coinbase,3,LINEARREG_1000,-0.8597885663267333,-0.5864489241341597
BNB/USD,gross,0,TSF_9,0.3120542640354291,0.21926800073510827
BNB/USD,gross,1,TSF_9,0.5973276254267614,-1.016660626760735
BNB/USD,gross,2,TSF_9,0.5733740346264964,0.24703269711144465
BNB/USD,gross,3,MAXINDEX,-0.09339127801870704,-1.5702734247240473
BNB/USD,kraken,0,LINEARREG_INTERCEPT_200,-0.2674990640843725,-0.7840832735629756
BNB/USD,kraken,1,LINEARREG_1000,0.14344550200676348,-1.2178198585446782
BNB/USD,kraken,2,SUM,-0.23360441383800337,-0.9369852861469095
BNB/USD,kraken,3,LINEARREG_1000,-0.5048403042476969,0.08604104624457137
BTC/USD,binance,0,MININDEX,0.6514941954041356,-0.44549171767100815
BTC/USD,binance,1,TSF_1000,0.48961370838470614,-1.0370400406336016
BTC/USD,binance,2,MAXINDEX,0.796555864199798,0.5558945742178213
BTC/USD,binance,3,MAXINDEX,0.005566383200796113,-2.838297888284923
BTC/USD,coinbase,0,LINEARREG_INTERCEPT_1000,0.2089842032501318,-2.7826230019262495
BTC/USD,coinbase,1,TSF_1000,0.24937636145445494,-1.5814328455393705
BTC/USD,coinbase,2,LINEARREG_INTERCEPT_1000,0.0996550802597233,-0.7827694835636023
BTC/USD,coinbase,3,TSF_1000,-0.7928973215402773,0.40523901822064184
BTC/USD,gross,0,MININDEX,0.9651260750712121,0.05407306831231341
BTC/USD,gross,1,MININDEX,0.7739560870191508,-3.4174321193581587
BTC/USD,gross,2,MAXINDEX,1.2369328510520567,1.0439101049557356
BTC/USD,gross,3,MAXINDEX,0.49321233650528884,-2.3227983275733397
BTC/USD,kraken,0,TSF_1000,0.2505900709808385,-0.7919193528506395
BTC/USD,kraken,1,TSF_1000,0.4116342930136346,-1.216181083905193
BTC/USD,kraken,2,MA_1000,0.1828354221472331,-0.8925192878347205
BTC/USD,kraken,3,TSF_1000,-0.5212005112715489,0.6747829222247921
DOGE/USD,binance,0,MINMAX,0.18619874120661556,-0.6932698489847595
DOGE/USD,binance,1,ADXR,0.2974458465697289,-1.8991549983443041
DOGE/USD,binance,2,MA_100,0.2565697881609663,0.8101646105061798
DOGE/USD,binance,3,MINMAXINDEX,0.5879714058255355,-0.24866509420714972
DOGE/USD,coinbase,0,LINEARREG_INTERCEPT_1000,-0.20179651725302747,-0.7149978097192236
DOGE/USD,coinbase,1,LINEARREG_INTERCEPT_1000,-0.07209230294201972,-1.0074323930931557
DOGE/USD,coinbase,2,ACCBANDS,-0.1408680084797156,-0.5982373545291794
DOGE/USD,coinbase,3,T3_200,-0.1186438474036009,0.6386866231226025
DOGE/USD,gross,0,LINEARREG_9,0.43026323697167546,-0.5263292400398116
DOGE/USD,gross,1,TSF_9,0.6742071815985128,-1.4880872923324209
DOGE/USD,gross,2,HT_PHASOR,0.5015044223358542,2.4995638867714707
DOGE/USD,gross,3,MINMAXINDEX,0.807132209286182,0.09421321236313075
DOGE/USD,kraken,0,MINMAX,-0.03974819519401432,-1.0879975803866315
DOGE/USD,kraken,1,ADXR,0.10486101618465847,-2.112393991370603
DOGE/USD,kraken,2,MA_100,0.021037616899060245,0.6321030699542278
DOGE/USD,kraken,3,MINMAXINDEX,0.2606679007419892,-0.7587841555715881
ETH/USD,binance,0,MAXINDEX,0.698296829914698,-1.123830677722852
ETH/USD,binance,1,MAXINDEX,0.31532784383772905,-0.03815478923652668
ETH/USD,binance,2,MAXINDEX,0.795123272791522,1.1225850262625836
ETH/USD,binance,3,LINEARREG_1000,0.2820652133820071,0.0135548813497093
