ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,exposure,long_frac,short_frac
-0.13111561765505295,0.6666666666666666,-0.13111561765505295,0.0,-0.24365991858017294,,SPY,3,3,3.453499036620149,False,False,False,False,0,False,351.14244368839746,460.40263115312473,-109.26018746472727,us_etfs,4h,MAXINDEX,gross,fixed,4.0,0.0,False,True,True,0.8624186758515117,0.8624186758515117,0.0
-0.29681860443586894,0.3333333333333333,-0.296818604435869,0.0,-0.5515955938993908,,SOXL,3,3,3.453499036620149,False,False,False,False,0,False,535.3845083005646,460.40263115312473,74.98187714743983,us_etfs,4h,MININDEX,gross,fixed,4.0,0.0,False,True,True,0.8532338308457712,0.8532338308457712,0.0
-0.4867193244128945,0.0,-0.4867193244128945,0.0,-0.9044993501067664,,SPY,3,3,3.453499036620149,False,False,False,False,0,False,24.804178648834892,460.40263115312473,-435.59845250428987,us_etfs,4h,MIDPRICE_200,gross,fixed,4.0,0.0,False,False,True,1.0,0.7799464217374665,0.22005357826253347
-0.5016008784323661,0.0,-0.5016008784323661,0.0,-0.932154623411206,,SOXL,3,3,3.453499036620149,False,False,False,False,0,False,195.01243190773664,460.40263115312473,-265.3901992453881,us_etfs,4h,IS#1,gross,is1_selection,4.0,2.0,False,False,True,0.852851128970532,0.6806352851128971,0.1722158438576349
-0.5047478221198589,0.0,-0.5047478221198589,0.0,-0.9380027752666791,,SPY,3,3,3.453499036620149,False,False,False,False,0,False,11.632287543343667,460.40263115312473,-448.77034360978104,us_etfs,4h,MIDPOINT_200,gross,fixed,4.0,0.0,False,False,True,1.0,0.778798316111749,0.22120168388825104
-0.5261121623893793,0.0,-0.5261121623893793,0.0,-0.9777053942505269,,SOXL,3,3,3.453499036620149,False,False,False,False,0,False,436.5469029559783,460.40263115312473,-23.855728197146448,us_etfs,4h,HT_TRENDMODE,gross,fixed,4.0,0.0,False,False,True,0.7950631458094145,0.7950631458094145,0.0
-0.5513240033200268,0.0,-0.5513240033200268,0.0,-1.0245580516096184,,SPY,3,3,3.453499036620149,False,False,False,False,0,False,6.140669199930156,460.40263115312473,-454.2619619531946,us_etfs,4h,EMA_200,gross,fixed,4.0,0.0,False,False,True,1.0,0.7742058936088787,0.2257941063911213
-0.5627254469359019,0.0,-0.5627254469359018,0.0,-1.0457460296157877,,SOXL,3,3,3.453499036620149,False,False,False,False,0,False,3.0640220168888277,460.40263115312473,-457.3386091362359,us_etfs,4h,MIDPRICE_100,gross,fixed,4.0,0.0,False,False,True,1.0,0.7114427860696518,0.2885572139303482
-0.5629710998841234,0.0,-0.5629710998841234,0.0,-1.0462025410400797,,TQQQ,3,3,3.453499036620149,False,False,False,False,0,False,29.802445191252747,460.40263115312473,-430.600185961872,us_etfs,4h,MINMAXINDEX,gross,fixed,4.0,0.0,False,True,True,0.9934940681209338,0.5068886337543054,0.4866054343666284
-0.5695118326929715,0.0,-0.5695118326929716,0.0,-1.058357572242018,,SPY,3,3,3.453499036620149,False,False,False,False,0,False,-1.3902362430318007,460.40263115312473,-461.7928673961565,us_etfs,4h,TRIMA_200,gross,fixed,4.0,0.0,False,False,True,1.0,0.7583237657864523,0.24167623421354764
