ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,op,exposure,long_frac,short_frac
-0.02553765834130193,0.42589928057553955,-0.02553765834130193,,-0.1412545475756001,,CPAY,704,695,30.59445576919198,False,False,False,False,0,False,22210.904625874995,25325.07672409563,-3114.1720982206352,us_stocks,1d,MAXINDEX~MININDEX|or,gross,fixed_combo,54.0,0.0,False,False,True,or,0.9950188831529521,0.9950188831529521,0.0
-0.02553765834130193,0.42589928057553955,-0.02553765834130193,,-0.1412545475756001,,CPAY,704,695,30.59445576919198,False,False,False,False,0,False,22210.904625874995,25325.07672409563,-3114.1720982206352,us_stocks,1d,MAXINDEX~MININDEX|vote,gross,fixed_combo,54.0,0.0,False,False,True,vote,0.9950188831529521,0.9950188831529521,0.0
-0.12104569260901332,0.3068181818181818,-0.12104569260901334,,-0.6695310242211369,,CPAY,704,704,30.59445576919198,False,False,False,False,0,False,25344.38964429557,25325.07672409563,19.31292019993998,us_stocks,1d,MAXINDEX~TEMA_9|or,gross,fixed_combo,54.0,0.0,False,False,True,or,1.0,0.9368149052720209,0.06318509472797902
-0.12530595269744763,0.2840909090909091,-0.12530595269744765,,-0.6930954835503196,,CPAY,704,704,30.59445576919198,False,False,False,False,0,False,41422.75580302615,25325.07672409563,16097.67907893052,us_stocks,1d,MAXINDEX~LINEARREG_9|or,gross,fixed_combo,54.0,0.0,False,False,True,or,0.9996283039230177,0.9326329595885908,0.06699534433442683
-0.1301682726100746,0.2840909090909091,-0.1301682726100746,,-0.7199900715445194,,SHLD,704,704,30.59445576919198,False,False,False,False,0,False,17231.908801350288,25325.07672409563,-8093.167922745342,us_stocks,1d,MAXINDEX~STOCHF|or,gross,fixed_combo,54.0,0.0,False,False,True,or,0.9997207093131276,0.9310940175064334,0.06862669180669434
-0.1475665701935432,0.24005681818181818,-0.1475665701935432,,-0.8162239791680648,,ADCT,704,704,30.59445576919198,False,False,False,False,0,False,36754.70442477802,25325.07672409563,11429.627700682391,us_stocks,1d,MININDEX~STOCHF|or,gross,fixed_combo,54.0,0.0,False,False,True,or,0.9997065077506693,0.925322441880456,0.07438406587021328
-0.1510950229097113,0.2599431818181818,-0.15109502290971127,,-0.83574064688298,,SHLD,704,704,30.59445576919198,False,False,False,False,0,False,21894.843289559147,25325.07672409563,-3430.2334345364834,us_stocks,1d,MAXINDEX~BOP|or,gross,fixed_combo,54.0,0.0,False,False,True,or,0.9887220680754315,0.9225545081788233,0.06616755989660823
-0.15536458929408783,0.23295454545454544,-0.15536458929408783,,-0.8593565814337886,,CPAY,704,704,30.59445576919198,False,False,False,False,0,False,22452.272660446633,25325.07672409563,-2872.804063648997,us_stocks,1d,MININDEX~BOP|or,gross,fixed_combo,54.0,0.0,False,False,True,or,0.9886396705060129,0.9243311102932331,0.06430856021277975
-0.15581439790732812,0.21022727272727273,-0.15581439790732812,,-0.8618445743151134,,WYN,704,704,30.59445576919198,False,False,False,False,0,False,51097.896154428156,25355.891326432382,25742.004827995774,us_stocks,1d,IS#1[combo],gross,wf_combo,31.0,20.0,False,False,True,,,,
-0.1802013543116302,0.171875,-0.1802013543116302,,-0.9967343299691926,,OGN,704,704,30.59445576919198,False,False,False,False,0,False,36741.840440533095,25325.07672409563,11416.763716437465,us_stocks,1d,MAXINDEX~LINEARREG_9|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.8553748243456557,0.8553748243456557,0.0
-0.18026567474536764,0.171875,-0.18026567474536764,,-0.9970901007938322,,OGN,704,704,30.59445576919198,False,False,False,False,0,False,36740.725752199505,25325.07672409563,11415.649028103875,us_stocks,1d,MAXINDEX~TSF_9|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.8553905808496475,0.8553905808496475,0.0
-0.18091665496665152,0.16761363636363635,-0.18091665496665152,,-1.0006908192077597,,OGN,704,704,30.59445576919198,False,False,False,False,0,False,12082.063510574199,25325.07672409563,-13243.013213521432,us_stocks,1d,MAXINDEX~TEMA_9|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.8574483244742155,0.8574483244742155,0.0
-0.1814624451220277,0.1690340909090909,-0.1814624451220277,,-1.0037097076445352,,OGN,704,704,30.59445576919198,False,False,False,False,0,False,11702.12201774085,25325.07672409563,-13622.95470635478,us_stocks,1d,MAXINDEX~STOCHF|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.8548649025819361,0.8548649025819361,0.0
-0.18441482365396322,0.1590909090909091,-0.18441482365396322,,-1.020039979129372,,NWS,704,704,30.59445576919198,False,False,False,False,0,False,11871.177335593968,25325.07672409563,-13453.899388501663,us_stocks,1d,MAXINDEX~STOCHRSI|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.8495471966370794,0.8495471966370794,0.0
-0.21164569151938606,0.11363636363636363,-0.21164569151938606,,-1.1706600504379598,,CPAY,704,704,30.59445576919198,False,False,False,False,0,False,96549.71128272958,25325.07672409563,71224.63455863394,us_stocks,1d,MININDEX~TSF_9|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.8521699225589472,0.8521699225589472,0.0
-0.21167225280565807,0.11363636363636363,-0.21167225280565807,,-1.1708069669024703,,CPAY,704,704,30.59445576919198,False,False,False,False,0,False,96561.17039146446,25325.07672409563,71236.09366736883,us_stocks,1d,MININDEX~LINEARREG_9|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.852156231941393,0.852156231941393,0.0
-0.2119562096233941,0.11079545454545454,-0.2119562096233941,,-1.172377596099723,,CPAY,704,704,30.59445576919198,False,False,False,False,0,False,21795.581794865986,25325.07672409563,-3529.494929229644,us_stocks,1d,MININDEX~TEMA_9|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.8543637016177595,0.8543637016177595,0.0
-0.21280613039287266,0.11363636363636363,-0.21280613039287266,,-1.1770786995510771,,CPAY,704,704,30.59445576919198,False,False,False,False,0,False,19240.93054631157,25325.07672409563,-6084.14617778406,us_stocks,1d,MININDEX~STOCHF|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.8517944812879388,0.8517944812879388,0.0
-0.21524864650077769,0.12073863636363637,-0.2152486465007777,,-1.1905888069836856,,NWS,704,704,30.59445576919198,False,False,False,False,0,False,20935.506968716192,25325.07672409563,-4389.569755379438,us_stocks,1d,MININDEX~STOCHRSI|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.8466947328978385,0.8466947328978385,0.0
-0.2216430858002757,0.15056818181818182,-0.2216430858002757,,-1.2259578928324621,,RE,704,704,30.59445576919198,False,False,False,False,0,False,7955.3835840073825,25325.07672409563,-17369.693140088246,us_stocks,1d,MAXINDEX~BOP|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.7870977904350752,0.7870977904350752,0.0
-0.25123520329590404,0.09232954545454546,-0.25123520329590404,,-1.3896385683581682,,CPAY,704,704,30.59445576919198,False,False,False,False,0,False,7824.7867490901,25325.07672409563,-17500.28997500553,us_stocks,1d,MININDEX~BOP|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.7840955651480381,0.7840955651480381,0.0
-0.2751326907829608,0.07954545454545454,-0.2751326907829608,,-1.5218209610452214,,OGN,704,704,30.59445576919198,False,False,False,False,0,False,20372.720222376433,25325.07672409563,-4952.356501719198,us_stocks,1d,MAXINDEX~MININDEX|and,gross,fixed_combo,54.0,0.0,False,False,True,and,0.7174442357200843,0.7174442357200843,0.0
-0.2751326907829608,0.07954545454545454,-0.2751326907829608,,-1.5218209610452214,,OGN,704,704,30.59445576919198,False,False,False,False,0,False,20372.720222376433,25325.07672409563,-4952.356501719198,us_stocks,1d,MAXINDEX~MININDEX|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.7174442357200843,0.7174442357200843,0.0
-0.2751326907829608,0.07954545454545454,-0.2751326907829608,,-1.5218209610452214,,OGN,704,704,30.59445576919198,False,False,False,False,0,False,20372.720222376433,25325.07672409563,-4952.356501719198,us_stocks,1d,MININDEX~MAXINDEX|gate,gross,fixed_combo,54.0,0.0,False,False,True,gate,0.7174442357200843,0.7174442357200843,0.0
-0.2944177757918067,0.12357954545454546,-0.2944177757918067,,-1.6284911154295736,,SOLV,704,704,30.59445576919198,False,False,False,False,0,False,11112.023689893538,25325.07672409563,-14213.053034202092,us_stocks,1d,TSF_9~MAXINDEX|vote,gross,fixed_combo,54.0,0.0,False,False,True,vote,0.5499341185717627,0.484809023163017,0.06512509540874566
