,excess_cagr
"ibs@buy=0.3,sell=0.7",0.1319087988842429
ibs@sell=0.6,0.11920461955857453
"ibs@buy=0.1,sell=0.9",0.09944608744304606
ibs,0.08966848417214068
RANDOM_50,0.052534899105846966
st_reversal@lookback_weeks=0.5,0.04955814950737358
"sell_in_may@end_month=5,start_month=10",0.042446357017766
tsmom12@lookback_months=9.0,0.041724112174933214
RANDOM_75,0.04115941163067505
RANDOM_25,0.03946402174943997
rsi2_raw,0.03911541497102289
macd_cross,0.03698088129242838
sell_in_may,0.03472842152326128
st_reversal,0.03470937079365277
tsmom12,0.03271856924690897
three_lower_lows@trend_ma_days=0.0,0.030507819675182235
momo_regime,0.03002554569295901
"rsi2_raw@buy=15.0,exit_ma_days=10.0",0.02502659159130438
voltgt_tsmom@vol_days=60.0,0.020658046302828525
faber_gtaa,0.019786873278671013
"connors_rsi@buy=15.0,sell=60.0",0.019556262952205694
rsi2_connors@exit_ma_days=10.0,0.01952072088037493
"supertrend_lf@atr_days=20.0,mult=4.0",0.019055020440809978
bollinger_mr@period_days=10.0,0.018878981214217383
rsi2_connors,0.016877462220517225
supertrend_pullback@buy=35.0,0.016786459086540084
momo_regime@lookback_months=6.0,0.016516159956339482
"connors_rsi@buy=20.0,sell=80.0",0.015628046476380497
voltgt_tsmom,0.015105793773464882
sell_in_may@end_month=5,0.01252244097716293
faber_gtaa@ma_months=12.0,0.012514313368488406
rsi2_connors@buy=15.0,0.012415130626252324
"macd_cross@fast_days=20.0,slow_days=50.0",0.011720274565835798
supertrend_pullback,0.011541651874894532
"macd_cross@fast_days=8.0,slow_days=17.0",0.01035452880480725
rsi2_raw@buy=5.0,0.010254347677066677
rsi2_connors@buy=5.0,0.008656604305480098
"supertrend_dual@slow_days=14.0,slow_mult=4.0",0.008306253174359401
connors_rsi,0.008123070774073149
tsmom12@lookback_months=6.0,0.00785892777269126
"turn_of_month@after=5,before=3",0.007448623521913111
bollinger_mr@nbdev=2.5,0.0070865460254117
momo_regime@ma_days=100.0,0.006004877560630284
"donchian_s1@entry_days=10.0,exit_days=5.0",0.005854766193429839
supertrend_lf,0.005661951161994194
faber_gtaa@ma_months=8.0,0.005275288089546359
supertrend_pullback@rsi_days=3.0,0.005167585245691386
"rsi2_connors@exit_ma_days=2.0,trend_ma_days=100.0",0.005166771588015928
"golden_cross@fast_days=10.0,slow_days=50.0",0.0035109123829704103
supertrend_regime,0.002679166905208863
golden_cross,0.0021323973348803538
three_lower_lows,0.001774146047336611
"atr_chandelier@entry_ma_days=200.0,mult=4.0",0.001554355587296996
three_lower_lows@n_lows=4,0.0012938732664902197
supertrend_lf@atr_days=7.0,0.0009698062726857248
supertrend_pullback@buy=10.0,0.0005343801614126065
donchian_s1,0.00015234463998714531
three_lower_lows@n_lows=2,0.00012324326519341788
connors_rsi@buy=5.0,8.542202866501647e-05
ALWAYS_LONG,7.64161362298843e-06
BUYHOLD,7.64161362298843e-06
"supertrend_lf@atr_days=14.0,mult=2.0",-0.00011927148545676225
ALWAYS_FLAT,-0.00015587843804043544
"dual_thrust@k=0.7,lookback_days=20.0",-0.00028066560659856243
"supertrend_dual@atr_days=7.0,mult=2.0",-0.0024474673743053454
supertrend_regime@atr_days=7.0,-0.004453922059982851
voltgt_tsmom@lookback_months=6.0,-0.004537333366098739
supertrend_adx@adx_days=20.0,-0.004570827744152739
volmanaged@var_months=0.5,-0.0046462520009915576
ichimoku,-0.006582987574383692
"donchian_s1@entry_days=30.0,exit_days=15.0",-0.00791815922581618
trend_factor@min_votes=6,-0.008646617273974089
"ichimoku@kijun_days=60.0,senkou_days=120.0,tenkan_days=20.0",-0.009653848865138093
volmanaged@var_months=2.0,-0.009659849937839304
"dyn_breakout2@base_days=40.0,hi_days=80.0",-0.010621606583047338
volmanaged@var_months=3.0,-0.010892291650561603
supertrend_adx@adx_min=30.0,-0.01115691022627252
donchian_s2@exit_days=10.0,-0.01253644036702406
"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",-0.012913965881350853
"ichimoku@kijun_days=13.0,senkou_days=26.0,tenkan_days=5.0",-0.01332280866913993
golden_cross@slow_days=150.0,-0.01427912014262711
supertrend_regime@ma_days=50.0,-0.014926033192644184
RANDOM_90,-0.01528764097379387
dual_thrust@lookback_days=10.0,-0.015307250210625956
volmanaged,-0.015881693193837698
"dyn_breakout2@hi_days=40.0,lo_days=10.0,vol_days=60.0",-0.01787368242696874
atr_chandelier@mult=2.0,-0.018035892708571977
st_reversal@lookback_weeks=2.0,-0.018218730647011183
dual_thrust,-0.01861044464069428
supertrend_adx@adx_min=20.0,-0.018899849896893528
supertrend_dual,-0.01963564656565686
supertrend_regime@ma_days=100.0,-0.02132314405230451
"golden_cross@fast_days=20.0,slow_days=100.0",-0.02219962838331191
"supertrend_dual@slow_days=30.0,slow_mult=8.0",-0.022219299115954216
"donchian_s1@entry_days=40.0,exit_days=20.0",-0.025229303586635776
"donchian_s2@entry_days=80.0,exit_days=30.0",-0.026334472102001127
"momo_regime@lookback_months=3.0,ma_days=50.0",-0.026624389333339993
monday_effect,-0.027111530923150884
dyn_breakout2,-0.02718481702065967
trend_factor@min_votes=5,-0.029246055780208113
turn_of_month@after=1,-0.029492567901640898
trend_factor,-0.03269630753348185
donchian_s2,-0.03331932217771638
faber_gtaa@ma_months=6.0,-0.03365415060286603
tsmom12@lookback_months=3.0,-0.03483186639084468
bollinger_mr@period_days=50.0,-0.034948011864312845
"supertrend@atr_days=20.0,mult=4.0",-0.036422876113617164
turn_of_month@before=2,-0.037517636264629006
supertrend_adx,-0.03818206986883377
atr_chandelier@atr_days=14.0,-0.03930588543108393
trend_factor@min_votes=3,-0.041052797273185115
"donchian_s2@entry_days=100.0,exit_days=40.0",-0.04130351080508943
"voltgt_tsmom@lookback_months=3.0,vol_days=10.0",-0.042047865483346714
st_reversal@lookback_weeks=4.0,-0.04210995644724558
turn_of_month,-0.04290242225547991
preholiday,-0.04474536944228191
atr_chandelier,-0.04697836601134098
bollinger_mr,-0.049614604970525056
preholiday@sessions=2,-0.049660145072945916
preholiday@sessions=3,-0.05350647801462838
supertrend,-0.06272056192445796
supertrend@atr_days=7.0,-0.07215810978413661
"supertrend@atr_days=14.0,mult=2.0",-0.07245515544986358
dual_thrust@k=0.2,-0.07835952792579504
