symbol,scenario,fold,rule,ir_is,ir_oos
A,gross,0,"sell_in_may@end_month=5,start_month=10",1.0961517398561516,-0.9290006617637442
A,gross,1,"sell_in_may@end_month=5,start_month=10",1.0383031171215336,0.327234445182653
A,gross,2,supertrend@atr_days=7.0,1.0055951755482444,-0.576701921845566
A,gross,3,trend_factor,0.7203074265072459,0.11378630017691058
A,gross,4,trend_factor,0.8666608404694417,-0.8179643687052017
A,gross,5,trend_factor,0.07761627820070909,1.5312035705258573
A,gross,6,st_reversal@lookback_weeks=0.5,1.1336783190340225,-1.4093533415477202
A,gross,7,supertrend,0.4847782791830296,0.3200227428670222
A,gross,8,supertrend,0.6824957155106101,-0.36560067900137444
A,gross,9,dual_thrust@k=0.2,-0.008651203048976057,-0.5501489846114219
A,gross,10,sell_in_may,0.45451989179777547,-1.6167349423604183
A,gross,11,"sell_in_may@end_month=5,start_month=10",0.3882761691394374,0.04460682941983771
A,gross,12,"turn_of_month@after=5,before=3",-0.16123056750866016,-0.2706963892938614
A,gross,13,volmanaged@var_months=3.0,0.14972218518368113,
A,gross,14,"sell_in_may@end_month=5,start_month=10",0.3770159210552166,-0.8136803591252425
A,gross,15,volmanaged@var_months=2.0,0.5771989602509529,-0.0068581033768311
A,gross,16,volmanaged@var_months=3.0,0.4049635402311843,-2.1148489146350893
A,gross,17,"ibs@buy=0.1,sell=0.9",-0.14526169220656193,-0.6119189605204264
A,gross,18,"turn_of_month@after=5,before=3",-0.13160268788800103,-0.757150077347458
A,gross,19,atr_chandelier@atr_days=14.0,-0.07924633512438443,-0.29428169551035527
A,gross,20,"turn_of_month@after=5,before=3",-0.02434488778264447,0.4341543373766322
A,gross,21,faber_gtaa@ma_months=6.0,0.2550201095768302,-1.126876404211616
A,gross,22,ibs,0.8537793462973127,0.23557840458816415
A,gross,23,ibs,0.38710019116765354,-0.4427681445112623
A,pessimistic,0,"sell_in_may@end_month=5,start_month=10",1.0938186234449778,-0.9329308642239689
A,pessimistic,1,"sell_in_may@end_month=5,start_month=10",1.0356090677365921,0.3238346078774467
A,pessimistic,2,supertrend_lf@atr_days=7.0,1.0005606343229243,-0.597497549896044
A,pessimistic,3,trend_factor,0.6631047228438692,0.019645300148362178
A,pessimistic,4,trend_factor,0.7911690342520948,-0.9133960673302596
A,pessimistic,5,trend_factor,-0.017378964110375844,1.5010446305624279
A,pessimistic,6,rsi2_raw@buy=5.0,1.106505140157613,-2.158899403440676
A,pessimistic,7,supertrend_lf,0.47783841143540834,0.3122509548575687
A,pessimistic,8,supertrend_lf,0.677696122402969,-0.37461044932587134
A,pessimistic,9,sell_in_may,-0.024510562547087254,0.5680509386627345
A,pessimistic,10,sell_in_may,0.4518133708136315,-1.6224870220812602
A,pessimistic,11,"sell_in_may@end_month=5,start_month=10",0.38458704670751914,0.0360386307334548
A,pessimistic,12,"turn_of_month@after=5,before=3",-0.21050935471065893,-0.32633764654419345
A,pessimistic,13,volmanaged@var_months=3.0,0.14580588349765547,
A,pessimistic,14,"sell_in_may@end_month=5,start_month=10",0.370499548673851,-0.8222643849824116
A,pessimistic,15,volmanaged@var_months=2.0,0.5771989602509529,-0.023662522087561543
A,pessimistic,16,volmanaged@var_months=3.0,0.39825364423724346,-2.1358835921617074
A,pessimistic,17,"ibs@buy=0.1,sell=0.9",-0.20538209080641293,-0.6531948236876574
A,pessimistic,18,dyn_breakout2,-0.16062761309645687,-1.6058476504179617
A,pessimistic,19,atr_chandelier@atr_days=14.0,-0.09939249879148114,-0.3156638093176911
A,pessimistic,20,faber_gtaa@ma_months=6.0,-0.06142189053646389,0.258990138474794
A,pessimistic,21,faber_gtaa@ma_months=6.0,0.24581949584944462,-1.1735817376205397
A,pessimistic,22,ibs,0.7202186348578987,0.12942016442457202
A,pessimistic,23,atr_chandelier@atr_days=14.0,0.34876673283290477,0.584223875492123
A,retail,0,"sell_in_may@end_month=5,start_month=10",1.095798673293377,-0.9296144060133835
A,retail,1,"sell_in_may@end_month=5,start_month=10",1.0378827998786462,0.3267094146510912
A,retail,2,supertrend_lf@atr_days=7.0,1.00480806055517,-0.5799824866177758
A,retail,3,trend_factor,0.7114248103013467,0.09915916123232514
A,retail,4,trend_factor,0.8549644970759429,-0.8330439095803261
A,retail,5,trend_factor,0.06276978962193436,1.5265410636427506
A,retail,6,rsi2_raw@buy=5.0,1.1266621096691787,-2.1481573899300903
A,retail,7,supertrend_lf,0.48370539283728897,0.31881733939663387
A,retail,8,supertrend_lf,0.68176823053076,-0.3670389527012086
A,retail,9,sell_in_may,-0.022270385660526762,0.5715132429444011
A,retail,10,sell_in_may,0.45409847704875794,-1.6176387697298733
A,retail,11,"sell_in_may@end_month=5,start_month=10",0.38770117787905406,0.043273502195793505
A,retail,12,"turn_of_month@after=5,before=3",-0.16890127835311988,-0.27936786865990837
A,retail,13,volmanaged@var_months=3.0,0.1491116645167233,
A,retail,14,"sell_in_may@end_month=5,start_month=10",0.3759997345132514,-0.8150339847262549
A,retail,15,volmanaged@var_months=2.0,0.5771989602509532,-0.009601867893550069
A,retail,16,volmanaged@var_months=3.0,0.4037806673949093,-2.117970956126757
A,retail,17,"ibs@buy=0.1,sell=0.9",-0.15461486616960457,-0.6183196512378574
A,retail,18,"turn_of_month@after=5,before=3",-0.13801101710093974,-0.7666729950796572
A,retail,19,atr_chandelier@atr_days=14.0,-0.08238480173010823,-0.2976198438667525
A,retail,20,"turn_of_month@after=5,before=3",-0.030447903718838744,0.4270925946935281
A,retail,21,faber_gtaa@ma_months=6.0,0.25359239640677916,-1.1343397658012986
A,retail,22,ibs,0.8329502650804118,0.21903367986983566
A,retail,23,ibs,0.3665181439818409,-0.45327437582478575
A,wide,0,"sell_in_may@end_month=5,start_month=10",1.095233125906875,-0.930562527843801
A,wide,1,"sell_in_may@end_month=5,start_month=10",1.0372334514642643,0.3258879488126717
A,wide,2,supertrend_lf@atr_days=7.0,1.0035946936673827,-0.5849955466546171
A,wide,3,trend_factor,0.6976014910379791,0.07638810945980354
A,wide,4,trend_factor,0.836705878151681,-0.8560699624347586
A,wide,5,trend_factor,0.03981051882746195,1.519254893698171
A,wide,6,rsi2_raw@buy=5.0,1.1209096005392534,-2.1512272724313357
A,wide,7,supertrend_lf,0.48202886316735377,0.3169410431887622
A,wide,8,supertrend_lf,0.6806047873790311,-0.36920311778389
A,wide,9,sell_in_may,-0.022910422962867334,0.5705241481729182
A,wide,10,sell_in_may,0.45344571855143256,-1.6190261438571654
A,wide,11,"sell_in_may@end_month=5,start_month=10",0.38681166820485985,0.041207241150217774
A,wide,12,"turn_of_month@after=5,before=3",-0.18079153961675629,-0.292796214182239
A,wide,13,volmanaged@var_months=3.0,0.14816758364894791,
A,wide,14,"sell_in_may@end_month=5,start_month=10",0.37442906837918766,-0.8171030017929056
