ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,strategy,family,source,anchor,excess_cagr,excess_cagr_min,excess_cagr_hit,long_frac,exposure,turnover_yr,ir_random,ir_vs_random
-0.18644759963166616,0.360062893081761,-0.18644759963166616,,-0.3711177695633522,,PSKY,636,636,3.961958350009211,False,False,False,False,0,False,111.7017070964649,132.52564728985166,-20.82394019338676,us_stocks,4h,monday_effect,gross,published,5.0,0.0,False,False,True,monday_effect,calendar,"French (1980), 'Stock Returns and the Weekend Effect', JFE",False,-0.01992811692885307,-2.845120508251844,0.41037735849056606,0.8129372679072543,0.8129372679072543,96.68189395010643,-0.2567002905799409,0.07025269094827477
-0.19155731594785202,0.3333333333333333,-0.19155731594785205,,-0.3812884905922664,,HSP,636,636,3.961958350009211,False,False,False,False,0,False,786.7257574079204,132.52564728985166,654.2001101180687,us_stocks,4h,"ibs@buy=0.3,sell=0.7",gross,grid_cell,5.0,0.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.021726451005126518,-9.648173811257559,0.42924528301886794,0.48596951275944344,0.48596951275944344,169.26596062598662,-0.41830519034861746,0.22674787440076544
-0.20173604469036654,0.16981132075471697,-0.2017360446903665,,-0.4015489129059619,,EXE,636,636,3.961958350009211,False,False,False,False,0,False,111.7224528013065,132.52564728985166,-20.80319448854516,us_stocks,4h,RANDOM_90,gross,control,5.0,0.0,False,False,True,,control,,False,-0.023611664332066608,-6.1613691454238175,0.3411949685534591,0.8999593559840195,0.8999593559840195,4.702286283187124,-0.2017617039780387,2.5659287672147313e-05
-0.2137169241848655,0.32547169811320753,-0.21371692418486546,,-0.42539645658144826,,HSP,636,636,3.961958350009211,False,False,False,False,0,False,443.5923153990304,132.52564728985166,311.06666810917875,us_stocks,4h,ibs,gross,published,5.0,0.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.03867645226072629,-13.658796056344903,0.42138364779874216,0.48422567570410624,0.48422567570410624,119.12549703816826,-0.4189462852496355,0.20522936106477002
-0.23874422334554585,0.32075471698113206,-0.23874422334554585,,-0.47521246633998293,,HSP,636,636,3.961958350009211,False,False,False,False,0,False,197.87497515985018,132.52564728985166,65.34932786999852,us_stocks,4h,"ibs@buy=0.1,sell=0.9",gross,grid_cell,5.0,0.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.05593011398013297,-15.256119073331364,0.42138364779874216,0.4836283162148189,0.4836283162148189,64.39844377927726,-0.41916589528801884,0.180421671942473
-0.24105126662192905,0.2971698113207547,-0.241051266621929,,-0.47980455954316115,,HSP,636,636,3.961958350009211,False,False,False,False,0,False,697.9310005240542,132.52564728985166,565.4053532342025,us_stocks,4h,WFO[ibs],gross,wfo,5.0,2.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.03627712826661395,-9.65291812566748,0.4025157232704403,,,118.98046796209296,,
-0.2779204199278185,0.2751572327044025,-0.2779204199278185,,-0.5531913876256993,,HSP,636,636,3.961958350009211,False,False,False,False,0,False,685.5856804654604,132.52564728985166,553.0600331756087,us_stocks,4h,ibs@sell=0.6,gross,grid_cell,5.0,0.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.051824498207457145,-14.396383133438482,0.37735849056603776,0.34306994400579915,0.34306994400579915,152.1064347800566,-0.47084002128666524,0.19291960135884673
-0.2964337033240671,0.12264150943396226,-0.2964337033240671,,-0.5900414648317516,,EXE,636,636,3.961958350009211,False,False,False,False,0,False,85.83766422455855,132.52564728985166,-46.68798306529311,us_stocks,4h,RANDOM_75,gross,control,5.0,0.0,False,False,True,,control,,False,-0.0486317884304461,-9.305308231124117,0.29559748427672955,0.7499946188942734,0.7499946188942734,9.796586979389875,-0.2964362135973447,2.5102732775783565e-06
-0.2982092703804553,0.2751572327044025,-0.2982092703804553,,-0.5935756722282465,,BBY,636,636,3.961958350009211,False,False,False,False,0,False,58.260315291101975,132.52564728985166,-74.26533199874969,us_stocks,4h,"connors_rsi@buy=20.0,sell=80.0",gross,grid_cell,5.0,0.0,False,False,True,connors_rsi,reversion,"Connors Research, 'ConnorsRSI'",False,-0.08929789364869625,-16.776923826835915,0.3663522012578616,0.4525320211458129,0.4525320211458129,9.06166164418518,-0.4305979704055179,0.1323887000250626
-0.30365790259235276,0.2468553459119497,-0.3036579025923527,,-0.6044209941183921,,HSP,636,636,3.961958350009211,False,False,False,False,0,False,69.70264165417173,132.52564728985166,-62.823005635679934,us_stocks,4h,st_reversal,gross,published,5.0,0.0,False,False,True,st_reversal,reversion,"Jegadeesh (1990), 'Evidence of Predictable Behavior of Security Returns', JF",True,-0.08157295058859969,-14.804821402699867,0.34276729559748426,0.46423906267406445,0.46423906267406445,69.80253669673597,-0.4262940564550728,0.12263615386272003
-0.3176677067047125,0.24056603773584906,-0.3176677067047125,,-0.6323070450220766,,HSP,636,636,3.961958350009211,False,False,False,False,0,False,81.39998481544913,132.52564728985166,-51.12566247440253,us_stocks,4h,st_reversal@lookback_weeks=0.5,gross,grid_cell,5.0,0.0,False,False,True,st_reversal,reversion,"Jegadeesh (1990), 'Evidence of Predictable Behavior of Security Returns', JF",True,-0.08760787942379683,-14.942052720975965,0.3223270440251572,0.47272676517982787,0.47272676517982787,104.91989110089527,-0.42317368303420233,0.10550597632948983
