ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,base_rule,variant
-0.1933763624779227,0.36714285714285716,-0.1933763624779227,,-0.3849610158273382,,AMTM,702,700,3.963024252174938,False,False,False,False,0,False,,,,us_stocks,4h,MININDEX|base,gross,fixed_transform,5.0,0.0,False,False,True,MININDEX,base
-0.1933763624779227,0.36714285714285716,-0.1933763624779227,,-0.3849610158273382,,AMTM,702,700,3.963024252174938,False,False,False,False,0,False,,,,us_stocks,4h,MININDEX|long_only,gross,fixed_transform,5.0,0.0,False,False,True,MININDEX,long_only
-0.20980945791898087,0.33714285714285713,-0.20980945791898087,,-0.4176749475256842,,ARE,702,700,3.963024252174938,False,False,False,False,0,False,,,,us_stocks,4h,MININDEX|hold10,gross,fixed_transform,5.0,0.0,False,False,True,MININDEX,hold10
-0.2101358477386434,0.33714285714285713,-0.2101358477386434,,-0.4183247030331462,,KG,702,700,3.963024252174938,False,False,False,False,0,False,,,,us_stocks,4h,MININDEX|confirm2,gross,fixed_transform,5.0,0.0,False,False,True,MININDEX,confirm2
-0.25610162823792537,0.29386590584878747,-0.25610162823792537,,-0.5098303727414604,,PSKY,702,701,3.963024252174938,False,False,False,False,0,False,,,,us_stocks,4h,MAXINDEX|hold10,gross,fixed_transform,5.0,0.0,False,False,True,MAXINDEX,hold10
-0.26210009582926613,0.29386590584878747,-0.2621000958292662,,-0.5217717297293577,,PSKY,702,701,3.963024252174938,False,False,False,False,0,False,,,,us_stocks,4h,MAXINDEX|base,gross,fixed_transform,5.0,0.0,False,False,True,MAXINDEX,base
-0.26210009582926613,0.29386590584878747,-0.2621000958292662,,-0.5217717297293577,,PSKY,702,701,3.963024252174938,False,False,False,False,0,False,,,,us_stocks,4h,MAXINDEX|long_only,gross,fixed_transform,5.0,0.0,False,False,True,MAXINDEX,long_only
-0.2706076050362105,0.29529243937232524,-0.2706076050362105,,-0.5387079226771366,,PSKY,702,701,3.963024252174938,False,False,False,False,0,False,,,,us_stocks,4h,MAXINDEX|confirm2,gross,fixed_transform,5.0,0.0,False,False,True,MAXINDEX,confirm2
-0.31895920884634654,0.24890190336749635,-0.3189592088463465,,-0.6349631334025737,,BIG,702,683,3.963024252174938,False,False,False,False,0,False,,,,us_stocks,4h,CDLDOJI|confirm2,gross,fixed_transform,5.0,0.0,False,False,True,CDLDOJI,confirm2
-0.32051948695886284,0.2606837606837607,-0.32051948695886284,,-0.6380692330285609,,PSKY,702,702,3.963024252174938,False,False,False,False,0,False,,,,us_stocks,4h,HT_TRENDMODE|confirm2,gross,fixed_transform,5.0,0.0,False,False,True,HT_TRENDMODE,confirm2
