symbol,scenario,fold,rule,ir_is,ir_oos
A,gross,0,LINEARREG_INTERCEPT_100,0.1844419142833433,-0.10101404460788789
A,gross,1,HT_DCPERIOD,0.48871232925832647,-0.8426071800490578
A,gross,2,HT_PHASOR,0.6610166810500878,0.2920702730198658
A,gross,3,MINMAX,0.8903986356420329,-0.39811740925450284
A,gross,4,MINMAX,0.772041502321553,-2.740554472378417
A,pessimistic,0,LINEARREG_INTERCEPT_100,0.16225968472278346,-0.1286954022979262
A,pessimistic,1,LINEARREG_INTERCEPT_200,0.4339626790012557,-0.6694558901975797
A,pessimistic,2,LINEARREG_100,0.5074639844762915,-0.12903823952728113
A,pessimistic,3,MINMAX,0.8181899356334057,-0.46544264482008574
A,pessimistic,4,MINMAX,0.6991736258461606,-2.7608956123290316
A,retail,0,LINEARREG_INTERCEPT_100,0.17986880126626464,-0.10702468659944968
A,retail,1,HT_DCPERIOD,0.4757294545915166,-0.8530818241903576
A,retail,2,HT_PHASOR,0.6205792781812197,0.25600779074060104
A,retail,3,MINMAX,0.8774069910815468,-0.41034945549935936
A,retail,4,MINMAX,0.758818924696076,-2.7453671709196876
A,wide,0,LINEARREG_INTERCEPT_100,0.17483707839737478,-0.11322005549334921
A,wide,1,HT_DCPERIOD,0.45920222178915393,-0.8655846040166744
A,wide,2,HT_PHASOR,0.5611807029654698,0.2030627260625708
A,wide,3,MINMAX,0.8604995741510001,-0.42609033338486674
A,wide,4,MINMAX,0.7417915189020545,-2.7498121566818257
AA,gross,0,TEMA_50,0.7329378865687367,-0.20031067866668992
AA,gross,1,HT_DCPERIOD,0.153805696087511,-0.27170584108938856
AA,gross,2,HT_DCPERIOD,0.5344811129927503,-0.13432507606247748
AA,gross,3,CDLHIGHWAVE,0.6644827376858075,-1.6787248571738393
AA,gross,4,TSF_21,0.0024310838516893047,0.4652918022291825
AA,pessimistic,0,TEMA_50,0.6860258491774133,-0.2575943421861176
AA,pessimistic,1,HT_DCPERIOD,0.12278426631800067,-0.30056641407164075
AA,pessimistic,2,HT_DCPERIOD,0.5039299231807307,-0.1752166965550029
AA,pessimistic,3,ADXR,0.6258671204109653,-1.4282713325766476
AA,pessimistic,4,TSF_21,-0.09436651531069112,0.3029204599586749
AA,retail,0,TEMA_50,0.7249597408532085,-0.20998037057629465
AA,retail,1,HT_DCPERIOD,0.14809948084345048,-0.2772551650686883
AA,retail,2,HT_DCPERIOD,0.52876922901468,-0.14184254921308076
AA,retail,3,CDLHIGHWAVE,0.6542231251290407,-1.6862294032910499
AA,retail,4,TSF_21,-0.013634656034563696,0.4392509985028969
AA,wide,0,TEMA_50,0.7138267371510968,-0.22360683411266719
AA,wide,1,HT_DCPERIOD,0.14086702408072324,-0.2839169005116026
AA,wide,2,HT_DCPERIOD,0.5216728018184156,-0.15137850758867638
AA,wide,3,ADXR,0.6458396318423475,-1.4038935628044809
AA,wide,4,TSF_21,-0.036744743829853814,0.4001861764380453
AAL,gross,0,DEMA_9,1.1208715049811013,-0.07260225223884197
AAL,gross,1,DEMA_9,0.6923724778795136,0.09515329769168844
AAL,gross,2,CDLLONGLEGGEDDOJI,0.7291108082258749,2.045585966669741
AAL,gross,3,TEMA_200,0.9119708936345363,0.5370615916099811
AAL,gross,4,TEMA_200,1.2413081703680504,-0.4704195457807175
AAL,pessimistic,0,MAXINDEX,0.9956068281813947,-1.0185751011694113
AAL,pessimistic,1,DEMA_9,0.5492655465471972,-0.11807479512150516
AAL,pessimistic,2,CDLHAMMER,0.6961738666651973,-0.25826437748570175
AAL,pessimistic,3,TEMA_200,0.8782886837000253,0.5100380390030154
AAL,pessimistic,4,TEMA_200,1.2110722578040507,-0.49945715007607633
AAL,retail,0,DEMA_9,1.0989761352455203,-0.09906243769432212
AAL,retail,1,DEMA_9,0.6691606243158206,0.060626452934788834
AAL,retail,2,CDLLONGLEGGEDDOJI,0.7168500812035087,2.0301720355621815
AAL,retail,3,TEMA_200,0.905726274819209,0.5320127544380345
AAL,retail,4,TEMA_200,1.2356283893712643,-0.47602321460516883
AAL,wide,0,DEMA_9,1.0664219844405154,-0.1380241744152805
AAL,wide,1,DEMA_9,0.6348117603890931,0.009392448200000167
AAL,wide,2,CDLHAMMER,0.7087564627064632,-0.24962811639185925
AAL,wide,3,TEMA_200,0.8978836563089169,0.5257303121533184
AAL,wide,4,TEMA_200,1.2286108020033237,-0.4827217457842387
AAP,gross,0,AVGDEV,0.2838913285790821,0.5369455876612053
AAP,gross,1,TEMA_50,1.012126819239085,0.6179594490312135
AAP,gross,2,TEMA_50,1.1720111483141837,-0.5095830525638774
AAP,gross,3,MAX,0.9603616948362532,-0.9365610947313955
AAP,gross,4,MINMAX,0.6403153150903487,-3.203469029357027
AAP,pessimistic,0,AVGDEV,0.1881852065782172,0.4532799240459052
AAP,pessimistic,1,TEMA_50,0.9326889921095891,0.5383473193602888
AAP,pessimistic,2,TEMA_50,1.1006648585606404,-0.554894312277716
AAP,pessimistic,3,MAX,0.9389732172701362,-0.956935873099946
AAP,pessimistic,4,MINMAX,0.5992240277146406,-3.232185165492911
AAP,retail,0,AVGDEV,0.2673404393192504,0.5224204916961155
AAP,retail,1,TEMA_50,0.998691077399432,0.6044341951109812
AAP,retail,2,TEMA_50,1.1599365093304548,-0.5172122078871103
AAP,retail,3,MAX,0.956090906945839,-0.9403963964367225
AAP,retail,4,MINMAX,0.6328256628995597,-3.2085892499664235
AAP,wide,0,AVGDEV,0.2447286415282763,0.5026800241085974
AAP,wide,1,TEMA_50,0.9798168966751737,0.5855246234427357
AAP,wide,2,TEMA_50,1.1429883484759675,-0.5279883812644259
AAP,wide,3,MAX,0.9511998034317141,-0.9451254232827366
AAP,wide,4,MINMAX,0.6232285578373666,-3.215343842777107
AAPL,gross,0,HT_PHASOR,0.17912028781008946,-0.5398952063508975
AAPL,gross,1,HT_TRENDLINE,0.17050209512387526,0.9103017624897736
AAPL,gross,2,ADXR,0.6028295258376424,0.8871762460325148
AAPL,gross,3,ADXR,0.4483987764642947,-0.9892447638359656
AAPL,gross,4,ADXR,0.34940732581097445,-3.6045888703803772
AAPL,pessimistic,0,MAXINDEX,0.04545547508959197,-1.4802519633137605
AAPL,pessimistic,1,ADX,0.10285299360108234,-0.17166346088730164
AAPL,pessimistic,2,ADXR,0.5264967531097485,0.8119462482211002
AAPL,pessimistic,3,ADXR,0.3702472213090261,-1.0451540123312244
AAPL,pessimistic,4,ADXR,0.2756631268977685,-3.6846298593590823
AAPL,retail,0,HT_PHASOR,0.14501423687714865,-0.5731543336008917
AAPL,retail,1,ADX,0.15754781898774342,-0.09494300987936327
AAPL,retail,2,ADXR,0.5890994403551881,0.8737520862237268
AAPL,retail,3,ADXR,0.43442663972761036,-0.9998762054923331
AAPL,retail,4,ADXR,0.3360619195374227,-3.6185874795978346
AAPL,wide,0,HT_PHASOR,0.09471472631812033,-0.6219607719548308
AAPL,wide,1,ADX,0.141924518816335,-0.11686557988361863
AAPL,wide,2,ADXR,0.5712180611782945,0.8560985159581711
AAPL,wide,3,ADXR,0.4160940721210402,-1.0128227820319051
AAPL,wide,4,ADXR,0.31880929522379586,-3.637484908669379
ABBV,gross,0,HT_DCPHASE,0.15646500510841338,0.20782707263943404
ABBV,gross,1,ADXR,0.09637777281632379,-0.27302740922527696
ABBV,gross,2,HT_TRENDMODE,0.29363946836884525,1.0835306065639014
ABBV,gross,3,HT_TRENDMODE,0.7389594578235528,-1.0227615946659294
ABBV,gross,4,TSF_9,0.29519990536981644,-1.5279884045621808
ABBV,pessimistic,0,HT_DCPHASE,0.0521589246823265,0.08859087840304204
ABBV,pessimistic,1,ADXR,0.02073766965314478,-0.36013969764858667
ABBV,pessimistic,2,HT_TRENDMODE,0.12808647541792267,0.8850106813685371
ABBV,pessimistic,3,HT_TRENDMODE,0.5665798538768327,-1.1885145116999063
ABBV,pessimistic,4,HT_TRENDMODE,0.08637225429643933,-4.712464067148086
ABBV,retail,0,HT_DCPHASE,0.13879367376783278,0.18767031925329022
