ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,op,exposure,long_frac,short_frac
-0.01949947708778574,0.47572815533980584,-0.01949947708778573,0.0,-0.03878075547563843,,FIS,112,103,3.955365307624283,False,False,False,False,0,False,126.94729613578953,127.87152149040462,-0.9242253546150891,us_stocks,4h,MAXINDEX~MININDEX|or,gross,fixed_combo,5.0,0.0,False,False,True,or,0.9942406309668727,0.9942406309668727,0.0
-0.01949947708778574,0.47572815533980584,-0.01949947708778573,0.0,-0.03878075547563843,,FIS,112,103,3.955365307624283,False,False,False,False,0,False,126.94729613578953,127.87152149040462,-0.9242253546150891,us_stocks,4h,MAXINDEX~MININDEX|vote,gross,fixed_combo,5.0,0.0,False,False,True,vote,0.9942406309668727,0.9942406309668727,0.0
-0.03768291334560718,0.39285714285714285,-0.03768291334560718,0.0,-0.07494415575795371,,FIS,112,112,3.955365307624283,False,False,False,False,0,False,131.0282024738636,127.87152149040462,3.156680983458969,us_stocks,4h,MAXINDEX~MINMAX|or,gross,fixed_combo,5.0,0.0,False,False,True,or,0.994213618366244,0.9337986268392953,0.060414991526948736
-0.08403637399065618,0.36607142857142855,-0.08403637399065618,0.0,-0.16713238289001794,,EBAY,112,112,3.955365307624283,False,False,False,False,0,False,119.86980180377645,127.87152149040462,-8.001719686628164,us_stocks,4h,MAXINDEX~HT_TRENDMODE|or,gross,fixed_combo,5.0,0.0,False,False,True,or,0.951936333870216,0.951936333870216,0.0
-0.08403637399065618,0.36607142857142855,-0.08403637399065618,0.0,-0.16713238289001794,,EBAY,112,112,3.955365307624283,False,False,False,False,0,False,119.86980180377645,127.87152149040462,-8.001719686628164,us_stocks,4h,MAXINDEX~HT_TRENDMODE|vote,gross,fixed_combo,5.0,0.0,False,False,True,vote,0.951936333870216,0.951936333870216,0.0
-0.14994419730861444,0.375,-0.14994419730861447,0.0,-0.29821052249953306,,FIS,112,112,3.955365307624283,False,False,False,False,0,False,124.80098146653414,127.87152149040462,-3.0705400238704783,us_stocks,4h,MAXINDEX~CDLLONGLEGGEDDOJI|or,gross,fixed_combo,5.0,0.0,False,False,True,or,0.9468770691939256,0.9468770691939256,0.0
-0.14994419730861444,0.375,-0.14994419730861447,0.0,-0.29821052249953306,,FIS,112,112,3.955365307624283,False,False,False,False,0,False,124.80098146653414,127.87152149040462,-3.0705400238704783,us_stocks,4h,MAXINDEX~CDLLONGLEGGEDDOJI|vote,gross,fixed_combo,5.0,0.0,False,False,True,vote,0.9468770691939256,0.9468770691939256,0.0
-0.15401822241635238,0.3482142857142857,-0.15401822241635238,0.0,-0.30631298446779587,,FIS,112,112,3.955365307624283,False,False,False,False,0,False,124.7437104941397,127.87152149040462,-3.1278109962649125,us_stocks,4h,MAXINDEX~CDLDOJI|or,gross,fixed_combo,5.0,0.0,False,False,True,or,0.947254968275341,0.947254968275341,0.0
-0.15401822241635238,0.3482142857142857,-0.15401822241635238,0.0,-0.30631298446779587,,FIS,112,112,3.955365307624283,False,False,False,False,0,False,124.7437104941397,127.87152149040462,-3.1278109962649125,us_stocks,4h,MAXINDEX~CDLDOJI|vote,gross,fixed_combo,5.0,0.0,False,False,True,vote,0.947254968275341,0.947254968275341,0.0
-0.15582718826875475,0.32142857142857145,-0.15582718826875475,0.0,-0.3099106738863362,,FIS,112,112,3.955365307624283,False,False,False,False,0,False,107.37660424544025,127.87152149040462,-20.49491724496437,us_stocks,4h,MAXINDEX~ADX|or,gross,fixed_combo,5.0,0.0,False,False,True,or,1.0,0.9090488749031718,0.09095112509682825
-0.1640983526659971,0.3392857142857143,-0.1640983526659971,0.0,-0.3263604485415337,,MMM,112,112,3.955365307624283,False,False,False,False,0,False,111.17963108833052,127.87152149040462,-16.691890402074094,us_stocks,4h,HT_TRENDMODE~CDLLONGLEGGEDDOJI|or,gross,fixed_combo,5.0,0.0,False,False,True,or,0.9081975303435132,0.9081975303435132,0.0
