class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,expectancy,win_rate,avg_win,avg_loss,expectancy_r,roi,roi_ann,roe_ann,bench_roi,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,n_trials,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling
commodities,5m,short,BBANDS,5,3.637595395476957,-1.0700842000000002,1.4053903739716544,-1.5228284180941498,4,1.0,1.0,0.11686604515125698,0.003666313307063629,-17208.866940226566,0.0,-0.5452688491873259,0.5926379051819592,-0.7635308776516234,-0.4738991739112184,0.26845679410101864,4.0,-0.11331635162353954,0.4838709677419355,0.012617762508284981,0.6196016897418215,-0.18288580147474537,-0.5860013069552341,-0.21514051851508198,-0.21514051851509441,1.0419927060333167,-6569.895319670924,9786.310355432883,4139.986930447659,20419.927060333168,0.0,0.023185014505557478,0.9768149854944426,1.6494412785601427,1.0,1.9818917979566657,416,False,False,True,True,False,False,2,6,False,True,underpowered,False
commodities,5m,long,BBANDS,5,3.637595395476957,-1.08840775,1.3421090218732543,-1.6219364183706184,4,1.0,1.0,0.5358807889479138,0.015972858566690423,-10256.172180730875,0.0,-0.5434166886234784,0.5926379051819592,-0.716114322884219,-0.4738991739112184,0.27866534643380425,4.0,-0.08220084990817791,0.5146627565982405,0.03403159512875285,0.4226334311239013,-0.19449679995636576,-0.5552805716172994,-0.19969330765007975,-0.20741691308258808,1.0419927060333167,-4790.219650541965,9786.310355432883,4447.194283827006,20419.927060333168,0.0,0.023185014505557478,0.8633486325900309,1.6494412785601427,1.0,1.8926519717772694,416,False,False,True,True,False,False,2,6,False,True,underpowered,False
commodities,5m,short,CDLCONCEALBABYSWALL,5,3.637595395476957,-1.1680251499999998,1.6165810651440269,-1.4450560818562308,4,1.0,1.0,0.0013604400940298023,0.0003380560839251201,-17184.22471811524,0.0,-0.6944334702719469,0.5926379051819592,-0.7755482810307261,-0.4738991739112184,0.0019103184972546984,5.0,-0.2401820427507145,0.2,0.0032587463779170053,0.2401820427507145,-1.0,-0.6764297657782073,-0.27158876292334955,-0.2715887629233512,1.0419927060333167,-7227.208564613696,9786.310355432883,3235.7023422179263,20419.927060333168,0.0,4.746084480303749e-05,0.999952539155197,2.24676790470801,1.0,2.279714457333843,416,False,False,True,True,False,False,2,6,False,True,underpowered,False
commodities,5m,short,CDLKICKINGBYLENGTH,5,3.637595395476957,-1.1736038500000001,1.6060104425051902,-1.4615145941010372,4,1.0,1.0,0.0,0.0,-17196.304283676047,0.0,-0.6970558851434637,0.5926379051819592,-0.7694372663723328,-0.4738991739112184,0.0002434205526797055,5.0,-0.22575785273029683,0.14285714285714285,0.0003847723704868267,0.2634482902470941,-0.856934210954846,-0.677637722334288,-0.272353498787799,-0.2723534987877917,1.0419927060333167,-7244.58771596029,9786.310355432883,3223.62277665712,20419.927060333168,0.0,4.746084480303749e-05,0.999952539155197,2.24676790470801,1.0,2.2648076878730556,416,False,False,True,True,False,False,2,6,False,True,underpowered,False
commodities,5m,short,ACOS,5,3.637595395476957,-1.17550055,1.6074143185229903,-1.4625980824659266,4,1.0,1.0,0.0,0.0,-17208.866940226566,0.0,-0.6997734188533347,0.5926379051819592,-0.7743471960682486,-0.4738991739112184,0.0,1.0,-0.6788939879893376,0.0,0.0,0.6788939879893376,-1.0,-0.6788939879893399,-0.2731510075252148,-0.2731510075252155,1.0419927060333167,-7265.558017996215,9786.310355432883,3211.060120106602,20419.927060333168,0.0,0.0,1.0,0.0,1.0,2.2667874441148483,416,False,False,True,True,False,False,2,6,False,True,underpowered,False
commodities,5m,short,ASIN,5,3.637595395476957,-1.17550055,1.6074143185229903,-1.4625980824659266,4,1.0,1.0,0.0,0.0,-17208.866940226566,0.0,-0.6997734188533347,0.5926379051819592,-0.7743471960682486,-0.4738991739112184,0.0,1.0,-0.6788939879893376,0.0,0.0,0.6788939879893376,-1.0,-0.6788939879893399,-0.2731510075252148,-0.2731510075252155,1.0419927060333167,-7265.558017996215,9786.310355432883,3211.060120106602,20419.927060333168,0.0,0.0,1.0,0.0,1.0,2.2667874441148483,416,False,False,True,True,False,False,2,6,False,True,underpowered,False
commodities,5m,short,CDL2CROWS,5,3.637595395476957,-1.17550055,1.6074143185229903,-1.4625980824659266,4,1.0,1.0,0.0,0.0,-17208.866940226566,0.0,-0.6997734188533347,0.5926379051819592,-0.7743471960682486,-0.4738991739112184,0.0,1.0,-0.6788939879893376,0.0,0.0,0.6788939879893376,-1.0,-0.6788939879893399,-0.2731510075252148,-0.2731510075252155,1.0419927060333167,-7265.558017996215,9786.310355432883,3211.060120106602,20419.927060333168,0.0,0.0,1.0,0.0,1.0,2.2667874441148483,416,False,False,True,True,False,False,2,6,False,True,underpowered,False
commodities,5m,short,CDL3BLACKCROWS,5,3.637595395476957,-1.17550055,1.6074143185229903,-1.4625980824659266,4,1.0,1.0,0.0,0.0,-17208.866940226566,0.0,-0.6997734188533347,0.5926379051819592,-0.7743471960682486,-0.4738991739112184,0.0,1.0,-0.6788939879893376,0.0,0.0,0.6788939879893376,-1.0,-0.6788939879893399,-0.2731510075252148,-0.2731510075252155,1.0419927060333167,-7265.558017996215,9786.310355432883,3211.060120106602,20419.927060333168,0.0,0.0,1.0,0.0,1.0,2.2667874441148483,416,False,False,True,True,False,False,2,6,False,True,underpowered,False
commodities,5m,short,CDLADVANCEBLOCK,5,3.637595395476957,-1.17550055,1.6074143185229903,-1.4625980824659266,4,1.0,1.0,0.0,0.0,-17208.866940226566,0.0,-0.6997734188533347,0.5926379051819592,-0.7743471960682486,-0.4738991739112184,0.0,1.0,-0.6788939879893376,0.0,0.0,0.6788939879893376,-1.0,-0.6788939879893399,-0.2731510075252148,-0.2731510075252155,1.0419927060333167,-7265.558017996215,9786.310355432883,3211.060120106602,20419.927060333168,0.0,0.0,1.0,0.0,1.0,2.2667874441148483,416,False,False,True,True,False,False,2,6,False,True,underpowered,False
commodities,5m,short,CDLDARKCLOUDCOVER,5,3.637595395476957,-1.17550055,1.6074143185229903,-1.4625980824659266,4,1.0,1.0,0.0,0.0,-17208.866940226566,0.0,-0.6997734188533347,0.5926379051819592,-0.7743471960682486,-0.4738991739112184,0.0,1.0,-0.6788939879893376,0.0,0.0,0.6788939879893376,-1.0,-0.6788939879893399,-0.2731510075252148,-0.2731510075252155,1.0419927060333167,-7265.558017996215,9786.310355432883,3211.060120106602,20419.927060333168,0.0,0.0,1.0,0.0,1.0,2.2667874441148483,416,False,False,True,True,False,False,2,6,False,True,underpowered,False
