class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,expectancy,win_rate,avg_win,avg_loss,expectancy_r,roi,roi_ann,roe_ann,bench_roi,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,n_trials,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling,edge_t_bar_corrected,edge_t_uncorrected_pass
commodities,1d,long,ibs,5,23.651305401364116,-0.11386391944444445,0.405770492589178,-1.374710620146731,24,0.48337236533957845,1.0,-0.013716631366450405,-0.05675855388850425,-3856.1160055610235,0.0,0.18890356867556124,0.26742085866687165,-0.5802837470792443,-0.7330433800828456,1.1664460518164648,574.0,0.0014113439379269336,0.6429548563611491,0.02137333682705854,0.035632553314043657,0.03960827408264029,0.6523614861843341,0.03347639085443199,0.0598886475355018,1.4054062992126224,7982.679394910844,52529.49700552095,16523.61486184334,24054.062992126223,0.0,0.48337236533957845,0.0,51.506475836345636,1.0,0.261855157645142,1273,False,False,False,False,False,False,0,6,True,True,fail,False,,
commodities,1d,short,ibs,5,23.651305401364116,-0.48921848333333334,0.818989828224902,-2.926374945345156,24,1.0,1.0,-0.029359363741643243,-0.19870618173097004,-21680.675161118394,0.0,-0.005360679946934221,0.26742085866687165,-0.8535535505760146,-0.7330433800828456,1.0229752284698908,1149.0,0.00035540451528494733,0.6120300751879699,0.022348533220633873,0.03943196561244154,0.009013106746390812,-0.7626612168992171,-0.05861110286846949,-0.05861110286847039,1.4054062992126224,-6389.179190073934,52529.49700552095,2373.38783100783,24054.062992126223,0.0,0.48337236533957845,0.5166276346604215,103.01295167269127,1.0,0.5285172640602184,1273,False,False,False,False,False,False,0,6,True,True,fail,False,,
commodities,4h,long,ibs,5,3.668895314212321,0.6567217,0.706452577863577,1.8592095791794803,4,0.48835260599966485,1.0,1.106573880728642,1.746551760349519,15082.931935059903,3.0,1.2333370401192587,0.45952350991561963,-0.21749899260832306,-0.4654070586613389,1.4188972401704818,648.0,0.001950760339100641,0.6584967320261438,0.01024624844347021,0.016614609698413267,0.11741234819900362,2.195725957636586,0.3697588287465483,1.0258141841322757,0.6874327641305957,24920.969530612518,6661.501162561299,31957.25957636586,16874.327641305958,0.8,0.48835260599966485,0.0,352.9672800920527,1.0,1.1167071829802548,1273,True,False,True,True,True,True,5,6,False,True,underpowered,False,,
commodities,4h,short,ibs,5,3.668895314212321,0.5851341999999999,1.5205076703456646,0.7696563607166526,4,1.0,1.0,1.5322476780763523,-2.3657083027330446,27517.27597343181,2.0,1.2396834891109758,0.45952350991561963,-0.3880741442035882,-0.4654070586613389,1.2501096472033582,1296.0,0.001272810855895027,0.6322097378277154,0.010638221898109137,0.015668914729378116,0.08123158992681197,3.4391603614737765,0.4972614221159386,0.4972614221159265,0.6874327641305957,79376.35736452897,6661.501162561299,44391.60361473777,16874.327641305958,0.6,0.48835260599966485,0.5116473940003352,705.9345601841054,1.0,2.4035043404986633,1273,True,False,True,False,True,False,3,6,False,True,underpowered,False,,
crypto,1d,long,ibs,34,4.939558440678995,-0.22328192190603513,0.36441970515750693,-1.5008155972832444,6,0.49400921658986174,1.0,-0.24084827911423795,-0.2350489561444222,39.82554490189628,0.75,-0.05299101099015646,0.2452438764446194,-0.8850560011933906,-0.9476075729057856,0.9832319990604577,216.5,-0.0004190047253214938,0.581909318751424,0.053764828480222196,0.07594123171457841,-0.005517486559821726,-0.6092380721272019,-0.17809500455353816,-0.2930183717256135,-0.7309006679594907,5537.408172627565,17120.544991677172,3907.6192787279806,2690.993320405092,0.14705882352941177,0.49400921658986174,0.0,80.61523826921099,1.0,0.4703406535754599,1273,False,False,False,False,True,False,1,6,False,True,underpowered,False,,
crypto,1d,short,ibs,34,4.939558440678995,-0.524290571428041,1.1520356223786392,-1.114760995236678,6,1.0,1.0,-0.32918861338353994,-1.0004862797667111,-1803.8216317497563,0.0,-0.3733936391961799,0.2452438764446194,-0.9923623616866211,-0.9476075729057856,0.8933382687316083,432.5,-0.003918082742564458,0.5907477025898078,0.050225765941200706,0.08407060457530177,-0.046604669519832505,-0.9841556389804107,-0.583171499015456,-0.5831714990154557,-0.7309006679594907,2119.156995087063,17120.544991677172,158.4436101958923,2690.993320405092,0.2647058823529412,0.49400921658986174,0.5059907834101383,161.23047653842198,1.0,1.486882240183984,1273,False,False,False,False,False,False,0,6,False,True,underpowered,False,,
crypto,4h,long,ibs,33,3.5888021384952955,-0.7724507721861472,0.22826429844025647,-6.768038431452919,4,0.47174853652328835,1.0,-0.5385421777710573,-0.4650516059999574,-2515.3227128437884,0.0,-0.6237277531999804,0.2637128192078567,-0.8721901658629826,-0.8714109375838566,0.9995547614225148,829.0,-5.667785609078881e-06,0.5911330049261084,0.01982819087407306,0.028678216659466557,-0.000197633823482813,-0.7331993817462503,-0.307962953372634,-0.2511456263084565,-0.36695210910244325,-4552.154959427731,3776.585709864242,2668.006182537497,6330.478908975568,0.06060606060606061,0.47174853652328835,0.0,463.60869037725274,1.0,0.3608230611275476,1273,False,False,False,False,False,False,0,6,False,True,underpowered,False,,
crypto,4h,short,ibs,33,3.5888021384952955,-1.1785295465367964,0.9313567800703486,-2.5307799798220785,4,1.0,1.0,-0.7580511841756262,-1.2968820005530026,-5920.179168880096,0.0,-0.8560844967274611,0.2637128192078567,-0.9864490794022924,-0.8714109375838566,0.8765349953994748,1659.0,-0.0014216404155113092,0.576036866359447,0.02009914388973101,0.030635473420903617,-0.0464050415013752,-0.9740949475918015,-0.6398638627810144,-0.6398638627810134,-0.36695210910244325,-8216.659683183369,3776.585709864242,259.05052408198463,6330.478908975568,0.06060606060606061,0.47174853652328835,0.5282514634767116,927.2173807545055,1.0,1.4722188563133312,1273,False,False,False,False,False,False,0,6,False,True,underpowered,False,,
us_etfs,1d,long,ibs,65,20.587296184301525,0.2226789774393417,0.3801590238817071,2.869587919295795,24,0.41837012810029983,1.0,0.4522833862461746,0.20837616698657818,13517.436752099624,3.0,0.7367585975338701,0.4864790987621087,-0.2796170071014821,-0.5893423588167788,1.6634995986101582,600.0,0.0038464099206428314,0.6693711967545639,0.016157854194621044,0.018727099637956192,0.20539271937480943,8.815797158309785,0.12333569163514202,0.30940239920969537,3.840504546808101,859473.2677790343,155376.33921544687,98157.97158309785,48405.045468081014,0.8461538461538461,0.41837012810029983,0.0,58.76692927694149,1.0,0.24532735363178215,1273,True,False,True,True,True,True,5,6,True,True,fail,False,4.111690277954522,True
us_etfs,1d,short,ibs,65,20.587296184301525,-0.1913918738996001,0.8071791542928851,-1.1616068860941202,24,1.0,1.0,0.6558869264205425,0.23397071827031188,-2581.0780617743367,0.0,0.49737175768935904,0.4864790987621087,-0.43250118615032596,-0.5893423588167788,1.2638297118925612,1201.0,0.0021408512226083363,0.6065573770491803,0.01666490264381079,0.019555463406893903,0.10947586247706205,5.457637688481829,0.10717391260058462,0.10717391260058537,3.840504546808101,210744.2033496143,155376.33921544687,64576.37688481829,48405.045468081014,0.47692307692307695,0.41837012810029983,0.5816298718997002,117.53385855388298,1.0,0.5208955026437351,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
