class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling
crypto,1d,long,MAXINDEX~IMI|and,10,5.925313475391181,0.09874215833333333,0.2975500014213249,0.8128647382370278,6,0.43588529638183215,1.0,0.3383146625562765,0.21321981845140042,14800.20759892555,3.0,0.7764226086380378,0.6886287265406748,-0.7793693856344567,-0.8671807197707126,2.0995451271205425,117.0,168311.752714687,68337.69123629059,73362.17578266657,43840.8064757515,0.7,0.43588529638183215,0.0,40.39953012981057,1.6006087581142396,0.37637888446820256,False,False,True,True,True,True,4,6,False,True,underpowered,False
crypto,1d,long,macd_cross,10,5.925313475391181,0.08947296666666667,0.3549498976853306,0.6174480272724946,6,0.5235565819861432,1.0,0.35345914710496695,0.13740218856587977,17617.539388027384,4.0,0.8337626169221068,0.6886287265406748,-0.8972194791365744,-0.8671807197707126,2.20185581555672,51.0,114352.96839325824,68337.69123629059,53261.2099499882,43840.8064757515,0.7,0.5235565819861432,0.0,17.045466178911603,1.4992257275847827,0.4489855348504556,False,False,True,True,True,True,4,6,False,True,underpowered,False
crypto,1d,long,voltgt_tsmom,10,5.925313475391181,0.06214544583333331,0.28586971608442824,0.5324965309878427,6,0.5357601163717168,1.0,0.23885339384537219,0.1990137187968675,21627.43774599659,10.0,0.8247330167288027,0.6886287265406748,-0.7154758371422134,-0.8671807197707126,1.4854406432879848,431.5,127435.56895176694,68337.69123629059,113627.21796287244,43840.8064757515,0.7,0.6034642032332563,0.0,8.874835621965019,2.0,0.3616041819161212,False,False,True,True,True,True,4,6,False,True,underpowered,False
crypto,1d,long,MAXINDEX~TRIMA_50|and,10,5.925313475391181,0.04810440833333333,0.21666534883521274,0.5438398683897142,6,0.4272305619707467,1.0,0.3679237032886632,0.1608292722605439,16409.50924781708,3.0,0.8224520819816136,0.6886287265406748,-0.8017404447080173,-0.8671807197707126,2.737869442898818,61.0,90519.97436688647,68337.69123629059,90789.52820398493,43840.8064757515,0.8,0.4272305619707467,0.0,21.46635261728482,1.9304485423261648,0.2740657432632327,False,False,True,True,True,True,4,6,False,True,underpowered,False
crypto,1d,long,tsmom12,10,5.925313475391181,0.011792439880952401,0.29913259607735376,0.0965640686089275,6,0.6034642032332563,1.0,0.1397401496421538,0.04188609644700515,14484.796603499277,10.0,0.757900486084887,0.6886287265406748,-0.7477080684200648,-0.8671807197707126,7.700919187831023,20.5,84580.21307825277,68337.69123629059,98102.22448997249,43840.8064757515,0.7,0.6034642032332563,0.0,6.750697196939486,2.0,0.3783807504011758,False,False,True,True,True,True,4,6,False,True,underpowered,False
crypto,1d,long,sell_in_may,10,5.925313475391181,0.00012312083333332566,0.2801918257334243,0.0010763455271526226,6,0.5020785219399538,1.0,0.2324121060558798,0.06992093283708657,709.1173637820584,3.0,0.7561841970346842,0.6886287265406748,-0.8588962394261428,-0.8671807197707126,8.98670101747462,6.0,69983.57728370943,68337.69123629059,62901.89351397978,43840.8064757515,0.6,0.5020785219399538,0.0,2.0252093086110756,1.364217145395754,0.35442206789751757,False,False,True,True,True,True,4,6,False,True,underpowered,False
crypto,1d,long,donchian_s2,10,5.925313475391181,-0.18762577129629623,0.5962279153909592,-0.7708250325225025,6,0.3070861132495082,1.0,0.2746329379631261,0.00816899784005487,3438.9045093555637,5.0,0.7358033376027641,0.6886287265406748,-0.8071837963784225,-0.8671807197707126,5.736360570601747,9.5,82790.32679022357,68337.69123629059,57454.82504126922,43840.8064757515,0.5,0.3070861132495082,0.0,3.038699706679873,2.0,0.7541844954182824,False,False,True,True,True,True,4,6,False,True,underpowered,False
crypto,1d,long,MAXINDEX~LINEARREG_ANGLE|and,10,5.925313475391181,0.013439166666666667,0.2779703062323288,0.118426681424165,6,0.4371773158840133,1.0,0.255661580046985,0.0964427136584312,3608.0840442956,1.0,0.6918632667326355,0.6886287265406748,-0.7989623610579897,-0.8671807197707126,1.9158815541132737,78.0,221894.3138246133,68337.69123629059,42770.20530425206,43840.8064757515,0.7,0.4371773158840133,0.0,26.673470178772238,1.6739975867207173,0.35161200899093825,False,False,True,True,True,False,3,6,False,True,underpowered,False
crypto,1d,long,MAXINDEX~LINEARREG_SLOPE|and,10,5.925313475391181,0.013439166666666667,0.2779703062323288,0.118426681424165,6,0.4371773158840133,1.0,0.255661580046985,0.0964427136584312,3608.0840442956,1.0,0.6918632667326355,0.6886287265406748,-0.7989623610579897,-0.8671807197707126,1.9158815541132737,78.0,221894.3138246133,68337.69123629059,42770.20530425206,43840.8064757515,0.7,0.4371773158840133,0.0,26.673470178772238,1.6739975867207173,0.35161200899093825,False,False,True,True,True,False,3,6,False,True,underpowered,False
crypto,1d,long,ADD~MAXINDEX|and,10,5.925313475391181,-0.0058876583333333276,0.28516422629771854,-0.050573519980922195,6,0.429412368488581,1.0,0.3188339154534346,0.028098226645777824,4634.896917412092,1.0,0.721231881887388,0.6886287265406748,-0.8561811996226439,-0.8671807197707126,2.0024672068068856,92.5,57245.05877853887,68337.69123629059,47952.95765729179,43840.8064757515,0.7,0.429412368488581,0.0,32.48766082129236,1.6466707888563987,0.36071178918327923,False,False,True,True,True,False,3,6,False,True,underpowered,False
