class,tf,rule,symbol,mult,excess_cagr,ir
us_stocks,1d,ibs,A,0.0,-0.004453556751002896,-0.13394002359501125
us_stocks,1d,ibs,A,0.5,-0.006507622523430179,-0.14176519883968577
us_stocks,1d,ibs,A,1.0,-0.008557987962439784,-0.14959376763235205
us_stocks,1d,ibs,A,2.0,-0.012647644000537195,-0.1652610177581064
us_stocks,1d,ibs,A,3.0,-0.0167225770725008,-0.18094163727842577
us_stocks,1d,ibs,A,5.0,-0.024828482242475136,-0.21234243385201437
us_stocks,1d,ibs,A,10.0,-0.04483921307334193,-0.2910686728168343
us_stocks,1d,ibs,AA,0.0,0.035494354167625586,-0.014839784075840459
us_stocks,1d,ibs,AA,0.5,0.03368333999697959,-0.021358127387786408
us_stocks,1d,ibs,AA,1.0,0.03187558376056343,-0.027878935312861026
us_stocks,1d,ibs,AA,2.0,0.028269822088591856,-0.040927906021046116
us_stocks,1d,ibs,AA,3.0,0.024677023247680507,-0.053986617996086145
us_stocks,1d,ibs,AA,5.0,0.01753013123708369,-0.08013295100369706
us_stocks,1d,ibs,AA,10.0,-0.00011343206424108132,-0.14566370758843908
us_stocks,1d,ibs,AAL,0.0,0.12576904002144795,0.0870823938643491
us_stocks,1d,ibs,AAL,0.5,0.12387508333905894,0.08277366415456391
us_stocks,1d,ibs,AAL,1.0,0.12198443029738004,0.07846386170611727
us_stocks,1d,ibs,AAL,2.0,0.11821301252927685,0.06984105039292256
us_stocks,1d,ibs,AAL,3.0,0.11445474159824864,0.06121398357151357
us_stocks,1d,ibs,AAL,5.0,0.10697746052812462,0.04394717836908831
us_stocks,1d,ibs,AAL,10.0,0.08851119819266029,0.0007073637475151423
us_stocks,1d,ibs,AAP,0.0,0.0313927294333427,0.0022211016793887758
us_stocks,1d,ibs,AAP,0.5,0.029398120698073127,-0.005612223614445641
us_stocks,1d,ibs,AAP,1.0,0.02740704536186178,-0.013448920376834598
us_stocks,1d,ibs,AAP,2.0,0.02343547032988602,-0.029132357088745096
us_stocks,1d,ibs,AAP,3.0,0.0194779553286204,-0.044829065525074714
us_stocks,1d,ibs,AAP,5.0,0.011604910217356545,-0.07626172191369153
us_stocks,1d,ibs,AAP,10.0,-0.007835050632992724,-0.1550654625132703
us_stocks,1d,ibs,AAPL,0.0,-0.11902052464891644,-0.5127217543229937
us_stocks,1d,ibs,AAPL,0.5,-0.12136624662167939,-0.5211497682062716
us_stocks,1d,ibs,AAPL,1.0,-0.12370760868943331,-0.5295815124904689
us_stocks,1d,ibs,AAPL,2.0,-0.12837728493067901,-0.5464561125535411
us_stocks,1d,ibs,AAPL,3.0,-0.13302961687163695,-0.5633453944901583
us_stocks,1d,ibs,AAPL,5.0,-0.14228250071237558,-0.5971673590710743
us_stocks,1d,ibs,AAPL,10.0,-0.16511558640789348,-0.6819678170962785
us_stocks,1d,ibs,ABBV,0.0,-0.03491917407523326,-0.2521623708796069
us_stocks,1d,ibs,ABBV,0.5,-0.036868993356484525,-0.26097159264286285
us_stocks,1d,ibs,ABBV,1.0,-0.03881554668755838,-0.26978467806434564
us_stocks,1d,ibs,ABBV,2.0,-0.042698876936623,-0.2874223287732218
us_stocks,1d,ibs,ABBV,3.0,-0.04656920761112726,-0.30507509998951526
us_stocks,1d,ibs,ABBV,5.0,-0.0542710407040754,-0.34042510553331945
us_stocks,1d,ibs,ABBV,10.0,-0.07330109972332588,-0.4290488752200013
us_stocks,1d,ibs,ABNB,0.0,-0.028996929468673605,-0.2500819105316459
us_stocks,1d,ibs,ABNB,0.5,-0.030654261105322433,-0.2560003969798417
us_stocks,1d,ibs,ABNB,1.0,-0.032308758927093506,-0.2619205895753387
us_stocks,1d,ibs,ABNB,2.0,-0.03560927212495113,-0.2737660605740219
us_stocks,1d,ibs,ABNB,3.0,-0.03889850698206687,-0.28561825810480185
us_stocks,1d,ibs,ABNB,5.0,-0.04544329273097192,-0.3093425698416445
us_stocks,1d,ibs,ABNB,10.0,-0.06161051664871631,-0.36876643686020627
us_stocks,1d,ibs,ABT,0.0,0.011092502581182329,-0.013416939572523432
us_stocks,1d,ibs,ABT,0.5,0.009150693365564955,-0.0247375532192982
us_stocks,1d,ibs,ABT,1.0,0.007212202065282947,-0.03606583948020431
us_stocks,1d,ibs,ABT,2.0,0.003345150985978984,-0.058745209805676935
us_stocks,1d,ibs,ABT,3.0,-0.0005086950149886249,-0.08145460803815409
us_stocks,1d,ibs,ABT,5.0,-0.00817694848768813,-0.1269616988473969
us_stocks,1d,ibs,ABT,10.0,-0.027119570473536747,-0.24122320066673028
us_stocks,1d,ibs,ACE,0.0,-0.13582219579768917,-0.6823686841176916
us_stocks,1d,ibs,ACE,0.5,-0.1366097814585634,-0.6859849635304683
us_stocks,1d,ibs,ACE,1.0,-0.13739663547040382,-0.6896019321497887
us_stocks,1d,ibs,ACE,2.0,-0.13896815117008843,-0.6968379221283091
us_stocks,1d,ibs,ACE,3.0,-0.1405367481372718,-0.7040766242420066
us_stocks,1d,ibs,ACE,5.0,-0.14366520679102024,-0.7185620452182128
us_stocks,1d,ibs,ACE,10.0,-0.15143564070491888,-0.7548209574896771
us_stocks,1d,ibs,ACGL,0.0,-0.007333965824569688,-0.1257794248799006
us_stocks,1d,ibs,ACGL,0.5,-0.009419326570245579,-0.13606458496699567
us_stocks,1d,ibs,ACGL,1.0,-0.011500969139287998,-0.14635601759035471
us_stocks,1d,ibs,ACGL,2.0,-0.01565312575825084,-0.16695754721057626
us_stocks,1d,ibs,ACGL,3.0,-0.01979048759141877,-0.18758370571542107
us_stocks,1d,ibs,ACGL,5.0,-0.028021033650632576,-0.22890866490861905
us_stocks,1d,ibs,ACGL,10.0,-0.048342089619338946,-0.3326300336457066
us_stocks,1d,ibs,ACN,0.0,0.051719975890430536,0.12646480800637855
us_stocks,1d,ibs,ACN,0.5,0.04967704679991236,0.11763229078869715
us_stocks,1d,ibs,ACN,1.0,0.04763763692068923,0.10879533163807721
us_stocks,1d,ibs,ACN,2.0,0.04356935102604975,0.09110819408774688
us_stocks,1d,ibs,ACN,3.0,0.03951507076475824,0.07340360930564423
us_stocks,1d,ibs,ACN,5.0,0.03144833815967485,0.0379429606104537
us_stocks,1d,ibs,ACN,10.0,0.011523314404744411,-0.05099875286107941
us_stocks,1d,ibs,ADBE,0.0,0.013358291454675264,-0.07306153540464769
us_stocks,1d,ibs,ADBE,0.5,0.011289769434937869,-0.0806056610545952
us_stocks,1d,ibs,ADBE,1.0,0.009224900476814568,-0.08815304493815658
us_stocks,1d,ibs,ADBE,2.0,0.005106096436162888,-0.10325752506409792
us_stocks,1d,ibs,ADBE,3.0,0.001001828821758366,-0.11837485065638219
us_stocks,1d,ibs,ADBE,5.0,-0.007163298314975419,-0.1486475342152727
us_stocks,1d,ibs,ADBE,10.0,-0.027325231581442067,-0.22454514518519292
