ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,contaminated,prior
-0.2692660093239949,0.2,-0.2692660093239949,,-0.5157618249940702,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,golden_cross,gross,prereg,4.0,0.0,False,False,True,False,Long while the 50d SMA is above the 200d SMA
-0.27241691601739976,0.0,-0.27241691601739976,,-0.5217971853080454,,WTI/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,volmanaged,gross,prereg,4.0,0.0,False,False,True,True,"Moreira/Muir 2017: inverse prior-month variance, capped 1.0"
-0.35997720925251264,0.0,-0.35997720925251264,,-0.6895133287207795,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,faber_gtaa,gross,prereg,4.0,0.0,False,False,True,True,Faber 2007: long above the 10-month moving average
-0.5264675428953438,0.2,-0.5264675428953438,,-1.0084149180416053,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,st_reversal,gross,prereg,4.0,0.0,False,False,True,False,Jegadeesh 1990: long after a down week
-0.5731986168302281,0.0,-0.573198616830228,,-1.0979253023530087,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,tsmom12,gross,prereg,4.0,0.0,False,False,True,False,Moskowitz/Ooi/Pedersen 2012: long if trailing 12m return > 0
-0.27122282608257103,0.2,-0.2692660093239949,,-0.5195099823835453,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,golden_cross,retail,prereg,4.0,0.0,False,False,True,False,Long while the 50d SMA is above the 200d SMA
-0.27904572932493554,0.0,-0.27241691601739976,,-0.5344942533769892,,WTI/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,volmanaged,retail,prereg,4.0,0.0,False,False,True,True,"Moreira/Muir 2017: inverse prior-month variance, capped 1.0"
-0.3826010293707024,0.0,-0.35997720925251264,,-0.732847809674352,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,faber_gtaa,retail,prereg,4.0,0.0,False,False,True,True,Faber 2007: long above the 10-month moving average
-0.6015714848796614,0.0,-0.573198616830228,,-1.1522717170461596,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,tsmom12,retail,prereg,4.0,0.0,False,False,True,False,Moskowitz/Ooi/Pedersen 2012: long if trailing 12m return > 0
-0.6275801075797499,0.2,-0.5264675428953438,,-1.2020895709336852,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,st_reversal,retail,prereg,4.0,0.0,False,False,True,False,Jegadeesh 1990: long after a down week
-0.27000000880197056,0.2,-0.2692660093239949,,-0.5171677540649389,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,golden_cross,tight,prereg,4.0,0.0,False,False,True,False,Long while the 50d SMA is above the 200d SMA
-0.27490269254812516,0.0,-0.27241691601739976,,-0.5265585313213541,,WTI/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,volmanaged,tight,prereg,4.0,0.0,False,False,True,True,"Moreira/Muir 2017: inverse prior-month variance, capped 1.0"
-0.3684670277010744,0.0,-0.35997720925251264,,-0.7057750331516194,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,faber_gtaa,tight,prereg,4.0,0.0,False,False,True,True,Faber 2007: long above the 10-month moving average
-0.5643534681149304,0.2,-0.5264675428953438,,-1.0809829855147306,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,st_reversal,tight,prereg,4.0,0.0,False,False,True,False,Jegadeesh 1990: long after a down week
-0.5838597936898833,0.0,-0.573198616830228,,-1.118346104991726,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,tsmom12,tight,prereg,4.0,0.0,False,False,True,False,Moskowitz/Ooi/Pedersen 2012: long if trailing 12m return > 0
-0.27415492153034005,0.2,-0.2692660093239949,,-0.5251262237464813,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,golden_cross,wide,prereg,4.0,0.0,False,False,True,False,Long while the 50d SMA is above the 200d SMA
-0.28898938776055444,0.0,-0.27241691601739976,,-0.5535406953499215,,WTI/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,volmanaged,wide,prereg,4.0,0.0,False,False,True,True,"Moreira/Muir 2017: inverse prior-month variance, capped 1.0"
-0.4164397285150785,0.0,-0.35997720925251264,,-0.7976636743649772,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,faber_gtaa,wide,prereg,4.0,0.0,False,False,True,True,Faber 2007: long above the 10-month moving average
-0.6437767553277692,0.0,-0.573198616830228,,-1.2331132141416663,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,tsmom12,wide,prereg,4.0,0.0,False,False,True,False,Moskowitz/Ooi/Pedersen 2012: long if trailing 12m return > 0
-0.7797024780479361,0.2,-0.5264675428953438,,-1.4934702454275457,,XPD/USD,5,5,3.668895314212321,False,False,False,False,0,False,,,,commodities,4h,st_reversal,wide,prereg,4.0,0.0,False,False,True,False,Jegadeesh 1990: long after a down week
