ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,contaminated,prior
-0.5557111073270271,0.0,-0.5557111073270271,0.0,-1.0332058442543284,,XLF,10,10,3.4568103480836365,False,False,False,False,0,False,,,,us_etfs,4h,tsmom12,gross,prereg,4.0,0.0,False,False,True,False,Moskowitz/Ooi/Pedersen 2012: long if trailing 12m return > 0
-0.605671532912311,0.0,-0.605671532912311,0.0,-1.1260947626429465,,XLE,10,10,3.4568103480836365,False,False,False,False,0,False,,,,us_etfs,4h,volmanaged,gross,prereg,4.0,0.0,False,False,True,True,"Moreira/Muir 2017: inverse prior-month variance, capped 1.0"
-0.6099058623994187,0.0,-0.6099058623994187,0.0,-1.1339674394976913,,GLD,10,10,3.4568103480836365,False,False,False,False,0,False,,,,us_etfs,4h,faber_gtaa,gross,prereg,4.0,0.0,False,False,True,True,Faber 2007: long above the 10-month moving average
-0.7991228988587715,0.1,-0.7991228988587716,0.0,-1.4857692036240993,,TLT,10,10,3.4568103480836365,False,False,False,False,0,False,,,,us_etfs,4h,st_reversal,gross,prereg,4.0,0.0,False,False,True,False,Jegadeesh 1990: long after a down week
-0.928618813373242,0.0,-0.928618813373242,0.0,-1.7265344752181273,,TLT,10,10,3.4568103480836365,False,False,False,False,0,False,,,,us_etfs,4h,golden_cross,gross,prereg,4.0,0.0,False,False,True,False,Long while the 50d SMA is above the 200d SMA
-0.5912007785655553,0.0,-0.5557111073270271,0.0,-1.0991900134581545,,XLF,10,10,3.4568103480836365,False,False,False,False,0,False,,,,us_etfs,4h,tsmom12,pessimistic,prereg,4.0,0.0,False,False,True,False,Moskowitz/Ooi/Pedersen 2012: long if trailing 12m return > 0
-0.6297277870577401,0.0,-0.605671532912311,0.0,-1.1708213517757025,,XLE,10,10,3.4568103480836365,False,False,False,False,0,False,,,,us_etfs,4h,volmanaged,pessimistic,prereg,4.0,0.0,False,False,True,True,"Moreira/Muir 2017: inverse prior-month variance, capped 1.0"
-0.656355592915814,0.0,-0.6099058623994187,0.0,-1.2203290982819122,,GLD,10,10,3.4568103480836365,False,False,False,False,0,False,,,,us_etfs,4h,faber_gtaa,pessimistic,prereg,4.0,0.0,False,False,True,True,Faber 2007: long above the 10-month moving average
-0.9368946959264026,0.0,-0.928618813373242,0.0,-1.7419214093778868,,TLT,10,10,3.4568103480836365,False,False,False,False,0,False,,,,us_etfs,4h,golden_cross,pessimistic,prereg,4.0,0.0,False,False,True,False,Long while the 50d SMA is above the 200d SMA
-1.0431945725033382,0.0,-0.7991228988587716,0.0,-1.9395594487740846,,TLT,10,10,3.4568103480836365,False,False,False,False,0,False,,,,us_etfs,4h,st_reversal,pessimistic,prereg,4.0,0.0,False,False,True,False,Jegadeesh 1990: long after a down week
