ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,contaminated,prior
-0.534415896849191,0.1,-0.534415896849191,0.0,-1.060346747558387,,UNH,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,st_reversal,gross,prereg,5.0,0.0,False,False,True,False,Jegadeesh 1990: long after a down week
-0.6159146749755053,0.05,-0.6159146749755053,0.0,-1.222050328656399,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,tsmom12,gross,prereg,5.0,0.0,False,False,True,False,Moskowitz/Ooi/Pedersen 2012: long if trailing 12m return > 0
-0.679495628503266,0.0,-0.679495628503266,0.0,-1.3482027460476183,,PEP,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,golden_cross,gross,prereg,5.0,0.0,False,False,True,False,Long while the 50d SMA is above the 200d SMA
-0.7051534658397844,0.0,-0.7051534658397844,0.0,-1.3991110452384954,,GOOGL,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,faber_gtaa,gross,prereg,5.0,0.0,False,False,True,True,Faber 2007: long above the 10-month moving average
-0.7240341124747067,0.0,-0.7240341124747067,0.0,-1.4365725660674475,,PEP,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,volmanaged,gross,prereg,5.0,0.0,False,False,True,True,"Moreira/Muir 2017: inverse prior-month variance, capped 1.0"
-0.6469921601804465,0.0,-0.6159146749755053,0.0,-1.2837118745678082,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,tsmom12,pessimistic,prereg,5.0,0.0,False,False,True,False,Moskowitz/Ooi/Pedersen 2012: long if trailing 12m return > 0
-0.6838716147741568,0.0,-0.679495628503266,0.0,-1.3568852400322775,,PEP,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,golden_cross,pessimistic,prereg,5.0,0.0,False,False,True,False,Long while the 50d SMA is above the 200d SMA
-0.688526979128246,0.0,-0.534415896849191,0.0,-1.366122054432188,,UNH,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,st_reversal,pessimistic,prereg,5.0,0.0,False,False,True,False,Jegadeesh 1990: long after a down week
-0.7364607898807011,0.0,-0.7051534658397844,0.0,-1.4612286196169206,,GOOGL,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,faber_gtaa,pessimistic,prereg,5.0,0.0,False,False,True,True,Faber 2007: long above the 10-month moving average
-0.753746591145756,0.0,-0.7240341124747067,0.0,-1.495525771438948,,PEP,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,volmanaged,pessimistic,prereg,5.0,0.0,False,False,True,True,"Moreira/Muir 2017: inverse prior-month variance, capped 1.0"
-0.558264010444333,0.1,-0.534415896849191,0.0,-1.107664332673464,,UNH,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,st_reversal,retail,prereg,5.0,0.0,False,False,True,False,Jegadeesh 1990: long after a down week
-0.6207816648205305,0.05,-0.6159146749755053,0.0,-1.2317070340107843,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,tsmom12,retail,prereg,5.0,0.0,False,False,True,False,Moskowitz/Ooi/Pedersen 2012: long if trailing 12m return > 0
-0.680175665036564,0.0,-0.679495628503266,0.0,-1.3495520220151838,,PEP,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,golden_cross,retail,prereg,5.0,0.0,False,False,True,False,Long while the 50d SMA is above the 200d SMA
-0.710083001818371,0.0,-0.7051534658397844,0.0,-1.4088918498004177,,GOOGL,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,faber_gtaa,retail,prereg,5.0,0.0,False,False,True,True,Faber 2007: long above the 10-month moving average
-0.7286534260298989,0.0,-0.7240341124747067,0.0,-1.4457378512565267,,PEP,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,volmanaged,retail,prereg,5.0,0.0,False,False,True,True,"Moreira/Muir 2017: inverse prior-month variance, capped 1.0"
-0.5953904978798178,0.05,-0.534415896849191,0.0,-1.1813278416232973,,UNH,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,st_reversal,wide,prereg,5.0,0.0,False,False,True,False,Jegadeesh 1990: long after a down week
-0.6282845933006466,0.0,-0.6159146749755053,0.0,-1.246593765221363,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,tsmom12,wide,prereg,5.0,0.0,False,False,True,False,Moskowitz/Ooi/Pedersen 2012: long if trailing 12m return > 0
-0.6812327358374178,0.0,-0.679495628503266,0.0,-1.3516493802566445,,PEP,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,golden_cross,wide,prereg,5.0,0.0,False,False,True,False,Long while the 50d SMA is above the 200d SMA
-0.7176387445151061,0.0,-0.7051534658397844,0.0,-1.4238833709005694,,GOOGL,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,faber_gtaa,wide,prereg,5.0,0.0,False,False,True,True,Faber 2007: long above the 10-month moving average
-0.7358244391759726,0.0,-0.7240341124747067,0.0,-1.4599660216963808,,PEP,20,20,3.9367431513584585,False,False,False,False,0,False,us_stocks,4h,volmanaged,wide,prereg,5.0,0.0,False,False,True,True,"Moreira/Muir 2017: inverse prior-month variance, capped 1.0"
