,excess_cagr
voltgt_tsmom@vol_days=60.0,0.007469694313262609
volmanaged@var_months=2.0,0.007230370940065622
volmanaged@var_months=0.5,0.006344331714820184
voltgt_tsmom,0.006089238376055794
volmanaged@var_months=3.0,0.004589940854287988
volmanaged,0.004543667796050865
supertrend_pullback,0.004375036827961365
"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",0.0018287145513760095
RANDOM_90,0.001339665384705091
voltgt_tsmom@lookback_months=6.0,0.0012312286793643157
supertrend_pullback@buy=35.0,0.0008792738163159175
"atr_chandelier@entry_ma_days=200.0,mult=4.0",0.0003644489707217424
BUYHOLD,-2.0073266135955947e-06
ALWAYS_LONG,-2.0073266135955947e-06
"macd_cross@fast_days=20.0,slow_days=50.0",-8.217211205829855e-05
ALWAYS_FLAT,-0.00047454142533998045
sell_in_may,-0.0005106743057166074
dual_thrust,-0.0005897328006279068
golden_cross,-0.0006787366846023879
sell_in_may@end_month=5,-0.0032870335316477206
"dual_thrust@k=0.7,lookback_days=20.0",-0.004119137005532902
turn_of_month@before=2,-0.004329953688043897
supertrend_pullback@buy=10.0,-0.004332977641611668
golden_cross@slow_days=150.0,-0.00438541931898806
"ichimoku@kijun_days=13.0,senkou_days=26.0,tenkan_days=5.0",-0.004653445316018079
tsmom12@lookback_months=6.0,-0.004973237518635987
tsmom12,-0.005635881867524617
ichimoku,-0.006208626757788549
supertrend_pullback@rsi_days=3.0,-0.006318039304384904
"voltgt_tsmom@lookback_months=3.0,vol_days=10.0",-0.007428098872178657
connors_rsi@buy=5.0,-0.007729288820865987
three_lower_lows@n_lows=4,-0.007922711660044657
connors_rsi,-0.008010733425512173
supertrend_regime@atr_days=7.0,-0.008342178707932524
turn_of_month,-0.008486002757596145
three_lower_lows@n_lows=2,-0.00850954716368757
turn_of_month@after=1,-0.008614406392527751
dual_thrust@lookback_days=10.0,-0.008828817379610499
faber_gtaa,-0.008845036848234233
"supertrend_dual@slow_days=30.0,slow_mult=8.0",-0.009083342355322044
faber_gtaa@ma_months=12.0,-0.009149916684555004
supertrend_regime@ma_days=100.0,-0.009766032852418949
"dyn_breakout2@base_days=40.0,hi_days=80.0",-0.009858823381301285
faber_gtaa@ma_months=8.0,-0.010106715388357168
