,excess_cagr
ibs@sell=0.6,0.30012921795346137
ibs,0.2680205933771205
"ibs@buy=0.3,sell=0.7",0.2670018582939875
"ibs@buy=0.1,sell=0.9",0.15122645620301478
golden_cross@slow_days=150.0,0.05268568878323432
"connors_rsi@buy=20.0,sell=80.0",0.04250468228587678
st_reversal@lookback_weeks=2.0,0.03524249720984751
"supertrend_lf@atr_days=20.0,mult=4.0",0.034681199060992096
bollinger_mr,0.03299686087244669
RANDOM_25,0.03160060856431324
bollinger_mr@nbdev=2.5,0.025723495301509303
volmanaged@var_months=2.0,0.017318146849749416
volmanaged@var_months=3.0,0.01570625755064814
"supertrend_dual@slow_days=14.0,slow_mult=4.0",0.01432434801524396
golden_cross,0.01328878656252619
bollinger_mr@period_days=10.0,0.012521307390948921
"supertrend_dual@slow_days=30.0,slow_mult=8.0",0.011365225227380149
RANDOM_75,0.006129544878455517
"golden_cross@fast_days=20.0,slow_days=100.0",0.004713509512869196
supertrend_regime@ma_days=50.0,0.004627990669603177
donchian_s2,0.004332315511287099
RANDOM_90,0.00372998542616898
supertrend_regime,0.003287735568213046
volmanaged@var_months=0.5,0.0011095977414681268
"rsi2_raw@buy=15.0,exit_ma_days=10.0",0.0006922654997170152
bollinger_mr@period_days=50.0,0.0006573496149724356
voltgt_tsmom@vol_days=60.0,0.00011133276027508465
ALWAYS_LONG,0.0
BUYHOLD,0.0
volmanaged,-8.043510386013253e-05
rsi2_raw@buy=5.0,-9.522597126321308e-05
supertrend_adx@adx_min=30.0,-9.522597126321308e-05
"rsi2_connors@exit_ma_days=2.0,trend_ma_days=100.0",-9.522597126321308e-05
rsi2_connors@buy=5.0,-9.522597126321308e-05
"dual_thrust@k=0.7,lookback_days=20.0",-9.522597126321308e-05
ALWAYS_FLAT,-9.522597126321308e-05
supertrend_pullback@rsi_days=3.0,-9.522597126321308e-05
supertrend_pullback@buy=10.0,-9.522597126321308e-05
supertrend_adx@adx_days=20.0,-9.522597126321308e-05
supertrend_pullback,-9.522597126321308e-05
connors_rsi@buy=5.0,-9.522597126321308e-05
"connors_rsi@buy=15.0,sell=60.0",-9.522597126321308e-05
connors_rsi,-9.522597126321308e-05
supertrend_regime@atr_days=7.0,-0.0011907479090413897
tsmom12@lookback_months=9.0,-0.0031067371591162463
supertrend_adx@adx_min=20.0,-0.0032723063681132647
rsi2_raw,-0.0045105969874026375
RANDOM_50,-0.004573789539563
trend_factor@min_votes=5,-0.0049592054601959035
rsi2_connors,-0.005588059179421956
"atr_chandelier@entry_ma_days=200.0,mult=4.0",-0.0056880567719808095
supertrend_dual,-0.006461168030688302
rsi2_connors@exit_ma_days=10.0,-0.006627150618843558
dual_thrust@lookback_days=10.0,-0.007095027166085899
trend_factor@min_votes=6,-0.007223118021784103
supertrend_pullback@buy=35.0,-0.007270788032093245
supertrend_regime@ma_days=100.0,-0.007498890930610402
supertrend_adx,-0.008003259492014081
rsi2_connors@buy=15.0,-0.009295393292319654
"donchian_s2@entry_days=100.0,exit_days=40.0",-0.009659260138589865
momo_regime@ma_days=100.0,-0.009930573908800477
voltgt_tsmom,-0.011854262029044271
three_lower_lows@n_lows=4,-0.01446519858381845
"golden_cross@fast_days=10.0,slow_days=50.0",-0.016938895872472104
momo_regime@lookback_months=6.0,-0.017280732826547407
voltgt_tsmom@lookback_months=6.0,-0.018691983360143993
dual_thrust,-0.020019820130143584
supertrend_lf,-0.020296801122441588
"ichimoku@kijun_days=60.0,senkou_days=120.0,tenkan_days=20.0",-0.023673669987922752
faber_gtaa,-0.024550969795442468
sell_in_may,-0.024567965727625873
supertrend_lf@atr_days=7.0,-0.02546318013725868
tsmom12,-0.02568314043758524
momo_regime,-0.02626437398909398
tsmom12@lookback_months=6.0,-0.0276900357409815
"donchian_s1@entry_days=40.0,exit_days=20.0",-0.028226005250887587
st_reversal@lookback_weeks=4.0,-0.028885062769050007
ichimoku,-0.0289589496491669
"supertrend_lf@atr_days=14.0,mult=2.0",-0.031695316261289186
donchian_s2@exit_days=10.0,-0.03204212085583924
"macd_cross@fast_days=8.0,slow_days=17.0",-0.03209995092880469
"sell_in_may@end_month=5,start_month=10",-0.033750632969084204
"donchian_s2@entry_days=80.0,exit_days=30.0",-0.034277825418988606
three_lower_lows@n_lows=2,-0.03592769504488902
faber_gtaa@ma_months=12.0,-0.038729087701474985
"momo_regime@lookback_months=3.0,ma_days=50.0",-0.04157286206178812
"donchian_s1@entry_days=30.0,exit_days=15.0",-0.04246382363308454
"supertrend_dual@atr_days=7.0,mult=2.0",-0.04256560392939579
"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",-0.044361803182243476
