,excess_cagr
supertrend_lf@atr_days=7.0,0.24763652501359212
supertrend_lf,0.22635249077667385
"ichimoku@kijun_days=13.0,senkou_days=26.0,tenkan_days=5.0",0.22361920516989686
supertrend_dual,0.2153196124926342
supertrend_regime@ma_days=50.0,0.2150115289233676
"golden_cross@fast_days=10.0,slow_days=50.0",0.21128266015384267
sell_in_may,0.20401695342281356
"macd_cross@fast_days=20.0,slow_days=50.0",0.20008957965487562
trend_factor,0.19940692236757407
"donchian_s1@entry_days=30.0,exit_days=15.0",0.19784667970127834
"dyn_breakout2@base_days=40.0,hi_days=80.0",0.19768764137165573
tsmom12@lookback_months=3.0,0.19438151716587404
supertrend_regime@ma_days=100.0,0.18948955192111572
"supertrend_dual@slow_days=30.0,slow_mult=8.0",0.18773895478465485
"supertrend_dual@slow_days=14.0,slow_mult=4.0",0.1810297874071245
"donchian_s1@entry_days=40.0,exit_days=20.0",0.1806432213856255
donchian_s1,0.1706227349797531
tsmom12@lookback_months=9.0,0.17028628027722537
trend_factor@min_votes=5,0.16455282449218456
"donchian_s2@entry_days=80.0,exit_days=30.0",0.15940249772253479
"supertrend_dual@atr_days=7.0,mult=2.0",0.15923142158858017
trend_factor@min_votes=3,0.1550950619625837
"momo_regime@lookback_months=3.0,ma_days=50.0",0.15467721636449716
donchian_s2,0.15161744557717882
donchian_s2@exit_days=10.0,0.1440867897667757
"golden_cross@fast_days=20.0,slow_days=100.0",0.13821487520922582
supertrend_regime@atr_days=7.0,0.13716914989474094
"donchian_s1@entry_days=10.0,exit_days=5.0",0.1307726970179699
dyn_breakout2,0.12829491875293586
supertrend_regime,0.12416884603672895
"donchian_s2@entry_days=100.0,exit_days=40.0",0.1224266662601654
ichimoku,0.1213242670068706
supertrend_adx@adx_min=20.0,0.11771238297360775
supertrend_adx,0.11489671321717698
RANDOM_75,0.11035029497106597
tsmom12,0.11011590927839543
"dyn_breakout2@hi_days=40.0,lo_days=10.0,vol_days=60.0",0.10999575814241269
macd_cross,0.09937113261486896
"supertrend_lf@atr_days=20.0,mult=4.0",0.099044013580744
faber_gtaa,0.09612871026879155
atr_chandelier@atr_days=14.0,0.09540815632512811
"supertrend_lf@atr_days=14.0,mult=2.0",0.09493015944686611
voltgt_tsmom,0.08959768578330696
"voltgt_tsmom@lookback_months=3.0,vol_days=10.0",0.08793966261094655
trend_factor@min_votes=6,0.0862598649021391
RANDOM_90,0.08021657683393735
voltgt_tsmom@vol_days=60.0,0.07897598968987807
momo_regime@ma_days=100.0,0.07678662667209313
faber_gtaa@ma_months=12.0,0.07363999866902615
"atr_chandelier@entry_ma_days=200.0,mult=4.0",0.07167467403486727
momo_regime,0.06843663654289034
"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",0.0661614195233966
atr_chandelier,0.061336448402406596
"sell_in_may@end_month=5,start_month=10",0.05841819857913544
faber_gtaa@ma_months=6.0,0.04989945372389615
supertrend@atr_days=7.0,0.04607877922273351
supertrend_adx@adx_min=30.0,0.045222860886787286
"ichimoku@kijun_days=60.0,senkou_days=120.0,tenkan_days=20.0",0.034566156907179124
rsi2_raw,0.03232077324257432
"connors_rsi@buy=15.0,sell=60.0",0.032295754062989346
rsi2_connors,0.031674651132472365
"macd_cross@fast_days=8.0,slow_days=17.0",0.02990570817876237
rsi2_connors@exit_ma_days=10.0,0.029817012293760214
momo_regime@lookback_months=6.0,0.029650563956768572
supertrend_adx@adx_days=20.0,0.027781875595586536
golden_cross,0.026838587405116687
faber_gtaa@ma_months=8.0,0.020674864348544153
